	Calb2_tdTpositive_cell_53	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_72	Tac2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cdkl5	0.0	0.0	0.0	0.0	0.0	0.0	39.47	0.26	0.0	0.32	18.09	0.0	2.05	1.51	0.0	16.56	3.68	0.0	0.0	0.0	38.19	1.23	67.91	0.0	55.84	45.37	57.55
Chmp4b	0.0	0.0	0.0	0.0	0.0	34.0	47.43	1.05	6.98	17.49	2.91	7.37	0.0	29.18	0.71	1.36	28.62	8.22	0.0	6.83	12.34	0.0	67.12	0.0	213.47	219.44	219.27
Crmp1	0.0	0.0	0.0	0.0	0.0	12.81	31.49	34.81	0.4	6.45	21.49	79.92	74.47	0.56	34.45	4.81	7.49	0.0	0.0	38.64	75.41	23.05	70.5	0.0	157.11	177.02	162.66
Crtc1	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	1.36	5.23	0.37	0.0	0.0	0.0	12.47	10.44	0.0	0.0	0.0	14.36	5.66	0.0	25.08	0.0	88.78	88.79	94.03
Cyp2j13	0.66	0.0	0.0	1.74	0.0	0.45	0.43	0.38	2.05	2.37	2.9	5.37	3.41	1.29	1.9	2.69	4.07	3.98	0.84	3.64	4.94	5.54	11.8	0.97	1.52	1.53	1.89
D19Ertd386e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.69	34.02	1.93	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	40.13	0.12	62.89	0.0	7.93	7.61	8.13
Dkk2	0.0	0.0	0.4	0.55	0.16	0.0	0.0	0.32	0.34	0.28	0.28	0.0	0.0	0.64	0.46	0.3	0.98	0.14	0.28	0.3	0.31	0.15	0.89	0.59	0.79	0.43	0.8
Dpys	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.43	13.32	0.0	0.0	0.0	0.11	0.0	6.99	0.0	0.0	5.6	8.46	0.0	0.0	0.0	51.84	0.0	0.26	0.23	0.3
Dusp26	0.0	0.0	0.0	0.0	0.0	25.1	10.52	0.0	0.0	0.0	0.0	49.1	9.34	0.0	0.22	57.49	12.01	27.58	40.79	0.0	22.35	66.3	195.22	0.0	82.82	92.92	88.43
Dzip1	0.0	4.24	0.0	0.0	0.0	0.61	6.67	11.63	7.91	12.14	12.37	16.41	3.39	23.17	10.46	19.92	14.26	15.56	24.51	1.23	3.06	9.51	28.56	2.66	41.01	39.59	40.62
Eml5	0.0	0.0	0.0	0.0	0.0	0.0	13.83	9.77	17.73	18.59	0.03	1.7	4.92	27.18	4.38	5.76	11.19	2.83	16.28	1.03	42.51	0.97	80.15	0.0	32.58	26.15	37.17
Erlec1	0.0	0.0	0.0	0.0	0.0	140.49	34.37	9.22	46.52	57.35	21.29	6.19	4.53	0.81	0.11	88.02	44.8	80.6	44.89	0.0	57.59	32.12	153.14	57.92	36.05	31.92	32.02
Esrrb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.73	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	27.35	0.0	1.33	1.15	0.94
Fgfr2	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	7.82	28.25	6.89	12.69	0.45	0.08	0.61	0.99	0.0	0.0	1.52	0.0	20.69	1.38	51.5	0.0	20.36	21.07	22.66
Fnip2	0.0	0.85	0.85	2.75	2.09	0.0	1.23	0.95	1.72	0.95	0.49	0.35	1.3	0.07	0.16	16.79	0.7	0.38	18.95	0.39	50.61	0.14	36.83	0.85	8.12	8.72	8.24
Gfra2	2.34	2.7	1.78	0.42	1.33	0.69	0.72	0.91	24.69	0.6	1.83	0.92	23.36	1.57	2.17	32.87	4.45	2.18	2.42	2.02	2.05	0.42	60.22	2.24	52.68	49.17	55.8
Gja6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.25	0.37	0.41
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	6.15	0.0	0.0	0.0	0.76	0.31	0.0	2.62	1.92	8.14	1.56	0.3	0.26	0.0	0.0	2.37	4.94	0.0	30.63	28.29	22.96
Gm13308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	5.14	0.0	0.0	0.0	0.0	16.21	0.0	1.03	0.0	11.12	0.0	4.03	0.0	14.95	21.48	8.57
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	6.15	0.0	0.0	0.0	0.76	0.31	0.0	2.62	1.92	8.14	1.56	0.3	0.26	0.0	0.0	2.37	4.94	0.0	30.63	28.29	22.96
Gm5918	0.0	0.0	0.0	0.0	0.0	38.6	71.19	52.55	0.0	0.0	0.0	37.91	40.15	0.0	2.82	0.0	143.6	0.0	0.0	0.0	0.0	0.0	85.4	0.0	11.46	8.47	8.54
Gm7367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.67	5.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.44	0.0	21.68	31.06	21.61
Gnaq	0.0	0.0	0.0	0.18	0.0	35.14	20.47	57.87	66.57	11.45	47.99	35.26	39.08	31.91	78.17	31.95	36.11	59.4	58.61	22.0	35.9	51.68	125.85	68.42	101.65	91.77	106.51
Herc6	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.64	0.0	8.63	6.36	5.7
Hps5	0.0	0.0	0.0	0.0	0.0	0.0	7.95	0.0	0.0	0.0	0.0	10.7	2.34	0.26	2.05	0.0	0.0	0.0	0.0	0.0	13.38	0.0	45.25	0.0	10.25	9.89	10.32
Ints10	0.0	0.0	0.0	0.0	0.0	0.0	35.8	52.59	9.4	0.11	34.74	86.43	66.94	37.57	3.43	65.53	2.91	116.45	27.28	39.03	69.28	70.52	204.64	0.0	62.97	56.74	62.1
Lamb1	0.0	158.76	72.05	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.29	0.0	18.14	0.0	6.07	0.0	0.0	0.0	5.83	2.05	29.14	0.0	10.49	10.83	9.87
Larp1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.31	0.0	0.0	0.0	1.49	82.76	0.22	0.0	38.24	0.0	1.11	0.0	0.0	0.0	23.93	0.0	18.32	17.89	16.87
Man2a2	0.74	0.66	0.32	1.97	2.15	15.01	33.66	31.66	11.17	30.5	23.15	12.44	14.33	30.34	1.78	6.5	18.2	40.54	18.66	21.41	23.36	43.05	122.32	3.66	101.72	93.04	100.09
Mll3	7.22	0.36	0.0	4.97	0.0	0.0	0.14	0.78	8.42	4.75	6.9	6.45	6.31	17.73	6.41	8.19	9.59	14.06	0.0	7.58	28.77	2.3	20.74	7.2	22.29	18.92	23.35
Mogs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	3.3	0.0	0.0	0.0	0.74	0.0	2.92	14.76	1.32	19.88	0.0	2.32	30.77	74.01	0.0	22.47	23.62	21.43
Mov10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	7.3	7.37	7.81
Mpzl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	84.66	0.0	3.25	3.88	4.78
Noc3l	0.0	0.0	0.0	0.11	0.0	0.06	0.9	4.16	0.65	3.03	0.69	5.68	3.0	19.75	5.2	5.12	1.23	0.41	3.48	3.31	6.66	0.2	33.08	0.14	11.39	10.6	10.11
Pacs1	0.0	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	2.33	2.95	0.77	0.83	34.54	0.0	14.14	0.27	0.0	0.0	0.0	17.33	0.0	64.43	0.0	53.18	53.52	54.5
Plau	0.0	0.0	0.0	3.01	0.0	0.0	25.18	0.0	0.56	0.0	0.39	0.0	0.0	2.27	0.32	0.46	0.23	0.35	0.32	20.6	0.96	0.0	44.07	0.0	3.33	3.87	4.54
Pomc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	8.07	0.0	46.06	0.0	29.07	28.76	1.81	2.55	2.38
Prrg3	0.33	0.0	0.09	0.0	0.13	0.0	0.21	19.79	0.0	0.06	0.0	1.13	0.05	0.13	0.0	2.87	0.64	0.0	15.33	25.47	0.07	0.13	40.64	1.05	27.62	23.07	24.23
Psen2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	5.75	0.0	0.0	34.03	2.48	0.0	11.28	10.73	28.07	1.26	50.27	0.0	17.88	20.16	15.48
Rap1gap	0.0	0.0	0.0	0.0	0.0	3.23	3.1	6.94	10.03	13.95	6.07	4.34	21.01	10.48	6.48	3.5	3.2	1.13	22.44	0.23	0.0	0.08	47.62	5.96	171.3	186.02	178.43
Rfwd3	0.0	0.0	0.0	0.0	0.0	0.0	2.45	4.83	0.0	0.06	0.0	1.95	0.43	0.73	0.0	0.36	0.12	0.0	0.0	0.0	2.87	0.0	56.73	0.0	19.01	18.56	18.54
Rnf24	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.92	0.0	14.15	1.04	0.0	11.65	0.0	0.0	1.63	0.0	0.0	0.73	12.59	17.19	8.65	46.54	0.0	25.62	24.48	22.78
Slc6a17	0.0	0.0	0.25	0.0	0.0	0.94	31.29	35.44	88.75	29.4	13.31	42.08	60.55	74.16	28.36	75.78	70.11	15.08	40.12	49.98	52.99	37.82	83.12	0.0	242.23	238.44	246.45
St8sia1	0.06	0.43	0.33	0.24	0.17	19.45	15.59	13.68	58.68	1.29	3.28	7.02	27.61	25.72	8.02	36.2	12.91	8.73	0.46	0.25	16.73	11.86	34.74	0.58	18.92	19.58	19.21
Tecpr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.75	0.31	9.64	0.0	0.0	0.0	1.07	4.82	0.0	15.65	0.19	7.1	0.0	0.69	0.0	34.52	0.0	59.71	59.83	62.65
Tfr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.12	0.0	5.56	5.33	5.29
Tmed7	0.0	0.0	0.0	276.28	0.0	14.26	18.61	47.0	23.41	34.17	29.38	25.83	3.93	29.89	0.43	13.38	24.07	14.17	46.83	2.15	24.56	36.34	86.08	0.0	76.9	78.51	78.06
Tmem214	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.6	0.0	0.0	1.22	0.0	0.0	2.66	2.85	0.0	0.0	8.67	2.7	0.0	3.14	16.56	71.58	0.0	47.71	49.96	53.72
Topbp1	0.0	0.0	0.0	0.0	0.07	0.05	0.0	0.0	3.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	33.25	0.0	50.58	4.15	12.18	11.59	11.46
Whamm	0.0	15.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	9.69	0.0	0.18	0.0	0.0	0.0	4.53	0.0	0.0	26.19	0.0	13.61	13.81	14.76
Yars2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.64	0.42	11.63	0.0	0.0	6.73	0.0	24.93	0.0	1.79	0.0	10.97	0.0	94.4	1.64	75.99	0.0	18.56	23.96	21.14
Zfp663	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.19	0.12	0.16	0.16	0.0	0.11	0.0	0.0	0.0	0.74	0.0	0.09	0.07	0.15
Zfp704	0.03	0.0	0.55	2.32	0.85	0.86	0.31	0.0	1.48	0.6	0.29	1.48	2.45	8.73	4.76	5.44	14.83	10.0	0.23	10.19	16.14	2.86	11.98	0.14	20.21	18.49	20.35
Zfp790	0.0	0.0	0.0	0.0	0.0	0.0	0.43	8.74	19.89	5.78	14.84	6.5	0.12	3.93	40.71	21.28	0.0	0.0	0.0	7.11	0.0	3.75	89.55	2.08	10.41	9.48	9.63
Zmym3	0.0	0.0	0.0	0.0	0.0	0.05	24.37	0.44	19.88	23.87	30.91	0.0	4.6	2.52	6.01	21.03	22.88	19.24	13.85	0.0	46.91	1.07	46.71	57.04	86.55	84.03	87.79
Zswim4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.48	0.0	0.0	0.63	0.0	0.0	3.57	0.25	0.0	0.0	0.0	0.07	0.0	40.02	0.0	10.77	11.62	10.93
c11_tRNA-Ala-GCY_	0.0	0.0	14.66	0.0	16.85	0.0	0.0	45.06	0.0	14.15	0.0	0.0	11.07	0.0	60.82	26.59	118.0	15.41	0.0	0.0	0.0	11.73	120.28	0.0	42.96	20.04	41.13
c7_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.27	0.0	0.0	0.0	0.0	22.57	0.0	0.0	0.0	13.32	0.0	30.31	0.0	0.0	4.59	28.52
mt_AK131586	0.0	3491.17	6370.03	3744.02	4908.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
