	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_73	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Rfc2	4.62	92.74	52.02	2.13	0.0	0.29	0.38	30.42	0.0	0.0	1.24	36.65	0.0	126.18	38.81	0.0	47.67	61.23	64.42	83.5	70.76
Rfwd2	0.0	25.59	0.0	0.0	0.0	2.62	0.0	0.0	0.0	1.66	20.99	53.55	0.0	4.07	7.27	0.0	13.98	6.73	8.88	7.95	9.25
Rsu1	2.21	82.46	0.15	0.0	0.0	0.0	0.0	0.0	0.0	121.45	0.0	4.49	0.64	0.45	57.12	0.0	45.34	70.17	57.39	51.98	33.88
Rxrb	0.0	0.0	0.0	9.5	0.0	0.0	0.0	0.0	0.0	0.0	39.28	0.0	0.0	0.0	0.0	1.62	2.06	14.22	0.64	3.39	6.1
Scap	0.0	16.46	0.1	0.05	0.13	0.1	0.0	0.86	0.57	0.41	0.0	1.5	30.32	0.76	1.02	0.0	4.4	4.61	3.44	5.29	4.17
Slc39a14	0.22	22.12	2.03	0.11	0.34	0.81	0.0	1.39	0.34	0.0	0.1	0.0	1.65	0.0	0.84	0.01	0.55	10.52	1.56	2.43	1.23
Snap25	26182.83	11632.0	24880.43	23752.44	25194.29	21404.94	22198.58	24000.2	24648.02	22891.51	23051.34	22470.57	21096.18	21550.85	22039.64	25542.47	17485.78	16617.11	20846.74	19146.26	18964.09
Spsb1	0.0	34.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	60.67	0.0	26.75	17.17	27.78	23.72	24.39
Tmem97	0.0	554.19	0.08	127.79	0.0	0.0	0.0	158.25	0.3	70.05	0.0	358.03	0.67	106.28	103.79	0.73	52.98	18.67	52.7	67.88	67.97
Ttc35	138.94	704.43	215.44	160.36	16.71	209.85	98.63	434.87	270.98	51.69	112.11	353.76	34.07	102.73	225.03	0.0	268.0	279.96	290.69	268.67	281.72
Ubr4	0.0	37.78	25.02	4.35	0.03	9.85	4.28	5.91	0.0	0.03	1.27	0.13	0.03	3.3	10.22	0.47	7.76	3.72	6.85	4.92	4.99
Wdsub1	0.36	1.36	0.24	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	1.0	0.28	0.61	0.4	0.0	7.26	0.48	6.46	2.98	4.01
Zdhhc13	0.0	12.98	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	5.48	0.0	0.0	2.11	0.0	37.12	19.02	21.76	23.52	35.3
Zfand2b	185.11	89.99	0.0	0.0	0.0	0.0	0.0	0.0	137.27	0.0	137.99	0.0	0.0	0.0	55.75	0.0	39.87	5.08	24.75	49.7	31.21
mt_AK136262	12.47	0.12	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.0	0.0	0.0	210.2	19.33	8.22	0.19	1.6
mt_AK142003	12.47	0.12	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.0	0.0	0.0	210.2	19.33	8.22	0.19	1.6
mt_AK166798	12.47	0.12	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.0	0.0	0.0	210.2	19.33	8.22	0.19	1.6
mt_AK166978	12.47	0.12	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.01	0.0	0.0	0.0	210.2	19.33	8.22	0.19	1.6
