	Ctgf_tdTpositive_cell_3	Htr3a_tdTpositive_cell_85	Pvalb_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fam177a	2.63	6.19	11.07	53.62	17.56	16.4	17.92
Fam53b	0.0	0.0	0.0	23.14	15.85	17.32	18.24
Fam69c	0.0	0.0	0.0	75.96	5.34	4.67	5.94
Fam78a	0.0	0.0	0.0	11.32	4.9	4.91	3.24
Foxb1	0.0	0.0	0.0	0.17	0.0	0.0	0.03
Fscn1	8.65	0.12	0.0	12.17	187.25	206.18	214.83
Galnt12	0.0	0.0	0.0	21.93	1.56	2.27	1.75
Glod5	0.0	0.0	0.0	41.69	0.31	0.58	0.95
Gm10697	0.0	0.0	0.0	0.79	0.0	0.0	0.0
Gm12505	0.0	0.0	0.0	3.82	1.39	1.35	0.91
Gm13306	0.0	2.09	0.0	2.94	30.63	28.29	22.96
Gm15880	0.0	0.03	0.24	4.28	0.33	0.11	0.24
Gm2506	0.0	2.09	0.0	2.94	30.63	28.29	22.96
Gm4925	0.0	0.79	0.0	94.89	0.73	0.81	0.94
Gm5	0.0	0.0	0.0	5.72	1.13	0.85	1.4
Gm5089	0.0	0.0	0.0	0.2	8.42	5.96	6.27
Grid2ip	0.0	0.0	0.0	0.11	2.08	2.29	2.44
Hr	0.0	0.0	0.0	17.99	17.26	19.01	18.77
Ikbke	0.0	0.0	0.0	1.95	1.17	0.98	1.49
Il17rc	0.0	0.0	0.0	2.48	3.88	3.69	3.73
Irf9	0.44	0.18	0.6	75.49	13.97	12.58	10.7
Itgae	0.0	0.0	0.0	20.76	0.18	0.07	0.21
L1td1	0.0	0.0	0.0	3.98	0.03	0.03	0.1
LOC100504608	0.0	0.0	0.0	2.98	0.44	0.42	0.15
Lect2	0.0	0.0	0.0	2.8	0.12	0.0	0.12
Lipe	0.0	0.0	0.0	10.83	7.21	7.22	7.48
Liph	0.04	0.41	0.18	3.66	0.83	0.65	0.82
Loxl3	0.0	0.0	0.0	0.09	3.13	2.57	2.91
Lss	0.31	0.0	0.0	56.8	18.59	20.62	23.66
March9	0.0	0.0	0.0	23.66	19.21	21.04	19.32
Mir100	0.0	0.0	0.0	37.98	0.0	0.0	0.0
Mir331	0.0	0.0	0.0	28.56	16.5	12.43	3.41
Mir5128	0.0	0.0	0.0	50.68	0.0	0.0	0.0
Mmp15	0.0	0.0	0.0	26.56	10.99	11.41	12.38
Mtap7	0.0	0.0	0.0	58.31	75.61	75.06	75.91
Mybl2	0.0	0.0	0.0	0.31	0.8	0.83	1.23
Nfatc3	0.0	0.88	0.0	33.79	5.85	6.49	6.84
Nubpl	0.0	0.0	0.0	156.66	7.33	8.17	7.56
Nwd1	0.17	0.0	0.0	4.84	27.35	24.23	32.18
ORF63	0.0	0.0	0.0	0.45	0.9	0.62	0.93
Olfr658	0.0	0.0	0.0	0.24	0.07	0.06	0.14
Pcdhgb6	0.0	0.0	0.0	40.85	13.85	17.36	13.9
Pcnt	50.8	1.03	0.0	19.21	11.47	12.09	11.23
Piwil2	0.0	0.0	0.12	0.08	0.38	0.56	0.81
Plbd1	0.0	0.0	0.0	1.0	0.45	0.28	0.26
Plxdc1	0.0	0.0	0.0	27.48	26.12	24.12	27.25
Psmb11	0.75	3.63	2.08	35.95	0.88	0.7	0.78
Rel	0.0	0.12	0.0	28.62	2.87	2.12	2.37
Scube1	0.05	1.38	1.4	52.16	30.28	25.93	31.71
Serf2	99.74	64.76	43.62	304.4	69.49	74.11	71.05
Sf1	0.0	0.21	31.29	53.76	79.57	85.84	79.68
Sgsh	0.11	0.0	0.0	59.37	3.9	4.56	4.15
Sh3bgrl	0.35	0.14	0.69	158.74	67.54	60.56	66.8
Sh3bp1	0.0	0.5	0.69	50.04	13.9	14.26	13.38
Shc2	0.6	0.51	0.55	33.1	33.75	38.41	36.5
Shh	0.0	0.0	0.0	23.03	3.29	3.8	3.47
Slco6b1	0.0	0.0	0.0	0.16	0.0	0.0	0.04
Snord88c	0.0	0.0	0.0	58.61	4.14	1.95	6.15
Sox9	0.0	0.07	0.0	9.92	14.41	13.95	17.45
Stk10	0.07	0.35	0.21	13.07	3.99	3.73	4.29
Syt16	0.0	0.0	0.0	60.26	85.97	87.98	83.0
Syvn1	24.49	0.0	0.0	61.58	39.85	39.11	39.72
Taf1c	0.0	0.0	0.0	65.21	8.45	9.88	9.62
Taf6	0.0	0.0	0.0	269.28	34.84	37.39	36.59
Tagap	0.0	0.0	0.0	47.36	1.16	1.01	1.5
Tcp11l1	0.0	0.04	0.0	15.95	12.47	9.5	12.93
Tdpoz5	0.0	0.0	0.0	0.79	0.0	0.0	0.0
Thtpa	0.0	5.08	0.0	136.46	26.32	27.25	27.52
Tmem131	0.0	0.0	21.34	37.55	40.15	38.48	40.92
Tmem2	54.99	0.0	0.1	17.29	7.03	7.19	6.84
Trim11	0.0	0.0	0.0	60.32	24.3	26.66	25.27
Trp53inp1	0.0	0.0	0.0	43.47	7.66	7.36	8.49
Tsc22d4	0.0	0.0	0.0	32.05	42.94	47.98	46.93
Vmn2r-ps159	0.0	0.0	0.0	0.51	0.08	0.0	0.0
Vmn2r120	0.0	0.0	0.0	0.31	0.04	0.13	0.12
Vmn2r86	0.0	0.0	0.0	29.34	0.13	0.13	0.14
Vmn2r89	0.0	0.0	0.0	0.54	0.0	0.04	0.0
Wdr46	0.17	0.0	0.0	26.45	8.6	10.58	10.16
Xaf1	8.59	7.4	9.28	55.93	3.63	2.93	3.52
Zdhhc14	0.0	0.0	0.0	53.06	32.19	31.16	34.7
Zfp579	0.0	0.0	0.0	4.92	13.53	17.28	15.67
Zfp719	0.0	0.0	0.0	122.18	9.39	9.1	8.66
c17_tRNA-Lys-AAG	0.0	0.0	0.0	13.75	7.66	2.61	0.0
c4_tRNA-Ala-GCG	0.0	0.0	0.0	30.02	0.0	0.0	0.0
mt_AK131586	6370.03	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
