	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_77	Gad2_tdTpositive_cell_78	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_74	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_79	Pvalb_tdTpositive_cell_85	Pvalb_tdTpositive_cell_87	Pvalb_tdTpositive_cell_89	PvalbD.Slc32a1_tdTpositive_cell_17	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_26	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Scnn1a.Tg2_tdTnegative_cell_4	Slc17a6_tdTpositive_cell_5	Sst_tdTpositive_cell_19
Bc1	128.02	35.6	0.0	10.9	167.28	64.84	5067.27	2388.01	6820.27	15242.66	13.07	6.11	13.93	45.4	0.0	0.0	6.71	81.42	383.47	1291.71	1952.01	1435.44	1835.78	1100.59	3434.02	3478.09	3293.08	1908.02	1062.9	1247.32	2539.35	32.24	113.98	50.36	54.2	101.98	20.01	20.74	53.5	50.22	73.13	177.81	279.81	55.68	4.33
Bcl10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.22	41.6	0.0	18.15	0.0	0.0	0.0	28.82	0.0	0.51	0.6	0.0	0.93	0.0	0.0	36.68	0.0	54.27	0.0	46.53	27.84	25.9	0.0	0.0	0.0	0.0	2.24	0.0	0.0	0.0	18.46	0.0	0.0	0.0	0.0	0.0	0.0
C030006K11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.2	0.0	1.36	8.96	10.82	5.5	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.12	9.44	0.0	0.0	0.0	0.0
Capzb	0.0	1.42	54.99	146.76	0.0	173.09	23.98	11.29	103.17	99.5	0.93	353.28	615.28	0.0	230.23	288.83	4.69	67.58	0.65	570.32	165.39	446.42	349.87	361.5	528.07	209.97	293.63	309.96	106.55	399.11	677.49	142.85	128.83	84.71	179.11	157.52	119.1	2.03	9.05	64.38	55.19	5.18	0.48	151.35	0.78
Ccdc36	23.28	5.5	0.49	9.42	33.39	8.59	208.47	101.12	270.63	596.68	2.96	1.67	1.44	5.32	1.63	2.38	0.0	4.69	60.1	103.89	160.71	123.54	157.9	94.07	283.0	269.85	264.52	169.81	63.48	57.76	106.17	2.25	4.08	5.06	5.45	4.55	1.75	8.92	2.2	1.84	7.13	27.78	15.8	15.06	2.57
Cdh26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0
Cetn4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.65	0.0	0.0	0.0	61.12	0.75	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.66	0.0	0.0	0.0	0.0	0.0
Cntnap1	0.0	0.0	0.0	0.36	0.0	3.09	0.0	17.78	17.91	2.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	9.6	0.3	29.34	18.03	16.12	53.04	1.82	10.13	9.14	10.73	12.28	33.14	1.85	8.89	23.32	4.45	7.73	28.71	2.05	22.42	0.12	12.63	0.44	0.0	0.0	0.0
Cplx1	0.0	0.0	0.0	0.0	0.0	23.78	2.53	261.62	3.29	203.35	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	4.34	632.95	1434.92	976.46	712.54	1087.57	963.7	1258.21	1255.15	1257.87	1220.38	878.94	910.24	933.24	681.99	252.78	799.74	594.57	419.07	585.33	861.47	458.62	381.23	8.76	0.12	0.4	0.0
D2Wsu81e	0.0	0.0	0.0	30.36	0.0	0.0	0.0	1.63	0.0	114.64	0.0	0.0	0.0	0.0	1.41	0.0	0.32	0.97	1.16	0.0	64.96	70.49	143.68	59.96	193.92	0.0	71.42	53.98	90.93	21.62	49.55	0.0	26.2	70.4	57.47	99.72	0.0	0.0	14.84	64.33	7.67	0.66	35.72	0.0	76.71
Dhrs1	0.0	0.32	0.29	0.0	0.0	0.0	1020.09	0.68	227.56	123.38	492.97	844.38	492.68	0.0	142.44	1.54	390.4	200.03	2.91	303.09	375.7	282.65	308.33	216.49	312.95	338.35	93.68	305.14	165.33	135.71	142.44	141.24	24.09	159.99	200.99	133.56	2.68	48.11	175.3	190.53	112.21	0.0	628.18	0.0	203.96
Dhrs11	0.0	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.0	1.12	41.44	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.6	0.0	0.0	0.0	0.0	0.0
Eno2	1.27	0.59	0.58	220.33	0.88	32.32	1.82	102.05	583.41	19.86	2.64	0.22	0.81	3.45	3.58	0.21	6.58	0.34	10.38	506.81	483.64	586.97	725.25	536.76	486.81	1305.03	191.1	761.02	521.99	732.09	716.99	690.52	265.94	86.31	449.05	169.05	354.81	281.1	163.34	275.4	280.34	204.81	2.63	307.88	40.43
Fancl	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	16.67	0.0	0.0	319.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	33.28	0.0	3.5	0.0	61.24	0.0	52.92	0.0	0.0	0.0	0.0	0.0	6.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gabrb2	0.0	0.0	0.05	0.26	0.0	141.25	0.04	418.6	278.29	64.94	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.12	3.71	576.8	496.97	510.3	420.33	599.36	249.66	419.86	547.08	422.09	527.04	787.76	210.81	445.53	259.38	266.01	367.7	278.64	61.0	122.45	344.98	120.89	187.35	1.96	0.67	24.31	0.04
Galntl4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.33	67.98	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.44	0.82	0.0	0.63	57.81	2.04	51.22	0.4	69.17	14.37	92.55	0.0	0.0	5.93	0.35	18.54	0.0	2.76	21.07	51.87	0.39	73.66	0.07	51.88	8.34	0.1	102.94	0.0
Gart	0.0	0.0	0.0	0.0	0.0	0.0	55.28	1.18	67.71	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	22.33	0.0	14.24	1.23	39.29	0.16	120.82	2.74	0.0	2.61	0.0	0.0	0.0	0.0	0.0	1.59	27.15	0.0	0.0	0.0	0.0	37.89	107.08	35.32	0.0	0.0
Gm10012	0.0	17.37	2.41	0.0	0.0	9.25	15.39	24.14	14.99	10.16	0.0	0.0	10.71	0.0	2.26	0.0	12.41	29.23	0.0	27.44	53.84	29.4	48.82	29.04	42.57	40.39	16.86	19.7	38.1	59.76	11.62	3.4	4.72	2.06	6.23	2.54	4.2	4.5	0.0	1.95	5.51	0.0	3.88	0.0	2.04
Gm14430	0.04	1.53	0.0	73.95	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	3.07	20.8	24.87	7.2	16.3	3.98	54.41	13.12	13.32	5.42	18.55	19.8	6.5	0.0	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	0.0	0.01	0.0	17.88
Gm14434	0.04	1.53	0.0	73.95	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	3.07	20.8	24.87	7.2	16.3	3.98	54.41	13.12	13.32	5.42	18.55	19.8	6.5	0.0	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	0.0	0.01	0.0	17.88
Gm4724	0.04	1.53	0.0	73.95	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	3.07	20.8	24.87	7.2	16.3	3.98	54.41	13.12	13.32	5.42	18.55	19.8	6.5	0.0	0.0	12.07	23.92	6.94	1.15	0.0	0.1	13.98	0.0	0.01	0.0	17.88
Heatr7a	0.0	2.59	0.33	0.82	0.2	49.94	0.96	38.72	23.73	4.79	25.43	52.2	0.0	0.16	0.0	3.23	5.16	3.07	2.45	18.63	38.37	9.63	20.31	42.39	76.02	54.36	3.8	14.96	30.88	26.73	2.2	15.06	5.66	22.86	18.42	18.74	10.0	0.43	23.51	2.89	2.5	0.75	0.1	1.66	0.06
Hp1bp3	0.0	73.65	5.19	153.17	0.0	4.25	0.0	25.81	3.79	3.65	94.65	2.39	4.71	299.42	0.0	0.0	4.47	0.0	127.95	35.35	43.97	41.08	101.35	95.01	116.53	36.25	97.09	128.15	63.65	95.48	84.46	13.86	49.18	0.0	63.39	58.72	0.36	0.82	12.85	0.11	48.04	3.93	0.41	245.49	101.01
Isoc1	0.15	0.0	0.0	0.88	0.0	0.0	0.16	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	222.75	0.0	0.16	0.23	0.79	0.18	0.24	1.37	0.0	0.0	0.2	0.0	1.14	0.0	0.0	0.0	0.31	0.0	0.49	0.25	0.82	0.32	0.46	1.58	0.0	0.0	0.0
Kdm5a	0.16	0.0	0.15	39.52	0.0	10.19	0.05	2.75	16.13	2.39	0.0	0.05	0.0	0.56	0.33	0.0	0.06	0.0	0.19	20.67	4.26	22.09	26.83	50.59	34.7	11.86	35.71	14.43	0.61	10.35	7.97	31.55	14.42	0.19	18.85	3.06	0.16	0.11	16.95	18.63	0.43	0.16	4.01	74.59	38.56
Klhdc9	0.29	0.3	58.57	97.46	0.79	0.38	220.87	1.15	31.29	36.48	1.8	1.83	0.0	0.53	2.14	0.0	147.63	2.63	0.73	7.31	66.92	42.9	0.76	33.98	0.39	100.94	24.06	63.77	36.42	20.53	0.0	8.18	63.23	0.46	19.75	8.06	94.67	1.48	0.0	0.97	1.45	2.77	0.48	144.9	0.4
Klhl31	0.0	0.0	0.0	0.0	0.0	1.09	0.07	0.59	0.15	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.96	0.07	0.0	0.0	0.06	0.0	0.05	0.27	0.12	0.08	0.14	0.11	0.24	0.0	0.0	0.02	0.0	0.0	0.0	0.07	0.0	0.01	0.13	0.0	0.39	0.0	0.1
Lsm4	0.0	0.0	0.0	2.18	0.0	0.0	0.0	13.13	20.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	2.83	4.64	25.36	0.0	0.0	10.46	13.6	0.0	0.0	0.39	1.82	19.91	0.16	73.91	0.19	18.15	0.0	0.28	0.0	0.0
Mef2c	0.0	0.59	0.0	63.27	0.1	163.75	229.7	116.3	677.85	97.15	0.0	0.09	0.0	0.0	0.0	0.0	4.93	0.69	6.99	255.55	358.67	427.82	439.83	160.76	438.73	463.31	603.01	489.39	330.11	346.68	480.99	30.79	208.92	306.9	250.2	198.79	155.21	122.07	176.56	96.03	143.46	114.84	0.51	265.69	0.44
Mpped1	0.0	0.0	0.0	0.3	0.0	13.59	8.01	48.39	89.14	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	6.39	28.84	9.95	102.35	1.13	102.89	154.77	50.68	51.26	7.4	0.22	123.41	0.7	17.22	2.63	15.41	25.89	3.07	29.94	1.5	5.21	16.17	50.0	0.24	231.67	0.19
Ncs1	14.53	0.0	0.0	176.36	0.0	77.27	333.68	93.71	284.51	433.3	0.0	0.0	0.0	131.4	0.0	0.0	3.29	0.0	1.81	867.01	408.77	598.21	495.85	416.55	531.65	565.61	400.7	347.31	601.01	733.29	230.56	112.51	153.6	42.12	224.13	151.43	149.84	1.19	8.73	4.72	38.82	1.76	0.88	8.48	0.31
Ndrg4	0.0	0.0	0.14	335.95	0.0	374.09	0.16	1087.62	995.57	178.67	0.0	0.0	0.0	575.02	0.18	0.0	14.67	1.82	81.28	2539.11	1756.55	3163.5	2990.12	3355.11	2883.56	2900.78	3217.29	3702.79	1300.17	2368.28	2527.09	1469.02	863.63	834.3	1276.41	1425.67	561.54	954.46	1059.58	658.91	774.61	6.51	2.5	413.61	0.21
Necap1	0.0	0.0	0.0	0.0	0.0	122.2	2.84	160.46	229.87	121.67	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.0	4.85	449.22	445.36	473.83	895.33	413.25	354.49	684.55	468.6	983.18	486.72	422.83	359.15	21.37	413.57	91.38	140.95	260.73	71.79	4.0	125.87	78.73	0.43	158.89	0.64	77.64	0.26
Nsf	0.0	0.12	0.0	228.77	0.0	41.23	0.04	305.8	354.52	10.12	0.0	0.0	0.0	0.0	0.0	0.0	3.07	0.23	2.77	479.45	505.03	498.74	394.67	935.45	794.19	724.65	719.84	406.13	662.27	434.6	417.8	508.44	251.77	82.68	257.96	270.08	170.39	207.04	330.95	146.72	554.15	56.02	1.35	419.91	40.49
Nt5m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.29	44.26	50.5	241.34	46.56	51.9	1.0	0.0	49.45	41.77	107.67	129.95	0.36	0.0	48.39	54.18	8.36	0.0	52.03	32.23	17.05	89.11	1.87	0.4	0.0	0.0
Phkg1	61.07	16.98	1.21	2.15	10.95	0.0	5.87	19.1	4.19	3.33	1.88	0.0	0.0	1.28	0.23	2.12	0.0	61.72	61.58	3.59	2.75	2.79	3.73	4.93	4.29	13.18	3.87	4.34	5.77	6.38	7.62	1.05	1.37	0.0	1.02	0.0	0.69	5.44	1.13	3.35	1.3	4.58	1.08	0.0	2.04
Pip4k2c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	2.04	0.0	0.31	36.49	5.46	0.0	0.0	0.14	0.69	0.0	0.0	98.1	1.57	4.22	22.15	0.4	4.64	5.52	24.37	0.12	0.29	0.34	0.0	0.05	0.0	0.0	0.0	5.97	0.0
Pms2	0.0	290.59	0.13	0.0	0.0	0.0	0.0	0.0	46.41	1.66	0.0	0.0	0.0	0.24	0.0	0.0	1.44	17.52	0.32	49.74	52.92	1.86	12.25	0.61	0.0	29.39	8.0	37.24	0.15	0.86	0.0	70.88	6.47	0.87	0.0	0.0	0.49	0.75	0.08	0.21	0.5	0.4	0.0	19.75	0.0
Rab3c	0.17	0.4	0.16	13.3	0.0	35.07	1.4	108.01	48.16	1.03	0.37	0.0	0.0	0.18	0.23	0.0	0.0	0.65	2.26	58.92	65.32	42.75	94.15	79.27	35.78	69.36	130.26	91.59	38.71	41.2	59.25	24.15	26.01	38.68	140.49	77.3	3.94	10.8	21.26	8.89	28.18	17.62	0.57	15.36	0.23
Rab6b	0.0	0.0	0.18	14.23	0.0	22.44	0.0	11.16	92.55	12.09	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.0	0.88	90.64	129.09	223.15	332.44	159.58	124.5	264.84	232.49	141.75	99.82	150.72	209.35	135.76	35.2	23.27	97.1	122.73	22.2	30.6	80.51	38.28	38.55	370.03	0.11	228.87	0.2
Rbfox1	0.0	0.0	0.0	258.57	0.0	11.07	0.05	45.37	102.3	54.3	0.0	0.0	0.0	0.0	0.0	0.0	1.98	0.0	1.28	100.93	120.09	202.09	224.98	68.53	118.14	138.74	262.03	190.84	106.43	53.76	84.71	40.79	64.17	39.11	138.62	74.47	24.76	38.94	183.17	7.89	45.7	7.7	0.44	39.16	0.08
Rpl4	14.39	1374.81	861.91	286.52	0.0	1180.43	181.6	878.58	1552.5	929.94	1469.26	0.0	1163.03	0.0	1021.8	1226.82	630.41	1.91	8.3	1788.96	1057.77	1224.76	1455.45	786.01	893.94	1274.38	1094.45	1169.24	615.26	665.41	966.41	564.66	979.5	733.01	749.12	599.02	256.02	1048.97	562.15	515.21	417.99	318.17	9.74	394.81	793.8
Snx32	18.69	412.17	238.91	407.91	0.0	2.12	0.0	118.9	378.8	2.51	0.31	0.0	0.0	0.0	243.92	324.28	1.07	0.0	31.66	123.51	191.69	254.21	135.1	209.19	123.97	524.48	247.11	166.98	168.77	157.38	224.29	126.21	82.6	73.29	25.7	175.72	32.18	11.75	113.89	11.4	134.38	42.5	0.16	101.07	18.97
Stmn1-rs1	0.0	0.0	0.0	0.0	0.0	4.91	0.0	1.05	1.02	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	2.02	1.01	1.28	6.97	3.44	1.93	7.8	4.13	1.34	0.51	2.28	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.34
Taf11	0.0	0.0	184.87	0.0	0.0	0.0	0.4	56.59	0.26	0.0	0.0	399.08	0.0	0.0	258.1	0.0	0.98	508.25	0.0	81.3	68.73	29.4	129.29	92.58	72.13	132.68	56.8	0.53	40.37	0.0	0.0	16.87	10.03	0.0	36.11	69.91	0.0	0.0	0.65	0.14	78.43	1.0	0.0	0.0	83.29
Traf2	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	313.39	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	41.45	0.0	146.22	22.96	0.21	73.5	12.38	31.45	0.0	0.29	0.0	0.0	0.0	0.61	0.76	0.0	0.06	0.0	0.0	0.0	0.0	0.0
Zfp941	0.1	0.24	0.0	14.84	0.0	0.18	0.0	0.37	91.16	1.06	0.22	0.15	0.0	0.0	0.12	0.0	0.15	0.23	2.15	146.63	36.51	78.44	86.85	41.14	108.39	101.02	49.29	39.76	25.11	56.27	41.38	0.0	15.0	0.12	27.36	75.83	0.26	0.39	0.0	0.09	0.51	0.47	1.14	1.02	0.14
mt_AK131579	34292.23	55662.18	14076.29	29506.79	32274.66	73067.83	55281.42	56311.06	40069.68	94403.3	28675.94	29552.38	28363.88	26979.55	17400.37	27802.8	15132.69	41195.59	50469.69	20113.76	18493.9	19565.16	18729.49	17801.2	16937.37	19597.45	16002.49	24027.15	20457.66	25499.97	19506.68	40349.87	60705.47	56120.42	45312.1	46620.23	59803.41	36756.3	51796.42	39836.88	44271.34	50260.41	22735.44	31236.77	22992.27
mt_AK131583	0.04	244.86	0.0	0.0	0.0	16.5	46.47	66.91	0.25	278.76	6.16	0.0	17.19	26.72	7.0	17.27	0.0	344.85	0.0	37.32	0.0	68.57	122.48	2.26	153.02	0.0	17.28	153.05	0.0	55.33	52.74	41.38	22.42	9.86	26.39	36.11	11.22	8.32	6.63	4.38	27.31	0.0	0.0	0.0	9.1
mt_AK131591	263.5	263.79	20.2	68.11	84.75	70.36	292.07	248.83	264.97	563.74	32.72	11.35	0.0	19.33	17.35	41.62	62.93	0.0	238.8	198.68	195.0	198.97	98.87	206.83	95.98	243.45	214.29	61.59	224.52	187.7	164.51	40.43	52.3	34.56	20.67	31.08	64.88	35.93	23.65	31.08	31.31	18.53	37.19	34.15	40.62
mt_AK138996	8264.97	11219.41	1135.91	1313.6	2921.85	3559.99	8864.81	9953.01	7796.44	17721.28	1982.83	1096.84	1180.22	1820.21	727.61	702.41	1249.91	6999.52	11156.21	2793.67	2556.16	4145.03	3283.74	3417.31	3355.85	3170.63	2693.59	3324.5	4354.2	4541.91	3481.06	1283.4	4597.54	2216.72	3501.86	3358.17	1495.68	1507.91	2091.01	1206.73	1717.45	5353.42	1727.53	2148.21	2526.54
mt_AK141881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.0	3.75	0.0	6.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65	11.4	6.96	0.0	2.91	13.64	3.19	0.0	5.3	0.0	0.0	0.0	0.0	0.0	2.27	3.79	1.78	0.0	0.0	0.0	0.0	11.45	0.0	0.0	0.0
mt_AK142726	0.0	1460.17	0.0	1869.35	125.54	1830.46	323.4	2603.5	2460.93	4648.28	699.73	0.0	455.61	2845.2	506.93	29.37	174.79	369.66	2.47	427.2	751.52	891.31	642.02	469.46	611.42	1069.11	856.18	1215.88	409.11	567.36	543.0	1059.79	3044.08	1364.31	1926.56	1538.55	0.0	1414.43	1103.56	889.41	267.8	641.88	4.35	0.0	129.36
mt_BC008260	6317.46	9011.6	1667.41	763.33	1123.74	6102.45	6912.3	7885.05	6772.85	17184.37	1239.61	762.15	2327.52	397.3	1985.56	200.98	1156.47	2347.33	5883.47	4766.79	4140.85	3623.41	3124.05	3429.71	2812.77	3821.33	2908.35	4127.16	2948.86	3899.88	3594.09	2912.4	4751.16	5552.76	3620.47	2832.91	2147.74	1484.38	7307.06	2562.79	4208.44	862.21	663.76	2148.64	1574.83
