	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dpys	0.0	0.0	0.0	27.92	0.26	0.23	0.3
Efna3	0.0	0.0	0.0	62.74	71.12	76.72	69.78
Elp3	0.0	0.0	0.0	351.15	74.31	73.25	71.01
Fam102b	0.0	0.0	0.0	8.6	29.65	28.06	26.65
Fam129b	0.0	0.0	0.0	2.87	22.71	23.7	21.44
Fbxl8	0.0	0.0	0.0	37.27	1.1	1.43	1.67
Fgf5	0.0	0.0	0.06	16.28	2.9	3.15	2.24
Gen1	0.0	0.0	0.0	6.06	0.96	0.85	1.18
Glyctk	0.0	0.0	0.0	48.87	3.95	4.7	4.28
Gm14092	0.0	0.0	0.0	12.24	0.05	0.05	0.11
Gm15663	0.1	0.0	8.02	63.96	8.46	8.44	9.06
Gm19583	0.0	0.0	0.0	0.25	0.0	0.0	0.08
Gm5126	0.0	0.0	0.0	99.87	3.09	3.34	4.04
Hhat	0.0	0.0	0.0	50.89	0.52	0.79	0.72
Hmg20b	0.0	0.0	0.0	4.94	18.62	23.12	22.34
Hr	0.0	0.0	0.0	88.64	17.26	19.01	18.77
Hyi	0.0	0.0	0.0	79.43	13.37	11.03	13.15
Inf2	0.0	0.0	0.0	56.63	111.53	108.63	119.77
Inhbe	0.0	0.0	0.0	136.21	0.32	0.09	0.34
Krt222	0.0	0.0	0.39	116.62	40.86	39.11	42.06
Ldhal6b	0.0	0.0	0.0	129.26	0.97	0.85	1.14
Lrp11	0.0	0.0	0.0	129.8	152.32	157.73	150.59
Lrrc3	1.58	0.0	1.1	32.57	9.65	8.87	9.62
Lsm14b	0.0	0.0	0.0	30.77	66.75	73.07	69.63
Ltk	0.0	0.0	0.0	313.22	29.14	26.59	29.49
Lyve1	0.0	0.0	0.0	118.16	1.23	1.07	0.98
Mical1	0.0	0.0	0.0	129.24	6.65	7.71	8.3
Mitf	0.0	0.0	0.0	29.67	4.09	4.02	5.0
Mup6	0.0	0.0	0.0	1.35	0.0	0.0	0.0
Ncoa2	0.0	0.0	0.0	90.36	41.1	39.57	43.52
Ndfip2	0.0	119.62	0.0	182.71	136.28	128.92	133.72
Ndst3	0.05	0.0	0.51	86.81	16.74	14.36	16.62
Odf2l	0.0	0.0	0.0	114.08	12.72	10.58	11.83
Paox	0.0	0.0	0.0	2.52	6.53	7.07	8.04
Pcdhb12	0.0	0.0	0.0	147.71	6.98	10.23	7.24
Pctp	0.0	0.0	0.2	0.33	1.93	1.26	1.92
Pfn4	0.0	0.0	0.0	125.43	11.07	9.61	10.85
Phactr4	0.09	0.0	0.0	0.29	5.79	5.68	5.96
Phf7	0.0	0.0	0.0	148.24	4.7	4.52	4.8
Phka2	0.0	0.0	0.0	128.2	24.76	22.38	24.93
Plekha2	0.0	0.0	0.07	108.08	10.11	12.65	12.77
Pmel	0.0	0.0	0.0	0.12	0.24	0.68	0.3
Ptger2	0.0	0.0	0.0	12.73	0.18	0.22	0.13
Ptger3	0.0	0.0	0.0	0.33	2.95	3.19	2.64
Rfx5	0.0	0.0	0.0	6.39	15.59	15.61	15.95
Rora	0.0	0.0	0.0	89.67	15.2	13.12	17.62
Rps6ka6	0.0	0.0	0.0	109.12	3.62	2.94	3.43
Scnn1g	0.0	0.0	0.0	197.59	0.2	0.03	0.14
Slamf7	0.0	0.0	0.0	0.22	0.1	0.03	0.09
Slc14a1	0.0	0.0	0.0	0.09	7.37	6.61	7.2
Slc6a11	0.0	0.0	0.0	1.38	91.39	91.42	98.55
Slit1	0.0	0.0	0.0	13.65	38.98	41.29	42.41
Snord73a	0.0	0.0	0.0	27.96	3.14	0.0	0.0
Sp1	0.0	0.0	0.0	82.18	12.62	10.74	11.9
Srl	0.0	0.0	0.0	128.09	4.49	4.4	4.45
Tdrd3	0.0	0.0	0.0	158.09	15.21	14.46	16.58
Tes	0.0	0.0	0.0	18.17	2.43	2.1	2.34
Tigd5	0.0	0.0	0.0	0.07	3.39	3.21	3.18
Tmc7	0.0	0.0	0.0	148.48	10.75	10.23	11.23
Tmem64	2.62	0.0	0.0	106.37	37.43	37.22	33.63
Tmprss9	0.0	0.0	0.0	17.39	0.63	0.48	0.79
Tnpo3	0.0	0.0	0.0	299.58	55.85	53.29	53.11
Twsg1	0.0	0.0	0.0	16.65	23.23	22.45	20.6
Txnl4b	0.0	0.0	0.0	317.17	17.95	20.17	18.28
Vps13c	0.0	1.32	0.0	37.3	25.02	19.73	26.55
Vps37b	0.0	0.0	0.0	1.33	39.01	44.26	36.05
Wdr24	0.0	0.0	0.0	184.6	19.69	21.56	21.33
Zfp385b	0.0	0.0	0.0	88.24	31.54	34.48	30.93
Zfp629	0.0	0.0	0.0	107.9	14.2	15.14	14.18
Zfp641	0.0	0.0	0.0	9.64	10.49	9.0	10.28
Zfp91	0.0	0.0	0.0	68.94	72.51	70.41	73.83
Zfp935	5.09	3.69	27.56	229.97	8.74	6.33	9.34
Zfyve16	0.0	0.0	0.0	60.56	11.29	8.88	10.23
Zw10	0.0	0.0	0.0	172.34	15.63	16.67	18.33
c11_tRNA-Val-GTG	0.0	0.0	0.0	54.57	0.54	0.0	0.0
c1_SSU-rRNA_Hsa	0.0	0.0	0.0	6.38	3.26	0.0	0.73
mt_AK131586	6370.03	0.0	4908.34	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
