	Ctgf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cobll1	0.0	0.57	0.0	167.5	0.0	0.0	0.0	0.0	0.0	298.91	64.36	0.0	0.0	0.0	0.42	6.43	5.45	7.2
D17Wsu92e	0.0	0.0	0.41	0.0	2.34	0.0	0.0	23.45	0.0	247.49	0.0	158.86	0.0	0.0	34.11	187.3	186.34	191.37
Derl1	0.0	0.0	0.0	2.1	6.98	0.3	0.08	0.0	0.0	49.0	0.0	0.0	0.0	0.0	11.01	49.5	53.94	49.46
Dll1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.32	0.0	0.0	0.0	6.19	0.0	5.04	5.08	4.75
Dync1li2	0.86	0.0	0.11	166.69	27.15	168.01	6.3	0.09	249.16	645.02	0.0	5.62	0.55	83.1	44.35	163.9	162.52	165.81
Eif2s2	12.26	0.0	38.13	3.36	235.66	45.47	30.35	0.0	11.72	329.35	47.35	0.0	20.19	6.72	152.15	59.47	54.4	53.45
Eps15l1	0.0	0.0	0.16	0.0	20.2	0.0	1.13	0.68	0.0	191.01	0.0	3.67	0.0	0.0	21.23	45.7	46.39	48.21
Far1	0.0	0.0	216.08	0.0	59.74	0.06	0.12	29.35	0.0	524.63	2.15	70.82	160.32	463.25	124.47	73.89	61.02	70.77
Fgf10	0.0	0.0	0.27	0.27	15.35	0.21	0.0	0.0	0.24	1.64	0.43	0.0	0.14	0.0	23.17	5.22	4.31	4.77
Ganc	0.0	0.0	0.0	36.89	3.89	0.0	0.0	12.12	0.0	71.49	0.0	0.0	0.0	0.0	3.03	6.25	4.81	5.11
Gdpd1	0.0	0.0	0.2	187.17	60.59	0.0	0.29	0.0	0.0	588.18	0.0	241.21	0.0	0.0	118.24	41.96	42.04	41.92
Impg1	0.0	0.0	0.0	0.17	0.0	0.07	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.1	0.66	0.6	0.53
Itih3	0.0	0.0	0.0	36.12	0.0	106.93	0.17	0.0	0.0	390.17	0.0	59.48	0.0	22.28	1.72	15.68	14.37	13.26
Jun	50.36	7.35	0.0	0.0	1.86	31.44	27.34	0.0	0.0	66.16	3.94	0.0	0.32	18.96	2.39	53.49	56.93	45.35
Klf6	0.0	0.0	0.35	0.57	23.53	0.5	1.57	8.52	0.59	220.14	0.0	2.25	180.12	0.42	34.13	28.99	28.87	33.09
Leprotl1	0.0	0.0	0.0	310.14	38.21	0.28	250.05	0.0	0.0	336.95	0.2	0.0	0.0	0.0	47.07	72.1	74.01	65.1
Mapre1	1.25	0.32	0.62	4.05	12.54	209.77	67.52	0.36	89.78	291.07	0.15	0.22	0.49	276.58	59.6	36.83	35.6	35.07
Mboat2	0.0	0.0	0.18	0.0	0.28	0.0	0.0	0.0	0.0	83.37	0.0	0.0	0.0	0.0	4.24	27.87	24.97	28.18
Med27	0.0	0.0	0.41	0.0	67.3	63.03	0.0	0.0	0.0	698.15	0.0	0.0	0.0	0.0	59.63	30.95	33.61	33.21
Ms4a15	0.0	0.0	0.0	1.24	0.15	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.59	1.46	1.14
Myo18a	0.0	0.0	0.0	85.71	5.7	0.0	1.15	0.0	0.0	56.58	0.07	0.0	0.0	3.37	4.08	73.68	77.26	81.45
Nudt4	0.0	0.0	61.31	31.87	53.2	239.84	7.61	0.0	0.0	808.7	0.0	0.0	634.59	12.2	34.06	143.72	140.46	131.02
Pcm1	0.06	0.0	0.0	0.5	26.9	0.0	0.25	0.05	0.0	44.56	0.0	0.0	0.0	0.0	15.48	35.87	28.05	34.56
Pdcd2	0.0	0.0	0.0	0.0	11.21	0.22	0.0	0.0	0.0	29.49	0.0	0.0	0.0	0.66	7.36	18.85	20.59	19.58
Pdxdc1	8.88	1.21	3.51	11.0	50.56	2.63	137.52	1.1	0.76	532.74	1.65	0.99	0.37	0.67	39.54	77.77	73.56	80.44
Plod1	0.0	0.0	0.3	204.02	0.0	0.0	0.34	0.4	0.0	483.91	0.0	55.83	0.0	0.0	1.92	13.37	15.04	14.97
Plxdc2	5.55	0.0	0.0	240.24	5.07	0.0	0.07	0.4	158.96	327.22	0.0	0.0	0.0	0.0	1.3	21.14	17.63	22.23
Ppp2r5d	0.0	0.0	0.0	0.21	9.35	18.05	0.08	0.0	0.0	131.29	0.0	0.0	0.0	0.0	12.77	86.86	87.92	85.01
Ptgds	28637.16	1.23	48907.82	54843.26	0.0	56522.07	60719.49	32699.18	40932.13	10931.66	47873.29	40457.23	55284.07	53160.05	295.67	1497.69	1644.65	1231.28
Rbbp9	0.0	0.0	0.0	908.7	33.18	0.55	0.66	0.2	0.0	752.37	599.36	180.18	0.0	0.17	90.06	29.94	29.89	28.54
Rcan1	0.0	0.0	0.0	0.0	5.82	0.0	0.0	0.0	0.0	58.25	0.0	0.0	0.0	0.0	10.51	52.65	55.31	52.84
Rgs17	0.13	0.0	0.0	0.07	37.44	0.22	0.18	0.05	0.08	64.24	0.0	0.0	0.0	0.04	41.36	26.78	21.28	29.91
Sestd1	0.0	0.0	0.0	0.07	11.28	0.0	0.0	0.0	0.21	171.15	0.0	0.0	0.0	0.0	8.31	28.93	24.58	29.0
Smtnl2	0.84	0.18	0.0	0.3	1.43	1.01	0.65	0.83	0.72	6.16	0.49	0.86	0.0	0.0	0.8	1.9	1.48	1.85
Srsf6	0.0	0.0	0.14	0.0	23.4	0.07	0.07	0.48	15.27	216.93	0.0	0.0	0.0	11.81	13.25	78.5	82.94	77.17
Stat5a	0.0	0.0	0.0	22.77	0.0	0.0	0.0	0.0	0.0	53.76	0.0	0.0	0.0	0.0	0.0	0.96	0.83	1.11
Thoc5	0.0	0.0	0.0	604.04	6.17	0.11	0.43	0.39	0.0	370.23	0.0	0.0	0.0	0.0	53.55	33.57	32.99	32.59
Thrap3	0.0	0.0	0.0	276.31	16.0	0.16	128.42	0.1	0.0	323.11	262.41	8.49	0.0	13.08	31.05	80.29	76.35	78.28
Tnpo2	0.0	0.0	0.0	32.27	7.23	0.0	3.14	0.0	0.0	17.8	0.0	0.0	0.0	0.0	4.6	98.65	98.42	99.6
Unc50	0.0	0.0	0.0	317.42	52.39	219.64	0.86	1.56	0.0	1124.2	0.0	0.0	0.0	0.0	37.9	55.07	53.88	52.06
Usp28	0.0	0.0	0.0	0.14	14.25	0.0	0.11	0.0	0.0	203.65	0.0	0.0	0.0	0.0	7.51	23.75	22.79	22.92
Utp14b	0.0	0.0	0.0	91.29	2.71	0.06	0.0	0.0	0.0	265.63	0.0	0.0	112.54	0.0	1.59	6.72	6.08	5.97
Vegfa	0.0	0.0	0.19	0.0	7.92	0.0	0.78	0.16	0.24	12.27	0.0	0.19	0.09	0.0	1.23	54.52	54.42	57.76
Vps37a	0.08	0.0	0.0	0.83	22.26	27.41	0.49	0.0	0.15	140.3	1.3	0.09	0.0	54.91	15.36	28.69	23.86	27.71
Xpa	0.0	0.0	0.0	0.0	5.64	0.0	0.0	0.0	0.0	119.14	0.0	0.0	0.0	0.0	1.52	9.76	12.19	10.62
Zdhhc9	0.0	0.08	0.0	0.0	10.53	25.28	0.58	0.0	0.22	34.34	8.56	0.0	0.17	0.0	2.68	47.74	47.8	47.1
Zfp704	0.08	0.04	0.24	10.61	3.82	21.74	0.41	1.09	0.44	110.43	0.11	0.0	1.25	0.09	4.15	20.21	18.49	20.35
Zswim3	0.0	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	6.46	9.91	9.01	7.09
mt_AK142726	48.41	0.0	0.0	0.0	481.29	2.08	0.0	0.0	443.84	1186.58	309.42	177.14	336.46	533.92	629.98	1437.91	1307.64	1430.14
