	Ntsr1_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_16	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm10591	3.12	0.0	0.0	0.0	2.51	1.59	0.0
Gm13304	3.12	0.0	0.0	0.0	2.51	1.59	0.0
Gm13446	123.92	0.0	0.0	0.0	6.48	6.49	6.16
Gm13752	0.13	0.0	0.0	0.0	0.0	0.0	0.0
Gm14430	2.07	0.0	0.41	0.0	7.67	5.07	7.49
Gm14434	2.07	0.0	0.41	0.0	7.67	5.07	7.49
Gm16677	80.51	0.0	0.0	0.0	1.01	1.14	0.42
Gm2002	0.29	0.0	0.0	0.36	1.73	1.86	1.4
Gm4724	2.07	0.0	0.41	0.0	7.67	5.07	7.49
Gm5460	1.87	0.0	0.0	0.15	0.67	0.73	0.76
Hivep3	19.26	0.0	0.0	2.06	18.82	17.25	20.23
Hmg20b	42.82	0.0	0.0	0.0	18.62	23.12	22.34
Hs3st1	114.67	0.0	0.0	0.0	31.66	35.44	40.42
Hsd17b11	99.43	0.0	0.0	0.0	44.69	45.82	43.89
Id1	51.78	0.0	0.0	0.0	23.73	21.08	22.42
Il11ra2	0.29	0.0	0.0	0.36	1.73	1.86	1.4
Kcnh3	32.68	0.0	0.0	0.17	113.3	118.14	114.28
Lss	71.28	0.0	0.0	0.0	18.59	20.62	23.66
Mapkbp1	41.01	0.0	0.0	0.04	28.61	27.57	30.3
Mir1982	23.45	0.0	0.0	0.0	7.89	2.63	15.72
Mx1	2.17	0.0	0.0	0.11	0.71	0.85	0.98
Ndrg2	131.62	0.0	0.0	0.0	595.83	576.31	614.39
Necap2	61.78	0.56	0.0	0.0	28.46	31.06	28.35
Nespas	13.67	0.0	0.0	0.0	0.13	0.0	0.09
Nr4a2	171.8	0.0	0.47	0.5	51.72	44.29	35.3
Nsun7	13.19	0.0	0.0	3.7	5.6	4.81	6.03
Oit1	0.18	0.0	0.0	0.0	0.0	0.0	0.08
Pank1	45.21	0.0	0.0	12.34	18.07	16.15	16.9
Pde11a	0.08	0.0	0.0	0.0	2.42	2.51	2.82
Pde3b	38.75	0.0	1.13	0.0	7.08	5.78	6.78
Pip5kl1	130.04	0.0	0.0	0.0	6.3	7.47	7.97
Plekha2	70.62	0.21	0.24	6.88	10.11	12.65	12.77
Plekhj1	95.75	0.0	0.0	0.45	34.62	38.98	35.57
Plekho1	122.38	0.0	0.0	17.61	52.38	54.88	52.69
Pofut1	24.69	0.71	0.41	0.72	12.9	12.57	13.66
Prss23	224.04	0.0	0.0	0.0	12.42	14.43	14.27
Psme1	384.53	0.0	0.0	0.0	55.5	58.92	53.34
Pth1r	145.98	0.0	0.0	0.0	5.39	6.19	5.62
R74862	37.75	0.0	0.0	0.0	5.8	6.2	4.9
Robo3	25.31	0.0	0.0	0.0	18.16	17.81	25.42
Sertad2	33.68	0.0	0.0	0.0	15.77	15.71	15.34
Sertad3	297.23	0.0	0.0	0.0	3.75	2.71	3.38
Sfxn4	202.75	9.08	6.71	1.58	12.86	12.11	10.46
Sirt6	126.49	0.0	0.0	0.0	20.52	21.31	21.52
Snord116	13.32	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l1	13.32	0.0	0.0	0.0	1.22	1.15	1.9
Snord116l2	13.32	0.0	0.0	0.0	1.22	1.15	1.9
Spna1	0.01	0.0	0.0	0.0	0.0	0.01	0.04
St18	0.75	0.0	0.0	0.02	4.21	4.03	4.76
Stoml1	103.24	0.0	0.0	0.0	70.29	76.45	67.01
Tbc1d4	1.77	0.0	1.37	0.0	5.17	5.33	4.82
Tcea2	152.91	0.0	0.0	0.0	48.87	51.26	50.92
Thy1	249.91	0.0	0.0	50.4	659.66	677.75	653.67
Tnfsf13	0.1	0.0	0.0	0.0	4.11	4.29	4.72
Ttll11	108.73	0.0	0.0	0.0	33.44	32.55	33.62
Ulk4	45.71	0.0	0.0	0.15	3.73	3.86	4.42
Unc93a	0.26	0.0	0.0	0.0	0.01	0.0	0.0
Vax2os2	0.19	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r33	0.02	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r38	0.02	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r97	0.08	0.0	0.0	0.0	0.0	0.0	0.0
Wnt1	20.23	0.0	0.0	0.0	0.75	0.82	0.99
Xkr9	38.74	0.0	0.0	0.0	0.0	0.05	0.05
Zfp593	63.1	0.0	0.0	3.41	9.79	12.81	10.99
Zfpm1	3.99	0.0	0.0	0.0	20.08	22.49	24.12
c14_tRNA-Val-GTG	15.98	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	0.0	2006.54	126.64	1075.62	25813.35	24091.17	24561.45
mt_AK131592	464.68	0.0	0.0	202.92	516.38	499.49	494.56
mt_AK166684	2.91	0.0	0.0	0.0	18796.57	17507.83	18655.33
