	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_77	Cux2_tdTpositive_cell_124	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_13	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_72	Rbp4_tdTpositive_cell_78	Rbp4_tdTpositive_cell_140	Rbp4_tdTpositive_cell_178	Scnn1a.Tg3_tdTpositive_cell_108	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30
Pot1b	16.3	8.85	16.03	7.5	0.92	9.86	47.28	5.98	4.44	56.65	16.38	21.58	23.38	20.68	39.05	116.95	32.0	47.8	18.81	21.07	0.0	10.99	9.86	11.01	8.12	5.35	14.48	3.71	10.76	12.9	23.81	13.12	14.81	21.67	22.46	12.42	11.77	14.36	10.88	18.78	13.45	8.41	23.71	7.19	18.83	8.53	11.24	13.73	12.04	11.12	9.7	15.95	95.89	32.63	59.45	55.89	61.01	78.76	83.34	0.1	10.06	10.23	30.81	9.09	10.29	13.37	5.27	3.95	20.74	98.18
Prnp	163.42	240.32	216.54	229.41	139.08	179.21	817.0	725.03	7.66	54.33	519.78	352.32	300.59	424.68	74.84	517.74	95.55	519.78	261.16	243.86	0.0	85.44	209.5	60.36	61.03	112.0	94.0	264.3	130.97	124.45	168.64	183.01	171.17	116.49	208.89	127.91	37.53	78.2	62.39	201.41	55.93	188.81	109.18	37.8	154.37	115.55	39.88	49.59	148.99	209.01	188.99	117.59	662.38	360.65	285.39	431.76	687.28	491.31	832.8	0.16	245.1	228.53	400.45	61.8	303.36	352.82	260.81	107.31	174.89	731.98
Rasgrf1	0.0	519.52	0.0	0.18	242.62	249.21	202.27	0.0	0.06	819.25	296.81	183.1	155.54	501.49	353.0	1131.73	201.02	263.81	154.92	538.61	0.0	0.12	0.17	0.15	216.62	0.17	67.02	0.19	0.16	221.62	0.0	16.55	0.0	27.45	69.43	134.54	0.07	186.2	0.21	0.15	275.14	0.0	574.82	18.72	321.08	0.0	0.0	0.21	126.84	0.18	367.76	280.86	329.67	380.77	670.98	267.56	257.53	302.09	136.21	0.0	0.0	130.97	129.32	0.07	0.0	489.96	0.04	53.8	0.06	0.33
Scin	0.73	0.14	0.0	0.0	0.0	0.13	1.96	0.0	0.09	1.46	0.29	0.26	0.07	1.58	0.0	2.62	0.0	1.27	0.69	0.46	0.0	0.62	0.27	0.13	0.09	0.12	0.53	0.0	0.27	0.0	0.23	0.25	0.58	0.3	0.0	0.12	0.0	0.1	0.54	0.09	0.08	0.08	0.4	0.08	0.11	0.45	0.12	0.11	0.63	0.18	0.28	0.0	4.67	0.49	0.58	1.62	0.29	0.98	2.62	0.0	0.06	0.36	0.58	0.28	0.2	1.25	0.28	0.32	0.23	1.87
Sh2d4a	0.39	1.2	2.5	0.16	0.78	0.55	3.3	0.0	0.0	5.51	2.21	2.31	2.48	1.87	4.94	9.74	0.16	1.35	1.7	2.74	0.0	0.37	0.95	1.45	1.25	0.56	0.6	0.46	1.1	0.44	1.53	1.58	1.58	1.19	0.75	1.02	0.45	0.42	0.63	1.32	1.0	0.37	2.17	1.22	3.82	0.27	0.79	0.62	1.81	0.22	0.48	1.24	5.91	2.54	1.66	3.63	3.74	8.49	5.54	0.39	0.62	1.04	1.31	1.39	0.4	1.6	0.54	0.33	0.51	2.26
Shisa3	0.34	0.43	0.22	0.06	0.0	0.16	0.57	0.0	0.0	0.88	0.19	0.3	0.4	0.0	0.17	1.05	0.0	0.19	0.72	0.2	0.0	0.15	0.5	0.15	0.52	0.24	0.19	0.1	0.3	0.13	0.13	0.18	0.0	0.0	0.16	0.0	0.15	0.07	0.38	0.1	0.06	0.38	0.34	0.21	0.13	0.06	0.18	0.01	0.15	0.24	0.21	0.13	121.74	0.66	0.44	4.73	0.4	2.65	0.94	0.0	0.15	0.0	0.0	0.39	0.0	0.13	0.2	0.0	0.04	0.37
Six4	0.0	0.41	0.11	0.06	0.07	0.05	0.88	0.0	0.0	0.72	0.25	0.2	0.13	0.21	0.24	1.15	0.45	0.39	0.27	0.18	0.0	0.15	0.13	0.11	0.1	0.06	0.42	0.2	0.02	0.22	0.06	0.0	0.0	0.15	0.11	0.12	0.16	0.17	0.15	0.11	0.25	0.04	0.0	0.09	0.1	0.18	0.15	0.1	0.1	0.0	0.16	0.29	118.36	0.25	0.22	0.66	0.39	0.62	0.52	0.0	0.0	0.15	0.3	0.0	0.08	0.54	0.1	0.06	0.07	0.25
Slc15a1	0.81	0.38	1.1	0.11	0.38	0.8	1.19	0.0	0.0	1.68	1.06	1.23	0.51	1.4	2.4	4.1	1.08	1.45	0.27	2.14	0.0	0.7	0.52	0.29	0.76	0.29	1.26	0.34	0.5	0.35	0.67	0.48	0.63	0.47	0.59	0.58	0.78	0.48	0.53	0.21	0.47	0.36	0.88	1.01	0.86	0.43	0.38	0.58	0.39	0.44	0.36	1.28	5.3	1.22	1.48	2.35	1.66	3.8	1.53	0.0	0.45	0.28	0.77	0.59	0.16	1.1	0.45	0.43	0.41	2.26
Slc25a42	7.82	11.63	9.26	6.12	0.57	10.18	49.21	0.0	1.49	29.59	9.45	8.59	13.67	14.77	13.28	47.68	16.79	14.97	19.99	19.35	2.36	5.01	5.67	6.16	6.81	3.58	11.84	4.78	5.03	6.34	11.12	10.18	11.72	7.98	7.79	8.11	9.08	18.47	15.45	6.35	35.75	5.58	10.11	9.63	38.64	13.67	7.19	7.34	6.38	4.53	7.97	11.27	104.99	20.2	25.17	16.56	25.32	26.18	92.5	1.25	20.61	6.86	21.62	7.37	19.03	13.95	5.95	4.63	5.26	18.79
Slc7a6os	7.69	7.29	1.83	0.81	0.0	15.78	133.87	0.0	0.0	49.14	2.72	0.42	0.0	0.34	2.09	49.33	0.0	0.0	8.73	0.0	0.0	12.55	3.18	0.84	4.54	0.0	0.0	1.71	2.0	0.0	2.69	3.86	5.17	12.97	0.0	0.0	0.0	0.0	1.76	1.08	0.96	0.0	1.89	0.0	0.0	1.11	3.52	0.0	2.37	0.0	1.7	1.65	182.15	31.71	48.71	89.93	1.11	4.81	18.3	0.0	0.0	1.07	0.0	0.0	0.59	0.0	11.11	0.0	0.0	0.0
Sorl1	24.51	11.2	16.66	39.2	0.0	19.36	45.87	0.0	0.0	338.56	39.7	41.07	7.64	18.51	52.17	163.5	54.88	175.93	26.29	0.64	0.0	0.24	23.82	35.95	2.65	26.03	0.02	0.03	0.06	6.04	28.36	13.49	0.11	19.3	3.05	29.78	13.97	3.43	2.99	15.42	1.98	6.07	23.37	0.0	24.29	33.82	8.97	20.78	6.0	20.85	8.1	19.27	53.52	70.3	224.19	76.91	26.56	63.94	23.01	0.0	0.0	0.03	0.24	26.02	18.02	29.42	50.47	50.91	42.56	15.79
Trim32	52.57	276.0	55.14	53.91	61.26	266.94	330.54	0.0	112.24	609.69	197.02	126.65	161.74	207.8	307.05	375.71	108.25	90.8	0.31	438.92	0.0	23.24	68.4	133.29	16.99	80.47	97.53	192.59	94.47	113.86	258.99	79.5	34.52	37.87	123.48	206.71	161.99	2.02	57.24	70.68	129.23	70.43	161.82	167.93	53.56	151.19	8.56	82.03	258.79	65.42	26.09	67.26	268.73	269.03	16.23	122.0	205.41	382.07	189.36	0.0	45.8	60.65	105.06	128.33	127.14	137.07	13.4	48.93	77.88	205.83
Ucn2	0.57	0.38	2.06	0.0	0.41	0.28	2.25	0.0	0.0	2.77	1.28	1.51	0.0	0.53	0.65	2.34	0.0	0.59	0.67	0.85	0.0	0.35	0.0	0.65	0.0	0.51	1.24	0.11	0.68	0.72	0.0	0.32	0.0	0.47	1.21	0.99	0.0	0.26	0.0	0.0	0.0	0.0	0.98	0.0	0.81	0.0	0.58	0.58	0.0	0.0	0.24	0.59	6.6	2.19	2.74	1.46	2.4	3.35	1.46	0.0	0.0	0.96	1.74	0.31	0.44	0.0	0.0	0.0	0.09	0.0
Usp34	16.57	20.63	47.8	0.38	0.0	15.59	125.36	0.0	0.0	163.52	1.82	5.12	7.43	81.23	56.31	111.63	81.24	12.58	40.48	16.3	0.0	24.63	21.82	19.53	22.87	2.82	3.4	17.4	27.92	16.07	6.76	17.13	17.25	15.27	30.96	11.75	42.36	14.63	11.22	13.34	10.31	8.44	3.52	30.47	23.3	5.47	16.13	13.31	8.47	20.23	1.37	13.72	42.17	11.58	49.37	36.38	1.09	37.18	40.59	0.0	12.98	9.3	4.86	25.39	22.8	8.66	15.71	19.71	15.46	6.2
Veph1	3.03	8.76	3.28	2.22	1.0	4.68	13.81	0.22	0.0	19.86	3.59	13.41	5.95	9.03	16.88	36.16	7.73	4.15	5.51	10.97	0.0	2.9	1.84	3.4	2.5	2.17	2.5	2.17	3.32	2.45	4.83	2.7	3.69	4.26	4.81	1.95	2.22	0.85	5.7	1.85	2.48	1.22	5.01	1.79	5.79	2.78	2.57	3.95	3.66	2.33	6.13	3.69	12.77	8.93	7.05	10.06	9.99	12.12	19.6	0.14	1.88	2.49	4.7	5.18	4.31	8.51	2.0	0.87	1.07	3.7
Vmn2r55	2.72	0.77	2.46	0.45	0.17	0.23	5.77	0.0	0.0	2.78	1.36	2.14	1.31	1.1	1.5	1.24	2.3	2.44	1.64	2.79	0.0	0.64	1.45	1.42	0.98	1.05	1.58	0.29	1.44	1.04	1.84	0.97	1.0	0.72	1.11	1.21	0.96	0.32	0.63	0.82	1.0	0.76	0.83	1.11	0.76	0.27	0.28	1.16	1.08	0.73	1.4	0.84	9.3	2.92	2.18	6.62	5.02	9.45	5.55	0.3	0.38	0.17	1.8	0.65	0.28	1.65	0.86	0.52	0.17	3.45
Xpo1	48.09	4.38	55.64	0.03	7.03	12.88	143.71	0.0	0.0	417.15	58.32	0.19	10.55	191.24	141.99	526.35	45.71	66.78	0.0	57.59	0.0	30.14	45.67	10.44	36.47	124.59	53.31	40.21	34.07	91.23	0.57	54.71	75.34	75.48	87.66	65.1	32.26	25.99	10.27	39.47	7.07	4.89	0.06	7.22	125.8	24.72	0.06	67.13	85.46	33.1	55.13	35.32	2.62	57.14	12.27	122.95	354.13	82.41	162.39	0.28	31.34	55.2	26.73	57.53	39.41	94.39	12.61	2.02	0.0	33.22
c5_tRNA-Cys-TGY	23.44	32.31	36.56	22.61	0.0	0.0	187.33	0.0	0.0	109.08	27.74	15.07	0.0	30.35	0.0	178.74	33.1	0.0	13.08	0.0	0.0	5.9	37.95	16.92	6.63	21.83	11.09	38.88	8.29	0.0	0.0	0.0	14.06	14.62	29.07	23.64	11.06	0.0	0.0	28.86	20.28	52.18	0.0	0.0	3.24	14.04	13.7	0.0	9.92	4.82	0.0	16.89	42.66	42.93	20.84	21.7	44.49	151.98	71.27	0.0	9.78	0.0	0.0	9.75	9.88	25.72	13.74	0.0	6.5	0.0
