	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_64	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_144	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_168	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_6	Rorb_tdTpositive_cell_9	Rorb_tdTpositive_cell_12	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_21	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_52	Rorb_tdTpositive_cell_53	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_12	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aak1	49.73	0.03	0.0	0.05	41.27	0.07	0.0	0.0	0.05	48.83	44.09	30.36	23.85	8.17	18.53	12.58	6.06	20.14	14.63	22.56	4.68	19.32	0.05	17.8	18.3	11.31	11.74	0.21	3.6	0.0	0.19	0.1	0.05	7.99	3.37	22.7	46.7	14.59	58.08	8.74	0.01	16.7	19.92	6.54	4.09	2.39	5.13	29.44	40.3	17.41	25.47	6.77	42.67	0.0	77.03	72.23	78.8
Abcb10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45	0.0	0.0	0.0	0.0	0.0	0.08	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	16.53	18.62	18.24
Adap1	0.0	0.0	0.0	6.23	0.0	0.0	0.0	0.0	0.0	0.55	0.0	1.31	76.12	27.35	0.29	13.49	0.71	7.02	1.14	38.49	14.71	23.27	58.09	0.0	7.28	8.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.21	1.01	0.0	156.82	49.38	12.29	11.38	0.0	25.66	40.41	14.38	0.17	51.98	48.72	47.54	13.7	2.66	46.77	56.05	0.0	195.41	208.11	199.98
Adck3	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	7.26	0.0	22.53	0.0	28.19	0.0	0.11	0.0	12.12	0.0	0.0	0.56	3.64	1.38	0.0	0.0	0.21	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	112.81	27.71	58.11	0.0	0.17	3.54	2.34	0.21	0.08	0.0	34.12	0.13	0.12	41.03	4.04	0.0	21.66	25.15	20.67
Agap3	48.06	0.0	0.0	3.22	0.53	0.0	0.0	0.0	0.0	1.64	0.0	0.08	6.65	12.51	19.52	0.0	0.66	7.82	13.98	2.76	0.22	9.98	2.92	4.03	6.09	30.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	4.47	0.17	2.57	0.0	53.69	1.35	0.0	0.27	1.31	0.0	11.55	0.0	13.92	1.2	1.19	0.99	13.99	3.66	25.55	0.0	234.75	249.95	235.85
Ahctf1	0.0	0.0	0.0	51.65	0.0	0.0	0.86	0.0	0.0	0.06	28.99	8.8	2.34	0.74	2.93	28.47	4.25	11.18	0.0	0.0	0.0	2.37	38.49	0.81	22.63	0.0	0.04	28.79	0.09	0.0	0.28	0.0	0.0	3.3	0.0	1.19	22.9	0.0	59.49	29.48	0.0	0.0	2.28	1.6	1.43	0.14	1.84	0.11	13.15	32.64	9.5	1.56	6.17	0.0	21.48	18.81	18.45
Aldh1l2	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.14	0.03	4.32	0.0	0.0	7.87	0.0	0.0	27.36	0.0	0.0	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	9.53	0.0	0.0	34.81	0.0	0.0	0.0	2.89	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	3.07	2.82	3.45
Ap3b2	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.39	1.35	55.01	39.08	41.97	55.86	38.29	17.57	44.98	6.25	2.04	12.6	32.12	20.06	12.07	59.7	0.0	0.0	0.19	0.0	8.94	0.0	0.0	0.0	0.0	0.0	74.71	105.77	0.0	143.48	11.58	0.95	84.32	35.4	0.06	70.85	0.0	158.87	65.5	47.09	0.13	8.69	0.0	44.81	0.0	101.94	104.65	103.91
Art4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.13
Atf6	0.0	0.0	0.0	16.79	40.5	0.0	0.0	0.0	11.85	0.0	0.17	4.48	11.64	21.97	67.45	0.0	11.11	15.37	4.89	8.04	0.11	9.68	0.14	2.59	1.02	3.4	0.0	61.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.76	114.12	0.0	0.04	0.52	15.28	0.0	2.73	0.0	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	35.65	31.51	36.94
Atg12	0.0	0.0	0.0	0.09	275.79	17.71	0.0	0.0	0.0	0.3	54.73	47.4	67.21	0.19	82.91	29.76	0.0	263.79	0.0	120.19	37.28	58.93	235.53	67.18	1.4	13.61	0.78	0.0	0.0	1002.12	0.0	0.0	0.0	370.53	40.51	69.4	5.25	353.89	425.29	0.13	0.0	31.61	38.96	28.78	252.26	0.17	51.84	19.99	52.47	0.61	165.05	43.11	0.0	0.0	63.28	62.48	61.35
B430306N03Rik	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.09	0.08	0.0	0.12	0.0	0.15	0.0	0.14	0.16	0.09
BC030307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.97	1.46
Bckdk	7.41	4.24	2.14	86.16	4.97	20.3	3.09	3.6	12.06	206.02	9.7	56.36	39.81	56.44	44.54	7.59	39.59	5.22	166.75	171.53	4.66	20.07	4.89	110.51	7.83	39.17	12.68	26.47	578.7	15.04	11.09	10.69	8.13	6.81	7.04	98.33	6.74	19.88	258.45	101.79	150.97	5.74	58.8	77.21	27.82	152.0	80.34	57.73	55.42	5.09	11.04	6.51	192.75	18.53	30.27	30.53	29.48
Brd9	0.0	0.0	23.84	39.89	257.88	0.0	39.72	0.23	0.0	117.06	6.13	158.46	123.79	16.47	63.55	71.84	125.91	78.14	62.28	197.1	9.09	39.59	5.01	33.03	82.74	24.95	0.0	37.12	0.0	107.5	0.0	0.0	0.19	21.64	53.12	284.91	4.23	7.65	415.37	94.97	10.99	218.28	3.54	117.57	19.58	0.0	5.06	20.98	30.19	38.31	16.3	15.92	111.91	0.0	76.85	77.62	74.96
Camkv	6.75	0.0	0.0	12.98	0.0	0.0	0.0	0.0	0.0	17.95	0.43	20.81	9.67	84.45	54.9	15.68	37.65	70.08	2.33	0.82	13.27	39.45	10.84	16.29	26.19	10.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	118.87	25.47	61.15	0.0	71.81	21.65	0.1	30.5	44.17	12.31	97.86	0.14	8.1	13.5	71.21	2.5	81.49	155.76	4.75	0.0	455.8	497.46	456.14
Cc2d2a	0.0	0.0	0.0	5.91	7.09	0.0	0.0	0.0	0.0	8.06	0.0	3.03	0.31	5.98	0.76	0.0	4.0	0.0	2.27	5.03	0.0	5.18	0.0	2.8	0.0	0.06	1.4	0.0	0.0	0.26	0.0	6.96	0.0	0.0	0.04	0.0	0.18	56.03	58.82	10.17	0.0	5.0	0.0	0.22	7.41	39.25	0.0	0.0	39.86	0.18	4.71	32.59	3.14	0.0	15.43	14.8	14.46
Ccdc149	0.0	0.0	0.0	28.3	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.55	0.1	4.38	0.1	0.0	0.0	2.7	0.0	99.91	0.0	4.9	0.0	1.22	1.56	9.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.21	0.0	59.5	0.0	0.0	0.0	2.32	7.33	0.0	0.0	11.36	1.92	2.39	0.08	0.0	0.0	35.95	0.0	39.05	41.65	37.22
Ccdc162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.54	0.56
Ccm2	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.77	54.53	39.19	1.12	0.0	0.0	49.32	0.0	0.0	0.21	0.0	19.04	8.09	0.0	0.0	0.0	0.19	0.0	650.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	166.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.19	0.0	0.0	0.0	95.5	0.0	0.0	55.46	61.72	57.53
Cenpw	0.0	0.0	0.0	2.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.02	0.0	141.45	4.84	0.0	0.0	239.66	0.0	48.43	0.35	20.73	70.14	95.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.58	61.53	0.0	0.0	8.05	0.0	0.0	0.0	0.0	0.0	1.78	0.0	142.5	0.0	9.7	0.0	4.29	4.48	5.79
Chga	0.0	0.0	0.0	1.61	0.0	0.0	0.0	0.0	0.0	1.61	6.42	35.12	44.0	148.94	47.36	0.0	32.02	92.64	80.47	101.45	128.73	26.11	133.38	1.31	0.75	56.64	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	31.49	83.0	166.98	0.0	153.81	97.66	1.79	0.0	80.5	179.74	65.22	0.45	132.56	125.75	124.37	260.42	133.83	75.27	0.0	0.0	171.57	179.76	168.57
Clec12a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	0.97	0.92
Cndp2	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	185.42	0.64	23.13	12.0	56.61	116.44	0.19	0.0	1.16	111.82	77.66	0.13	43.48	23.34	11.15	0.0	0.0	0.16	1199.7	0.0	479.4	0.32	0.0	1206.68	0.19	0.0	128.97	56.53	0.0	302.38	75.24	0.0	0.0	223.25	136.07	0.0	1.02	113.85	172.45	13.31	0.12	0.0	191.15	111.61	0.0	46.38	47.02	44.25
Comtd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.2	24.19	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.62	8.94	8.53
Ctnna2	0.0	0.0	0.0	0.0	30.92	0.0	0.0	0.0	0.0	39.45	16.79	28.95	80.47	9.15	15.13	17.37	14.77	73.1	0.0	10.63	4.82	15.93	42.23	3.44	1.74	4.39	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.13	0.0	56.64	16.72	0.0	0.0	19.97	22.45	14.46	0.1	45.54	154.59	0.44	6.23	0.0	19.17	16.17	0.0	89.21	93.31	92.12
Ctrl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.3	0.0	0.0	80.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.86	1.06
Diap3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	96.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.45	0.58
Dnahc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	1.3	1.47	1.52
Dnaja2	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	72.2	227.07	293.61	31.14	111.14	83.33	77.03	18.47	154.55	131.03	114.96	64.58	96.89	145.46	71.08	45.62	102.2	0.0	0.26	11.97	0.0	0.0	0.0	0.0	0.0	0.07	227.49	93.42	0.0	372.45	12.12	0.0	4.74	128.76	7.22	118.03	0.58	284.84	48.4	36.19	95.05	147.54	0.49	108.42	0.0	152.91	152.88	144.91
Dvl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	2.81	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	12.68	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.82	17.26	18.66	16.97
Eaf2	4.78	0.0	0.0	0.0	2.86	0.0	0.0	0.0	2.58	7.16	5.01	5.98	4.72	1.25	1.79	1.29	1.94	0.77	4.39	10.97	0.18	2.97	5.38	7.79	12.42	1.16	46.36	39.45	0.0	94.88	0.0	0.0	0.0	0.0	0.45	1.95	10.75	4.85	28.4	2.63	4.58	0.0	0.18	0.58	0.13	3.73	3.39	4.69	1.38	1.85	0.0	10.67	3.2	0.0	3.34	3.48	3.74
Efemp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	1.08	0.0	0.0	0.0	0.0	45.62	74.06	0.0	0.0	0.0	0.34	23.22	0.0	0.0	19.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.29	0.0	0.0	149.68	0.0	92.69	0.0	0.13	0.0	0.0	0.0	0.0	74.43	0.19	0.0	0.0	0.0	24.6	0.0	11.43	10.15	12.02
Eif2ak4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1	0.0	31.56	0.07	0.0	18.06	35.67	0.0	0.05	0.0	0.07	0.17	1.72	0.0	12.6	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	24.2	0.0	0.0	0.0	107.54	0.0	4.58	0.0	0.0	0.0	0.0	0.0	0.0	24.04	0.18	0.0	0.0	0.09	0.0	0.0	15.52	15.63	15.03
Etnk1	0.07	0.0	0.0	2.73	33.87	10.17	108.29	0.0	0.0	22.47	41.97	24.27	13.23	63.5	36.41	5.14	25.34	56.1	113.8	25.96	108.44	46.32	71.88	8.94	157.63	56.48	0.0	0.11	0.0	0.0	0.2	0.09	1.2	1.33	24.97	59.33	8.38	50.12	98.4	76.61	7.2	0.17	27.87	91.77	26.54	0.32	49.48	33.65	61.58	47.07	45.22	23.33	7.09	0.0	204.06	192.99	197.61
Eya1	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.22	5.83	6.0
F2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.05
F8	0.04	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.61	0.0	0.0	0.0	0.06	0.02	0.0	0.05	0.03	1.87	0.07	0.07	0.09	3.58	0.0	0.11	0.07	0.0	0.47	0.25	0.0	0.06	0.03	0.05	0.13	0.19	73.24	0.0	0.0	0.08	0.0	0.29	0.0	0.12	0.04	0.0	0.04	0.0	0.0	0.13	0.0	0.0	0.87	0.82	1.03
Faf1	0.0	0.0	0.0	0.0	24.22	0.0	0.0	0.0	0.0	0.8	0.0	4.22	2.64	9.28	0.55	0.0	0.09	0.11	0.0	0.0	0.0	13.69	0.12	0.0	0.0	8.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.63	0.0	58.66	5.69	0.0	0.5	0.04	0.0	0.0	0.19	0.35	0.0	0.07	0.0	0.44	0.0	0.0	0.0	16.42	18.2	16.94
Fam123c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.04	21.63	0.18	0.0	0.0	0.0	0.0	0.0	7.37	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	40.31	118.13	1.7	0.0	0.0	0.0	1.19	9.07	0.0	0.07	7.28	3.76	0.46	0.0	25.37	0.0	0.0	19.12	21.66	19.68
