	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_18	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_66	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_47	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_105	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_167	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_53	Scnn1a.Tg3_tdTnegative_cell_13	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Ext1	0.0	56.28	2.79	4.13	0.71	2.21	0.0	5.3	65.17	13.12	61.89	0.0	0.0	3.67	48.51	0.5	0.0	0.12	10.1	0.8	82.03	0.24	26.07	3.55	104.0	7.29	0.0	37.69	0.0	7.05	4.01	0.0	0.0	144.68	2.04	0.07	0.0	0.0	10.27	0.0	7.67	0.0	12.7
Fam3c	2.1	161.19	246.4	298.3	0.0	32.62	45.98	18.18	360.7	205.51	282.41	10.58	35.19	9.05	13.26	0.0	0.0	347.15	0.48	117.12	9.16	0.0	8.51	1.49	346.03	387.65	3.97	361.58	5.29	419.99	18.57	0.31	0.0	10.38	167.93	274.49	1.27	36.32	0.62	0.21	0.26	48.84	0.09
Gm5177	18.26	54.81	42.06	40.64	31.65	17.71	25.18	31.08	38.38	39.92	40.88	26.61	38.97	31.6	30.24	7.64	17.56	33.43	30.24	39.58	35.92	30.28	51.11	24.24	36.73	32.43	39.6	28.38	23.26	34.71	37.78	6.22	12.51	25.51	31.42	36.94	4.2	32.27	39.3	28.88	36.53	42.59	35.49
Hpcal4	0.0	138.04	63.57	142.11	7.15	0.0	0.0	96.8	122.05	165.3	106.15	0.03	53.54	38.01	258.8	0.12	0.08	47.58	61.62	50.1	53.27	152.32	49.54	86.38	180.8	153.06	9.5	109.49	5.45	73.68	98.88	0.0	0.0	60.37	87.56	179.23	0.0	32.55	206.86	54.57	86.47	76.65	105.27
Kifap3	0.0	153.93	112.07	111.06	233.17	7.31	281.18	49.9	373.63	203.72	192.52	23.74	184.42	194.01	213.09	0.15	0.0	207.92	121.16	19.46	304.82	56.94	162.47	157.62	167.88	350.89	27.16	214.21	180.22	267.63	297.4	0.22	77.81	184.04	280.18	157.54	0.0	224.41	108.53	8.9	97.73	46.69	75.33
Klhdc3	0.0	120.42	49.92	0.27	197.66	0.0	0.0	90.68	111.02	37.98	26.14	267.96	0.18	14.77	44.73	0.3	0.19	45.44	0.67	299.98	91.45	66.07	122.0	0.0	121.98	247.64	75.68	1.68	0.2	71.3	77.08	0.0	0.0	8.39	109.02	19.87	0.0	0.28	133.44	0.43	108.55	79.04	81.55
Lars	0.0	121.18	7.82	2.64	0.0	0.0	0.0	0.0	130.33	40.43	162.58	130.5	83.57	28.07	6.15	0.3	0.0	27.98	0.0	1.28	12.73	0.0	104.65	0.0	67.93	94.35	0.0	3.31	7.37	24.4	0.0	0.0	0.0	0.04	2.02	46.85	0.0	0.0	92.64	8.71	34.48	72.8	1.0
Map2k1	0.0	145.16	215.99	17.55	0.0	0.0	0.0	108.77	51.65	45.41	83.34	59.67	30.79	69.51	23.64	0.24	0.0	100.5	0.0	102.21	92.06	0.0	63.26	5.4	183.89	131.84	28.19	21.53	0.16	35.46	86.53	23.9	0.0	387.44	93.59	3.1	0.0	93.97	40.87	0.0	90.87	61.08	64.99
Mapk10	0.0	349.41	236.89	179.42	195.94	89.04	0.37	239.28	304.36	286.87	302.16	221.84	111.82	222.93	374.01	1.59	0.05	295.84	286.74	187.31	410.03	166.33	375.77	180.31	424.89	143.62	124.56	289.71	94.75	301.89	141.59	0.24	0.0	321.57	336.08	460.51	0.0	31.03	178.58	113.36	168.74	52.12	130.64
Nmnat2	4.34	84.46	148.25	151.13	268.75	5.29	11.04	177.28	144.51	132.51	242.24	73.01	92.49	176.96	362.0	1.15	0.0	192.11	2.8	229.78	115.2	4.41	70.03	8.66	35.47	144.23	15.69	104.95	84.41	169.45	94.39	0.19	0.14	84.68	430.46	333.08	0.0	82.16	19.07	31.05	37.9	93.78	62.84
Nsg2	0.0	133.94	196.94	89.22	53.66	52.45	1.13	246.79	528.89	146.36	241.28	58.52	62.02	12.76	118.93	0.26	0.0	35.77	135.07	89.07	91.14	49.37	83.6	66.95	186.57	164.43	11.92	127.99	99.63	215.63	49.55	0.0	0.28	197.96	176.2	168.95	0.0	149.49	206.37	52.6	70.47	39.77	136.09
Nudt19	0.0	56.41	32.99	0.0	9.48	246.23	63.48	5.41	43.18	12.09	335.85	0.0	0.0	0.0	83.54	0.0	0.0	0.64	0.0	39.75	0.0	155.31	39.35	1.32	103.81	190.15	77.71	0.0	145.23	0.0	0.33	0.0	0.0	141.92	76.43	0.13	0.0	0.0	30.02	0.0	0.13	0.0	10.84
Pfkp	0.0	285.4	235.05	327.43	346.9	103.66	5.02	508.97	600.2	589.51	479.07	473.49	178.35	769.53	623.26	3.04	0.1	399.31	25.31	218.18	426.13	496.34	368.07	1.35	352.28	482.64	214.38	315.17	144.04	402.22	454.78	0.54	0.0	282.92	497.92	717.7	0.0	183.45	258.67	168.12	222.75	205.68	40.92
Prps1	0.0	482.34	72.77	239.55	0.0	602.09	0.0	0.0	250.34	352.65	400.07	0.0	162.96	110.17	194.57	1.19	0.0	149.04	0.0	141.66	188.9	233.83	107.38	446.58	304.77	264.56	0.19	186.89	0.97	0.0	116.5	0.0	0.0	807.46	145.0	164.67	0.0	41.53	417.45	388.54	301.73	235.51	346.0
Prrt2	4.09	82.84	116.2	106.95	4.28	100.87	2.03	36.58	90.38	173.92	159.03	1.48	2.54	28.7	166.76	0.47	0.0	262.37	10.09	15.33	173.29	7.86	70.98	5.8	241.56	62.33	9.46	17.59	83.08	68.09	85.49	0.0	0.0	71.47	94.78	131.68	0.0	7.13	61.37	5.8	49.27	52.98	58.37
Rab3c	0.47	298.16	175.09	215.78	162.99	89.4	0.88	32.67	451.61	350.25	401.16	40.03	170.74	22.19	29.33	0.0	0.0	264.0	18.28	93.67	30.27	1.22	79.8	69.47	317.74	115.87	0.73	146.99	36.09	291.29	11.29	0.29	0.28	63.57	261.17	291.28	0.0	209.86	18.79	7.78	13.09	7.03	13.42
Rabac1	239.36	481.88	29.76	427.11	129.16	0.0	862.67	211.98	278.75	253.66	536.39	174.36	320.23	277.57	281.25	0.0	599.51	249.68	342.47	152.38	302.85	324.16	344.06	227.34	620.82	718.0	162.47	178.17	126.06	191.4	128.68	0.0	0.0	107.39	241.9	359.11	0.0	386.2	89.31	13.56	3.17	32.44	10.65
Selm	0.0	230.66	100.22	272.51	1.96	190.89	217.87	79.04	218.08	207.74	448.98	53.01	530.37	57.5	66.42	1.4	0.0	303.24	110.74	137.39	83.48	186.23	0.0	0.0	285.3	482.53	200.45	95.9	259.91	186.5	100.86	336.4	50.98	149.45	172.36	198.21	20.85	235.37	0.0	0.0	183.48	0.0	51.13
Sh3pxd2a	0.0	3.84	0.0	12.93	0.04	0.0	0.0	0.0	7.13	0.0	1.09	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	10.99	0.03	0.0	0.0	0.0	3.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stmn1	10414.48	7039.23	10587.49	9820.07	7970.99	11391.73	10788.4	10862.63	6886.47	8959.67	7426.91	6577.76	12096.72	8248.22	5929.84	6131.07	10015.46	7715.8	8905.33	9644.83	7764.43	9355.99	8517.86	8003.8	6737.73	6896.85	13005.25	6386.03	11961.92	8313.77	8047.45	5765.28	6980.74	10665.83	7814.24	7002.97	6841.51	9399.34	10789.21	9222.0	12161.23	11287.74	9866.46
Tle6	0.0	0.0	67.49	0.0	0.82	0.0	0.0	0.0	79.82	0.0	74.65	41.09	0.0	0.0	0.0	0.0	0.0	13.65	0.0	0.0	22.24	0.0	0.0	0.47	115.99	111.24	0.0	0.0	0.0	194.15	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zdhhc6	0.0	86.58	97.68	58.66	0.0	0.0	0.0	0.0	198.25	27.84	228.43	0.0	0.0	116.34	84.99	0.81	0.18	56.75	0.0	37.19	83.87	17.81	0.0	0.0	127.71	115.91	0.0	87.86	0.18	0.2	148.27	22.32	126.15	19.03	81.4	17.75	0.0	271.48	286.37	109.14	17.25	0.0	0.0
Zfp445	0.0	61.55	27.25	87.42	181.08	0.0	17.71	69.07	105.35	5.87	90.47	68.25	129.06	0.04	42.15	0.09	3.22	5.07	0.14	53.45	66.68	11.64	71.08	0.0	83.99	42.36	89.73	11.79	13.83	27.93	77.52	319.51	0.0	128.18	13.45	28.74	0.11	52.59	45.62	0.0	0.0	123.9	29.78
Zfp712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.72	63.2	52.89	88.25	0.0	52.97	0.0	0.0	0.0	0.0	60.9	0.0	0.0	0.0	0.0	0.0	0.0	123.9	0.0	0.34	0.0	0.28	14.78	0.0	0.41	0.0	0.0	83.91	0.12	0.0	2.08	0.0	0.0	0.0	0.0	0.0
