	Cux2_tdTnegative_cell_12	Pvalb_tdTpositive_cell_13	PvalbF.Gad2_tdTpositive_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fmo5	0.0	0.16	0.0	2.03	1.62	2.54
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gadd45b	0.0	0.0	0.0	28.12	25.81	20.85
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Ggn	0.0	0.0	0.0	1.41	1.0	1.0
Gins2	0.0	0.0	0.0	2.68	1.76	2.36
Glg1	0.0	0.21	47.9	109.25	104.06	112.59
Gm17757	0.0	0.1	0.0	0.21	0.14	0.28
Gm8817	0.0	1.74	1.78	1.94	1.76	4.17
Gpr64	0.0	0.0	0.0	0.99	0.8	0.98
Gsta4	0.0	0.0	0.0	59.8	63.22	51.28
Hephl1	0.0	0.0	0.0	0.02	0.04	0.04
Hes6	0.0	0.64	0.0	17.77	17.94	16.57
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hsph1	0.0	65.2	53.92	238.03	226.06	225.17
Hus1b	0.0	0.0	0.0	0.0	0.08	0.0
I730030J21Rik	0.0	0.0	0.0	0.47	1.04	0.33
Ifngr2	2.29	32.64	29.54	53.45	56.7	50.92
Igf2bp1	0.0	0.0	0.0	0.05	0.01	0.01
Il11	1.23	0.36	1.02	0.71	0.77	1.11
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Inhbe	0.0	0.0	0.0	0.32	0.09	0.34
Itga2	0.0	0.0	0.0	0.12	0.02	0.02
Kcnmb1	0.09	0.34	0.11	0.75	0.97	0.75
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klkb1	0.0	0.0	0.0	0.12	0.04	0.04
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lct	0.0	0.0	0.0	2.22	2.32	2.01
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrc25	0.0	0.0	0.0	0.79	0.89	0.89
Mal2	0.0	98.97	29.96	179.73	179.68	167.52
March2	0.38	53.66	90.49	77.96	80.77	81.53
Med18	3.02	0.34	0.19	3.22	4.5	4.11
Mettl7a2	0.0	0.0	0.0	0.0	0.0	0.0
Mex3b	0.0	0.0	0.0	18.96	19.48	21.42
Mogat1	0.0	0.0	0.0	0.08	0.16	0.09
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nebl	0.0	13.37	0.0	34.06	27.57	35.34
Nfkb2	0.0	0.0	0.0	1.69	2.13	2.98
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Orai1	0.0	0.0	0.0	5.47	6.31	7.51
Papss2	0.13	0.0	0.13	9.31	8.81	11.68
Patz1	0.0	0.89	0.0	19.41	21.84	19.87
Pdgfra	0.0	0.0	0.0	24.76	23.57	25.11
Phtf1	0.0	2.84	29.55	39.72	36.2	36.1
Pigw	0.0	0.0	0.0	6.0	4.95	5.9
Pkhd1	0.0	0.0	0.0	0.09	0.01	0.01
Plekhh3	0.0	0.0	0.32	9.21	12.14	9.65
Ppp1r14c	0.0	0.0	0.0	15.05	17.27	14.84
Prdm1	0.0	0.0	0.0	0.59	0.77	0.67
Prx	0.0	0.0	0.0	1.25	1.02	1.02
Rem2	0.0	0.0	0.0	12.0	15.76	12.6
Rnf219	0.0	0.26	0.1	9.27	7.78	8.43
Rsad2	0.0	0.0	0.0	0.83	0.76	0.99
Sap30l	0.0	0.0	0.0	33.22	36.33	35.75
Scarb2	0.22	0.0	0.0	84.94	85.35	89.91
Scube1	0.34	0.74	0.61	30.28	25.93	31.71
Serpind1	0.0	0.0	0.0	3.62	3.5	2.2
Setd6	0.0	0.0	0.0	14.55	13.3	11.15
Sgk3	0.0	0.58	0.43	7.86	7.23	7.75
Slc22a23	0.0	0.0	0.38	39.19	38.53	38.48
Slc25a32	0.0	1.13	0.0	8.87	8.67	7.64
Slc25a34	0.0	0.0	0.0	4.49	5.69	5.58
Slc30a2	0.0	0.0	0.0	4.37	3.55	3.59
Slc48a1	0.0	32.31	11.63	122.05	127.46	124.95
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smpd3	0.0	1.14	0.1	52.6	55.28	52.37
Snord92	0.0	0.0	0.0	0.0	0.0	0.0
Stk32b	0.0	0.0	0.0	2.09	2.1	2.19
Sun3	0.0	0.0	0.0	0.08	0.09	0.09
Syap1	0.0	0.0	3.96	34.59	32.47	30.63
Syf2	0.0	86.16	42.87	56.57	65.27	58.63
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbx4	0.0	0.0	0.0	0.2	0.16	0.17
Tdrd12	0.0	0.0	0.0	0.37	0.23	0.25
Tex14	0.0	0.0	0.0	0.25	0.06	0.19
Tmem184b	0.0	0.0	2.5	63.39	64.99	62.74
Tom1l1	0.0	0.0	0.0	21.69	18.85	19.79
Tpte	0.0	0.0	0.0	0.04	0.04	0.16
Trip6	0.0	0.0	0.0	6.55	7.46	6.12
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tusc1	0.0	0.0	0.0	6.38	10.92	8.48
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vipr1	0.0	0.0	0.0	18.95	18.84	15.92
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wdr95	0.0	0.0	0.0	0.4	0.45	0.45
Xist	0.05	0.29	0.24	160.8	0.14	0.15
Xkr7	0.0	0.0	0.0	3.86	3.46	3.19
Xylt1	0.0	0.0	0.0	22.37	20.05	25.94
Zdhhc24	0.0	9.94	0.0	24.93	24.85	26.17
Zfp105	0.0	0.0	0.0	4.26	4.66	4.85
Zfp628	0.0	0.0	0.0	6.36	7.39	8.3
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c2_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	0.0	0.0
mt_AF357430	13.75	0.0	0.0	9.29	0.0	0.0
mt_AK131586	3744.02	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	13.8	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
