	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Emp2	0.0	0.0	0.0	15.28	16.26	18.72
Fam150b	0.0	0.0	0.0	1.98	2.13	1.62
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf1	0.0	0.0	0.0	1.07	19.48	4.66
Gm13306	0.0	0.0	0.0	30.63	28.29	22.96
Gm13375	12.13	0.0	0.0	16.83	19.2	17.22
Gm16516	0.0	0.0	0.0	1.42	0.67	1.23
Gm2506	0.0	0.0	0.0	30.63	28.29	22.96
Gm4890	0.0	0.13	0.0	0.64	0.27	0.49
H2-M2	0.0	0.0	0.0	0.07	0.15	0.14
Has3	0.0	0.0	0.0	2.0	2.01	1.52
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Idi2	0.0	0.0	0.0	0.13	0.27	0.37
Ift88	0.0	0.0	0.0	16.73	15.64	16.11
Itih2	0.0	0.0	0.0	3.34	3.42	2.31
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lin7a	0.28	0.0	0.0	29.65	25.27	30.48
Ly75	0.0	0.0	0.0	0.74	0.64	0.9
Lyz2	0.0	0.0	0.0	12.75	14.18	13.66
Mamdc4	0.0	0.0	0.0	0.96	0.95	0.79
Manea	0.1	0.0	0.0	21.88	20.35	22.83
Mef2d	0.0	0.0	0.0	110.76	106.58	106.74
Mll3	0.0	0.0	0.0	22.29	18.92	23.35
N4bp3	0.0	0.0	0.0	12.97	12.51	11.7
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Pgam2	0.47	0.0	0.0	9.3	11.06	10.41
Pgr	0.0	0.0	0.0	16.22	14.56	15.05
Pmepa1	0.0	0.0	0.0	33.96	33.05	32.31
Pnmal2	0.0	0.0	0.0	188.1	213.32	193.8
Ppm1l	0.0	0.0	0.0	58.45	55.23	62.04
Ppp1r12c	0.0	0.0	0.0	87.06	89.41	88.48
Ppp1r3d	0.0	0.0	0.0	6.48	7.7	6.88
Pram1	0.0	0.0	0.0	2.57	1.97	2.92
Rcan1	0.0	0.0	0.0	52.65	55.31	52.84
Rnf215	0.0	0.0	0.0	23.37	29.45	25.43
Rsph4a	0.0	0.0	0.0	2.16	2.12	2.16
Sarm1	0.0	0.0	0.0	17.37	17.42	16.05
Sema5b	0.0	0.0	0.0	13.04	12.14	15.32
Sept5	0.0	0.0	0.0	835.64	844.16	829.9
Setd1a	0.0	0.0	0.0	31.85	32.99	33.92
Slc5a10	0.0	0.0	0.0	0.09	0.0	0.14
Slc8a3	0.21	0.0	0.0	14.22	16.17	16.97
Slfn4	0.0	0.0	0.0	0.13	0.25	0.24
Sncb	0.0	0.0	0.0	500.1	550.38	513.95
Snx9	0.2	0.0	0.0	12.45	11.69	11.86
Sort1	0.0	198.24	0.0	251.59	239.48	249.17
Sult4a1	0.0	0.0	0.0	438.7	457.81	456.98
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tex2	0.0	0.0	0.0	51.42	53.98	51.29
Tigd5	0.0	0.0	0.0	3.39	3.21	3.18
Timm44	0.0	0.0	8.51	55.22	59.27	58.76
Tnfrsf23	0.0	0.0	0.0	1.68	1.55	1.71
Trim56	0.09	0.0	0.0	3.55	3.52	4.14
Trpv4	0.0	0.0	0.0	0.92	1.15	0.98
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zbtb7a	0.0	0.0	0.0	55.37	53.85	57.0
Zc3h18	0.0	0.0	0.0	30.0	31.22	31.72
Zfp383	0.0	0.0	0.0	11.61	11.75	9.84
Zfp467	0.0	0.0	0.0	22.33	21.52	19.14
Zfp867	0.0	0.0	0.0	7.0	7.01	9.38
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
c13_LSU-rRNA_Hsa	267.28	14.04	0.0	480.93	511.37	581.99
c15_LSU-rRNA_Hsa	0.0	102.36	0.0	232.96	207.52	191.22
c18_LSU-rRNA_Hsa	22.57	14.18	0.0	372.01	304.0	345.49
mt_AK131586	6370.03	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
