	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_56	Sst_tdTpositive_cell_29	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Brs3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.1	0.18
Cacna1i	0.18	0.0	8.16	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.49	39.47	38.6	41.74
Ccdc102a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	1.37	1.74	1.6
Cdh3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.17	0.14	0.0
Celsr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	1.93	2.32	2.21
Cenpn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.0	0.0	5.88	1.74	1.11	1.57
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Cryaa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.05	0.09	0.16	0.18
D7Ertd443e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	3.02	2.46	3.37
Dchs1	0.0	6.3	1.98	0.0	7.25	0.0	0.0	0.02	2.3	0.02	0.0	0.0	0.0	0.0	0.0	0.0	16.25	4.95	4.93	6.13
Ddx19b	0.0	0.05	0.0	0.0	0.0	0.0	0.07	17.19	0.0	0.0	0.03	0.05	16.56	0.94	0.19	1.11	23.42	19.6	17.52	18.66
Dhx40	1.41	0.1	0.07	0.04	0.0	0.53	38.7	57.56	0.09	0.11	0.16	0.08	11.43	0.52	3.96	0.42	39.12	18.23	17.33	17.7
Dpp4	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.0	0.0	18.11	2.9	2.44	3.01
E130008D07Rik	2.57	4.17	1.3	0.26	3.35	21.0	6.54	3.37	4.3	2.66	3.22	3.32	4.69	4.75	3.52	1.44	59.63	7.79	5.78	7.6
Efnb1	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.88	0.0	0.0	0.0	1.42	0.25	0.0	0.0	0.0	25.02	11.8	12.13	10.79
Emx2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	7.75	6.77	8.66
F8a	0.0	2.93	6.5	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	3.55	0.0	0.0	0.0	43.95	15.63	17.23	15.89
Fam75d3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.02	0.02
Fcrls	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	34.27	31.96	34.25
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Glp2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.42	2.36	1.97	1.85
Gm10391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7	0.73	0.47	0.29
Gm10394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7	0.73	0.47	0.29
Gm13157	0.11	0.0	0.17	0.0	0.0	3.5	6.21	0.16	0.61	0.28	0.0	0.0	0.57	0.0	0.0	0.0	47.17	2.87	1.58	2.37
Gm16197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.27	0.37	0.41	0.37
Gm16880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.18	0.0	0.17
Gm5069	0.07	0.28	0.0	0.0	0.0	0.0	0.0	0.34	0.3	0.85	0.03	0.29	0.2	0.13	0.0	0.0	20.76	2.71	2.69	2.62
Gpnmb	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	34.28	1.6	1.29	1.71
Hadha	0.0	8.78	0.0	0.0	0.0	0.0	4.88	0.23	5.66	5.78	0.0	0.0	0.0	11.02	2.34	0.0	24.43	36.37	37.21	36.06
Igsf9	0.07	0.18	0.0	0.04	0.0	0.0	0.06	0.0	0.03	0.09	0.02	0.12	0.06	0.0	4.61	0.0	0.04	4.13	3.5	4.72
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Iqce	0.0	1.41	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.0	0.06	0.0	0.15	0.0	1.42	17.59	18.54	18.74
Irs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.88	26.48	19.75
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Krcc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.57	0.16	0.0	0.19	0.0	123.37	17.45	15.68	17.78
LOC629206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.07	0.05	0.04	0.07
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Leap2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.21	0.0	0.2	0.0
Lhfpl4	37.13	7.09	0.72	0.38	4.22	5.23	0.81	1.09	0.86	0.87	0.99	0.91	1.04	50.12	38.1	31.27	2.96	70.47	72.39	74.47
Meis1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.04	0.0	0.0	0.0	0.08	0.0	0.0	0.0	1.69	3.04	3.79	3.22
Mex3d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.09	0.0	0.08	0.0	3.16	0.0	0.0	12.54	16.17	13.63
Mir181b-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	0.0	4.26	0.0
Mocs3	6.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.07	16.39	15.54
Mpz	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.1	0.14	0.1
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Msrb3	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.18	6.02	6.35
Ndufab1	15.21	22.54	0.0	0.4	0.0	0.0	0.0	27.27	3.3	2.19	2.83	15.12	51.21	52.45	21.73	0.93	56.51	106.39	124.38	113.78
Nfasc	13.62	13.19	2.3	0.0	20.65	0.31	4.06	25.3	5.29	18.77	7.22	1.49	20.4	11.79	7.78	35.98	18.96	91.43	82.44	99.71
Nlrp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.39	0.41	0.48
Nmur2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.06	0.11	0.12
Npm3	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.45	8.76	11.59	8.06
Npm3-ps1	0.0	0.0	1.45	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.1	0.0	0.21
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Obsl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	15.1	10.98	11.24	11.27
Olfr15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.22	0.11	0.0	0.11
Pcnxl2	0.12	0.7	0.0	0.0	0.0	0.0	0.0	0.06	0.56	0.0	0.0	1.44	0.0	0.06	0.35	0.0	4.98	45.59	44.85	48.1
Phb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.12	0.31	0.0	0.41	23.74	0.0	0.0	0.0	98.22	102.23	98.96
Pi4kb	0.0	5.64	13.16	0.04	3.66	0.0	0.0	0.06	1.7	0.97	1.02	0.0	0.37	11.18	31.24	0.23	2.03	35.74	35.19	35.07
Plac9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.51	13.87	14.17	12.86
Pmfbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.59	0.32	0.35	0.21
Pnpla7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.49	8.8	8.12	9.0
Pou6f1	0.0	0.0	0.0	0.0	0.0	0.0	5.04	0.1	15.64	0.04	14.56	0.0	0.18	2.72	25.31	0.0	49.16	75.93	74.16	76.43
Ppic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.87	3.51	3.62	2.33
Prkca	35.68	3.74	0.8	0.0	0.0	0.0	5.53	5.44	2.42	0.73	0.49	0.0	10.75	0.48	9.12	0.0	18.26	74.19	69.97	81.49
Prmt1	46.49	87.44	54.35	13.86	38.12	1.01	26.8	81.45	43.08	121.22	20.5	25.47	12.33	8.24	58.09	0.0	65.36	84.39	92.37	87.72
Scrib	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.66	21.03	23.38	23.64
Sdk2	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.92	0.0	0.0	8.94	6.94	9.41
Senp8	4.52	13.58	0.0	21.67	35.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	48.29	4.71	4.2	4.13
Slc7a7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.46	1.77	2.04	2.13
Slc9a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.48	1.72	2.23	2.1
Snord35b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.78	4.05	1.87	4.1
Sst	54779.79	110572.87	47293.26	92299.24	72114.03	41248.39	79456.04	80147.45	53894.31	43875.07	43763.2	51085.86	57147.69	53884.47	63593.53	55479.93	78404.02	558.6	588.98	558.0
Tanc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.92	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	18.8	13.46	13.48	14.58
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d5	0.0	0.0	0.0	0.0	4.51	0.17	0.0	0.12	0.0	0.03	0.05	4.04	0.19	13.49	0.0	52.18	22.55	20.95	18.77	20.96
Tek	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.24	0.05	0.0	9.28	8.12	9.12
Tex22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.08	0.15	0.0
Tfap2e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.33	0.04	0.14
Ticam1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.68	4.95	4.96	4.96
Tmem63b	24.52	0.22	0.47	0.33	0.13	0.0	0.32	0.14	0.0	0.31	10.7	0.0	0.93	1.5	0.0	26.01	0.23	111.16	115.98	115.3
Tpk1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	21.57	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	75.89	2.47	1.96	2.42
Trhr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.47	5.38	4.43	7.17
Trpm6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.57	0.38	0.4	0.31
Ube2s	39.93	0.77	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	0.0	26.96	1.28	0.34	0.0	0.0	112.79	123.41	115.9
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Zbtb10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1.57	0.02	0.01	0.0	0.0	0.0	0.0	0.0	23.12	4.6	4.25	3.46
Zfp146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.37	0.0	0.08	0.0	0.0	0.0	8.84	0.0	1.05	53.48	37.59	38.25	36.9
Zfp354a	0.08	0.17	0.0	24.58	0.1	18.74	0.09	0.13	0.02	0.06	0.08	0.0	0.0	0.0	0.0	0.0	36.07	6.07	5.51	5.1
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
