	Chrna2_tdTpositive_cell_62	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_75	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_69	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
Mansc1	66.26	0.0	65.59	129.65	0.0	0.0	0.0	6.69	33.32	0.0	74.68	38.18	54.19	155.13	29.25	39.19	0.48	0.0	0.0	54.95	5.35	98.65	23.07	13.97	38.84	79.25	5.28	131.65	38.56	59.06	80.2	60.3	55.26	0.0	0.0	0.0	6.38	0.0	0.44
Map2k2	12.51	0.0	0.0	0.91	12.62	0.0	0.0	21.34	0.0	13.59	4.15	9.79	7.97	23.33	7.65	0.18	0.0	1.3	8.59	2.2	0.16	12.9	3.94	1.42	15.37	0.0	0.17	40.73	7.79	4.3	25.89	5.96	11.67	0.0	0.0	0.0	7.83	26.52	0.0
Mrgprb1	0.09	0.0	0.08	0.34	0.0	0.28	0.0	0.19	0.23	0.39	0.24	0.12	0.1	0.22	0.41	0.21	0.0	0.0	0.47	0.86	0.33	0.61	0.08	0.31	0.3	0.52	0.19	0.55	0.55	0.19	0.63	0.48	0.28	0.0	0.0	0.51	0.34	0.58	0.02
Nefh	29.09	0.0	23.98	84.0	79.5	8.52	0.0	26.77	26.96	1.47	25.17	40.51	33.18	44.52	147.49	77.48	0.1	46.87	97.76	73.02	114.82	44.79	68.53	28.17	51.63	84.01	0.78	59.18	52.93	62.19	100.1	103.28	116.26	0.0	0.0	0.0	98.2	51.25	0.0
Plec	7.4	0.0	20.11	6.24	30.64	20.93	0.0	12.04	1.52	7.81	12.2	25.51	18.2	38.06	5.5	0.34	4.9	21.83	30.3	38.39	22.1	14.04	2.09	8.98	13.09	26.69	14.42	38.03	20.65	19.61	25.03	11.8	23.43	0.0	0.0	0.0	16.75	9.6	0.12
Psg23	5.74	6.96	3.09	10.5	6.64	6.3	0.0	10.07	9.33	1.24	4.05	7.68	6.63	6.8	11.03	11.71	2.74	4.15	7.95	13.54	8.57	6.74	2.92	6.59	3.24	11.73	8.24	12.71	16.9	6.76	5.84	8.25	11.89	12.46	0.0	0.0	6.66	13.39	0.0
Pvalb	2658.58	0.0	2506.7	2781.07	2461.61	2914.72	0.0	2576.97	2481.2	1831.08	2258.23	2637.39	3332.67	1769.21	2136.15	1553.08	1166.7	2248.99	1915.25	1457.87	1909.51	1763.04	1332.22	1806.53	1681.17	1693.91	2567.22	1522.72	1388.14	1830.01	1823.48	1749.01	3516.69	0.0	0.0	0.0	2759.1	3357.43	755.81
Slc35f3	3.94	0.0	22.46	18.29	26.0	276.4	0.02	43.55	0.3	0.0	53.46	118.05	64.32	80.39	115.37	29.45	0.14	0.36	21.29	113.11	157.86	32.49	2.51	42.79	19.22	63.85	50.34	37.81	158.1	0.14	43.79	9.63	0.86	0.0	0.0	0.0	46.02	0.0	0.0
Slc7a2	0.08	0.0	0.29	0.21	0.04	0.35	0.0	0.07	0.06	0.04	0.11	0.27	0.16	0.32	12.96	0.16	0.55	0.06	0.57	0.34	0.1	0.2	0.23	0.01	0.23	0.41	0.3	1.01	0.42	0.1	0.19	0.06	0.38	0.0	0.0	0.0	0.1	0.0	0.0
Syt2	0.22	0.0	0.0	1.45	1.26	3.95	0.0	0.0	1.56	0.1	9.09	0.79	14.63	41.2	31.02	8.3	0.11	7.23	18.32	5.89	19.67	15.66	9.64	1.14	7.07	25.76	8.85	7.91	2.77	12.57	23.59	7.44	24.66	0.0	0.0	0.0	12.61	0.0	0.0
Tmc2	0.29	0.0	0.2	0.09	0.3	0.28	0.0	0.23	0.41	0.0	0.16	0.0	0.0	0.16	0.64	0.28	0.13	0.0	0.0	0.58	0.33	0.69	0.0	0.18	0.0	0.63	0.0	0.71	0.56	0.06	0.15	0.0	0.28	0.0	0.0	0.0	0.23	0.0	0.0
Tmem65	124.24	0.0	86.36	64.93	79.98	33.02	0.0	78.61	10.83	2.71	51.75	14.95	65.89	141.36	120.81	110.5	60.82	2.16	64.14	57.04	99.63	67.25	69.04	15.9	29.89	37.3	119.59	171.51	130.9	27.69	133.74	77.77	106.09	0.0	0.0	0.0	34.44	24.47	0.1
Tnpo2	10.39	0.0	2.19	7.86	0.98	3.52	0.0	11.86	5.33	0.0	24.54	24.94	33.05	9.62	16.42	3.71	10.44	3.05	4.91	12.58	35.75	9.69	14.66	15.35	12.52	15.04	19.82	14.89	31.11	4.07	23.01	11.63	28.22	0.0	0.0	0.0	22.16	0.13	1.92
Ttbk2	47.82	0.0	29.99	7.07	46.1	0.99	0.16	16.99	23.32	6.55	15.89	21.68	22.29	50.47	28.65	45.43	42.83	7.78	47.21	46.02	30.41	77.11	30.48	51.85	20.17	71.76	35.83	67.3	92.54	20.61	63.37	20.36	28.82	1.06	0.0	0.3	36.65	80.58	0.03
Ubash3b	2.5	0.0	57.48	137.29	42.52	0.0	0.0	85.53	29.53	29.13	22.83	48.87	32.59	93.47	148.82	32.52	31.74	0.0	37.94	69.58	99.2	18.75	41.87	44.53	99.19	82.46	7.21	83.28	165.87	73.69	87.76	63.62	9.36	0.0	0.0	0.0	55.38	38.42	5.46
Ube4a	26.0	0.0	0.21	75.87	0.98	1.38	0.0	18.39	5.73	10.06	5.94	14.45	9.92	18.46	32.87	1.7	0.51	0.0	0.0	16.09	0.55	33.94	20.28	11.7	22.05	14.84	1.53	32.02	26.44	15.8	37.24	3.11	0.03	0.0	0.0	0.0	15.43	0.11	0.06
Vamp1	171.0	0.0	82.08	13.28	23.64	29.77	0.0	12.36	42.5	0.24	56.81	38.99	89.17	126.35	117.69	86.05	20.26	84.08	47.52	94.12	59.54	132.88	125.39	18.8	54.88	88.31	142.28	140.24	152.17	184.84	199.29	157.74	136.71	0.0	0.0	0.0	86.27	179.99	0.25
Yipf4	39.65	0.0	78.35	17.62	21.47	11.55	11.36	9.73	16.39	22.28	50.44	45.2	19.58	40.65	60.34	11.66	10.15	0.0	17.98	38.65	16.54	20.24	0.76	21.15	28.01	25.5	140.44	66.07	47.13	59.03	27.18	73.39	28.25	0.0	0.0	0.0	13.02	10.86	0.33
Znhit6	5.65	0.0	0.0	0.0	39.63	0.0	0.0	25.16	0.0	0.0	19.07	0.0	22.2	2.62	0.22	0.13	0.0	0.0	0.0	0.13	0.13	7.5	0.34	0.41	26.65	55.09	0.0	30.45	14.73	0.0	8.76	0.0	0.14	0.0	0.0	0.0	0.0	10.05	0.0
