	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Cux2_tdTpositive_cell_5	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_6	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTpositive_cell_189	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_55	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTnegative_cell_17
Gm3893	0.0	0.0	0.0	2.46	140.63	0.0	0.0	0.0	0.0	0.0	119.78	111.51	0.0	146.44	0.0	61.53	5.67	27.97	10.53	11.32	14.61	48.8	9.37	179.12	58.93	38.92	44.35	0.0	175.65	0.0	0.0	0.0	0.0	6.96	125.83	0.1	1.98	634.79	480.02	0.0
Gm4724	0.0	0.0	0.0	0.63	11.58	0.0	0.03	0.0	0.0	0.0	1.33	0.17	8.44	0.0	0.48	4.76	8.15	0.0	6.89	0.0	0.06	0.0	12.82	18.78	0.2	0.0	4.13	0.0	21.71	0.0	0.0	0.28	0.0	13.33	0.44	0.07	0.24	10.36	11.07	0.0
Gnl1	0.0	0.0	0.0	14.65	1.65	0.0	0.0	0.0	0.1	0.0	0.0	0.15	0.0	0.22	78.04	1.72	0.0	0.0	0.0	1.08	0.49	0.0	2.03	54.29	18.61	0.0	41.58	0.0	11.93	0.0	0.0	0.0	0.0	0.24	66.29	0.0	0.0	214.76	244.97	0.0
Grm2	0.0	0.0	0.0	0.0	115.02	0.0	0.0	0.0	0.0	0.0	86.61	0.0	0.0	0.0	0.0	0.0	8.89	9.56	0.12	0.0	0.0	39.15	8.98	54.47	0.0	0.0	0.0	0.0	112.09	0.0	0.0	0.0	0.0	9.36	0.0	0.0	0.0	237.04	82.22	0.0
Gtf2b	0.0	0.0	0.0	0.39	201.05	0.0	0.0	0.0	0.0	0.0	0.0	46.25	0.0	0.0	0.0	119.94	27.75	56.52	42.24	146.35	0.0	0.0	480.88	0.0	394.63	115.28	209.66	0.6	148.67	1.27	0.0	1.05	0.0	82.5	0.0	127.46	875.16	456.29	325.23	0.0
Hivep2	0.0	0.0	0.0	82.41	150.36	6.97	0.0	0.0	0.0	0.0	124.83	47.06	0.0	0.36	48.38	14.6	39.7	25.76	30.65	2.65	7.83	100.4	12.23	26.32	28.79	23.76	27.89	0.0	117.27	0.16	0.0	0.07	0.0	25.62	2.94	0.11	5.0	97.94	51.99	0.0
Hnrnpa3	0.0	0.0	0.11	47.48	7.24	125.43	53.96	0.0	0.0	3.76	36.46	181.69	0.0	32.66	73.9	39.6	96.6	67.55	4.02	96.11	21.49	35.5	81.42	42.04	121.97	61.92	50.6	0.28	96.69	137.19	0.55	1.34	0.0	74.63	119.3	3.45	7.37	490.25	386.84	369.94
Il11ra2	0.0	0.0	0.0	0.05	8.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.44	0.0	0.0	0.66	0.0	0.22	0.38	8.89	0.0	0.24	4.38	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.11	0.0	0.0	1.48	30.69	0.0
Mir690	18673.1	26828.41	15929.17	15143.79	25738.25	19953.62	19376.41	15562.4	11002.17	22720.97	30464.78	14240.81	11918.89	19318.5	17811.71	30528.33	39867.27	42000.18	28765.87	28695.45	17099.63	37370.15	37614.4	24336.09	23271.48	32522.04	16606.18	44948.68	18757.58	42282.55	27759.51	24726.6	35532.88	48007.3	20787.5	17302.77	26597.61	11428.89	6261.17	19413.83
Mrps18c	0.0	0.0	0.0	70.29	24.88	443.44	1158.21	0.0	0.0	0.0	510.21	319.68	572.81	1.32	406.0	322.42	388.51	321.11	626.45	508.66	244.67	1049.58	468.35	358.58	806.47	411.0	404.27	0.0	419.48	0.0	0.0	0.0	1357.33	523.65	149.57	0.0	0.91	1018.79	495.74	935.61
Neurl4	1.25	0.0	0.0	0.0	7.18	0.0	0.0	0.0	0.0	0.0	94.66	2.15	0.0	0.0	3.47	23.78	40.26	4.09	0.0	17.96	0.0	12.5	0.0	11.52	31.21	0.06	12.21	0.0	0.33	0.0	0.54	0.0	4.26	0.0	0.0	45.56	0.0	41.53	44.22	0.0
Nrgn	0.0	0.0	0.0	200.45	473.18	89.8	0.0	0.0	0.0	0.0	534.22	300.82	0.0	6.64	365.56	310.53	424.41	453.64	386.44	312.93	171.88	393.74	381.2	385.21	327.16	458.48	216.66	0.58	535.73	0.61	0.0	0.0	0.0	391.18	348.24	0.28	0.99	808.85	643.84	0.0
Nsmce2	0.0	0.0	0.0	53.22	0.0	71.86	0.0	0.0	66.54	0.0	1.17	216.63	0.0	0.0	121.68	0.61	16.6	20.98	404.29	22.14	65.71	125.72	147.56	0.5	106.49	250.94	67.26	0.0	32.96	0.0	0.0	291.16	0.0	5.41	38.48	162.93	0.61	532.26	281.28	0.0
Nucb1	0.19	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.68	0.0	0.0	33.69	34.96	91.72	37.04	46.73	0.0	0.18	0.31	0.0	0.85	57.24	0.0	0.0	0.0	29.17	1.13	0.0	169.53	0.0	53.52	31.94	0.13	0.39	61.44	116.47	0.0
Odz2	0.0	0.0	0.0	17.86	59.29	2.36	0.0	0.0	0.0	0.0	34.33	22.0	0.0	0.18	29.94	22.83	32.0	35.01	8.32	14.98	10.25	28.31	25.52	29.61	5.91	17.84	9.9	0.0	39.23	0.0	0.0	0.0	0.0	63.22	8.12	0.0	0.0	134.71	69.71	0.0
Osbpl3	0.0	0.0	0.0	9.31	1.1	0.0	0.0	0.0	0.0	0.0	0.2	1.4	0.0	0.18	1.11	0.1	0.29	0.0	29.39	4.56	47.03	70.3	11.77	29.89	19.16	0.21	1.31	0.0	0.0	0.0	0.0	0.0	0.0	29.38	117.62	0.05	0.0	195.11	130.01	0.0
Pip5k1c	0.0	0.0	0.0	24.7	144.31	86.05	0.0	0.0	0.0	0.0	63.67	115.98	0.0	0.14	68.25	62.57	12.34	27.19	26.32	28.5	4.81	31.24	29.88	141.72	43.68	64.92	43.14	0.17	101.65	0.0	0.0	0.0	0.0	69.15	19.1	0.17	0.39	236.56	145.14	0.0
Psmb4	90.01	0.45	0.0	184.65	169.57	34.53	0.0	335.48	0.61	0.0	0.0	0.46	0.0	0.66	186.22	232.32	12.05	155.76	111.43	45.53	0.74	80.08	90.19	89.54	31.12	86.85	136.36	0.8	413.38	0.85	1.56	1.41	204.12	132.66	0.0	0.77	0.45	500.25	388.46	459.34
Ptgdr	0.0	0.0	0.09	0.0	0.66	0.12	0.0	0.1	0.16	0.0	0.0	0.65	0.0	0.0	0.73	0.11	0.46	0.13	0.26	0.27	0.07	0.94	0.55	0.0	0.44	0.22	0.1	0.92	0.39	0.24	0.44	0.65	0.28	0.27	0.0	0.0	0.33	1.2	0.89	0.0
Rab24	0.0	0.0	0.0	0.0	33.39	13.04	0.0	0.0	0.0	0.0	22.45	0.0	0.0	0.0	0.0	3.29	2.8	32.85	0.0	0.92	0.0	22.36	0.75	104.07	2.15	0.0	34.57	0.0	50.01	0.0	0.0	0.0	0.0	42.43	0.0	1.72	0.0	306.64	212.3	0.0
Rab5a	105.49	0.0	0.0	135.49	19.09	0.0	0.0	0.0	0.0	0.0	1.1	10.05	0.0	0.0	9.28	0.0	30.76	6.92	127.8	54.0	29.92	100.51	40.82	220.57	99.7	0.14	67.4	0.0	210.35	0.0	0.0	0.0	0.0	15.09	82.45	0.0	680.11	413.7	303.88	0.0
Rac1	0.22	0.18	181.72	200.77	410.15	229.54	211.26	0.24	1.72	98.9	106.09	87.92	0.0	63.8	221.05	47.88	70.38	73.5	79.63	111.82	4.95	204.62	105.79	180.94	85.44	95.49	43.28	0.65	271.54	0.34	57.41	33.37	0.0	85.75	0.0	0.0	0.37	1192.57	808.6	0.0
Rpl31-ps12	0.0	381.38	0.0	52.47	29.36	49.25	387.4	396.84	0.64	55.1	46.1	78.5	0.0	26.06	25.04	60.56	74.5	16.92	68.58	34.15	24.26	90.54	129.74	18.6	77.04	91.06	133.79	5.23	95.66	0.0	0.0	198.71	0.0	124.63	95.54	76.47	5.08	216.33	167.71	3.28
Sec62	132.15	83.48	0.1	211.64	214.71	90.03	708.26	0.0	0.07	21.56	195.91	39.18	67.57	232.14	81.01	141.03	51.5	96.16	100.48	145.76	81.17	41.67	62.08	94.63	161.34	146.11	125.34	0.73	132.82	58.1	51.84	0.0	0.0	93.9	74.34	0.18	0.52	302.21	276.26	3.5
Slc45a1	0.0	0.0	0.0	0.28	0.94	0.15	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	3.43	29.6	6.05	21.07	0.0	35.76	7.61	0.0	0.0	2.66	0.0	1.45	0.29	61.29	0.3	0.0	0.0	0.0	0.0	0.0	0.14	0.16	149.57	224.29	0.0
Smyd5	0.0	0.0	0.0	57.51	0.0	19.35	0.0	0.0	99.8	0.0	0.0	237.49	0.0	0.24	68.86	78.31	37.64	0.28	0.0	0.17	3.27	3.59	0.0	6.03	0.0	53.57	0.37	0.0	136.15	0.0	0.0	0.0	1.2	0.0	0.0	0.57	0.0	404.18	233.17	0.0
Stox2	0.0	0.0	0.0	27.38	0.16	0.0	0.0	0.0	0.0	0.0	56.64	4.42	0.0	0.0	29.57	15.33	0.2	0.55	0.08	4.74	0.0	0.0	0.0	0.06	28.27	7.37	0.03	0.0	18.2	0.08	221.28	0.0	0.0	0.0	3.44	107.23	0.13	84.19	65.46	0.0
Tceal1	0.0	0.0	0.0	115.83	351.36	0.0	0.0	0.0	0.0	0.0	170.17	105.94	0.0	0.0	220.03	103.35	48.2	38.11	108.51	209.79	283.35	230.35	301.02	149.95	124.17	85.07	84.44	0.0	0.32	0.0	0.0	0.0	0.0	0.0	140.73	0.0	0.39	545.59	478.94	42.24
Tgfb1i1	0.0	0.0	0.13	1.95	67.09	0.0	41.95	0.0	0.0	0.0	5.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.83	20.38	0.34	0.0	0.0	19.23	0.0	0.11	1.02	0.24	64.96	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	107.04	94.92	0.0
Tprgl	0.0	0.0	3.24	7.15	13.32	0.0	0.0	0.0	0.0	0.0	76.82	0.24	0.0	468.53	0.0	0.78	15.86	0.0	0.0	0.0	0.0	5.65	101.61	1.61	19.45	0.35	18.46	0.0	21.06	0.45	0.0	0.37	0.0	0.0	4.58	0.0	0.48	353.29	147.76	0.0
Trp53inp2	0.0	0.0	0.0	37.39	67.54	0.0	0.0	0.0	0.0	0.0	124.98	1.8	0.0	0.0	47.17	0.0	49.08	28.1	0.99	6.96	0.0	0.0	16.19	85.84	0.0	0.0	69.22	0.0	0.0	0.0	1.08	0.0	0.0	77.93	0.0	0.0	0.0	128.25	116.0	0.0
Upf2	0.0	0.0	0.0	2.58	109.29	0.0	0.0	0.0	0.0	0.0	0.25	1.52	0.0	0.0	23.71	4.14	29.97	21.69	6.49	2.83	3.11	0.0	37.88	0.11	4.57	23.71	0.94	12.54	6.61	0.0	157.72	2.6	27.29	17.45	0.65	7.44	0.0	264.49	130.5	0.0
Wac	0.0	0.0	0.0	34.63	15.45	4.87	0.0	0.0	0.06	0.0	0.79	6.43	0.7	0.12	59.33	5.95	34.19	27.84	103.83	37.95	7.4	9.84	66.67	31.44	60.77	23.48	31.21	0.15	68.63	0.0	1.44	9.22	0.0	26.36	19.08	4.36	3.53	129.41	152.5	0.0
Wdr47	0.0	0.0	0.0	82.45	87.31	86.6	0.0	0.0	0.0	0.14	144.62	38.33	0.0	0.0	102.14	25.44	0.44	51.25	43.95	48.44	165.78	32.22	45.85	34.85	74.43	48.6	110.81	0.0	52.04	0.0	0.0	0.0	0.0	22.95	3.96	11.16	0.39	406.67	376.24	0.0
Yeats2	0.25	0.22	0.04	0.03	1.15	0.29	0.15	0.47	0.08	0.0	0.21	6.34	0.32	0.33	0.15	3.49	16.8	1.28	3.55	7.15	0.06	0.0	0.92	0.1	11.71	0.14	2.11	0.42	35.57	0.4	0.0	0.0	0.49	20.31	0.28	0.12	6.94	187.95	131.29	0.21
Ywhag	0.0	0.0	0.0	60.52	642.58	53.09	0.0	0.0	0.0	0.0	345.84	70.93	0.0	0.84	120.49	137.97	117.21	227.55	51.0	75.69	66.21	93.42	133.93	161.28	43.05	34.18	125.98	0.61	586.61	0.43	0.0	86.39	0.0	109.97	153.01	0.39	1.09	206.6	518.82	0.0
Zfp238	0.0	0.0	0.1	28.35	182.78	0.0	0.0	0.0	0.07	0.0	20.83	85.66	0.0	0.0	50.73	88.89	55.87	69.84	12.13	45.29	34.21	64.27	59.03	53.95	89.94	143.22	79.74	0.0	42.62	0.0	0.0	0.0	0.0	72.12	25.73	0.0	0.0	219.69	357.31	0.0
Zfp445	0.0	0.13	0.0	85.45	205.63	16.31	80.32	2.69	0.04	0.1	0.41	104.64	36.38	0.1	122.77	20.51	143.62	33.06	1.32	8.38	61.13	21.37	20.92	144.91	62.62	16.67	15.07	137.67	53.37	0.32	0.0	352.64	0.1	75.29	131.51	0.06	73.26	174.23	156.85	327.6
Zfp719	0.0	0.0	0.0	0.05	3.19	0.0	0.0	0.0	0.0	0.12	130.81	126.84	0.17	0.0	35.78	25.96	0.0	38.99	0.0	0.0	0.54	0.0	0.42	0.22	0.11	0.0	0.18	0.0	1.6	0.8	0.0	0.0	0.0	0.05	0.0	0.0	0.08	221.27	177.31	0.0
Zfp74	0.0	0.0	0.0	8.75	6.17	0.0	0.09	0.0	0.0	0.49	0.0	30.47	0.0	0.0	1.22	0.0	7.02	0.0	0.0	3.61	47.64	26.51	0.2	1.76	23.66	9.36	5.94	0.9	98.98	0.22	0.77	0.15	0.0	0.09	0.0	0.09	0.22	141.25	148.53	0.0
Zrsr2	0.41	0.0	0.0	35.67	4.87	43.01	49.6	0.0	0.0	0.0	91.58	5.8	0.06	0.0	88.56	59.88	18.32	7.17	0.0	9.25	3.16	35.44	0.52	0.0	1.43	0.0	29.61	0.0	43.85	0.0	0.36	0.33	0.15	27.57	0.0	0.1	0.42	155.54	143.1	0.0
