	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_7	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_33	Htr3a_tdTpositive_cell_35	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_15	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_39	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_11	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_45	Sst_tdTpositive_cell_64	Sst_tdTpositive_cell_75	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_47	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_53	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_64	Vip_tdTpositive_cell_68	CAV_LP_Ipsi_tdTpos_cell_34	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Crygn	0.0	0.0	0.0	0.0	34.78	0.0	5.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.4	0.0	0.0	0.0	0.0	16.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	1.46	0.35
Disp2	73.43	76.29	28.06	139.21	11.57	125.67	62.51	269.62	6.63	48.59	72.43	127.05	23.31	169.66	61.22	97.31	92.97	156.82	74.33	28.58	13.64	53.89	8.5	17.26	0.95	90.05	97.14	7.98	95.98	136.1	223.66	0.0	43.94	82.1	58.7	95.97	45.31	175.54	50.19	67.69	60.32	143.97	222.98	66.37	56.08	80.78	116.4	18.88	49.45	42.59	153.21	9.22	48.45	142.18	142.99	146.68
Dlgap2	0.03	0.0	0.0	0.0	0.0	48.09	21.41	3.51	30.03	0.0	11.98	0.0	125.43	18.18	2.12	40.66	44.25	0.0	5.44	34.43	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	71.27	59.3	0.0	0.0	38.07	50.76	3.01	0.0	39.73	48.18	40.67	21.78	1.57	38.99	26.93	0.0	99.21	0.0	0.0	16.84	0.04	0.0	0.0	0.0	0.89	46.96	39.79	45.7
Entpd4	6.2	0.0	0.0	59.72	0.0	35.42	121.72	0.0	0.0	0.0	0.0	0.0	0.96	0.0	0.0	7.48	0.0	1.02	11.09	4.27	0.0	0.0	0.0	0.0	1.04	0.0	50.38	0.48	5.4	18.14	0.64	0.0	88.92	45.73	0.49	14.25	0.0	18.27	0.0	0.09	0.0	90.47	8.43	0.0	0.0	0.0	0.0	0.0	72.45	0.0	0.0	0.0	0.0	98.2	97.74	126.54
Fam108b	0.06	0.0	0.0	0.0	0.0	0.0	2.98	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.17	85.58	0.0	0.0	0.0	0.18	0.0	0.0	0.0	199.4	90.53	182.59	0.0	0.0	0.09	45.03	0.0	32.64	0.0	12.08	0.0	0.0	82.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	38.13	32.38	33.01
Fam168b	20.56	0.63	0.0	1.23	6.97	164.83	64.37	225.32	0.17	0.0	0.98	1.75	0.0	0.0	0.84	58.99	46.14	0.06	1.82	0.0	38.82	1.69	0.08	0.0	0.0	57.3	0.0	31.18	78.18	38.75	0.57	0.0	43.68	16.72	38.09	68.6	30.8	1.53	39.81	10.51	88.94	40.71	107.47	0.0	1.46	0.16	1.25	3.18	93.18	0.39	1.82	3.52	36.74	190.42	187.9	191.71
Gabbr2	0.07	0.0	0.16	53.07	0.0	12.31	27.61	0.0	0.0	0.17	0.36	0.0	0.15	8.31	0.0	3.64	44.89	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.33	3.98	1.23	0.0	10.72	18.04	0.1	0.34	0.0	28.46	50.6	0.0	0.0	47.64	7.68	0.0	0.0	0.0	0.1	0.0	22.37	0.0	0.0	3.25	19.17	156.54	138.94	168.37
Gas6	0.05	0.0	0.0	0.0	0.0	0.0	29.12	25.73	0.0	0.4	67.62	0.0	0.23	0.0	1.32	32.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.09	0.0	0.0	40.12	93.49	0.0	0.46	37.44	24.08	0.53	0.0	129.66	22.8	0.0	0.0	0.0	22.18	0.0	0.0	9.11	0.46	0.0	3.03	0.0	0.0	56.56	0.09	94.08	100.64	91.71
Gas7	3.23	1.51	0.85	3.6	37.93	62.71	38.14	0.0	23.43	0.05	0.0	5.06	39.78	9.16	7.46	37.9	48.04	41.4	11.61	68.2	0.0	0.06	0.0	108.89	0.0	28.25	0.38	3.64	99.74	14.62	12.71	0.0	13.25	12.46	76.5	128.85	33.23	142.82	35.03	70.75	9.22	107.71	6.46	0.0	0.15	0.11	0.0	0.0	0.11	0.22	63.69	0.26	128.2	186.15	181.08	185.5
Gm13306	6.84	0.0	0.0	0.0	0.0	15.08	11.32	17.73	0.0	6.68	4.28	0.0	2.7	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.03	0.0	0.0	10.06	0.0	6.57	5.02	22.21	31.22	0.0	0.0	4.66	0.0	0.0	0.0	1.16	0.0	4.04	0.0	0.0	0.0	20.26	13.03	0.0	0.0	8.98	0.18	0.0	0.0	0.0	1.51	3.43	30.63	28.29	22.96
Gm2506	6.84	0.0	0.0	0.0	0.0	15.08	11.32	17.73	0.0	6.68	4.28	0.0	2.7	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.03	0.0	0.0	10.06	0.0	6.57	5.02	22.21	31.22	0.0	0.0	4.66	0.0	0.0	0.0	1.16	0.0	4.04	0.0	0.0	0.0	20.26	13.03	0.0	0.0	8.98	0.18	0.0	0.0	0.0	1.51	3.43	30.63	28.29	22.96
Ids	0.37	0.45	6.25	0.41	20.92	32.04	69.45	23.83	3.98	0.38	161.86	8.71	6.94	47.51	85.69	20.84	1.35	0.84	7.61	11.36	2.1	78.99	0.5	44.0	4.63	6.54	72.92	1.0	65.22	1.57	16.92	0.11	0.14	45.93	90.17	28.27	7.82	104.46	14.71	28.72	14.58	7.01	2.32	24.16	10.8	0.43	82.04	0.49	11.31	0.19	47.62	50.05	56.39	309.23	297.91	298.29
Impact	5641.63	5933.6	5742.52	5893.94	5828.08	6891.15	2114.86	5208.51	7007.16	6174.14	5040.02	6228.16	6826.9	5966.4	5706.9	4606.0	6067.16	7392.12	5000.79	6076.78	3842.15	7253.7	5401.16	4770.71	6720.17	4856.39	5764.63	6840.91	5707.95	5620.11	6940.54	1442.04	6228.26	5532.1	5220.34	6020.42	6867.61	2602.58	6400.32	6279.58	4828.45	5683.71	3784.62	4534.68	7015.38	5768.41	4812.38	6662.18	4668.08	5602.4	6284.88	4786.26	5790.54	175.57	164.62	161.8
Kcnb1	0.07	49.6	17.85	0.0	27.22	54.05	18.24	0.0	7.2	0.06	0.0	0.0	0.0	0.0	6.27	20.6	51.5	15.81	26.21	0.0	0.0	0.0	0.0	38.79	0.04	0.0	0.04	12.74	0.0	51.29	37.59	0.05	25.94	0.01	2.03	14.55	9.35	60.7	4.22	4.47	38.05	11.19	78.83	0.0	11.53	0.0	13.35	0.73	0.05	33.92	0.0	0.16	28.07	80.83	75.26	86.16
Maneal	0.0	0.0	0.0	0.0	0.0	1.57	3.24	0.0	0.0	232.69	0.0	0.0	0.0	0.0	0.0	0.0	10.95	0.0	0.0	0.17	0.0	0.0	44.81	0.0	0.0	0.0	0.0	0.0	84.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	211.48	0.0	0.0	1.92	15.89	219.2	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.06	49.82	52.61	50.28
Mcm3ap	0.0	0.0	0.0	0.0	0.0	1.01	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.72	14.89	0.0	19.77	0.0	0.03	0.08	0.0	0.05	2.02	0.0	3.22	26.88	39.25	2.58	0.04	0.0	0.0	0.0	0.0	6.12	0.06	0.0	0.0	0.0	0.12	58.62	0.0	25.47	27.34	27.67	27.57
Nrd1	0.0	1.68	0.0	0.0	10.6	37.46	102.14	163.2	0.0	0.0	0.0	295.25	17.7	100.07	20.25	34.21	77.32	0.0	0.09	9.85	0.0	0.0	2.72	0.0	42.24	0.93	8.3	14.58	1.81	20.52	31.62	0.0	0.07	40.42	38.3	13.95	23.16	64.62	4.12	57.12	0.0	2.83	86.13	0.0	1.57	83.05	3.42	0.0	15.64	5.72	0.0	62.51	0.17	95.97	89.11	99.9
Oaz2	0.0	2.45	0.0	0.0	5.64	10.0	234.36	156.09	7.68	0.0	0.0	0.0	0.0	252.9	0.0	148.18	170.77	15.17	0.0	0.0	0.0	49.66	0.0	0.73	0.0	0.53	243.93	0.0	147.41	34.75	1.62	0.0	91.88	1.29	2.52	0.95	6.37	129.65	55.76	0.0	0.0	355.2	132.55	0.65	77.68	54.94	0.0	0.27	0.18	0.85	0.28	1.31	0.1	205.75	212.47	201.97
Oxct1	0.28	18.45	16.68	0.0	144.1	78.27	278.48	0.15	116.95	451.42	170.23	3.42	38.8	137.68	70.02	4.6	101.05	5.11	66.86	20.32	8.34	116.1	0.0	134.68	4.58	7.64	21.88	221.95	144.47	104.65	118.81	0.0	46.2	29.96	7.0	134.12	113.19	249.47	119.61	126.26	267.34	18.93	328.05	2.3	19.61	176.16	23.88	0.14	169.66	0.22	5.34	217.02	46.63	237.85	234.89	230.25
Pbx1	0.0	0.0	0.0	0.0	5.55	129.56	27.05	0.0	0.0	0.05	52.04	1.83	8.47	0.0	0.0	0.06	30.71	0.0	0.17	0.2	0.0	0.0	0.0	0.0	6.2	2.11	0.19	0.07	17.46	15.51	1.55	0.0	29.82	40.7	24.55	1.22	33.92	48.53	6.85	0.0	48.38	36.86	0.96	0.0	16.54	0.0	23.63	0.0	15.81	29.92	0.0	0.0	187.28	64.04	62.21	64.09
Pclo	1.94	0.87	21.72	2.12	2.95	27.98	27.79	32.03	43.44	1.0	1.34	0.55	67.16	0.1	46.35	126.39	46.14	51.77	36.6	10.35	14.38	22.97	0.05	88.49	11.32	42.64	42.42	3.44	107.67	57.91	5.71	0.09	8.21	21.45	19.59	25.12	52.36	43.3	42.68	31.36	30.14	44.83	79.13	8.34	0.8	38.16	0.5	22.14	1.07	0.98	22.42	47.6	38.82	60.14	52.02	64.43
Ppp1r9a	0.07	0.0	0.0	18.84	5.66	38.41	13.54	31.67	0.0	0.11	0.03	34.98	84.24	104.15	45.48	2.34	21.11	105.35	54.78	0.0	0.09	3.19	0.08	0.0	80.33	26.74	18.45	2.66	28.59	6.75	0.1	0.01	0.27	22.22	0.16	16.23	7.11	75.78	0.63	60.5	0.09	41.26	1.65	0.01	25.94	10.33	2.26	24.78	26.62	0.32	37.82	47.74	67.78	116.6	102.97	112.99
Rbfox2	0.06	0.0	9.78	0.19	0.0	20.21	34.54	9.87	0.0	0.0	0.0	85.18	52.71	11.01	0.0	19.32	5.39	0.05	22.15	0.0	2.1	0.0	0.0	0.07	0.07	7.09	22.22	0.22	2.67	53.59	7.05	0.0	0.76	2.19	42.6	16.34	3.35	4.96	2.14	0.0	7.88	116.73	0.28	0.0	28.82	2.71	12.34	0.15	0.1	0.0	0.08	2.87	78.82	114.48	109.59	110.57
Rer1	0.0	0.0	0.0	17.3	3.25	70.33	36.74	4.19	203.26	0.0	184.02	0.0	4.37	114.5	1.15	0.0	317.19	0.0	109.8	0.0	0.0	73.51	0.0	0.3	0.0	0.0	120.06	80.68	115.39	107.98	0.99	0.0	9.3	31.49	73.6	2.98	0.0	283.79	0.0	0.0	0.0	0.0	0.0	0.0	2.55	0.27	0.0	0.0	0.0	0.0	19.28	3.19	29.68	71.44	77.51	72.93
Rgs7bp	12.17	5.66	13.42	22.21	20.16	19.57	100.71	12.13	1.81	1.57	11.91	2.3	50.08	55.64	0.65	17.76	144.38	1.32	44.63	1.32	29.09	4.36	21.74	88.21	49.22	0.58	62.0	11.19	73.7	19.52	91.2	2.82	29.28	13.63	20.2	16.47	60.72	78.08	10.02	63.88	44.75	96.66	27.36	1.27	1.61	2.27	5.45	109.18	54.62	2.99	17.42	67.75	69.03	124.57	101.66	124.47
Rnf138	0.0	0.0	0.0	0.0	5.78	3.34	4.04	21.27	0.0	0.0	0.0	0.0	0.0	235.67	11.26	83.92	5.49	0.0	0.0	0.0	0.0	5.73	0.0	0.0	8.66	0.0	162.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.1	0.0	73.51	88.92	0.0	0.0	0.0	9.51	0.0	0.0	111.03	0.0	0.26	0.0	0.05	0.26	0.0	22.37	4.79	12.56	12.27	10.79
Rnf157	0.0	0.0	0.0	100.6	24.8	46.83	66.31	0.11	0.0	0.0	75.21	0.0	0.0	0.0	0.18	54.67	25.76	0.0	0.0	0.0	0.0	62.85	0.0	0.0	77.57	1.76	70.84	78.42	0.0	69.14	60.67	0.0	0.88	36.28	18.33	109.2	63.67	170.73	110.03	5.59	47.19	23.08	40.82	0.51	78.61	0.09	0.08	0.0	0.03	0.33	0.0	0.0	15.78	165.94	162.23	173.95
Rxra	0.0	0.0	0.0	0.0	0.0	0.0	9.1	19.67	0.0	0.0	0.0	0.0	0.0	10.08	0.0	0.0	0.0	0.0	0.0	0.0	74.36	0.0	0.0	8.51	0.0	0.0	0.17	0.0	0.05	0.0	0.46	0.0	0.06	0.0	0.0	0.0	0.0	35.09	0.0	0.0	0.0	0.0	67.32	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.34	0.0	14.03	15.47	15.08
Sdc3	0.0	0.0	0.0	36.08	0.0	0.13	0.21	0.1	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.04	0.0	0.0	0.0	0.0	0.0	0.0	42.82	28.86	0.1	0.0	0.06	0.04	0.23	0.0	0.0	4.92	1.51	0.0	0.0	40.5	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	108.9	116.76	111.8
Slc12a2	0.0	0.0	0.0	0.0	0.0	6.62	0.0	0.0	0.87	0.0	32.02	0.16	0.0	0.0	0.0	0.44	0.06	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.32	0.0	0.0	207.83	0.0	0.0	7.79	0.0	0.04	21.44	0.0	16.55	0.07	44.92	0.0	0.0	0.0	52.78	30.86	0.0	0.0	0.06	0.0	64.92	0.0	0.0	0.0	0.0	0.0	38.31	35.44	39.2
Spata2	0.1	0.0	0.0	0.0	0.0	23.91	16.75	50.86	0.2	0.0	0.0	0.0	4.12	5.2	0.0	31.9	16.03	0.09	0.0	0.0	0.0	0.0	0.0	0.11	0.0	30.92	19.73	0.0	27.42	14.71	1.84	0.0	49.8	0.0	0.67	6.79	64.58	49.74	68.43	0.0	50.31	21.65	6.24	0.0	0.0	0.0	31.9	0.0	0.0	0.0	0.0	0.15	0.04	51.24	53.51	47.27
Tbc1d19	53.08	0.0	0.0	144.11	0.0	195.27	46.83	0.0	0.0	108.39	3.93	270.94	69.04	0.0	0.0	0.77	1.78	0.13	0.0	21.88	0.0	163.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	182.27	0.0	0.0	2.86	0.0	0.0	26.69	6.09	85.85	76.62	10.56	0.0	49.91	193.52	41.87	1.61	1.34	0.15	0.18	10.97	0.0	0.0	0.0	0.0	30.03	28.6	30.63
Tm9sf2	0.46	0.0	0.0	49.84	0.0	0.0	95.55	278.88	6.98	0.0	15.64	0.0	0.0	47.24	76.74	92.53	53.43	0.0	35.91	0.0	0.0	105.74	0.0	0.0	0.0	53.22	82.65	0.48	3.59	3.77	0.0	0.2	70.33	6.31	0.0	0.0	0.0	194.81	0.59	0.0	0.0	0.0	0.0	0.0	0.06	0.0	62.6	2.87	1.88	0.0	0.16	0.0	168.45	117.92	122.27	115.06
Tmem30a	0.08	0.0	0.0	118.03	89.12	127.36	195.15	111.91	0.45	14.33	81.9	0.0	96.47	361.75	190.93	36.0	187.0	0.1	261.66	14.36	0.0	0.0	0.0	0.0	0.25	8.19	2.04	71.28	0.0	74.32	51.94	0.0	1.03	167.03	99.07	240.04	41.91	212.51	62.12	68.27	91.51	92.23	126.43	0.0	40.07	139.88	0.0	0.13	0.26	1.89	0.0	78.15	18.47	311.87	297.75	306.82
Tmod2	17.21	38.87	80.87	39.89	93.82	116.54	72.3	3.09	53.23	165.02	35.47	57.94	38.42	58.84	97.19	75.74	3.68	89.95	44.84	83.64	65.86	32.59	0.12	51.31	113.78	37.8	143.34	101.4	42.7	18.29	138.97	0.03	43.54	61.71	46.39	54.62	25.73	123.42	21.48	51.6	58.96	74.35	86.69	42.85	43.86	24.63	18.69	62.02	0.64	0.52	46.02	56.62	78.43	147.06	135.01	149.73
Trak2	43.79	1.25	0.0	0.1	0.0	39.95	65.25	0.08	0.0	0.0	2.28	32.56	64.65	47.56	0.14	0.2	0.13	0.06	0.0	0.0	0.0	1.91	77.11	12.23	0.0	0.0	65.73	0.0	0.0	0.0	0.0	0.0	42.66	3.15	7.75	29.68	0.0	74.13	0.43	0.05	0.97	6.47	70.1	0.13	0.0	0.0	0.0	0.15	23.51	0.0	1.28	22.82	0.03	105.63	100.92	106.39
Wasf1	13.07	0.0	52.87	20.79	70.26	382.98	95.3	231.8	12.62	54.45	46.55	55.22	141.07	94.45	14.47	56.74	158.35	1.93	138.35	68.19	6.34	77.14	13.27	62.94	34.51	237.01	58.57	25.86	57.48	94.57	17.47	0.0	77.82	111.52	115.55	122.32	84.96	186.05	108.21	154.73	455.08	179.02	52.91	12.8	5.63	39.45	35.78	1.92	37.26	61.6	12.29	32.74	179.34	242.31	254.97	239.39
Ywhag	119.68	74.82	7.53	37.21	49.09	78.9	343.95	149.14	15.08	2.45	52.53	224.18	65.37	18.74	348.96	75.69	399.91	0.0	84.39	202.0	35.4	183.37	8.56	176.56	62.75	79.03	174.51	16.19	27.71	96.88	181.73	14.47	0.33	88.1	85.24	57.81	96.9	357.98	78.46	40.67	11.85	147.23	121.79	72.04	98.52	102.16	3.08	4.84	139.52	17.28	23.97	174.49	3.55	763.25	785.32	749.06
