	Calb2_tdTpositive_cell_3	Chrna2_tdTpositive_cell_58	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_71	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_76	Rbp4_tdTpositive_cell_11	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_67	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
AU019990	0.38	0.37	2.11	0.2	0.28	3.05	0.0	0.76	0.36	0.17	0.2	0.06	0.8	0.08	0.0	0.0	0.0	0.48	0.0	0.08	0.25	0.28	0.11	0.12	0.0	0.33	0.52	0.0	0.43	0.34	0.0	0.41	0.2	0.36
Acot8	0.0	88.31	0.0	0.0	0.0	132.8	0.0	0.0	0.0	0.0	0.0	32.81	0.0	4.47	5.77	0.0	0.37	0.0	0.0	60.9	9.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.58	22.18	17.69	14.85	17.29	15.97
Actn2	0.54	0.69	0.63	0.0	0.84	22.0	0.17	0.0	1.8	0.14	2.42	2.91	0.36	2.33	0.0	0.0	0.25	0.45	0.5	0.0	0.82	0.19	0.52	0.59	5.75	0.17	0.0	0.1	0.6	6.45	3.9	21.1	23.91	21.73
Aff2	0.0	0.0	0.0	0.0	0.0	57.71	0.0	0.0	0.0	0.0	15.84	0.0	0.0	0.04	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.44	0.07	0.08	0.84	6.41	6.14	7.48
Aldh1a3	0.0	0.0	0.0	0.0	0.0	18.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.74	0.78
Ankzf1	0.0	0.6	0.0	0.0	0.0	139.32	0.0	0.0	0.27	0.0	28.77	0.0	32.36	0.12	45.96	0.0	41.29	0.0	30.14	0.46	0.08	0.0	0.0	0.16	0.0	0.0	0.0	22.86	9.8	7.83	4.81	24.78	27.09	26.52
Ap3s1	0.0	80.19	0.0	0.0	4.6	128.35	0.0	0.0	0.0	0.0	27.43	1.93	33.2	0.12	25.35	0.0	0.0	84.63	0.0	21.54	29.38	0.16	0.0	0.0	0.0	4.3	0.0	0.0	24.87	26.63	25.59	84.21	81.49	77.91
Arl4a	0.0	0.11	136.09	0.0	39.67	365.67	0.0	579.09	0.25	4.88	1.3	3.22	1.39	0.28	0.1	105.35	2.95	2.04	8.54	0.12	45.41	0.03	0.12	0.41	0.54	2.38	0.0	154.73	16.06	14.41	9.92	25.16	25.88	27.04
Atf5	0.0	0.0	26.69	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.4	0.0	18.53	19.7	21.07
Atp2b3	0.0	1.38	0.0	0.0	0.14	2.45	0.0	0.0	1.3	0.0	0.0	0.0	0.06	0.07	0.1	0.0	0.0	2.02	1.52	0.0	0.0	0.0	0.04	0.02	0.4	0.07	0.0	0.05	3.51	5.48	2.84	71.78	71.4	77.52
Bcr	0.0	12.77	0.0	0.0	0.0	15.8	0.0	0.0	0.0	0.0	0.0	0.83	0.07	0.68	0.0	0.0	0.0	0.08	0.0	11.12	19.55	0.17	0.21	0.19	0.0	0.0	0.0	0.0	2.39	6.5	3.67	72.62	70.21	69.03
Bhlha15	0.0	0.05	0.0	0.0	0.17	0.27	0.0	0.0	0.0	0.0	0.0	0.05	0.14	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.0	0.2	0.03	0.15
Birc6	8.5	43.55	43.65	44.38	34.13	81.21	9.01	178.65	26.91	31.08	27.1	14.63	17.43	10.7	46.01	27.4	28.27	43.62	34.05	30.38	30.1	10.15	30.24	16.4	49.87	23.59	37.86	43.67	52.2	37.97	45.13	32.65	28.87	33.37
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Brms1	4.69	0.0	0.0	0.0	1.78	212.48	0.0	0.0	120.26	109.56	79.78	0.0	0.0	0.0	24.98	132.5	0.0	58.66	0.0	178.36	82.49	0.09	127.35	111.57	0.0	47.74	100.35	0.0	93.12	78.14	100.63	28.72	34.04	30.95
Btn2a2	0.0	0.0	0.0	0.0	0.04	99.07	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	1.06	1.33
Ccdc134	3.4	0.0	0.0	0.0	149.55	101.63	0.0	0.0	0.0	0.0	0.0	7.12	0.0	0.0	0.0	0.0	5.57	0.0	63.11	0.21	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	5.73	5.93	4.45	9.89	9.32	10.03
Ccdc159	0.0	0.0	0.0	0.0	0.2	132.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	8.28	1.4	0.07	0.0	0.0	0.0	0.0	0.0	0.0	33.31	2.97	3.2	1.38	15.65	17.8	15.3
Ccdc94	0.0	0.0	0.0	0.0	0.0	69.38	0.0	0.0	0.0	0.0	0.0	14.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.17	3.79	9.31	10.05	10.17
Cd200r4	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.42
Cdk18	0.0	0.0	0.0	0.0	0.0	58.5	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.45	3.07	28.56	32.08	32.29
Cenpm	0.0	0.0	0.0	0.0	0.0	72.69	0.0	0.0	0.0	71.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.22	0.0	0.0	0.0	0.0	0.51	0.0	0.32	3.8	3.93	4.48
Chka	3.91	4.37	3.7	6.28	168.98	234.36	3.67	5.02	10.7	2.55	2.34	2.62	8.74	99.84	1.85	98.28	119.32	41.45	2.99	4.47	55.15	3.38	4.49	4.35	30.62	3.03	9.66	2.1	17.61	20.85	14.47	72.74	69.9	68.95
Cldn4	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0
Clrn2	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	1.01	0.33
D030018L15Rik	0.0	0.0	0.0	0.0	0.02	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.02	0.05	0.03
Dmbx1	0.0	0.0	0.0	0.0	0.03	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.18	0.03
Dmxl2	18.9	2.57	0.0	0.04	15.37	132.25	0.0	0.0	0.48	35.2	21.54	59.08	13.79	16.0	16.25	6.47	72.68	61.53	50.44	48.27	81.89	12.42	4.98	51.45	0.0	53.81	63.9	38.6	29.7	24.77	26.6	84.29	75.36	80.67
Dnajb1	0.0	0.0	102.08	0.0	44.22	304.22	0.0	0.0	5.06	0.0	1.44	0.62	95.24	26.51	0.0	5.33	0.38	12.54	0.0	0.19	0.35	0.05	0.0	20.31	0.0	0.0	0.0	0.0	14.54	16.41	19.26	57.23	54.6	43.39
Dnmbp	0.0	0.0	0.0	0.0	0.0	17.66	0.0	0.0	42.37	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.07	0.85	6.09	5.8	7.07
Dock8	0.1	0.18	0.63	0.12	0.15	0.8	0.01	0.53	0.08	0.37	0.16	0.0	0.03	0.18	0.29	0.3	0.07	0.14	0.07	0.11	0.02	0.0	0.04	0.05	0.0	0.0	0.14	0.19	0.15	0.17	0.09	2.6	1.85	2.05
Dom3z	0.0	0.0	0.0	0.0	0.14	262.88	0.0	0.0	0.0	0.0	5.51	0.12	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.65	9.46	3.91	21.39	20.75	20.08
Efna2	3.26	0.0	0.0	0.0	0.0	26.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	1.2	0.0	3.15	0.0	0.0	72.57	0.0	0.0	0.0	0.28	0.65	0.0	7.62	8.45	8.53
Efna4	0.0	0.0	0.35	0.0	0.0	1.23	0.0	0.21	0.41	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.37	0.19	0.44	0.44	0.42	0.35	0.73
Egflam	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	2.16	1.97	1.95
Egln3	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	10.01	9.21
Egr2	0.26	0.0	0.0	0.0	118.7	276.33	0.0	0.0	0.74	0.0	0.48	14.16	0.0	0.0	58.85	0.0	33.56	94.7	20.81	58.04	26.29	0.0	0.0	0.04	0.0	0.0	388.71	0.0	7.94	3.01	5.38	21.44	16.45	5.9
F5	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.3	0.23
F930015N05Rik	0.0	0.0	0.0	0.2	0.06	0.18	0.32	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.54	0.0	0.0	0.15	0.0	0.08	0.1	0.99	1.02	1.08
Fam105a	0.0	0.0	0.0	0.0	0.0	73.07	0.0	0.0	0.0	0.0	0.0	0.0	0.09	1.34	23.55	41.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26	103.7	0.0	0.0	0.0	7.13	5.1	5.56	19.96	18.66	17.77
Fam185a	0.0	0.0	0.0	0.0	0.0	103.08	0.0	0.0	0.0	0.0	58.21	0.03	0.0	0.22	2.08	7.79	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	1.78	3.91	14.83	14.06	13.83
Fam193a	45.28	0.0	0.0	0.0	0.0	88.15	0.0	0.0	0.0	0.0	0.02	1.82	14.15	1.05	0.0	0.0	41.21	10.25	4.63	0.0	0.0	0.0	1.14	0.0	0.35	0.0	68.38	11.44	5.96	5.1	6.63	21.4	21.54	21.91
Fam55d	0.0	0.13	0.0	0.0	0.0	55.29	0.0	3.71	35.11	0.0	0.0	0.03	4.11	0.0	0.0	0.0	0.0	10.12	0.0	46.51	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	2.62	3.57	5.67	11.05	10.3	10.74
Fibp	0.0	2.79	0.0	0.0	0.0	332.67	0.0	0.0	154.37	0.72	74.95	0.07	134.57	21.92	107.45	0.0	12.62	53.37	0.0	0.36	204.32	0.0	53.39	183.1	0.0	0.0	0.0	47.59	44.54	54.73	60.25	48.48	53.01	47.89
Flt3	0.0	0.23	0.0	0.0	0.0	36.26	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.36	0.0	0.0	0.0	0.0	0.0	6.21	4.61	5.11
Gabra3	141.46	0.88	0.0	0.0	0.11	275.26	0.0	0.0	0.0	0.0	0.57	6.44	0.12	24.55	61.35	0.64	13.41	19.02	33.52	6.55	0.06	0.11	0.12	2.59	0.0	125.18	0.06	163.63	95.67	70.69	78.82	97.89	91.92	95.89
Galntl1	0.0	0.11	0.0	0.0	0.0	66.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	33.46	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	9.68	4.8	17.87	87.06	97.14	96.04
Gfer	0.0	0.0	0.0	0.0	0.0	122.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	4.72	6.37	13.27	14.13	14.73
Gm10658	0.0	0.0	0.0	0.0	0.0	50.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	1.25	1.26	0.55	0.9	1.36
Gm11437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.55	0.0	0.0	0.0	0.0	0.16	0.0	0.08
Gm14151	0.0	0.0	0.0	0.0	0.0	2.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.04
Gm3086	0.0	0.0	0.0	0.0	0.0	69.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.13	0.0	0.0	0.0	31.04	0.0	1.79	0.6	1.61	3.1	1.9
Gm5409	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm5741	0.0	0.0	0.0	0.0	0.0	42.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	2.01	0.63	2.07
Gm5833	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.15	0.0
Gnb3	0.0	0.0	0.0	0.0	0.0	52.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.05	0.17
Gtf2e2	168.99	0.0	302.39	0.0	0.07	192.47	0.0	0.0	0.0	137.9	101.4	0.06	0.0	0.45	49.8	0.0	0.0	65.12	0.0	0.0	0.0	0.08	6.33	94.64	0.0	7.92	0.0	0.0	51.76	68.06	61.61	22.01	19.49	18.58
Gucy2c	0.0	0.0	0.0	0.0	0.0	58.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.29	0.13
Hgsnat	0.0	0.0	0.0	0.0	0.08	52.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	30.06	0.0	0.0	3.01	0.0	24.74	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.25	14.39	16.99	50.84	52.82	50.58
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Ier2	0.0	3.05	0.0	0.0	1.49	56.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.76	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.23	0.0	30.94	26.06	17.59
Ifrd2	0.0	0.0	0.0	0.0	0.0	72.23	0.0	0.0	4.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.23	3.68	6.54	8.27	8.54	8.12
Ift140	0.0	0.0	0.0	0.0	0.0	30.86	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.04	6.2	0.02	0.0	0.0	1.49	4.83	2.42	2.64	2.64	1.36	14.92	14.63	14.55
Igsf8	19.79	0.37	0.0	0.0	1.37	167.19	0.0	0.0	7.28	0.0	3.24	0.83	1.53	24.81	25.27	26.0	20.57	0.97	33.66	6.28	30.32	25.86	3.87	18.8	0.0	1.26	5.73	43.19	10.24	11.14	14.38	177.56	211.72	181.99
Il23r	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Il28ra	0.0	0.0	0.0	0.12	0.03	0.16	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.16	0.15
Inca1	0.0	0.0	0.0	0.0	0.0	151.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.75	0.0	0.0	0.0	0.0	35.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	9.87	2.05	2.89	3.9	3.42
Jak1	59.11	26.24	148.56	0.0	5.98	159.05	0.0	0.0	44.49	72.0	6.16	52.68	58.41	81.35	3.69	3.15	76.86	34.99	70.86	8.06	2.74	4.23	20.04	0.5	31.6	20.46	26.63	298.73	64.73	38.52	46.05	101.99	98.06	99.37
Kcnn2	1.13	40.4	0.0	0.0	2.19	111.74	0.0	0.0	0.0	0.21	0.0	1.6	0.0	0.85	0.91	9.48	0.0	0.26	0.0	5.83	49.91	0.06	7.84	0.5	0.0	45.35	0.0	0.0	11.23	15.48	15.14	42.19	43.41	41.94
Kcns3	0.0	0.0	0.0	0.0	0.0	16.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42	6.2	5.29	6.45
Kifc5b	0.0	0.0	0.0	0.0	0.0	12.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	2.05	2.29	2.15
Klhl10	0.0	0.0	0.0	0.0	0.0	16.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	1.21	0.0	0.49	0.51	0.97
Lgals6	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.35	0.0	0.0	0.0	0.0	0.0	2.15	0.09
Lipm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Ly9	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.15	0.25
Mir137	0.0	0.0	0.0	0.0	0.0	49.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79
Mir3101	0.0	0.0	289.15	0.0	0.0	111.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	3.6	5.91
Mkl1	5.92	10.18	0.0	0.0	0.02	82.62	0.0	0.0	0.0	0.0	8.25	0.0	0.0	7.94	7.36	6.42	4.0	0.78	0.0	0.0	0.03	4.78	36.98	2.45	0.0	0.0	0.0	0.0	1.95	4.42	5.05	33.82	40.94	38.6
