	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Crtc1	0.0	0.0	0.0	0.0	4.88	0.0	20.36	0.0	0.0	0.0	0.0	0.0	12.48	1.98	88.78	88.79	94.03
Cse1l	178.83	0.0	0.64	0.0	62.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.81	90.41	53.05	49.92	48.76
Csnk1a1	9.15	0.0	1.16	0.0	39.4	16.28	0.0	0.0	0.0	0.0	0.0	0.0	84.29	66.5	245.55	230.34	231.46
D4Wsu53e	30.87	0.0	0.42	0.0	242.79	97.31	0.0	20.53	47.16	0.0	151.19	213.14	273.11	339.44	334.37	366.77	329.81
Ddah1	0.0	0.0	0.0	0.0	28.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.62	343.88	65.29	65.73	76.84
Ddx11	0.27	0.0	0.15	0.45	0.37	0.0	0.0	0.0	0.44	0.43	0.0	0.0	0.16	0.43	1.53	1.0	1.56
Ddx42	0.0	0.0	7.62	2.82	37.25	9.29	0.0	0.0	37.26	0.0	0.09	0.0	39.84	49.77	64.64	63.71	61.1
Deaf1	0.0	0.0	0.0	0.0	14.42	0.0	0.0	1.73	0.0	19.9	0.0	0.0	10.37	11.34	48.01	52.46	45.99
Dlgap1	0.0	0.0	0.45	0.0	96.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.99	119.71	236.7	227.58	247.69
Dok5	0.59	0.0	4.33	0.41	114.55	0.35	0.0	0.86	0.54	0.38	0.34	1.15	231.09	255.79	38.48	37.51	34.42
Drp2	0.0	0.0	0.0	0.09	10.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56	5.4	42.72	39.93	41.18
Dus3l	1.59	0.0	1.01	0.0	13.08	5.99	10.58	0.0	0.0	0.0	0.0	0.0	52.07	19.24	61.86	69.77	66.39
Elovl4	0.0	0.0	0.0	0.13	87.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.0	70.59	50.04	48.23	43.71
Faf1	0.0	0.0	0.0	0.0	13.69	0.0	0.0	0.0	5.55	0.0	0.0	0.0	0.7	9.08	16.42	18.2	16.94
Gad2	0.11	0.2	0.77	0.35	35.64	0.36	1.51	0.0	0.18	0.12	0.0	0.0	0.47	1.17	84.98	82.55	92.31
Gas7	93.13	125.63	51.3	0.05	30.92	0.0	11.0	68.9	17.49	0.0	3.24	127.12	121.57	518.4	186.15	181.08	185.5
Gm13306	0.0	0.0	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.22	61.27	30.63	28.29	22.96
Gm14430	0.0	0.0	0.0	0.04	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.14	7.67	5.07	7.49
Gm14431	0.0	0.0	0.0	0.19	1.74	0.0	0.0	0.0	1.34	0.0	2.51	0.0	4.1	0.99	8.87	7.17	8.34
Gm14434	0.0	0.0	0.0	0.04	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.14	7.67	5.07	7.49
Gm2002	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.27	1.73	1.86	1.4
Gm20362	0.0	0.0	0.0	0.0	5.61	0.0	0.0	9.11	0.0	0.0	0.0	0.0	14.4	5.04	8.95	7.78	8.67
Gm2506	0.0	0.0	0.0	0.0	40.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.22	61.27	30.63	28.29	22.96
Gm4724	0.0	0.0	0.0	0.04	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.14	7.67	5.07	7.49
Gm8898	0.0	0.0	0.0	0.19	1.74	0.0	0.0	0.0	1.34	0.0	2.51	0.0	4.1	0.99	8.87	7.17	8.34
Hist1h2bq	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.07	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.07	0.38	0.28	0.38
Hist1h4i	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.79	4.32	4.64
Hnrnpu	31.97	80.36	6.46	136.03	364.29	7.97	109.92	309.81	71.5	7.16	193.07	0.0	201.37	124.41	301.12	288.67	297.97
Il11ra2	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	1.27	1.73	1.86	1.4
Ireb2	0.0	0.0	0.1	0.0	28.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.95	17.47	35.2	32.41	34.21
Itpripl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	3.75	3.33
Kcnk3	0.0	0.0	0.15	0.0	0.54	0.0	0.0	0.18	0.0	0.0	0.0	0.0	4.98	10.82	13.08	15.38	14.29
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Krt9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	8.31	9.41	8.57
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lmtk2	0.19	0.0	0.15	0.05	4.21	0.08	0.0	0.0	0.29	0.0	0.0	0.33	6.67	6.09	84.7	79.74	86.39
Mapk8ip1	0.0	0.0	35.6	13.39	4.41	0.0	0.0	0.0	0.16	35.98	44.83	40.1	3.19	2.84	277.88	291.47	297.45
Mtap9	0.0	0.0	0.18	0.0	39.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	44.03	30.0	64.23	56.71	58.21
Ncoa2	1.54	0.0	0.0	0.0	5.14	0.0	0.0	0.0	0.29	0.0	0.0	0.0	13.14	7.57	41.1	39.57	43.52
Nhsl2	0.0	0.0	0.19	0.0	4.22	0.1	0.68	0.0	0.0	0.05	0.0	0.61	8.64	1.9	17.44	16.0	16.79
Nptx1	0.0	0.0	0.87	0.0	19.75	0.0	0.13	0.0	0.0	0.0	0.0	0.0	103.28	76.51	195.59	193.13	194.22
Nrd1	13.84	0.0	13.17	4.18	43.94	0.0	66.31	0.0	0.0	376.52	0.0	0.0	82.29	45.91	95.97	89.11	99.9
Nvl	37.11	0.0	0.0	0.0	53.35	0.0	0.0	0.0	54.35	0.19	0.0	0.0	41.79	57.39	47.81	42.04	48.48
Olfr1033	2.19	0.0	0.0	0.2	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.08	0.71	0.79	0.58
Pibf1	35.78	0.0	0.0	0.0	13.73	0.0	0.0	0.0	17.56	5.99	0.11	0.0	18.66	17.18	7.96	7.79	8.87
Plxna1	0.03	0.0	0.26	0.0	4.64	0.0	0.0	0.08	0.15	0.0	0.0	0.0	0.77	4.24	35.88	37.83	38.57
Plxna2	0.0	0.0	0.1	0.0	17.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.71	20.64	47.46	43.4	46.56
Ppp4c	0.0	0.0	0.0	0.0	8.5	0.0	0.0	0.0	1.83	0.0	0.55	0.0	21.86	9.86	38.48	40.58	40.35
Ppp6r3	0.0	0.0	4.3	0.0	13.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.9	14.53	48.95	48.36	48.93
Prune	0.0	0.0	0.0	0.0	3.54	0.0	0.0	1.99	0.0	0.19	0.0	0.0	32.32	22.36	24.15	23.88	22.47
Ptchd1	0.0	0.08	0.35	0.0	127.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.82	388.53	9.86	8.36	8.11
R3hdm2	0.0	0.0	0.0	0.0	23.28	0.0	0.17	0.0	0.0	0.0	0.0	132.55	60.18	15.22	167.66	158.1	167.93
Rab3gap2	0.0	0.0	15.51	0.0	16.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.58	12.43	45.55	43.56	45.23
Rad23b	0.81	0.0	0.0	0.0	9.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.65	6.61	119.39	127.11	122.14
Rangap1	2.26	0.23	3.97	5.63	68.12	0.21	0.24	1.38	0.94	0.22	0.0	0.61	65.41	56.17	179.52	193.72	182.24
Rasal2	0.05	0.0	0.34	0.26	7.14	0.11	0.68	14.89	0.0	23.94	0.0	0.0	8.59	5.06	34.89	33.03	35.51
Rasgrp1	0.74	0.0	0.58	0.22	89.61	0.12	0.13	0.0	0.0	0.23	0.0	0.0	101.5	147.86	305.33	284.99	284.95
Recql5	0.0	0.0	0.14	0.0	10.45	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.33	5.57	15.6	16.02	16.36
Rgs7bp	0.94	0.19	1.36	0.45	42.87	0.83	0.21	0.8	0.18	0.31	0.06	1.05	39.16	38.42	124.57	101.66	124.47
Rmnd5a	0.0	0.0	0.09	0.0	9.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.78	17.31	71.66	70.02	68.69
Rnf24	0.0	0.0	0.21	0.0	2.61	0.0	0.0	0.49	0.0	0.0	0.0	0.0	13.6	5.42	25.62	24.48	22.78
Rpl7l1	8.5	4.96	70.56	4.89	56.14	279.04	32.37	192.96	5.77	11.18	3.74	12.45	90.62	98.77	38.4	38.42	34.68
Rprd1a	0.0	0.13	0.81	0.0	33.43	60.25	0.0	0.0	0.0	0.0	0.0	0.0	34.07	43.53	89.33	85.64	85.39
Rrm2b	0.0	0.0	0.0	0.0	10.64	0.0	0.0	0.0	0.0	0.0	35.43	0.0	28.38	17.31	26.34	20.33	23.84
Sik3	23.3	0.0	20.18	0.71	11.48	0.0	0.0	0.0	20.81	9.76	0.0	32.74	5.15	5.16	53.53	56.24	58.89
Skint3	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.25	0.06	0.12	0.08	0.25
Slc16a10	55.68	5.62	55.04	1.17	52.5	5.6	23.96	1.34	4.85	3.62	1.0	23.14	41.37	17.23	6.9	5.95	5.57
Slc35f3	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.45	12.64	31.43	30.13	30.67
Slc38a1	0.0	0.0	0.0	0.0	11.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.48	28.34	77.2	74.6	78.82
Smap2	0.0	0.0	1.0	0.0	37.57	83.83	0.0	0.0	5.4	0.0	0.0	0.0	47.86	42.87	140.44	138.22	141.36
Sox7	0.52	0.35	0.0	0.0	0.81	0.0	0.34	0.4	0.45	0.0	0.0	0.44	0.11	0.0	1.89	1.94	1.97
Srgap2	0.0	0.0	0.14	0.0	7.66	0.0	0.0	0.53	3.27	0.0	0.0	0.0	11.65	6.91	32.14	28.78	32.63
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Trf	40934.39	29291.22	59004.26	28131.18	0.0	24636.45	39899.4	47798.56	67608.53	30444.99	25232.5	31832.26	0.0	0.0	219.44	232.71	255.04
Trim44	0.0	0.2	0.0	0.0	49.61	0.27	0.0	98.11	4.11	0.0	64.61	4.04	25.22	30.54	168.22	159.45	165.29
Trim9	0.0	0.0	0.13	0.0	78.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.24	51.54	156.89	148.92	163.0
Trmt1	0.0	0.0	0.0	0.0	26.17	0.0	0.0	0.67	0.0	0.0	0.0	0.0	27.18	19.33	60.21	66.19	61.39
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.63	0.05	0.05	0.05
Ube2l6	0.0	0.0	0.86	0.0	16.33	0.0	0.0	7.95	0.0	0.0	0.0	0.0	18.34	8.22	19.32	16.45	17.84
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vipar	0.0	0.0	0.0	0.0	59.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.99	68.14	47.53	47.76	47.98
Zcchc8	0.0	0.0	0.0	20.85	23.14	0.0	10.16	1.61	0.0	2.77	0.0	0.0	12.16	9.39	16.54	17.01	16.57
Zfp955b	0.0	0.17	0.66	0.0	37.21	0.0	0.0	1.03	0.0	0.0	0.0	0.0	46.73	34.63	14.43	11.37	13.86
Zfyve28	0.0	0.0	0.0	0.0	7.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09	7.44	38.01	39.44	39.55
Zkscan3	47.03	0.0	0.0	53.03	14.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.65	13.69	25.68	23.25	24.03
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
