	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_23	Pvalb_tdTpositive_cell_45	Scnn1a.Tg3_tdTnegative_cell_15	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm17762	31.1	0.0	0.0	0.0	1.17	1.12	1.24
Gm2506	9.27	9.17	0.0	0.0	30.63	28.29	22.96
Gm4724	21.67	0.06	3.22	0.0	7.67	5.07	7.49
Gm6525	158.84	0.0	0.0	0.0	0.67	0.38	1.23
Gm8898	20.17	0.87	0.3	0.0	8.87	7.17	8.34
Gpr137c	67.62	0.24	14.56	0.0	22.29	21.41	20.62
Gstm4	64.4	0.0	0.0	0.0	12.76	12.91	11.48
Hcst	23.5	0.0	0.0	0.0	0.0	1.36	0.0
Heatr5b	57.06	0.0	0.12	0.0	25.73	24.21	25.56
Heg1	12.73	0.12	0.0	0.0	9.95	9.14	9.91
Ints6	33.15	6.73	2.17	0.19	11.18	9.78	11.42
Itfg3	30.48	0.0	0.0	0.0	11.98	12.24	12.65
Itgb3bp	69.01	1.68	0.0	0.0	2.77	2.07	2.46
Kcnb2	25.47	0.54	0.0	0.0	7.42	6.12	7.86
Kdm1a	114.82	0.95	0.0	3.16	54.33	54.41	51.28
Klk10	0.42	0.0	0.0	0.0	0.07	0.14	0.23
Kti12	33.41	0.0	0.0	0.0	16.21	19.5	17.33
LOC626904	0.75	0.0	0.0	0.0	0.02	0.19	0.05
Lgr5	42.99	0.17	0.41	0.28	1.81	2.4	2.44
Lmln	13.87	0.0	0.0	0.0	9.32	8.48	8.63
Mir344c	15.85	0.0	0.0	0.0	0.0	0.0	0.0
Mir669c	100.42	0.0	0.0	0.0	0.0	0.0	0.0
Mmp14	0.51	0.23	0.0	0.0	7.79	8.38	9.02
Msh6	60.55	0.0	0.0	0.0	11.31	11.89	10.75
Myb	2.12	0.17	0.0	0.0	0.46	0.6	0.48
Neil2	0.3	0.0	0.0	0.0	2.96	2.78	2.62
Nup93	109.48	0.0	0.0	0.0	19.77	20.05	22.78
Olfr1419	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Pank3	63.21	0.08	0.0	0.0	33.92	30.94	31.12
Pcdhb17	402.49	0.0	0.0	0.0	12.89	12.73	13.47
Pex13	62.0	0.3	1.08	1.43	20.77	19.18	19.25
Pla2g12a	62.74	0.0	0.0	15.49	22.11	23.41	19.44
Pml	15.43	0.0	0.0	0.0	8.48	7.27	7.08
Pof1b	47.37	0.0	0.0	0.0	0.33	0.21	0.42
Ptrh2	93.36	0.78	0.0	0.0	11.93	12.61	14.52
Serpinb1b	51.49	0.0	0.0	0.0	1.29	1.2	0.89
Sprr2a1	0.81	0.0	0.0	0.0	0.08	0.25	0.13
Sprr2a2	0.81	0.0	0.0	0.0	0.08	0.25	0.13
Ttc34	2.5	0.0	0.0	0.0	1.45	1.88	1.94
Vmn2r31	0.11	0.0	0.0	0.0	0.0	0.12	0.12
Vmn2r38	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Zfp41	64.45	0.0	0.0	0.0	5.21	5.39	5.92
mt_AK131586	0.04	0.03	0.0	0.0	25813.35	24091.17	24561.45
