	Chrna2_tdTpositive_cell_49	Chrna2_tdTpositive_cell_54	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_9	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_48	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_19	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_90	Vip_tdTpositive_cell_1
Iars	40.2	0.11	25.61	0.0	38.42	120.51	197.67	6.3	41.28	129.87	84.77	100.87	49.02	2.51	53.53	56.04	0.17	0.0
Kcna2	22.29	81.69	66.91	6.24	6.75	9.65	26.23	62.25	71.74	80.22	8.07	81.26	46.36	61.01	24.42	75.49	67.55	0.29
Limk2	0.0	0.0	27.0	17.21	4.42	109.91	6.64	11.46	0.41	52.19	0.0	66.52	28.01	1.05	2.82	0.0	0.0	0.0
Lin37	0.0	0.0	128.04	230.31	65.05	0.0	152.21	149.76	11.54	324.28	0.0	187.3	98.19	136.75	41.98	34.55	106.66	0.0
Mad2l1bp	86.23	0.0	0.0	98.58	0.0	0.0	7.25	20.94	37.02	0.0	0.0	263.45	54.65	0.0	44.92	91.07	0.0	0.0
Mapre2	127.01	28.23	118.25	42.7	46.5	223.19	141.71	140.52	104.24	313.55	221.3	374.31	101.94	81.15	72.96	26.32	11.95	0.1
Mdh1	7558.73	7788.88	9157.85	10093.74	10545.81	7810.32	9754.78	9604.97	9016.72	6740.95	8471.35	7181.91	10194.39	9913.31	9104.29	11738.29	8901.36	6422.63
Mkrn2	0.29	0.0	29.58	56.05	31.38	236.33	78.0	71.09	13.27	244.11	0.33	3.35	80.4	2.46	42.77	34.29	0.81	0.0
Mogs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.09	0.0	59.59	0.0	0.0	0.74	27.36	0.0	0.73	0.0	0.0
Mrrf	0.0	0.0	49.6	29.82	133.9	92.72	113.24	0.0	21.66	90.24	0.0	87.13	77.13	15.57	62.41	40.27	57.94	0.0
Nkrf	0.0	0.0	1.12	31.63	22.03	168.8	74.32	40.65	55.81	78.24	0.0	91.2	141.09	85.9	14.9	54.22	8.23	0.25
Noc4l	0.0	0.83	0.36	0.0	46.25	0.0	46.66	22.78	15.65	86.82	0.0	151.06	0.2	0.0	0.0	0.0	3.05	0.0
Ptprg	0.0	0.0	0.0	0.07	0.0	0.92	0.0	0.0	5.18	0.17	0.0	26.9	2.45	0.05	3.3	7.12	0.0	0.53
Pycr1	0.07	0.17	0.55	62.97	0.09	30.91	1.54	0.39	0.27	91.52	0.95	1.23	22.83	0.26	0.23	0.23	0.27	1.06
Rbfox2	0.0	17.06	8.21	1.91	3.97	30.92	0.68	4.61	0.0	19.94	0.0	39.74	15.61	6.08	2.46	1.26	0.34	1.92
Rfc4	0.0	0.0	0.0	0.0	71.95	0.0	0.0	62.63	44.29	0.0	0.0	96.8	0.0	2.56	0.0	85.84	0.0	0.0
Ruvbl2	0.0	32.01	0.0	0.0	14.77	25.91	0.0	77.81	73.8	0.0	60.45	119.59	99.87	39.15	174.2	0.0	126.12	0.0
Sec14l1	0.0	0.0	1.28	0.57	0.0	36.94	16.18	18.13	9.9	72.52	0.17	33.39	41.58	7.44	0.0	0.0	0.36	0.0
Sirt6	0.0	0.15	44.05	21.46	4.89	97.95	15.61	45.57	74.9	47.69	29.27	197.73	24.29	24.65	7.22	30.12	11.01	0.0
Smox	0.0	0.0	0.0	0.0	0.0	40.89	0.0	15.99	0.76	70.64	0.0	0.0	6.37	0.0	0.0	0.0	0.0	0.0
Smu1	69.99	64.73	175.23	63.87	130.55	145.48	198.5	23.95	183.26	238.05	210.09	164.72	142.69	84.5	79.76	158.22	0.63	17.59
Sox5	0.0	0.03	0.0	0.0	2.33	2.83	4.18	2.33	7.4	49.82	0.1	23.48	0.0	4.09	21.51	18.44	34.49	0.0
Stx16	0.06	0.12	0.77	4.71	0.07	67.11	17.25	1.42	12.01	0.58	0.0	9.1	19.02	6.16	20.59	0.19	0.29	0.22
Syngr1	0.1	62.3	86.42	131.26	73.82	61.82	86.82	116.78	54.4	208.17	1.92	91.77	133.74	16.91	81.38	20.61	6.76	0.0
Ube2v2	92.96	0.8	143.27	238.57	226.49	128.15	159.36	195.49	142.06	402.13	119.2	239.9	133.48	119.74	149.85	145.67	13.71	101.65
Ubfd1	0.0	42.38	38.09	3.5	8.27	132.54	123.26	45.01	32.81	48.13	0.61	144.14	72.96	94.0	14.25	13.62	22.88	0.59
Zfp354c	0.0	0.81	25.75	0.85	0.0	50.1	0.0	2.7	9.64	0.2	34.08	70.44	4.08	21.44	38.8	10.88	15.38	0.0
Zfyve27	61.64	0.71	74.04	47.34	38.06	72.29	57.14	13.1	26.6	179.86	49.31	106.24	34.93	0.28	21.13	21.77	14.95	0.0
mt_AK136262	0.0	0.0	7.63	0.07	0.05	0.2	0.22	0.18	0.18	0.66	0.0	0.0	0.15	0.02	0.0	0.01	1.25	0.0
mt_AK142003	0.0	0.0	7.63	0.07	0.05	0.2	0.22	0.18	0.18	0.66	0.0	0.0	0.15	0.02	0.0	0.01	1.25	0.0
mt_AK157367	216.45	6.39	41.47	30.88	284.61	719.09	17.01	644.77	28.62	993.86	16.46	536.49	411.33	50.91	367.44	32.03	59.53	9.91
mt_AK166798	0.0	0.0	7.63	0.07	0.05	0.2	0.22	0.18	0.18	0.66	0.0	0.0	0.15	0.02	0.0	0.01	1.25	0.0
mt_AK166978	0.0	0.0	7.63	0.07	0.05	0.2	0.22	0.18	0.18	0.66	0.0	0.0	0.15	0.02	0.0	0.01	1.25	0.0
