	Chrna2_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm10069	38.32	0.0	0.0	0.0	0.0	0.04	1.58	0.13	0.13	3.65	3.6	3.81
Gm14327	111.07	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.24	16.22	8.04	13.65
Gm2382	141.85	0.0	0.0	0.0	129.67	0.21	0.0	44.31	0.0	9.23	13.22	13.62
Gpt2	90.91	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	38.64	37.59	35.57
Gtpbp5	108.5	0.0	0.0	0.0	0.0	0.0	83.09	0.0	0.0	16.94	17.24	14.88
H2-T9	138.34	0.21	0.0	0.0	0.0	0.0	0.0	0.3	0.0	11.38	9.73	8.64
Hdhd2	328.49	0.0	0.0	0.0	156.94	0.0	204.37	69.56	0.67	68.34	73.35	72.09
Hnrnpul2	79.03	0.0	0.0	0.0	1.49	0.0	0.04	14.76	0.04	123.85	124.17	120.5
Hspa4	75.94	0.0	0.0	0.0	23.02	0.0	21.94	5.4	2.92	146.42	148.54	148.45
Iffo2	29.46	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.19	12.79	12.86	11.38
Iqcb1	403.75	0.0	0.0	0.0	0.0	0.07	0.0	76.02	22.43	24.67	22.7	23.16
Map3k9	9.25	0.0	0.0	0.0	0.05	0.0	0.74	0.57	0.14	31.85	31.22	33.42
Mir344g	60.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.31	10.79	8.87
Mob4	614.85	1.18	8.84	2.65	1.87	0.69	20.86	5.18	120.29	54.92	48.9	50.77
Mrps26	83.89	0.0	0.0	0.0	0.0	0.0	0.93	21.13	1.39	78.43	92.18	87.76
Mrto4	244.53	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	41.08	42.19	40.37
Msl3	152.54	0.0	43.51	0.0	1.22	3.51	2.88	0.0	0.0	22.73	21.34	20.21
N4bp2l2	35.46	0.0	1.51	0.0	2.7	1.47	2.16	6.22	0.25	12.08	10.83	12.25
Nanos1	92.82	0.0	0.0	0.0	0.15	0.08	0.0	26.77	0.07	20.06	21.81	19.83
Ndufaf2	466.93	0.0	0.0	0.0	0.0	0.0	29.0	81.54	0.4	42.99	39.5	38.13
Otol1	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.04	0.22
Pappa2	0.09	0.0	0.0	0.0	0.07	0.0	0.05	0.0	0.0	1.65	1.24	1.62
Pdxdc1	130.51	12.34	23.12	4.64	3.4	3.14	9.65	12.88	74.12	77.77	73.56	80.44
Pex11a	147.23	0.0	0.0	0.0	0.0	0.0	0.26	5.76	0.0	9.94	10.56	9.91
Pigx	67.3	0.0	0.0	0.0	0.0	0.0	0.0	10.56	0.0	20.78	20.91	17.73
Pomt2	18.21	0.0	0.0	0.0	0.0	0.0	0.25	0.1	0.0	14.27	14.89	16.93
Ppp1r12b	128.56	6.96	1.68	4.14	15.35	4.94	8.32	3.68	56.09	52.73	42.74	52.78
Ptrh2	82.4	0.0	0.0	0.0	0.78	0.11	0.07	0.0	0.11	11.93	12.61	14.52
Pura	54.1	0.0	0.0	0.0	48.95	0.0	3.4	4.9	43.45	34.85	28.85	36.75
Pygm	80.92	0.0	0.0	0.0	18.42	0.0	0.0	0.0	50.39	25.56	25.06	27.78
Rcl1	120.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.35	20.3	15.53
Rgs12	97.9	0.0	0.12	0.0	0.0	0.06	0.06	5.0	0.0	34.44	37.25	35.82
Rnf139	145.52	0.0	1.74	54.83	0.74	0.16	0.0	15.1	10.82	20.14	18.71	19.07
Rnf17	38.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.31	0.67
Sdc2	69.95	0.0	0.0	0.0	51.46	0.0	0.0	19.35	0.08	34.61	33.45	33.98
Sec11c	223.5	0.0	0.0	0.0	164.43	0.0	0.0	30.73	39.15	100.65	96.56	99.24
Sesn2	25.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.86	11.87	9.1
Setd2	19.58	0.0	0.0	0.0	0.2	0.02	1.27	17.56	3.79	28.44	23.75	28.97
Slc25a16	72.88	0.0	0.0	0.0	1.28	0.0	0.0	2.42	0.0	38.92	36.43	35.64
Slc36a4	123.15	0.0	0.0	0.0	0.0	0.0	0.31	34.5	5.49	34.49	30.78	33.11
Slc39a9	62.21	0.0	0.0	0.0	2.26	0.03	0.0	0.0	0.07	27.97	27.09	27.81
Slc4a3	30.35	0.0	0.0	0.0	3.6	0.0	12.13	1.7	0.18	97.14	100.66	102.08
Snrnp200	67.71	0.19	0.0	0.0	0.0	0.02	0.03	17.6	3.37	56.11	58.53	58.1
Snx25	102.89	0.0	0.0	0.0	0.19	0.0	0.0	35.2	44.65	45.36	44.33	44.34
Sun1	89.27	0.18	0.0	0.0	0.0	0.0	24.38	0.0	3.16	77.42	79.01	78.25
Syk	0.15	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	2.33	2.35	2.39
Taf5	0.23	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	6.01	5.44	4.52
Timp4	8.3	0.0	0.0	0.0	131.97	0.0	106.72	31.93	15.0	32.89	31.78	36.07
Tmem17	7.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.62	8.46	10.78
Tmem183a	115.33	0.0	0.13	0.0	0.0	0.0	51.76	1.5	51.08	49.67	47.14	47.05
Tnks	28.84	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	36.78	34.86	39.29
Tollip	264.38	0.0	0.11	0.0	155.74	0.04	0.29	73.12	1.4	103.91	106.19	102.1
Tshz3	107.17	0.0	0.0	0.0	0.0	0.0	0.0	2.74	5.7	16.98	15.42	16.09
Ttll11	49.27	0.0	0.0	0.0	0.19	0.0	0.63	16.84	0.33	33.44	32.55	33.62
Unc50	166.43	0.0	0.0	0.0	83.24	0.0	0.16	26.51	17.64	55.07	53.88	52.06
Yod1	85.94	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	7.19	7.33	8.73
Zbtb41	30.77	0.0	0.0	0.0	0.82	0.02	0.03	15.12	2.82	9.66	8.26	9.05
Zeb2	51.65	0.0	0.0	0.0	14.77	0.0	0.23	24.17	45.71	42.77	37.85	43.71
Zfp711	53.66	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	7.94	5.98	7.98
Zfp84	53.81	5.61	0.49	1.46	3.18	0.77	0.59	5.41	19.18	10.36	10.02	9.32
c12_5S	171.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	1.67
mt_AK131586	0.0	0.0	0.01	0.0	0.03	0.0	0.31	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	19.39	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	6.9	0.0	0.0	0.0	0.0	6.56	0.0	30.5	9032.87	8417.95	8583.15
