	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_14	Rorb_tdTpositive_cell_11	Ntsr1_tdTpos_100cell_1
C230091D08Rik	106.4	57.25	140.01	180.21	106.48	118.05	26.79	66.5
Cacnb3	15.5	10.25	0.0	7.76	234.68	61.94	0.36	9.5
Cadm2	123.94	153.96	50.93	58.34	297.95	67.56	140.25	54.68
Ccdc154	0.0	0.0	0.0	0.0	12.48	0.0	0.0	0.0
Cckar	0.0	0.0	0.0	0.18	0.38	0.13	0.0	0.0
Ccl27b	0.0	2.22	39.72	98.78	162.36	32.42	0.0	61.27
Cep70	0.0	0.04	7.65	0.07	136.54	0.15	0.0	32.43
Chchd3	110.22	96.01	0.0	85.55	814.54	14.65	0.0	82.49
Clcn3	1.73	23.42	0.2	81.54	193.49	19.54	1.97	89.24
E430025E21Rik	0.0	8.64	0.5	12.3	4.77	0.0	0.0	7.45
Elfn1	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0
Fam109a	0.0	0.0	0.0	0.0	10.21	0.0	0.0	1.8
Fam164c	8.48	0.0	0.0	111.97	35.84	0.0	93.11	1.78
Fam189a1	0.0	0.0	0.0	0.94	145.18	3.13	0.79	5.04
Fam46a	0.0	0.0	0.0	0.0	0.04	0.21	0.0	0.0
Fbxw11	0.0	0.0	0.0	34.97	123.58	16.43	0.0	22.35
Fibcd1	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0
Flywch2	0.0	0.0	0.0	0.0	162.8	0.0	0.0	13.46
Frmpd3	0.0	0.0	0.19	2.19	82.39	0.0	0.0	1.99
G0s2	0.0	0.13	0.0	0.0	163.36	0.0	0.0	0.0
Gm106	0.0	0.0	0.0	0.0	26.38	0.0	0.0	0.0
Gm13306	0.0	2.22	39.72	98.78	162.36	32.42	0.0	61.27
Gm14435	55.89	52.69	100.89	85.65	541.09	74.06	65.63	169.21
Gm2002	0.0	0.0	0.0	0.0	27.93	0.0	0.0	1.27
Gm20098	0.0	0.0	0.0	0.06	0.22	0.0	0.28	0.0
Gm2506	0.0	2.22	39.72	98.78	162.36	32.42	0.0	61.27
Gm4340	0.0	0.08	0.0	0.0	0.63	0.0	0.0	0.0
Gm590	0.0	45.73	0.0	0.0	49.56	0.0	44.07	0.0
Gne	0.0	0.0	0.0	0.0	86.76	0.0	0.0	4.77
Gpx3	0.0	0.0	0.0	0.0	165.01	0.0	0.0	0.0
Grk6	0.0	2.4	1.09	12.49	113.75	0.0	0.0	5.07
Grm4	0.0	0.0	0.0	0.0	44.0	0.0	0.0	1.0
Hmgcs2	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0
Hsd3b2	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0
Hsd3b5	0.0	0.0	0.0	0.0	54.02	0.0	0.0	0.0
Hsd3b6	0.0	0.0	0.0	0.0	5.91	0.0	0.0	0.0
Il11ra2	0.0	0.0	0.0	0.0	27.93	0.0	0.0	1.27
Irf2	5.58	19.41	37.03	31.63	147.63	60.61	0.0	8.06
Kif22	0.0	8.72	0.0	0.0	164.06	13.89	0.0	4.51
Kif5a	37.32	0.74	0.55	102.06	203.49	44.06	27.02	66.11
Lmf2	0.0	0.0	0.0	0.0	60.44	0.0	0.0	0.92
Magi1	5.48	5.1	2.93	17.56	126.8	0.62	39.87	38.43
Mettl1	0.0	0.0	0.0	0.0	293.01	0.0	0.0	29.26
Mrps23	0.0	168.13	0.0	0.3	382.16	136.76	0.0	34.76
Mslnl	0.0	0.0	0.0	0.0	2.94	0.0	147.61	0.0
Nkain1	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.12
Nptn	825.49	1070.57	237.3	553.38	1298.3	503.46	454.3	427.94
Nts	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0
Nufip1	0.41	3.88	0.14	12.07	54.64	0.16	0.23	4.85
Olfr1300-ps1	0.0	0.14	0.0	0.08	0.3	0.0	0.0	0.0
Parn	0.0	113.31	0.38	237.29	222.08	0.3	58.06	14.69
Pax3	0.0	0.06	0.0	0.06	0.62	0.0	0.0	0.0
Pelp1	0.0	0.0	0.0	0.0	57.59	0.0	0.0	2.42
Pmpca	118.1	46.69	301.97	124.86	643.3	173.45	189.66	81.39
Polr3d	0.0	0.0	0.0	0.09	126.9	37.94	0.0	7.46
Ppip5k1	0.0	1.19	0.0	0.0	143.41	26.38	0.51	6.49
Ppp1r1c	0.0	0.55	0.0	0.13	0.79	0.23	0.0	0.0
Prpf39	268.39	87.22	127.56	157.87	502.89	140.7	93.33	121.17
Psg27	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0
Ptprd	163.88	83.3	2.18	172.52	523.29	60.5	127.98	46.5
Reep2	191.87	1.4	49.79	364.22	875.88	161.69	52.79	39.56
Rhobtb1	0.0	0.0	0.0	0.0	2.67	0.0	0.0	0.0
Rnd1	4.43	58.29	4.95	4.76	131.89	4.47	4.74	9.62
Rnf144b	1.34	3.52	0.0	1.11	88.62	0.0	0.0	0.07
Scnn1a	0.0	0.0	0.0	0.0	77.91	0.0	0.0	0.0
Sema3e	0.3	0.19	0.23	0.31	0.89	0.12	0.0	44.77
Senp7	0.0	88.23	0.0	0.0	133.94	11.21	0.0	16.71
Setd5	45.86	14.14	3.76	13.24	83.87	0.24	64.54	4.42
Slc25a28	0.0	0.2	0.0	0.0	165.03	0.0	0.0	9.69
Slc43a3	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0
Smo	0.0	0.0	0.13	0.0	0.19	0.0	0.0	0.0
Smpd4	52.61	69.59	0.0	0.04	256.0	95.1	2.69	9.06
Snap25	26182.83	24880.43	25194.29	24000.2	17100.1	24648.02	25542.47	20846.74
Snapin	0.0	0.13	0.0	0.1	413.81	0.0	173.61	8.38
Snord99	0.0	0.0	0.0	0.0	45.88	0.0	0.0	0.0
Sp9	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0
Spink5	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0
Thsd7a	0.14	0.06	0.0	18.48	147.42	0.04	0.08	0.0
Timm44	4.35	0.06	0.0	5.04	212.33	71.17	96.28	55.57
Tmem205	138.8	1.94	0.0	0.0	335.08	0.0	0.0	76.62
Tti2	0.0	3.97	0.5	1.82	144.37	0.82	0.0	4.65
Ube2j1	0.0	2.83	0.0	177.23	154.52	5.03	36.15	20.23
Ube2q1	0.0	26.67	0.0	0.0	108.63	0.0	0.0	8.79
Xrcc6bp1	0.0	0.0	0.0	0.0	115.93	0.0	0.0	0.0
Zbtb24	0.0	0.0	0.0	0.0	219.96	0.0	0.0	1.9
Zc3h12a	0.71	0.5	0.1	1.68	4.6	1.84	1.74	0.48
c1_5S	0.0	0.0	0.0	0.0	85.3	0.0	77.96	0.0
c2_tRNA-Ala-GCY_	103.55	64.06	0.0	47.82	440.98	84.58	0.0	0.0
