	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_22	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
Galnt13	0.06	92.29	23.69	30.6	0.04	21.61	9.39	9.0	16.35	4.9	0.25	9.46	44.95
Gfpt2	0.0	133.04	0.0	0.0	0.0	2.59	1.27	4.99	0.0	0.0	0.0	0.0	0.0
Gm14430	0.03	8.72	0.16	8.97	0.0	4.14	5.97	4.22	2.35	0.0	0.0	0.0	0.86
Gm14431	0.12	4.26	0.0	0.15	0.06	0.99	0.9	1.65	1.51	0.0	0.0	3.49	1.33
Gm14434	0.03	8.72	0.16	8.97	0.0	4.14	5.97	4.22	2.35	0.0	0.0	0.0	0.86
Gm4724	0.03	8.72	0.16	8.97	0.0	4.14	5.97	4.22	2.35	0.0	0.0	0.0	0.86
Gm8898	0.12	4.26	0.0	0.15	0.06	0.99	0.9	1.65	1.51	0.0	0.0	3.49	1.33
Gm9705	0.0	0.52	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gpank1	0.0	5.89	0.0	0.0	0.19	24.56	11.35	22.09	0.0	0.0	0.0	0.0	0.0
Gtf3c6	93.61	197.46	0.0	59.25	131.11	72.3	72.81	68.18	14.47	0.0	0.45	0.24	144.3
Haus3	0.0	166.46	0.0	0.0	81.42	33.6	17.24	13.63	0.0	0.0	10.01	104.64	0.0
Hipk1	98.45	208.73	79.93	62.24	42.06	55.31	32.76	40.83	48.44	0.0	0.05	20.44	25.66
Homer1	117.24	264.54	261.61	27.92	33.41	83.5	55.45	61.95	49.23	201.56	41.58	61.79	98.44
Ica1	0.0	427.52	268.9	329.73	325.75	241.43	221.25	215.68	214.07	141.54	0.28	90.87	3.92
Lin52	102.07	321.33	0.0	261.26	28.24	69.3	54.09	56.54	45.9	55.2	84.07	31.44	0.0
Lpcat1	0.0	0.43	0.0	0.0	0.0	4.15	0.87	5.93	0.0	0.0	0.0	0.0	0.0
Lrrc58	82.63	286.74	70.06	118.85	10.53	112.47	48.86	56.27	72.14	5.41	27.13	35.1	33.35
Lrrcc1	11.51	98.21	0.0	0.0	0.0	17.07	10.07	9.99	9.02	0.0	0.0	33.55	0.0
Mfn1	35.92	109.33	0.14	0.0	0.11	9.79	7.46	8.37	7.91	0.0	65.3	0.05	0.0
Mpst	0.0	159.37	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mrps10	20.91	211.98	0.0	99.81	0.0	69.95	32.6	65.31	0.0	23.39	58.26	36.04	0.0
Mtap1a	24.22	63.13	6.13	8.97	28.56	9.71	8.04	6.53	16.04	18.7	0.0	0.04	0.07
Mylk3	0.0	0.26	0.0	0.0	0.0	0.87	0.0	0.56	0.0	0.0	0.0	0.0	0.0
Myt1l	163.43	185.85	33.58	68.24	56.62	99.27	74.38	56.32	45.62	0.05	75.14	28.35	35.28
Nagpa	0.0	0.32	0.0	0.0	0.0	8.23	1.45	3.25	0.0	0.0	0.0	0.0	0.0
Nqo1	0.0	38.83	0.0	0.0	0.0	0.2	6.31	3.18	0.0	0.0	0.0	0.0	17.67
Nrm	0.0	424.42	0.0	0.0	0.0	4.99	3.83	5.56	0.0	0.0	0.0	0.0	0.0
Nudt5	0.0	300.87	0.0	6.31	0.16	45.79	31.46	54.67	0.0	0.0	0.0	3.22	0.0
Os9	14.95	194.93	30.46	19.95	49.39	25.32	23.2	22.02	45.19	0.0	0.0	0.06	40.92
Pcdhga1	0.0	244.59	0.0	0.0	0.0	3.76	3.78	3.97	0.0	0.0	0.0	0.0	0.0
Pdgfra	0.0	0.07	0.0	0.0	0.04	0.09	0.83	0.21	0.0	0.0	0.0	0.0	0.0
Pdk1	0.45	112.83	0.0	22.55	4.64	13.91	8.6	13.05	0.11	1.2	0.25	16.98	0.0
Polb	6.06	618.17	343.46	353.85	65.54	248.44	221.99	229.37	0.0	126.46	189.16	221.79	194.58
Pop5	4.87	94.5	0.0	0.0	0.0	8.16	7.96	10.22	121.14	0.0	5.56	38.38	0.0
Ppp1r2	0.0	221.42	6.17	2.33	47.29	18.54	17.2	12.7	164.44	75.46	119.29	0.0	0.0
Psat1	0.0	177.93	0.0	0.0	0.0	34.95	37.6	39.23	0.13	16.76	0.0	0.0	0.0
Pstpip1	0.0	1.86	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0
Rab8a	43.23	345.04	175.32	96.21	0.0	82.62	79.12	83.66	0.0	0.0	0.0	168.23	48.65
Ran	147.09	474.04	174.97	271.15	390.46	262.07	279.73	339.72	190.9	142.48	84.05	225.23	39.08
Rpusd3	0.0	151.94	0.0	0.0	0.0	4.83	1.95	7.58	108.75	0.0	0.0	0.0	0.0
Rsph1	0.0	12.07	0.0	0.0	0.0	2.12	2.13	0.92	0.0	0.0	0.0	0.0	0.0
Rufy3	63.32	345.62	62.22	107.6	62.82	149.34	137.59	150.7	168.92	52.47	6.21	122.89	67.71
Runx2	0.31	10.31	0.06	0.44	0.04	2.26	0.77	1.63	0.0	0.0	0.15	0.06	0.06
Sardh	0.0	0.15	0.0	0.0	0.0	0.0	0.9	0.68	0.0	0.0	0.0	0.0	0.0
Sccpdh	0.0	190.35	0.0	102.11	0.0	32.12	22.95	40.84	69.14	0.0	0.0	0.0	0.0
Scd2	0.0	104.88	31.64	2.23	38.31	46.48	42.13	56.99	0.1	0.05	0.56	5.58	74.77
Slc16a14	0.0	0.22	0.0	0.0	0.0	4.08	3.97	2.97	32.56	0.0	0.0	0.0	0.0
Slc1a4	0.0	81.83	0.0	0.0	0.0	6.27	2.44	2.81	0.0	0.0	0.0	57.9	0.0
Slc43a3	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0
Spats1	0.0	24.23	0.0	0.0	0.0	0.53	2.14	0.93	0.0	0.0	0.0	0.0	0.0
Srgap3	4.71	80.17	0.07	0.3	0.14	0.96	0.95	0.89	0.03	0.09	0.05	0.03	0.22
Srsf11	93.14	234.08	157.34	233.67	54.28	81.61	70.73	74.6	120.93	32.0	148.72	6.79	124.08
Stap1	5.27	12.99	0.0	11.44	0.0	1.08	0.31	0.63	0.0	0.0	0.0	0.0	0.0
Tagap1	95.19	930.81	21.0	182.59	15.46	498.58	369.19	369.9	138.56	5.17	0.37	9.3	186.48
Tbc1d7	0.0	290.67	99.03	0.0	188.47	64.54	94.9	59.77	220.52	0.0	0.0	197.13	0.0
Tcerg1	5.49	88.47	57.2	17.47	0.0	14.16	17.57	12.58	33.84	0.0	71.69	25.49	42.92
Tm9sf4	14.09	181.21	0.0	0.61	27.55	31.58	35.91	31.8	35.32	0.0	58.83	28.11	0.1
Tuba8	0.0	223.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Usp22	260.13	783.22	460.65	355.86	39.19	380.25	282.46	264.15	488.47	101.84	293.59	346.07	876.04
Vangl2	0.0	1.82	0.44	0.0	0.0	3.32	0.46	0.77	0.0	0.0	0.0	0.0	0.0
Vmn1r-ps79	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vps39	0.0	103.5	0.0	5.44	0.06	31.93	25.13	16.48	4.8	0.0	0.0	15.07	0.0
Wdr11	24.97	121.48	4.87	0.0	0.05	15.53	5.85	3.71	0.0	0.0	0.77	0.0	0.0
Wdr47	26.47	324.02	0.0	8.0	4.07	87.98	90.58	90.99	61.2	0.0	0.72	31.36	0.0
Zfp266	73.42	254.26	93.44	194.27	10.08	207.46	99.53	101.78	65.3	0.04	109.53	5.17	51.46
Zswim1	0.0	154.95	185.64	0.0	0.18	26.3	37.85	28.29	0.0	0.0	0.0	8.27	0.0
c13_tRNA-Ala-GCA	0.0	74.83	0.0	0.0	63.25	22.52	51.05	38.82	74.96	0.0	83.1	63.02	0.0
