	Chrna2_tdTpositive_cell_13	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Cux2_tdTnegative_cell_6	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_5	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_8	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_1	Nos1_tdTpositive_cell_54	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_56	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
C1qtnf7	0.0	0.0	902.44	0.0	0.0	671.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	310.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	1.26	1.46
Cald1	0.0	148.34	454.74	0.0	0.1	727.43	0.0	0.08	570.24	506.06	0.0	0.0	0.0	0.0	1030.14	179.01	466.06	0.0	0.0	0.26	439.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	5.7	19.01	17.05	18.07
Col4a2	0.0	0.08	73.91	0.05	0.06	30.5	0.0	0.05	0.0	0.0	0.0	0.91	0.0	0.0	97.95	17.12	0.0	2.35	3.15	0.76	321.64	0.0	0.0	0.0	1.47	0.34	6.83	0.0	5.43	0.24	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	25.54	27.44	33.03
Cox4i2	0.0	0.0	0.5	0.0	0.0	741.63	0.0	0.24	45.24	195.65	0.0	0.0	0.0	0.0	547.5	384.41	0.0	0.0	0.0	0.0	466.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.94	2.13	3.06
Crim1	0.0	25.95	21.15	21.85	0.2	55.72	0.0	12.08	9.11	0.29	0.0	0.05	0.0	7.51	68.02	0.0	0.0	0.09	0.0	1.03	6.92	0.17	0.0	0.0	0.47	3.63	0.0	0.0	0.0	0.15	4.36	0.13	0.1	0.2	0.3	0.0	0.0	0.0	0.0	1.22	0.02	32.44	32.38	31.12
Crip1	0.0	0.0	17201.16	2.47	0.0	13480.85	0.0	568.16	11.27	11.26	0.0	0.0	0.0	0.0	7562.13	2438.21	1713.05	0.0	0.0	0.0	2954.31	0.0	0.0	0.0	57.36	5.53	0.0	0.0	241.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.18	0.0	10.68	11.41	11.52
Crispld2	0.0	0.0	0.0	0.0	0.0	86.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	73.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	1.2	1.34
Dcun1d1	69.56	0.0	0.0	0.07	0.0	367.48	0.0	0.0	0.0	7.83	15.61	38.98	35.07	0.0	550.04	104.0	348.01	5.3	44.54	0.0	0.0	222.31	28.81	12.11	9.2	63.36	77.74	15.74	42.02	24.27	121.82	0.35	24.62	0.08	21.65	0.0	0.0	0.0	0.0	125.12	0.22	28.99	26.8	28.36
Des	0.0	0.0	284.55	0.0	0.0	337.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.07	2.13	1.67
Dgkb	0.0	0.0	124.11	0.0	0.0	237.94	0.0	0.0	0.0	0.0	1.53	23.82	8.47	1.65	0.0	19.23	0.03	44.14	0.33	2.72	0.0	2.06	17.99	0.0	0.85	42.59	0.76	6.51	0.0	0.0	2.16	49.36	0.54	0.34	0.43	0.12	0.0	0.0	0.0	58.94	3.42	81.62	67.76	82.19
Dock6	16.35	0.0	0.0	0.05	0.0	186.78	0.0	34.28	0.0	52.45	0.0	0.0	0.0	0.0	0.0	59.69	0.0	0.0	0.37	1.97	99.09	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.36	0.0	0.0	0.0	0.0	11.07	5.68	10.18	9.84	10.89
Dpm1	133.32	0.0	824.57	0.0	0.0	759.85	0.0	0.0	0.0	276.0	146.05	5.23	126.89	0.25	160.9	0.0	0.07	167.47	151.69	47.22	0.0	0.46	47.5	55.83	5.64	105.88	30.12	7.55	75.12	146.66	105.7	0.34	49.4	215.43	0.0	0.38	0.08	0.32	0.0	41.25	126.0	39.09	37.84	38.3
E330013P06	0.0	0.0	453.11	0.0	0.0	243.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.73	0.0	0.0	0.0	0.0	1.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.53	0.76
Ecm2	0.91	1.19	2.49	0.18	0.53	641.12	0.8	0.15	234.18	330.63	0.51	0.19	0.0	0.45	15.47	289.53	0.51	2.08	0.29	0.24	1.1	0.34	0.32	0.45	0.27	0.67	0.94	0.0	1.01	0.73	1.17	0.24	1.67	0.62	7.61	0.19	2.42	0.0	0.0	0.06	0.09	4.56	4.02	5.06
Eln	0.0	0.13	0.0	0.0	0.0	77.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.09	52.96	0.0	0.0	0.0	0.06	7.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	5.82	7.74	6.25
Filip1l	0.4	0.0	310.29	0.1	0.0	538.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	370.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.94	2.8	2.5
Flna	0.0	0.0	519.32	0.0	0.0	593.29	0.0	18.62	1.16	61.32	0.0	0.08	0.0	1.57	24.81	182.95	0.0	1.63	3.74	2.16	112.5	0.0	0.0	0.0	0.45	1.98	0.67	0.0	2.91	0.0	0.0	2.95	0.06	1.99	0.0	0.0	0.0	0.0	0.0	44.43	0.05	33.14	31.66	35.64
Fxyd1	0.0	0.0	1795.88	0.0	0.77	1382.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.98	399.36	0.0	0.0	9.0	0.0	77.41	1.34	51.04	0.0	0.0	45.47	85.96	3.56	81.62	0.0	0.0	0.0	0.0	0.0	0.0	33.73	1.29	0.0	0.0	0.0	59.99	155.23	50.42	54.54	44.28
Gpc6	0.37	0.69	123.82	0.0	1.72	146.59	3.38	0.37	0.26	0.0	5.67	3.93	1.19	5.6	0.89	0.35	5.78	14.39	7.49	8.55	0.0	2.59	0.89	0.94	4.34	4.43	6.39	4.31	4.46	1.23	2.16	2.07	0.52	1.35	1.92	2.81	1.01	0.43	0.74	0.72	0.43	5.57	5.69	6.21
Gypc	0.0	0.0	0.0	0.0	0.0	690.69	0.0	0.0	0.0	639.6	0.0	0.0	0.0	0.0	0.0	658.05	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	10.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	71.48	2.54	2.01	1.59
Heyl	0.0	0.0	6.42	0.0	0.0	350.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	179.82	212.88	0.0	0.0	0.0	0.0	261.85	0.0	0.0	0.0	6.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	2.88	2.57	3.04
Hipk1	65.89	294.88	218.96	0.08	0.1	434.66	179.29	0.04	147.67	237.65	83.24	24.21	15.87	37.28	361.46	48.18	9.58	41.13	63.72	55.03	306.66	0.51	23.89	8.81	72.79	58.27	36.06	43.32	31.73	4.77	81.46	0.03	59.97	35.36	0.44	0.32	0.0	167.62	0.0	31.44	27.08	48.53	47.48	48.46
Igfbp4	0.0	0.0	0.0	0.0	0.0	329.62	0.0	0.0	0.0	0.0	61.77	0.0	124.9	26.39	186.94	0.0	0.0	7.46	0.0	0.0	0.0	0.0	0.0	0.0	21.83	25.54	21.3	0.0	0.0	11.54	2.29	0.13	0.0	0.33	0.58	0.0	0.0	0.0	0.0	43.11	7.85	73.25	85.29	82.9
Ilvbl	62.81	0.0	188.38	0.0	0.0	183.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	262.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	24.24	0.19	0.0	0.15	0.88	8.53	115.59	0.0	58.13	0.0	0.0	0.0	0.0	0.0	2.2	0.13	0.06	22.13	21.52	23.18
Jag1	0.0	0.0	543.33	0.0	258.9	294.7	0.0	73.49	205.26	209.49	0.0	0.0	0.0	5.29	781.31	699.69	62.19	0.0	0.06	7.7	388.61	0.0	0.0	0.0	10.09	1.67	0.0	0.0	29.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	7.43	4.5	3.9	3.74
Lmna	0.26	0.0	179.03	0.0	0.13	693.58	0.0	197.98	325.85	214.43	14.62	0.1	18.36	0.0	238.91	158.79	0.2	23.12	53.09	19.83	262.14	0.66	2.42	36.23	8.9	12.56	0.33	7.29	20.56	34.04	51.03	0.08	0.12	0.11	202.36	0.0	0.0	0.0	0.0	11.66	7.78	41.87	47.61	40.73
Mcam	0.13	0.0	338.23	0.0	0.0	11.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	352.15	120.04	0.0	1.61	0.0	0.67	5.08	0.0	0.0	0.0	0.43	4.91	0.0	0.0	0.0	0.06	0.36	0.03	0.22	0.18	1.21	0.12	0.0	0.0	0.0	0.0	0.11	19.18	18.95	22.56
Mgea5	45.03	0.0	41.57	0.07	125.8	215.72	9.8	0.0	2.27	153.91	21.95	4.81	66.2	16.54	171.1	163.1	38.84	66.0	134.59	55.81	5.74	0.0	30.11	42.67	79.66	63.75	9.91	39.46	17.33	104.09	58.52	12.5	18.74	45.95	6.89	0.8	12.59	0.0	0.0	55.19	67.63	152.39	147.9	149.57
Mgp	0.0	0.0	2069.56	1.19	1.44	1975.76	0.0	0.59	1375.24	0.0	0.0	0.0	0.0	0.0	5005.08	3125.03	0.0	0.0	0.0	0.0	795.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.71	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	70.37	0.12	45.72	42.58	40.94
Mrpl37	0.0	0.0	0.0	0.0	0.0	376.62	0.0	0.0	0.0	0.0	0.0	81.45	27.35	0.39	371.75	0.0	0.0	0.67	103.3	0.0	0.0	1.43	137.56	0.0	9.73	37.76	101.5	0.0	0.0	0.31	0.68	0.0	0.0	0.12	4.87	0.0	0.0	0.0	0.0	157.11	75.93	52.44	55.74	54.41
Myh11	0.0	0.0	1579.97	0.1	0.12	1364.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	370.87	71.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	3.14	2.99
Myl9	0.0	0.0	9009.34	0.94	1.14	13677.59	0.0	0.0	1675.72	2355.22	0.0	0.0	0.0	0.0	3887.81	1959.53	460.99	0.0	0.0	0.0	5089.52	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.82	120.1	24.78	24.37	22.0
Mylk	0.0	0.0	1480.99	0.12	0.0	342.94	0.0	0.08	144.17	124.39	0.0	0.0	3.59	6.11	238.68	34.48	201.9	0.0	0.0	0.0	47.35	0.0	0.78	0.0	0.0	0.11	1.6	0.0	1.14	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	1.25	5.32	5.24	5.33
Myom1	0.0	0.0	0.0	0.0	0.0	75.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.34	0.0	0.0	0.0	0.0	0.0	22.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.97	1.64
Net1	0.0	0.0	924.16	217.56	169.33	635.45	0.0	32.19	85.08	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	10.62	0.19	0.4	0.0	0.0	0.12	0.0	10.25	0.0	0.0	0.0	0.76	0.22	6.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	95.66	56.49	24.75	27.28	24.52
Nrip2	0.0	0.0	754.16	0.2	0.24	854.22	0.0	0.0	10.11	0.0	7.5	0.4	163.19	0.0	988.29	0.24	0.29	0.0	2.15	0.0	0.0	3.18	45.12	378.68	56.08	27.44	6.62	39.81	43.05	32.48	0.17	66.2	45.3	253.7	2.16	0.0	0.22	0.0	0.0	0.45	2.17	11.99	14.8	17.35
Olfr558	0.0	0.0	410.09	0.0	0.0	959.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	890.95	200.95	0.0	0.0	0.0	0.07	449.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.44	0.8
Olfr78	0.0	0.0	758.55	0.0	0.0	554.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.65	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	1.35	1.66	1.78
Pcdh18	0.0	0.0	0.0	0.06	0.0	300.78	0.0	0.03	240.99	271.77	0.0	16.97	0.0	0.0	145.14	175.73	0.03	0.0	0.0	0.0	111.18	0.0	0.0	0.0	0.0	0.0	0.0	17.99	9.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	3.34	3.72
Pcdhb17	0.0	0.0	0.0	0.0	0.0	115.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.76	0.0	0.05	0.0	0.0	0.0	0.0	0.96	0.0	0.0	32.14	8.19	0.0	18.9	26.52	0.0	0.0	0.16	31.94	0.05	11.89	0.0	0.0	0.0	0.0	0.0	0.02	12.89	12.73	13.47
Pdlim1	0.0	0.0	974.61	0.0	0.0	638.12	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	4.45	0.0	0.21	0.0	0.21	0.15	0.0	0.71	0.0	0.0	0.0	83.1	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.44	0.0	0.0	0.0	32.4	53.67	9.95	12.68	11.43
Plekhg2	0.0	0.0	148.36	0.0	0.0	162.46	0.0	0.0	0.56	0.09	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	4.02	3.37
Pln	0.0	0.0	1151.29	0.28	0.34	1587.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	350.38	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	0.0	5.26	0.0	0.43	0.0	0.01	0.0	0.11	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	1.17	1.27	1.73
Pls3	49.95	0.0	440.45	0.0	0.26	2075.9	0.0	510.04	0.0	0.15	51.56	10.16	87.71	8.79	2009.19	1970.76	3.61	147.31	222.85	0.0	904.51	2.06	59.1	66.2	55.62	142.25	182.5	33.72	86.03	39.67	42.13	56.63	83.76	80.53	26.81	0.42	0.06	0.0	0.0	168.5	150.33	151.51	144.58	143.83
Ppp1r12a	0.92	0.0	689.0	0.1	0.0	634.18	0.0	0.0	0.0	0.0	0.14	2.59	19.61	34.57	166.24	5.29	0.0	172.16	38.32	28.22	0.0	0.0	11.33	26.48	34.73	40.47	18.97	4.87	49.24	0.2	18.12	1.58	25.12	1.95	1.74	0.19	0.0	0.0	0.0	75.75	1.1	56.86	50.73	59.08
Ptgis	0.0	0.0	0.0	0.0	0.0	531.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	275.5	49.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	66.38	1.65	2.84	3.58
Puf60	174.82	0.0	176.03	0.0	0.0	523.85	32.72	0.0	508.12	0.25	0.0	78.34	171.27	1.88	607.79	0.0	441.07	0.0	0.0	1.42	0.0	1.16	14.49	164.01	78.54	179.14	33.47	40.25	92.56	26.0	1.0	5.34	62.46	21.3	0.0	1.07	0.0	553.61	0.0	278.57	245.56	140.4	157.78	150.2
Rfwd3	0.0	0.0	0.0	0.0	0.0	187.02	0.0	0.04	0.0	0.1	24.68	4.76	0.0	0.0	193.33	0.0	0.0	4.08	0.0	0.0	0.0	0.0	2.45	67.59	2.98	2.36	0.0	7.83	8.15	0.05	0.0	0.0	0.0	10.61	0.0	0.0	0.0	0.0	0.0	71.37	0.01	19.01	18.56	18.54
Rock1	19.68	6.56	396.15	151.61	0.0	560.41	0.0	310.72	140.61	293.76	36.91	6.81	1.03	39.61	157.52	50.22	0.03	29.97	20.56	4.67	0.0	0.5	14.12	0.0	12.87	21.88	1.01	22.58	53.85	2.47	0.16	0.0	15.51	17.18	197.41	0.0	0.0	0.0	118.16	3.6	19.98	12.68	8.81	12.6
S100a11	0.0	0.0	1491.77	1979.8	1181.31	3203.5	0.0	679.17	0.0	517.34	0.0	0.0	0.0	0.0	1704.73	1279.54	361.24	0.0	0.0	0.0	1882.49	0.0	0.0	42.92	20.84	7.72	0.0	0.0	335.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.87	19.44	13.77
Slain2	0.0	0.0	106.46	0.0	0.0	256.09	0.0	0.0	0.0	3.95	0.0	0.0	0.0	6.87	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	10.02	0.0	0.0	1.0	0.22	0.0	11.47	0.05	0.0	1.59	0.03	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.28	15.41	16.28
Slc38a11	0.0	0.0	1641.7	0.0	0.0	2104.01	0.0	0.0	358.25	94.75	0.0	0.0	0.0	0.0	140.34	127.08	0.0	0.0	0.0	0.0	67.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92	3.04	2.63
Sncg	0.0	0.0	2092.77	0.0	0.58	3551.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1013.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.78	4.75	5.49
Snx19	0.0	0.0	0.0	0.0	0.0	324.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	168.21	0.0	0.0	0.0	0.0	3.6	0.0	0.75	0.26	0.09	5.36	10.69	44.6	0.63	1.76	43.52	0.23	0.0	0.0	6.66	22.48	0.0	0.03	0.0	0.0	55.82	30.71	38.68	39.83	40.53
