	Calb2_tdTpositive_cell_16	Calb2_tdTpositive_cell_38	Calb2_tdTpositive_cell_44	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_34	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_52	Gad2_tdTpositive_cell_53	Htr3a_tdTpositive_cell_10	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_22	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_43	Htr3a_tdTpositive_cell_55	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_91	Htr3a_tdTpositive_cell_94	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_15	Ndnf_tdTpositive_cell_18	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_14	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_39	PvalbD.Slc32a1_tdTpositive_cell_34	Sst_tdTpositive_cell_2	Sst_tdTpositive_cell_5	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_12	Sst_tdTpositive_cell_14	Sst_tdTpositive_cell_15	Sst_tdTpositive_cell_17	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_67	Sst_tdTpositive_cell_73	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_64	CAV_LP_Ipsi_tdTpos_cell_34
Sgcb	0.04	0.0	104.63	48.38	18.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	67.84	0.0	0.0	0.0	0.0	0.07	0.89	0.0	0.0	87.54	0.0	0.0	62.63	0.0	0.1	130.91	106.46	36.53	0.0	82.03	11.55	0.08	130.18	71.43	3.66	0.0	52.84	368.14	111.89	3.46	107.96	243.69	4.69
Sgip1	0.0	41.57	103.08	5.01	42.73	0.0	5.96	9.45	18.41	59.68	6.72	0.21	0.0	11.75	100.69	0.0	88.97	0.0	123.18	69.07	3.1	21.69	0.0	16.02	13.38	0.0	98.33	0.08	30.13	160.2	52.68	39.09	47.17	46.0	33.17	8.14	91.62	103.57	3.17	37.95	65.13	99.21	5.16	6.14	0.0	31.11	97.55
Sh3rf3	0.08	0.2	0.0	0.0	0.27	0.0	22.4	0.06	0.0	0.21	0.53	0.1	128.66	25.76	23.92	53.95	0.2	0.0	0.62	3.05	0.11	46.75	0.0	0.0	0.0	0.0	0.15	0.0	74.42	97.83	31.06	10.49	5.67	38.67	0.0	7.79	6.45	1.97	0.69	0.0	36.69	29.91	78.59	0.0	0.0	0.06	20.77
Slc24a2	0.12	16.98	46.16	0.06	10.27	0.0	0.0	39.6	0.0	41.15	49.09	0.15	0.0	3.05	39.16	12.58	63.8	75.1	23.48	29.55	52.21	304.37	0.0	36.87	14.76	0.0	0.48	18.61	45.1	130.01	38.81	26.28	141.78	182.38	141.46	38.3	107.45	27.06	56.71	61.71	27.55	166.71	59.75	66.22	39.75	0.05	232.48
Slmo1	0.58	1.15	6.8	1.46	49.86	0.0	0.98	0.69	0.0	0.75	0.0	0.36	43.56	47.52	72.7	83.83	0.71	1.17	1.53	0.12	0.32	22.18	0.22	5.22	0.94	0.69	0.51	0.82	18.46	156.17	115.75	0.37	277.97	158.36	8.02	0.0	107.89	0.64	13.39	10.77	0.74	156.6	17.61	0.9	0.52	0.41	103.14
Snurf	83.68	113.44	104.59	148.26	131.25	0.0	127.4	109.42	19.8	98.63	90.97	100.05	40.46	60.41	156.69	106.47	141.71	151.87	121.54	94.94	138.0	87.62	0.0	154.95	105.16	0.02	89.39	78.98	109.51	81.59	170.17	187.06	289.05	187.01	196.83	116.35	196.27	132.25	275.41	83.02	163.68	192.53	110.06	194.73	55.27	76.62	134.68
Sos1	75.99	0.07	2.36	0.0	11.74	0.0	3.64	21.61	2.88	0.65	0.0	4.27	4.1	0.12	72.13	61.96	29.66	2.33	0.05	6.57	50.47	16.74	0.0	6.88	0.0	0.0	7.84	2.9	68.57	9.52	82.92	7.62	29.23	25.89	28.86	2.81	20.82	33.8	22.05	5.64	8.36	57.74	63.37	3.28	0.05	80.62	24.87
Sox6	0.05	0.0	0.0	0.0	52.67	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.37	15.35	0.0	0.0	0.0	0.0	0.0	0.0	0.05	28.54	0.04	0.0	13.88	1.16	27.3	30.02	26.05	50.33	2.28	2.96	72.37	8.83	1.82	0.0	0.0	0.0	0.0
Tmem25	176.34	0.0	0.0	0.0	127.53	0.0	64.99	0.0	0.0	0.0	0.0	0.0	0.0	27.11	0.12	133.3	144.39	0.0	0.0	0.11	0.0	130.93	0.0	0.0	73.53	0.0	0.0	0.0	0.0	379.33	123.58	23.32	90.69	0.0	0.0	124.13	90.41	0.0	186.59	0.0	198.26	127.2	0.7	0.07	0.0	109.76	109.74
Ttll7	0.05	13.1	75.3	0.0	4.56	0.0	17.7	119.72	0.08	0.0	0.0	8.09	0.68	0.0	38.78	0.0	5.95	2.31	0.08	0.0	47.25	83.37	0.0	9.6	0.0	0.0	15.84	0.05	0.0	102.33	80.76	5.38	68.21	33.57	41.38	10.03	23.63	1.45	1.52	17.49	17.0	43.71	2.51	0.15	0.08	9.61	6.54
Uchl1	188.58	244.09	624.04	382.73	388.15	0.0	117.72	0.0	0.0	91.64	439.88	216.35	36.53	246.69	343.28	182.06	43.78	252.94	442.82	112.38	244.91	299.9	0.0	636.68	321.5	0.0	163.18	13.78	374.73	551.51	518.41	330.74	415.38	387.48	433.31	442.98	275.5	157.67	373.03	374.97	473.95	623.02	929.27	252.37	157.08	110.64	343.33
Uimc1	0.0	0.0	0.0	15.83	0.0	0.0	83.67	0.0	0.0	0.0	6.41	0.0	0.0	0.0	1.25	0.0	102.95	0.0	0.0	0.0	0.91	6.91	0.0	138.9	0.0	0.0	0.0	0.0	10.56	129.92	79.29	0.0	0.0	11.74	0.0	33.92	2.6	0.36	11.68	5.25	28.05	0.0	30.42	0.0	2.33	14.13	0.0
Unc13a	1.55	8.21	5.86	2.32	33.52	0.0	3.39	3.42	3.03	17.18	1.55	4.24	1.91	0.27	6.24	5.01	0.84	2.61	0.0	3.97	3.42	3.13	0.0	3.97	1.32	0.0	1.35	2.23	3.93	3.75	10.96	3.67	6.59	7.63	4.43	6.09	4.3	5.7	46.9	6.99	8.55	5.25	4.16	3.83	1.58	10.07	1.96
Vps37a	0.25	39.22	7.4	0.31	40.77	0.0	0.17	55.84	3.36	0.24	3.34	0.15	0.46	0.06	109.11	0.58	1.01	0.46	0.8	5.7	0.0	10.25	0.0	1.02	4.12	0.0	17.81	89.62	23.22	18.89	12.53	0.18	21.94	47.54	8.53	20.27	30.28	1.29	64.6	13.05	0.22	102.55	0.2	128.75	146.4	25.61	21.35
