	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_44	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Il1rn	0.0	0.0	0.0	0.04	0.04
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Krt26	0.0	0.0	0.0	0.27	0.27
Lect2	0.0	0.0	0.0	0.12	0.12
Lipm	0.0	0.0	0.0	0.11	0.11
Ltf	0.0	0.0	0.0	0.04	0.04
Macf1	0.0	0.0	29.51	81.79	86.17
Mad1l1	0.0	0.0	0.0	13.39	12.82
Mael	0.0	0.0	0.0	0.13	0.13
Mep1a	0.0	0.0	0.0	0.03	0.03
Mppe1	0.0	0.0	5.92	16.65	15.58
Mtss1l	0.0	0.0	1.89	101.71	109.18
Muc13	0.0	0.0	0.0	0.03	0.03
Muc4	0.0	0.0	0.0	0.02	0.02
Musk	0.0	0.0	0.0	1.04	1.04
Mycbpap	0.0	0.0	0.0	1.41	1.46
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Naip6	0.0	0.0	0.0	0.38	0.38
Nbas	0.0	0.0	0.0	16.9	17.74
Ncr1	0.0	0.0	0.0	0.07	0.07
Nkx6-3	0.0	0.0	0.0	0.04	0.09
Nlrp12	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.0	0.06	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Oxgr1	0.0	0.0	0.0	0.24	0.24
Pcm1	0.0	0.0	5.55	35.87	34.56
Pgap1	0.0	0.0	0.0	14.52	12.69
Plcb1	0.0	0.0	2.92	113.5	118.49
Ppp1r12a	0.0	0.0	5.86	56.86	59.08
Prps1l1	0.0	0.0	0.0	0.06	0.06
Ptpn9	0.0	0.0	0.0	27.41	26.18
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.0	0.12	0.12
Raet1d	0.0	0.0	0.0	0.16	0.16
Rhob	0.0	3.14	0.0	253.17	282.35
Rimbp2	0.0	0.05	0.0	75.53	80.53
Rnf133	0.0	0.0	0.0	0.08	0.08
Rnf169	0.0	0.1	0.0	18.41	21.86
Rsph4a	0.0	0.0	0.0	2.16	2.16
Rtp1	0.0	0.0	0.0	0.16	0.16
Sct	0.0	0.0	0.0	0.21	0.21
Skint7	0.0	0.0	0.0	0.06	0.06
Slc34a2	0.0	0.0	0.0	0.05	0.05
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
Smarca5-ps	0.0	0.0	0.0	0.13	0.13
Smpd4	0.0	0.0	0.0	42.75	42.43
Stx11	0.0	0.0	0.0	0.14	0.14
Tac4	0.0	0.0	0.0	0.08	0.08
Tal2	0.0	0.0	0.0	0.18	0.18
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tg	0.0	0.0	0.0	0.08	0.08
Tktl1	0.0	0.0	0.0	0.08	0.08
Tmem54	0.0	0.0	0.0	0.19	0.19
Tslp	0.0	0.0	0.0	0.09	0.09
Tsx	0.0	0.0	0.0	0.13	0.13
Tti2	0.0	0.0	0.0	17.38	16.7
Tubb1	0.0	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.0	0.12	0.12
Ube2j2	0.26	1.0	1.94	7.7	8.38
Usp26	0.0	0.0	0.0	0.02	0.02
Utp14a	0.0	0.0	0.0	11.84	11.84
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.09
Vmn2r28	0.0	0.0	0.0	0.04	0.07
Vmn2r55	0.0	0.3	1.48	3.27	3.31
Vps52	0.0	0.0	31.44	71.46	76.31
Vrk2	0.0	0.0	0.0	2.24	2.24
Zfp185	0.0	0.0	0.0	0.89	0.89
Zfp750	0.0	0.0	0.0	0.03	0.03
Zfp781	0.0	17.65	6.7	18.46	19.27
Zfp957	0.0	0.0	0.0	0.07	0.07
Zscan10	0.0	0.0	0.0	0.04	0.04
Zscan18	0.0	0.0	0.0	15.68	15.28
Zswim7	0.0	0.0	0.0	17.56	16.86
c10_5S	0.0	0.0	0.0	5.15	5.7
mt_AK131586	0.0	4908.34	0.0	25813.35	24561.45
