	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_41	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Fras1	0.0	0.0	0.0	0.0	0.0	0.0	9.06	8.51	9.72
Fut1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.14	0.08
Gabrb2	0.0	0.3	0.04	0.0	0.0	0.0	112.15	88.74	113.37
Ggcx	0.33	0.2	5.47	1.86	0.23	0.0	14.59	13.45	15.96
Glb1l2	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.43	0.36
Glipr1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.23
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm14430	0.0	0.0	0.01	0.0	0.0	0.0	7.67	5.07	7.49
Gm14434	0.0	0.0	0.01	0.0	0.0	0.0	7.67	5.07	7.49
Gm1647	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm4724	0.0	0.0	0.01	0.0	0.0	0.0	7.67	5.07	7.49
Gm4745	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gpr44	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Heatr6	0.1	0.1	0.19	0.0	46.98	0.0	11.07	10.73	12.44
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hnrpll	0.0	0.0	0.0	0.0	0.0	0.0	53.39	53.03	51.14
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.12	0.07
Il17c	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Ino80e	0.0	0.0	0.0	0.0	0.0	0.0	33.1	34.43	33.74
Iqcd	0.0	0.0	0.0	0.0	0.0	0.0	2.09	1.52	2.09
Jam2	0.0	0.0	0.0	0.0	59.61	0.0	23.34	20.85	25.18
Kcnj13	0.0	0.0	0.0	0.0	0.0	0.0	2.3	1.75	2.07
Kcns1	0.0	0.0	0.0	0.0	0.0	0.0	14.64	18.65	18.42
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lag3	0.0	0.0	0.14	0.0	0.0	0.2	6.77	7.49	11.34
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Lnpep	0.4	5.44	0.05	0.0	0.13	0.0	32.87	27.28	33.21
Lpar6	0.0	0.0	0.0	0.0	0.0	0.0	3.88	4.07	5.66
Ltf	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Magi3	0.0	0.0	0.0	0.0	0.0	0.0	28.15	24.58	29.89
Mcam	0.15	0.19	0.19	0.0	0.0	0.0	19.18	18.95	22.56
Mctp2	0.0	0.0	0.0	0.0	0.0	0.0	0.73	0.65	0.73
Mep1a	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.03
Msh2	0.0	0.0	0.0	0.0	0.0	0.0	26.47	27.36	24.03
Muc4	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Myo3b	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.1	1.19
Myo9b	0.51	0.0	0.0	0.0	0.0	0.0	28.35	26.19	30.28
Myog	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Myom2	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Ncr1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nov	0.22	0.0	0.0	0.0	0.0	0.0	124.61	128.44	115.44
Nox4	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Nr0b1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.1	0.06
Olfr15	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Otop3	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.12	0.04
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pdpk1	0.0	0.08	0.0	0.0	0.0	0.0	63.52	57.57	60.93
Ppox	0.0	1.61	0.0	0.0	0.0	0.0	20.65	23.95	22.68
Pptc7	0.0	37.1	14.07	20.03	0.0	0.0	40.75	41.4	36.47
Prps1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Psd3	0.0	1.18	2.4	0.0	104.03	3.5	186.39	161.39	187.14
Ptpre	0.0	0.0	0.05	0.0	0.13	0.0	20.53	17.69	20.68
Ptx4	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.18	0.07
Qrfp	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.14
Rab11fip2	0.0	0.0	0.1	0.0	0.0	0.0	41.52	36.24	39.33
Rab27b	0.22	0.17	0.0	0.0	0.0	0.03	14.51	12.94	15.04
Rab44	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.18	0.12
Raet1d	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rnf133	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.14	0.08
Sart1	0.0	0.34	0.05	0.0	0.0	0.0	27.52	30.31	28.43
Sgms2	0.0	0.69	0.08	0.0	0.23	0.16	1.96	1.91	2.05
Sgpp1	0.16	0.0	0.0	0.0	0.0	0.0	34.14	35.26	32.71
Sharpin	0.0	1.02	0.0	0.0	155.34	0.0	32.19	35.09	39.04
Slc10a5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Slc4a1	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slc4a5	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.13	0.04
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Sort1	97.59	99.01	0.04	23.68	99.76	128.12	251.59	239.48	249.17
Ss18l1	0.0	0.0	0.0	0.0	0.0	0.0	34.15	32.67	30.43
Stx11	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.14
Tac4	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Taf5l	0.0	0.0	0.0	0.0	0.0	0.0	18.7	19.86	16.45
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tg	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.11	0.08
Tmem167b	1.82	10.54	0.0	0.0	20.84	0.0	44.69	45.81	45.82
Tmppe	1.06	0.65	1.47	1.09	0.69	0.37	7.94	7.99	8.39
Tollip	0.0	30.1	0.07	0.0	0.0	0.0	103.91	106.19	102.1
Trf	40934.39	59004.26	25492.58	39899.4	47798.56	67608.53	219.44	232.71	255.04
Trim9	0.0	0.13	0.0	0.0	0.0	0.0	156.89	148.92	163.0
Trpm3	0.41	0.74	0.44	0.0	1.07	0.34	20.34	17.85	23.43
Ttc39c	0.0	0.0	0.0	0.0	0.0	0.0	21.89	24.29	23.64
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Tubb1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.2	0.07
Txndc11	0.0	0.0	0.0	0.0	0.0	0.0	24.06	27.32	24.09
Txndc2	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.11	0.12
Ubac1	0.0	0.25	0.0	0.0	0.0	0.12	28.98	31.01	28.95
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vgll2	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.26	0.07
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Zfp957	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
