	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Atp13a3	0.0	0.0	0.94	0.0	0.0	0.12	0.0	104.01	0.0	23.07	0.0	14.36	0.2	15.46	0.05	0.01	0.24	0.16	1.31	10.69	0.11	0.54	0.03	13.69	3.82	0.0	6.39	0.03	3.16	26.86	3.66	0.0	0.04	26.74	0.74	17.47	7.58	0.0	0.0	0.0	2.31	0.1	9.73	0.0	5.47	0.0	1.93	0.32	0.04	0.04	8.21	9.01	4.9	6.76	5.16	1.83	33.47	31.35	31.27
Bcl2l11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.2	0.11	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.02	0.0	0.07	0.0	0.0	0.0	0.09	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.06	0.0	1.52	0.21	0.0	0.0	0.0	0.8	0.03	0.17	0.0	0.06	0.1	0.07	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.07	0.0	2.93	3.49	3.3
Bcr	6.77	6.85	0.0	12.43	0.0	0.0	0.0	52.71	12.02	15.26	40.23	0.0	0.07	0.02	0.03	0.08	0.07	0.0	0.0	12.28	0.76	2.21	4.66	25.91	0.8	0.0	0.0	6.54	0.0	0.96	16.51	0.0	0.18	24.35	0.0	26.0	1.82	6.49	23.45	11.58	0.0	0.0	0.81	0.0	3.61	38.08	30.14	47.15	16.01	6.78	0.0	2.63	9.6	2.39	6.5	3.67	72.62	70.21	69.03
Bmpr1b	0.0	0.0	0.0	0.0	121.16	0.0	0.0	13.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.5	0.0	0.0	12.18	11.4	12.31
Caprin2	0.0	9.25	0.0	0.15	0.0	0.0	0.0	41.91	0.0	0.0	0.11	0.0	0.09	0.13	0.05	0.0	0.06	3.77	0.0	1.31	0.0	0.0	15.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.77	0.0	28.02	0.0	3.76	0.0	0.0	0.0	3.86	0.0	0.0	17.71	0.0	0.0	2.29	43.66	0.85	0.0	0.0	0.0	0.0	3.08	1.06	2.91	6.21	6.47	6.66
Ccdc61	0.0	0.0	0.0	18.39	0.0	27.96	0.0	42.59	0.0	0.0	0.0	0.0	0.0	1.91	0.0	0.62	0.0	3.87	7.61	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.12	2.68	0.0	0.0	12.45	0.0	0.0	0.0	2.97	10.35	3.63	2.05	0.0	0.0	0.0	0.0	0.0	0.0	9.53	0.0	0.0	0.0	13.71	0.05	0.0	1.0	0.0	0.15	1.73	0.52	8.43	9.34	10.03
Ccl27b	0.0	0.14	0.0	8.68	0.0	11.67	0.0	23.86	17.1	31.22	4.28	0.3	0.03	0.0	1.74	0.0	0.0	7.16	0.58	0.0	0.0	0.0	0.0	4.8	2.47	0.77	0.0	0.0	0.29	0.0	2.79	1.65	1.9	0.13	4.31	0.0	40.26	0.0	1.3	4.89	46.94	0.0	0.0	0.0	0.0	0.0	38.65	4.36	7.83	1.88	0.0	132.22	74.98	61.27	76.52	71.98	30.63	28.29	22.96
Ccna2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.29	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	4.63	0.0	0.32	0.0	0.1	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.19	2.6	0.0	0.0	25.28	0.0	0.93	0.0	2.43	0.27	1.21	2.38	2.69	2.51
Cog5	0.0	0.0	60.38	2.66	0.0	0.0	0.0	107.6	0.0	0.0	0.0	0.0	0.0	7.49	0.0	18.96	0.0	17.12	0.52	44.36	10.13	1.22	17.11	0.0	50.35	41.16	17.45	2.27	0.0	0.0	42.87	0.28	24.33	0.0	0.0	0.0	12.71	1.43	0.0	0.0	0.0	6.76	1.25	0.0	7.14	1.12	0.13	6.18	0.0	0.0	0.0	2.78	9.1	12.75	3.79	9.55	22.67	20.68	20.67
Col6a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	1.39	0.96
Crtc3	0.25	0.1	0.14	0.53	0.0	0.52	0.79	42.4	0.11	0.21	0.33	0.08	0.08	0.12	0.78	3.09	0.1	0.25	0.12	0.26	0.08	0.17	0.06	0.09	0.71	0.13	0.05	0.13	7.9	0.64	2.57	0.0	0.13	0.27	14.12	0.22	3.5	0.0	0.1	0.27	0.2	0.03	0.41	0.12	0.36	0.0	0.31	0.53	0.12	0.0	0.31	1.07	0.38	0.23	0.81	0.34	9.68	10.12	10.56
Cuedc1	1.28	0.0	0.0	3.46	0.0	0.0	0.0	12.01	0.0	11.23	0.0	1.59	0.05	0.12	0.0	0.0	0.07	0.0	0.0	0.0	0.13	0.0	4.98	0.3	0.15	0.15	0.0	0.0	0.0	0.0	5.68	0.0	0.0	0.53	0.0	0.29	0.86	0.0	0.0	0.0	0.0	0.0	10.7	0.72	0.07	0.17	0.0	0.31	0.3	0.0	0.0	0.0	1.32	0.3	0.23	0.46	19.89	23.12	23.61
Cxcr5	0.49	0.0	0.0	0.0	0.0	0.0	0.0	4.67	0.0	1.78	0.0	0.0	0.91	0.0	1.4	0.0	0.0	0.0	0.12	0.53	0.0	0.22	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.1	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.35	0.0	0.0	0.51	0.23	0.11	0.26	0.4	0.15	0.04	0.08
D18Ertd653e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.66	5.99	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.99	9.28	4.32	2.63	7.12	35.82	29.98	35.1
D4Ertd617e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.83	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	3.55	0.0	0.0	0.0	0.0	0.0	19.26	0.0	0.0	0.0	2.51	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.93	0.0	0.0	4.66	0.0	2.46	0.0	1.07	1.38	0.55	1.82
Dlg5	0.0	0.0	0.0	4.04	0.0	1.08	0.0	48.72	0.0	0.0	9.67	6.37	25.08	3.13	7.61	0.15	0.0	0.0	0.0	0.03	0.0	12.65	0.0	8.27	0.0	0.0	4.16	0.0	22.12	0.06	4.36	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.49	0.0	10.0	0.05	0.0	0.21	1.18	0.72	1.53	0.57	14.3	13.9	15.68
Ears2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	115.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.24	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	6.62	7.09	8.39
Eef2k	25.93	0.31	0.85	0.08	0.0	0.09	0.47	126.11	0.89	27.76	1.23	0.11	0.44	0.11	0.0	0.14	0.07	7.6	0.31	0.1	0.05	0.09	0.19	0.05	12.32	0.0	0.38	0.07	0.43	0.12	0.47	0.33	10.14	0.34	35.1	0.44	3.62	0.62	0.27	22.83	0.36	0.18	2.25	1.03	0.52	1.38	0.32	0.38	0.08	0.22	0.49	7.94	7.19	6.48	3.05	2.99	27.93	28.9	28.24
Efhc2	1.26	121.72	0.0	0.0	0.0	0.0	0.0	201.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.57	0.0	16.26	5.67	3.81	1.7	1.64	1.24
Ehd1	14.64	0.23	0.21	0.0	0.0	19.51	0.0	82.24	0.0	0.0	0.0	22.42	0.17	0.45	0.0	0.06	10.53	0.0	0.58	0.35	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.07	0.0	1.52	0.59	0.0	0.0	6.17	47.86	0.0	0.73	22.35	38.32	0.57	0.0	0.0	0.0	0.0	3.74	0.0	1.72	3.33	0.19	0.0	0.0	0.1	0.66	0.93	2.48	2.72	28.87	31.98	29.2
Eny2	46.51	32.25	68.61	114.1	0.0	22.08	0.0	268.16	34.42	0.09	60.11	24.69	18.25	7.73	15.04	19.86	67.02	151.25	101.56	30.46	56.45	39.67	27.35	14.41	60.24	21.19	18.66	0.18	32.92	3.58	83.24	85.11	61.09	12.76	70.22	31.97	79.45	45.05	145.25	15.21	30.1	77.84	17.21	36.0	4.01	46.14	0.0	30.73	19.11	23.36	28.17	78.43	64.86	67.56	74.5	55.21	55.17	51.61	53.75
Eya3	8.42	0.0	0.0	1.32	0.0	0.0	0.0	60.76	0.0	0.0	0.0	0.07	0.0	0.02	0.0	10.76	0.0	19.06	26.0	3.89	0.77	0.22	0.57	0.0	0.0	22.52	0.0	0.0	0.0	8.12	0.08	0.0	0.0	0.68	9.15	1.16	2.84	0.06	0.0	0.0	1.23	0.11	0.21	0.0	0.21	1.2	5.29	0.0	0.0	0.0	0.0	9.37	8.58	3.66	3.52	3.73	18.15	18.29	17.8
Fam108a	1.77	3.02	0.0	0.74	0.0	0.0	0.0	112.22	0.0	0.0	12.55	2.28	0.05	0.0	0.12	0.0	0.23	0.0	0.0	0.0	3.22	1.17	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1	0.2	7.34	0.0	0.0	0.0	0.0	0.0	0.0	3.66	1.35	0.96	0.0	0.0	0.0	0.0	1.04	4.13	5.24	3.84	185.45	211.33	202.35
Fasl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.18	0.0	0.21	0.05	0.11
Fbxl15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.53	20.58	25.62	26.73
Fbxl20	0.0	2.04	0.0	0.0	0.0	0.0	0.0	33.27	0.0	0.0	1.41	0.0	0.01	0.0	24.31	3.71	0.0	0.0	0.0	1.39	0.0	0.0	15.22	16.05	8.34	2.4	0.0	0.0	0.0	14.36	1.84	8.94	0.0	0.0	0.0	9.36	0.44	0.03	0.0	0.03	9.51	0.0	0.0	0.12	1.87	0.0	0.0	0.0	0.0	0.0	0.0	4.9	5.46	2.9	3.23	1.79	22.62	23.09	23.45
Foxp1	6.39	0.0	0.09	1.11	0.0	0.16	0.0	42.62	25.34	0.0	18.75	0.16	0.12	13.68	0.34	0.0	0.0	0.39	0.0	0.86	0.11	17.88	25.9	23.51	7.88	0.0	4.92	0.0	0.03	0.03	6.55	0.0	0.22	0.81	1.16	0.13	41.53	1.58	7.85	0.03	0.1	10.28	0.24	0.0	4.44	2.15	30.26	0.0	1.01	0.03	0.0	79.2	42.76	40.0	33.72	37.41	40.99	39.15	40.35
Frem1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.75	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	1.07	1.22
Gale	42.78	8.67	138.07	0.0	0.0	0.0	0.0	164.52	0.0	78.18	0.0	0.0	0.21	70.49	25.42	0.47	3.82	24.1	67.06	34.4	0.26	0.0	64.99	0.0	0.0	52.97	82.23	44.79	0.0	0.0	0.14	100.4	26.49	53.77	0.0	0.28	23.12	0.0	0.0	38.46	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02	0.0	16.84	21.05	15.01	7.51	7.35	15.25	17.91	15.21
