	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_60	Cux2_tdTpositive_cell_62	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_116	Cux2_tdTpositive_cell_118	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_44	Nos1_tdTpositive_cell_23	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_48	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_23	Slc17a6_tdTpositive_cell_35	Slc17a6_tdTpositive_cell_44	Vip_tdTpositive_cell_49	Rbp4_CTX_10pg_5	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mapk4	122.62	118.23	54.56	22.53	15.39	29.76	127.34	39.25	0.0	32.22	5.31	5.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	25.49	0.0	26.88	0.05	0.0	4.44	0.0	10.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51	10.14	0.11	37.02	39.26	38.73	38.99
Mas1	83.93	285.43	216.44	322.43	78.64	209.84	144.31	353.59	0.0	139.94	0.0	2.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	320.89	0.0	16.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.35	0.06	0.0	8.34	22.32	20.14	20.56
Ndel1	13.97	143.89	18.27	1.34	40.73	114.68	55.7	1.16	0.0	93.66	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.21	1.48	0.0	0.17	0.0	37.53	0.0	40.19	0.2	0.0	0.18	0.12	0.0	197.65	0.0	0.0	22.01	0.0	0.0	0.0	45.67	4.47	0.27	0.0	152.7	92.33	93.85	89.91
Npcd	86.42	217.07	124.52	299.31	80.39	147.6	268.64	78.65	0.06	97.27	0.43	0.71	0.0	0.0	0.0	0.0	0.0	0.11	0.25	0.0	0.35	0.0	33.79	0.0	18.85	0.05	0.0	0.09	0.06	203.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.2	28.83	85.65	70.19	247.5	166.76	178.33
Plcb1	78.64	131.72	65.51	132.72	119.85	52.55	124.76	49.76	0.02	39.41	36.75	1.62	0.0	0.08	0.0	0.0	0.0	0.21	0.16	0.0	0.11	0.0	20.64	0.0	54.15	0.03	0.03	0.06	0.04	35.35	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	23.9	72.62	0.0	9.75	113.5	100.43	118.49
Plec	25.18	47.28	42.75	41.49	55.83	22.96	30.23	33.74	0.0	13.76	13.06	7.24	0.0	0.0	0.0	0.0	0.0	0.07	0.19	0.0	0.03	0.02	46.81	0.03	25.66	0.02	0.0	18.95	0.04	3.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.55	34.05	0.0	30.58	46.49	48.19	52.96
Pter	4.11	4.77	16.79	43.0	8.83	1.81	6.29	4.43	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	102.23	0.0	22.94	0.0	0.0	0.69	115.71	0.0	0.16	0.0	1.72	11.39	0.0	0.0	0.0	2.23	0.72	0.12	0.0	6.49	5.39	5.64	3.96
Ptgs2	279.36	0.0	11.42	485.92	589.42	38.06	148.56	0.66	0.0	30.3	0.12	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.48	0.0	3.47	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.63	0.0	3.81	8.98	8.44	8.98
Ptpn5	97.96	80.77	155.5	244.06	184.66	198.34	273.81	85.22	0.0	94.2	20.7	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.4	0.0	39.87	0.0	126.47	0.16	0.41	0.28	0.09	99.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147.95	96.01	20.99	326.68	171.91	176.6	181.66
Rasl10a	0.0	56.91	0.0	0.0	0.0	20.51	65.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.0	0.0	9.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.38	0.15	0.0	0.51	60.71	61.9	57.04
Rbfox1	362.18	379.2	165.6	342.78	233.92	176.82	234.26	234.6	0.04	105.97	45.37	54.3	0.0	0.0	0.0	0.0	0.0	0.24	1.98	0.15	0.39	0.0	192.31	0.0	60.62	0.4	0.05	0.08	0.11	176.01	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	280.66	237.36	16.9	154.05	198.25	185.0	193.44
Rbfox3	67.93	98.86	76.53	55.66	24.29	75.34	57.4	45.95	0.0	71.28	7.21	31.95	0.0	0.0	0.0	0.0	0.0	0.16	0.96	0.0	0.4	0.0	68.25	0.0	23.13	0.0	0.0	0.14	0.0	9.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.01	45.34	3.09	48.28	216.71	228.38	226.62
Scn8a	81.86	50.33	26.79	98.83	27.24	99.06	55.17	28.43	0.0	20.1	9.6	24.76	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.11	0.02	0.22	0.84	43.36	0.02	0.0	0.04	0.0	9.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.96	33.83	0.13	9.02	111.53	100.99	112.93
Sorbs2	136.24	268.18	103.67	139.27	183.94	136.64	221.48	131.04	0.0	57.88	8.94	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.07	0.0	19.01	1.33	89.77	0.04	0.0	0.99	0.0	11.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.34	59.88	27.46	20.46	99.7	89.51	99.73
