	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_64	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_37	Cux2_tdTpositive_cell_65	Cux2_tdTnegative_cell_14	Htr3a_tdTpositive_cell_13	Nos1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Rbp4_tdTpositive_cell_49	Rbp4_tdTpositive_cell_55	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_9	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_35	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_39	CAV_VISp_Contra_tdTpos_cell_1
Cib1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.94	0.0	6.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	13.74	0.0	2.26	0.0	10.7	0.0	0.0	0.38	3.03	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cldn12	0.0	43.93	40.32	0.19	0.0	0.0	68.16	0.05	0.11	0.06	0.0	0.0	91.99	0.65	0.0	0.0	8.86	0.1	0.39	7.42	35.51	27.89	0.84	0.0	20.88	0.3	0.0	6.31	87.24	29.49	15.56	50.67	17.01	22.37	31.31	58.41	10.2	36.97	18.53	56.11	31.79	29.08	0.0	30.78	0.0	0.0	8.74	0.0	0.0	13.31	0.0	109.98	0.05	0.0	2.07
D030016E14Rik	0.0	0.0	0.05	0.0	0.0	6.15	38.65	0.0	53.4	0.0	0.0	76.26	69.91	58.95	0.0	0.0	0.0	2.1	38.8	23.88	64.44	13.79	1.61	35.59	0.0	0.26	0.0	12.9	0.0	21.83	14.79	25.04	15.71	18.45	26.02	38.85	13.96	8.22	10.93	32.18	23.38	19.77	44.08	0.0	0.0	5.13	0.0	33.34	0.28	0.06	190.65	0.21	5.93	0.0	0.0
Dnttip1	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	1.82	2.14	0.0	0.0	0.0	0.2	41.91	0.0	0.0	0.0	0.0	7.69	2.1	0.0	0.0	0.13	0.0	0.0	0.0	2.05	0.0	0.0	9.02	0.0	4.46	0.24	18.53	9.05	1.3	3.94	4.26	9.46	0.0	0.0	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dqx1	2.57	1.03	0.68	6.93	1.42	2.66	1.4	0.52	4.69	1.12	2.36	2.17	0.95	2.76	0.34	1.11	0.78	2.37	1.55	1.56	1.36	2.37	3.7	6.18	2.38	9.0	3.85	3.2	3.23	7.36	2.82	3.5	1.39	2.56	3.47	2.86	1.73	1.33	1.89	2.3	6.94	1.47	1.73	2.55	2.14	1.77	3.08	1.26	1.45	2.78	2.46	3.14	1.22	3.24	5.27
Eif2ak3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.03	17.97	0.0	0.0	34.71	0.0	2.33	0.06	2.56	0.0	0.0	17.74	40.26	4.93	2.28	0.46	0.0	0.0	0.18	6.58	0.0	1.3	1.33	9.95	0.44	3.68	0.22	3.9	0.0	1.14	0.6	0.22	2.43	4.48	3.22	31.03	0.0	0.13	0.12	0.0	9.12	0.0	6.2	225.49	0.0	13.68	0.0	1.67
Elk3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.58	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.91	0.67	4.78	0.13	3.96	3.09	1.41	2.18	4.57	7.32	3.08	5.67	5.05	0.0	0.0	0.0	0.0	0.0	0.0	19.17	0.0	0.0	0.0	0.0	0.06	0.0
Fam151b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.17	1.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.22	1.02	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gas7	54.69	3.6	39.76	43.13	76.54	48.9	114.27	41.4	101.66	78.64	74.18	106.33	52.57	75.55	40.42	15.36	34.82	67.99	67.32	49.06	45.28	30.92	36.68	56.71	77.58	60.94	188.96	98.82	77.37	120.27	111.56	121.57	116.74	103.42	129.82	137.35	113.85	133.52	114.27	518.4	524.85	524.32	102.7	119.55	57.61	47.2	73.62	22.32	52.84	8.68	256.08	19.06	78.22	110.16	70.45
Gemin7	12.87	0.0	0.0	0.0	64.41	0.0	5.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.38	0.0	0.0	0.45	2.16	35.17	1.04	0.44	0.0	1.59	0.0	0.0	0.0	26.65	10.45	14.88	11.59	12.68	17.09	39.87	22.58	56.94	16.29	9.54	16.24	21.21	0.0	0.0	0.0	0.0	2.06	0.0	14.07	0.0	0.0	47.21	0.0	0.0	0.66
Git2	0.23	0.13	18.03	0.71	0.28	0.19	18.3	9.09	0.24	41.15	0.42	0.41	0.07	33.6	0.0	0.07	0.18	0.14	7.26	0.52	0.05	3.16	0.48	0.25	0.7	0.17	21.14	0.0	1.4	4.82	8.81	5.57	15.62	10.23	16.27	4.87	4.32	18.76	12.16	8.66	3.61	5.58	0.47	0.48	0.0	0.58	0.06	0.0	0.16	0.0	0.43	0.0	0.45	0.16	17.26
Gm2002	0.0	0.12	0.13	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.18	0.2	0.22	0.43	4.1	0.11	0.0	0.23	0.0	3.3	1.5	1.12	0.26	0.14	0.0	0.0	0.0	0.24	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.0	0.17	27.58	0.0	0.0	0.36	0.28	0.0	0.09	0.06	0.0	0.0
Gm5643	84.65	0.0	0.0	0.0	0.0	0.0	124.95	38.88	0.0	0.0	0.0	0.4	0.0	0.0	0.53	0.0	0.0	42.29	0.0	0.0	0.0	38.04	76.07	0.0	0.0	0.0	1.92	0.0	32.35	0.43	0.45	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.38	0.66	0.75	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	26.1	17.1	0.0
Gnb1l	0.0	107.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.83	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	0.0	0.0	0.0	34.15	43.01	16.74	2.4	5.88	0.0	3.68	0.08	5.36	0.0	10.33	3.25	2.5	3.84	3.87	20.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.18
Ick	0.7	2.0	9.38	1.44	1.05	1.03	0.91	3.17	1.45	0.15	21.68	1.21	1.85	1.21	0.49	0.32	0.28	0.21	0.96	0.49	4.93	2.38	2.68	0.73	33.44	0.69	1.65	1.21	1.88	1.11	3.53	2.69	1.88	7.7	4.6	2.4	0.65	0.52	0.71	3.12	3.8	3.42	2.08	2.41	0.31	0.04	0.31	0.0	0.36	3.57	0.52	2.23	2.36	1.88	1.02
Il11ra2	0.0	0.12	0.13	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.18	0.2	0.22	0.43	4.1	0.11	0.0	0.23	0.0	3.3	1.5	1.12	0.26	0.14	0.0	0.0	0.0	0.24	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.0	0.17	27.58	0.0	0.0	0.36	0.28	0.0	0.09	0.06	0.0	0.0
Klf13	296.5	161.51	155.54	176.31	195.18	295.34	286.9	103.68	325.19	275.31	193.93	376.48	387.91	281.44	73.1	82.09	79.13	160.96	122.11	195.39	260.07	150.94	154.38	137.71	91.07	190.63	394.14	372.17	229.06	451.23	373.89	420.02	377.76	428.42	489.37	405.02	263.7	397.35	313.06	725.89	549.33	602.3	201.97	400.7	97.96	26.15	250.88	108.34	83.98	20.13	62.2	503.03	168.59	363.98	285.0
Med12	0.0	0.0	0.02	0.0	0.0	1.01	0.0	0.0	0.0	1.01	0.0	0.0	0.0	26.72	0.0	0.0	0.02	0.0	0.0	0.76	10.33	0.73	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.84	0.04	0.03	1.38	0.17	1.37	0.0	2.33	2.51	0.84	1.45	0.81	0.0	2.65	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.03	0.0
Meis3	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	4.11	0.0	13.25	60.39	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71	2.55	0.0	0.0	0.09	8.48	0.0	0.0	0.61	4.68	1.52	9.64	13.25	7.5	0.65	17.45	22.87	0.11	3.73	5.87	3.75	0.0	0.0	102.33	2.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mepce	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.66	32.84	0.0	0.0	0.0	56.53	0.0	0.0	0.0	0.0	0.0	0.0	3.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	2.25	2.32	8.6	0.0	1.79	6.14	0.0	2.1	10.89	7.23	4.12	3.06	27.14	6.83	53.01	0.0	0.0	0.0	0.0	0.0	0.0	24.02	0.0	0.0	0.0
Msto1	1.29	0.0	11.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.26	0.0	0.0	0.0	0.0	0.19	0.0	62.39	47.33	3.13	0.3	0.0	0.0	0.18	0.0	0.0	69.88	20.52	18.22	13.5	21.33	5.98	33.94	24.17	25.9	12.98	25.59	12.94	11.92	16.1	15.22	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7
Mtap	0.0	0.0	0.0	0.0	0.0	0.0	127.7	0.0	0.0	0.0	0.15	103.33	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	5.17	0.59	0.0	1.23	0.0	0.0	0.0	0.0	0.0	11.21	0.0	4.73	2.65	14.09	2.13	7.68	12.27	3.71	0.58	6.47	6.93	0.0	0.0	0.0	0.11	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	2.97
Mtx2	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	3.31	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	8.6	0.0	0.0	1.06	17.72	1.71	0.0	0.0	0.0	0.0	0.0	0.0	2.61	11.39	13.79	2.11	0.55	24.72	36.76	4.21	15.71	29.35	15.34	8.42	15.86	86.05	0.0	0.0	153.64	0.0	0.0	0.0	0.0	0.0	44.22	0.0	0.0	0.0
Nek6	0.12	0.22	0.4	0.0	0.1	0.15	0.72	0.11	0.37	0.32	0.41	0.1	0.31	44.61	0.0	0.08	0.2	0.0	1.46	0.06	0.38	0.46	8.83	0.06	0.0	0.37	28.58	0.98	0.54	11.17	3.95	1.1	1.34	0.64	0.12	6.14	6.5	10.09	4.44	2.63	1.9	4.04	0.11	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.5	0.16
Noc2l	0.57	0.0	32.91	0.0	0.0	1.63	15.86	0.0	0.0	0.44	0.0	27.13	0.0	0.0	0.0	0.0	0.26	0.0	50.4	77.36	0.0	22.33	0.84	2.0	0.0	0.29	3.44	2.95	0.0	15.12	26.06	3.42	26.31	11.81	13.01	28.48	15.73	5.5	15.27	12.67	17.15	11.98	2.77	65.07	0.0	0.62	0.0	36.81	0.0	0.0	132.94	0.0	0.0	5.52	0.0
Pag1	0.0	0.0	0.0	0.0	0.03	0.08	16.85	0.18	0.0	0.0	15.55	0.1	0.0	0.51	0.07	0.01	0.0	0.09	0.04	0.1	0.0	1.2	0.04	0.09	0.1	0.09	6.55	0.0	0.1	0.02	0.0	0.08	0.1	0.29	3.29	0.76	0.0	2.08	2.34	0.83	0.91	0.86	0.04	0.0	0.03	0.0	10.78	0.15	14.32	0.0	0.0	0.1	0.0	0.11	0.0
Patz1	0.0	0.0	2.59	0.0	0.0	0.0	0.0	0.0	26.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	0.83	0.0	0.0	0.0	0.0	3.25	0.0	0.0	3.31	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.79	1.9	1.61	0.74	0.89	0.0	0.0	0.0	0.0	0.0	0.0	69.73	0.0	0.0	0.0	0.0	0.0	0.0
Pcbd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	0.0	0.0	0.0	0.0	0.0	0.0	10.9	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	13.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	2.07	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.98	0.0	0.0
Pkd2	38.49	0.11	0.19	0.27	29.61	47.63	7.09	0.21	14.31	23.72	0.06	1.9	0.44	1.18	0.54	0.1	0.15	0.15	0.21	0.05	0.12	8.82	3.49	0.35	0.56	0.72	0.9	4.93	0.0	1.71	4.65	6.87	0.85	6.77	4.74	0.5	0.29	6.25	1.05	3.15	2.93	2.1	0.56	0.61	0.32	0.41	0.0	0.17	0.48	0.23	0.22	0.26	8.34	2.42	0.35
Plekha7	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	15.05	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	32.17	0.57	3.62	0.23	3.97	2.95	0.0	1.72	1.37	1.76	0.0	0.96	1.5	0.4	0.0	0.4	0.0	0.0	0.0	0.0	8.95	0.0	0.0	0.0	0.0	0.0	11.12
Ppp4c	31.79	0.0	0.38	0.0	0.0	0.0	20.6	0.0	0.0	0.0	83.5	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	0.0	0.2	8.5	0.45	0.0	0.0	0.0	0.48	4.31	92.47	8.73	1.65	21.86	5.75	12.46	2.31	8.38	5.55	11.19	10.48	9.86	6.34	5.34	0.0	0.0	0.0	0.21	0.0	0.0	74.07	0.0	0.0	0.0	0.47	0.24	0.0
Prune	0.06	0.0	0.87	0.0	42.67	107.07	28.34	0.0	0.0	8.68	0.0	0.0	0.1	5.95	0.0	0.0	0.17	0.0	0.0	47.67	80.82	3.54	64.34	0.0	0.0	0.21	0.0	0.0	0.27	17.63	25.35	32.32	14.34	14.91	16.86	19.04	11.72	43.43	26.17	22.36	21.97	27.13	14.19	7.11	6.42	0.09	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0
Rab4b	80.66	0.0	21.32	46.16	0.0	0.38	0.0	0.0	0.0	0.0	20.54	61.58	0.0	76.13	8.73	0.0	86.09	0.0	0.0	36.48	46.37	60.12	66.34	0.0	0.0	125.22	83.73	222.97	71.85	67.53	90.48	76.04	89.14	85.09	53.36	72.76	59.3	74.34	41.25	40.99	74.19	61.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.63	0.0	30.09	0.0
Rabgef1	34.89	13.09	10.22	26.36	0.0	0.0	7.55	0.0	12.64	37.64	0.0	48.29	26.31	4.73	0.0	27.78	0.3	21.4	0.0	0.0	2.74	48.46	25.11	0.36	0.0	33.54	39.71	30.25	93.94	78.26	53.51	58.28	62.42	34.26	53.85	51.75	69.48	42.55	52.33	61.18	43.69	75.78	59.88	29.94	16.45	0.0	46.32	0.0	0.0	0.0	0.0	0.0	12.34	0.0	0.18
Rnf111	0.0	0.0	0.0	0.0	0.0	123.54	0.0	0.0	1.97	0.0	0.0	39.9	0.0	0.0	0.0	2.11	3.01	14.85	10.75	0.0	27.68	15.5	27.95	0.0	22.61	0.2	0.0	0.0	0.0	8.28	3.78	5.09	5.72	9.12	5.54	8.09	9.58	7.56	17.09	10.41	4.12	8.25	20.44	0.07	0.0	0.0	0.0	0.0	9.32	0.0	0.0	0.0	40.61	77.99	0.0
Rpf1	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	1.74	0.0	0.0	21.09	0.0	0.79	48.17	7.55	28.86	0.0	0.0	0.27	32.27	0.0	0.0	32.54	33.4	0.0	9.1	1.37	22.02	27.0	27.63	0.0	23.09	7.88	21.07	18.3	0.0	0.0	0.92	0.23	0.0	0.0	0.0	0.0	0.0	106.24	0.0	0.0	95.26
Senp3	0.0	0.0	0.0	0.0	0.15	130.49	26.35	0.16	0.18	0.18	8.12	29.48	0.15	0.0	0.0	12.14	0.0	0.0	0.0	31.37	0.0	8.75	1.69	5.15	12.15	0.52	33.91	66.67	1.14	19.2	19.52	9.95	5.7	10.81	9.33	10.21	16.51	10.35	21.73	15.73	13.48	7.51	0.15	0.0	1.28	3.06	0.0	5.95	0.0	0.0	0.0	0.0	43.58	0.0	0.0
Sh2b3	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.95	0.12	0.0	0.0	1.27	0.21	0.0	0.0	0.12	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sla	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.16	14.43	0.0	12.58	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.17	0.0	0.0	0.0	0.0	0.0	0.0	33.81	24.01	42.88	16.88	45.05	131.64	81.93	33.75	58.73	87.56	90.45	85.66	62.89	0.0	0.0	76.73	0.0	1.23	0.17	0.0	0.0	0.0	762.45	0.0	0.0	0.0
Smad2	1.27	0.0	1.12	62.13	0.94	3.25	0.5	0.2	10.57	1.43	0.96	7.28	0.16	39.19	0.12	0.39	0.61	0.72	0.91	2.48	13.83	5.26	10.92	1.35	3.39	2.6	0.78	0.78	32.41	21.67	11.04	14.75	18.07	14.58	19.92	20.04	15.9	8.7	11.71	10.7	12.34	13.45	13.92	0.65	51.47	2.5	0.62	1.17	13.34	0.21	117.68	6.54	3.45	26.88	0.18
Srrd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	0.0	0.0	9.82	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	5.03	1.78	0.0	0.0	2.2	3.08	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.28	17.97	0.0
