	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.0	0.05	0.05
Klhl31	0.0	0.0	0.0	0.03	0.03
Krt26	0.0	0.0	0.0	0.27	0.27
Lao1	0.0	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.12
Lif	0.0	0.0	0.14	0.36	0.48
Lipm	0.0	0.0	0.0	0.11	0.11
Lpcat2b	0.0	0.0	0.0	0.19	0.19
Ltf	0.0	0.0	0.0	0.04	0.04
Mael	0.0	0.0	0.0	0.13	0.13
Mep1a	0.0	0.0	0.0	0.03	0.03
Mtap1s	0.0	0.0	0.0	36.51	41.64
Muc13	0.0	0.0	0.0	0.03	0.03
Muc4	0.0	0.0	0.0	0.02	0.02
Musk	0.0	0.0	0.0	1.04	1.04
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Naip6	0.0	0.0	0.0	0.38	0.38
Ncr1	0.0	0.0	0.0	0.07	0.07
Nkx2-9	0.0	0.0	0.0	0.48	0.9
Nox4	0.0	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.0	0.06	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Olfr56	0.0	0.0	0.0	0.1	0.05
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Oxgr1	0.0	0.0	0.0	0.24	0.24
Pfn3	0.0	0.0	0.0	0.19	0.2
Phf15	0.37	0.0	0.0	29.31	28.04
Podxl2	0.0	0.0	0.0	126.83	146.28
Prps1l1	0.0	0.0	0.0	0.06	0.06
Prss8	0.0	0.0	0.0	0.64	0.17
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.0	0.12	0.12
Raet1d	0.0	0.0	0.0	0.16	0.16
Rnf133	0.0	0.0	0.0	0.08	0.08
Rsph4a	0.0	0.0	0.0	2.16	2.16
Rtp1	0.0	0.0	0.0	0.16	0.16
Scx	0.0	0.0	0.0	3.19	4.39
Sertad2	0.0	0.38	0.0	15.77	15.34
Sim1	0.0	0.0	0.0	0.07	0.07
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
Snx30	11.54	1.93	13.31	20.11	19.6
Stx11	0.0	0.0	0.0	0.14	0.14
Tac4	0.0	0.0	0.0	0.08	0.08
Tal2	0.0	0.0	0.0	0.18	0.18
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tead1	0.06	0.02	0.03	5.49	6.28
Thnsl2	0.0	0.0	0.0	2.99	2.99
Tktl1	0.0	0.0	0.0	0.08	0.08
Tmem54	0.0	0.0	0.0	0.19	0.19
Tnfaip8	0.0	0.0	0.16	3.8	3.57
Treh	0.0	0.0	0.0	0.1	0.05
Tslp	0.0	0.0	0.0	0.09	0.09
Tsx	0.0	0.0	0.0	0.13	0.13
Ttc39d	0.0	0.0	0.0	0.05	0.05
Tubb1	0.0	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.0	0.12	0.12
Usp26	0.0	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
Vrk2	0.0	0.0	0.0	2.24	2.24
Wfdc12	0.0	0.0	0.0	0.14	0.14
Zfp185	0.0	0.0	0.0	0.89	0.89
Zfp957	0.0	0.0	0.0	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.04
mt_AK131586	0.0	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
