	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_9	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gpx1	0.0	0.0	0.0	96.27	102.04	96.24
H2-Eb1	0.0	0.0	0.0	2.33	2.19	1.85
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hip1r	0.0	0.0	0.0	56.77	58.62	63.47
Hist1h3f	0.0	4.86	0.0	0.14	0.14	0.14
Hnrnpul1	0.0	0.0	0.0	68.91	75.58	74.25
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Htt	0.0	0.0	0.0	46.12	42.17	48.51
Igsf8	52.66	0.0	0.16	177.56	211.72	181.99
Igsf9	0.0	0.0	0.0	4.13	3.5	4.72
Ino80	0.0	0.0	0.0	16.41	15.65	16.79
Irf7	0.0	0.0	0.0	3.08	2.52	3.32
Irs2	0.0	0.0	0.0	24.88	26.48	19.75
Kctd3	0.0	0.0	0.29	61.48	65.8	60.9
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klhl2	0.0	0.0	0.0	186.83	191.01	181.66
Lamb3	0.0	0.0	0.0	1.31	1.14	1.03
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Loxl3	0.0	0.0	0.0	3.13	2.57	2.91
Lpin1	0.0	0.0	0.0	13.97	14.19	13.13
Lpl	0.0	5.98	0.0	16.57	14.26	16.54
Lrrn1	0.0	0.0	0.09	49.23	49.43	49.52
Ltb4r1	0.0	0.0	0.0	0.57	0.34	0.3
Map3k3	0.0	0.0	0.0	22.58	21.74	22.44
Map3k4	0.0	0.0	0.0	24.02	23.63	24.0
Med17	0.0	0.29	0.0	18.96	18.46	16.41
Minpp1	0.0	0.0	0.14	59.35	61.13	56.37
Mta3	0.0	0.0	0.0	54.23	51.62	59.95
Myo16	0.0	0.0	0.0	15.68	15.48	17.03
Nanog	0.0	0.0	0.0	0.09	0.29	0.49
Ncoa5	0.0	0.0	0.0	38.97	41.03	41.29
Neto2	0.0	0.0	0.0	38.68	34.51	37.44
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrx1	0.0	0.0	0.0	6.12	6.21	7.34
Noc4l	0.0	0.0	0.0	21.09	23.35	21.19
Npr2	0.0	0.0	0.0	35.79	37.33	37.73
Nt5e	0.0	0.0	0.0	4.78	5.72	4.4
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Paqr6	0.0	0.0	0.0	7.03	7.36	7.01
Pdcd11	0.0	0.0	0.0	12.87	12.55	12.83
Pkdcc	0.0	0.0	0.0	8.84	9.75	9.6
Pm20d2	0.0	0.0	0.0	5.22	5.88	5.28
Pomt2	0.0	0.0	0.21	14.27	14.89	16.93
Ppl	0.0	0.0	0.0	0.66	0.71	0.5
Ppp4r1	0.0	0.0	0.0	24.14	23.81	25.3
Prop1	0.0	0.0	0.0	0.28	0.0	0.0
Prpf38b	0.0	0.0	0.0	42.54	39.44	42.14
Rab3il1	0.0	0.0	0.0	9.21	10.96	10.39
Rasgrp4	0.0	0.0	0.0	3.36	3.32	3.14
Rb1	0.0	0.1	0.0	22.66	20.56	23.35
Rbl1	0.0	0.0	0.0	1.39	1.33	1.71
Reep4	0.0	0.0	0.0	3.58	3.54	3.14
Rhou	0.0	0.0	0.0	32.02	36.28	32.18
Rtn4rl2	0.0	0.0	0.0	54.7	63.0	60.3
Serinc3	0.0	17.45	3.17	199.4	197.55	189.33
Sfxn3	0.0	0.45	0.13	106.95	108.33	106.28
Shank1	0.0	0.0	0.0	148.7	139.9	181.16
Sik2	0.0	0.0	0.0	18.17	16.51	18.28
Slc41a3	0.0	0.0	0.0	6.61	5.04	5.76
Slc5a12	0.0	0.0	0.21	0.38	0.28	0.6
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Smek1	0.0	0.0	0.23	26.23	22.18	25.24
Smug1	0.0	0.13	0.0	11.71	11.41	12.45
Spata21	0.0	0.0	0.0	1.06	0.41	0.73
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Srgap3	1.33	0.02	0.0	121.23	113.19	124.22
Srrd	0.0	0.44	0.0	19.83	26.01	20.79
Stc2	0.0	0.0	0.0	1.77	2.19	1.72
Tac4	0.0	0.0	0.0	0.08	0.0	0.08
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tbc1d14	0.0	0.24	312.37	62.41	61.71	60.68
Tmem184c	0.0	0.0	0.0	60.35	52.33	59.3
Tox2	0.0	0.0	0.0	19.69	23.35	22.45
Trmt2a	0.0	0.0	0.0	18.75	20.52	21.18
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tufm	0.0	0.0	0.21	69.83	72.42	66.0
Uaca	0.0	2.55	0.0	5.54	7.17	5.9
Ung	0.0	0.36	0.0	2.34	3.2	2.15
Urb1	0.0	0.0	0.0	6.88	7.37	7.51
Usp21	0.0	19.28	0.0	38.45	43.74	37.92
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Veph1	0.22	1.49	0.14	3.28	2.62	3.64
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Zc3h13	0.0	0.0	0.0	42.0	36.95	42.63
Zfp398	0.0	0.0	0.0	11.13	9.89	11.02
Zfp647	0.0	0.0	0.0	2.64	3.62	3.05
Zfp846	0.0	0.0	0.0	11.24	9.78	11.02
Zkscan16	0.0	0.0	0.0	42.82	39.54	38.67
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zrsr2	0.0	0.0	0.0	30.83	29.27	29.44
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
