	Cux2_tdTpositive_cell_94	Cux2_tdTpositive_cell_123	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_33	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_187	Rorb_tdTpositive_cell_25	Rorb_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
9330159M07Rik	8.73	6.19	0.0	0.0	1.04	2.55	0.8	3.8	3.66	2.33	0.7	1.09	1.49	2.42	0.82	2.02	1.87	7.13	10.81	1.1	0.25	0.45	1.59	14.72	0.79	0.36	1.42
A630075F10Rik	34.59	31.14	0.0	0.0	5.57	9.36	0.49	65.6	43.2	21.13	8.69	5.56	22.52	29.45	12.03	20.3	29.38	129.53	83.53	45.27	0.0	6.57	9.4	9.09	5.01	5.34	5.62
AV051173	1.42	2.8	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.94	0.0	3.45	2.48	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.91
Acer1	9.31	11.26	0.0	0.0	3.54	1.22	2.3	16.51	7.3	4.21	3.83	1.2	2.16	2.39	1.6	4.25	5.32	7.17	6.07	7.57	0.65	0.58	1.61	0.98	2.63	1.26	0.93
Acvr2a	218.83	202.28	0.0	0.0	86.35	0.8	0.0	0.0	176.54	37.49	5.23	90.31	42.78	24.42	24.42	77.61	157.72	0.38	1.08	0.06	0.0	0.0	0.09	48.24	22.15	0.67	0.0
Adss	196.22	292.59	0.0	0.0	34.41	0.0	0.0	101.94	33.29	20.45	32.65	0.0	16.95	14.98	2.59	0.21	29.36	14.99	0.69	0.92	0.0	166.37	8.17	0.11	46.03	8.24	47.65
Amy2a2	1.7	1.1	0.0	0.0	0.13	0.13	0.0	0.29	1.03	0.27	1.08	0.16	0.27	0.66	0.27	0.2	0.72	0.0	1.81	0.4	0.0	0.17	0.19	0.04	0.18	0.02	0.13
Amy2a3	1.7	1.1	0.0	0.0	0.13	0.13	0.0	0.29	1.03	0.27	1.08	0.16	0.27	0.66	0.27	0.2	0.72	0.0	1.81	0.4	0.0	0.17	0.19	0.04	0.18	0.02	0.13
Amy2a4	1.7	1.1	0.0	0.0	0.13	0.13	0.0	0.29	1.03	0.27	1.08	0.16	0.27	0.66	0.27	0.2	0.72	0.0	1.81	0.4	0.0	0.17	0.19	0.04	0.18	0.02	0.13
Ank2	316.97	229.19	0.12	0.0	146.27	369.63	18.24	69.43	276.31	226.59	231.23	167.0	191.14	127.64	224.31	248.96	97.15	317.64	537.1	325.59	286.84	170.92	109.7	147.06	82.13	199.56	110.44
B3gat1	68.27	58.16	0.0	0.0	0.0	0.0	0.0	5.49	22.07	14.58	0.0	0.0	2.57	17.28	0.42	11.92	11.24	26.54	0.0	0.26	0.0	2.96	6.74	42.75	6.56	8.11	1.75
B4galt2	111.44	227.1	0.0	0.0	12.44	0.0	0.0	299.99	90.3	31.13	0.0	0.0	0.0	0.0	1.28	0.11	0.45	9.04	6.55	0.36	0.0	0.06	0.27	0.06	0.0	0.0	40.59
BC049635	74.41	70.19	0.0	0.0	0.0	0.0	0.0	27.75	10.9	0.3	0.0	0.0	0.0	6.54	0.0	0.0	0.0	4.14	0.0	61.95	0.0	0.0	0.2	0.0	0.0	0.0	6.18
Bex4	303.1	423.83	0.0	0.0	183.32	12.49	0.0	9.62	204.11	0.0	0.0	0.0	1.54	122.43	12.74	144.26	57.01	139.4	183.3	0.82	0.0	0.0	31.66	40.54	77.73	0.0	0.0
Cadm1	244.95	204.28	300.63	0.0	82.92	143.92	0.18	224.53	123.65	72.34	31.34	63.37	25.86	192.43	7.26	38.84	73.13	88.3	559.51	38.35	0.0	89.27	97.43	62.94	43.54	63.6	75.06
Ccdc109a	182.56	147.47	0.0	0.0	0.0	0.0	0.0	174.22	122.81	0.34	8.97	129.9	0.29	80.28	2.96	141.18	1.53	100.74	0.0	137.98	0.12	77.01	47.7	23.41	55.79	104.32	71.45
Cds1	98.74	42.92	0.0	0.0	4.31	80.95	0.0	1.44	63.91	16.43	86.78	62.9	8.15	84.77	20.18	0.0	0.42	66.72	111.99	48.35	0.0	0.11	5.25	11.0	0.0	0.32	21.69
Ctxn1	776.2	577.71	0.0	0.0	0.0	14.27	4.09	403.59	168.99	332.56	152.42	277.89	201.58	498.95	302.92	71.26	318.74	436.66	38.43	183.65	0.0	95.23	269.33	259.34	194.15	512.66	379.17
D4Wsu53e	734.57	569.4	0.0	0.0	203.12	243.66	2.61	575.03	460.06	253.41	791.41	90.35	248.26	346.78	192.48	125.83	45.86	1342.94	1956.12	646.32	151.19	70.82	36.55	34.5	6.97	14.23	97.37
Ddn	83.64	116.11	0.0	0.0	23.97	0.0	0.0	36.18	11.26	45.2	0.26	0.0	4.06	12.08	18.06	54.23	14.13	10.09	133.26	11.28	0.0	7.96	6.79	25.17	10.55	49.86	3.72
Eif2ak2	71.55	134.19	0.13	0.0	10.61	27.84	6.31	127.44	115.83	90.6	38.05	21.06	56.27	70.63	31.05	73.36	67.95	172.84	167.55	53.3	0.0	23.72	13.24	32.74	13.61	11.08	11.27
Fkbp8	460.5	435.86	0.0	0.0	419.67	69.84	0.0	291.53	262.75	104.16	1.36	242.6	1.59	32.68	68.74	4.24	66.83	87.84	55.73	2.71	0.0	73.01	187.5	184.06	140.75	90.17	184.07
Flrt3	127.83	266.11	0.0	0.0	0.0	51.8	0.12	121.67	118.22	0.0	10.17	0.0	0.07	37.24	36.41	24.5	85.66	84.84	0.44	59.85	0.0	53.58	53.29	15.02	137.97	0.1	36.03
Fut8	561.78	443.3	0.0	80.69	195.77	117.14	35.92	257.65	143.34	290.63	79.45	38.06	57.57	130.55	68.39	79.97	135.07	276.4	395.53	630.77	0.0	10.96	11.5	7.62	15.03	9.98	22.51
Gm11202	1.04	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.07	0.0	0.22	1.12	453.0	2.44	0.0	0.0	0.23	0.03	0.13	0.06	0.0	0.0
Gm5607	18.39	22.92	0.0	0.0	5.02	5.06	2.23	26.25	23.47	17.2	10.28	1.82	11.64	13.89	9.14	18.85	11.77	46.42	39.27	22.62	0.0	6.48	3.99	8.17	5.01	4.8	3.32
Gm5833	0.31	0.54	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0
Hif3a	0.54	1.07	0.0	0.0	0.0	0.05	0.0	0.68	0.38	0.14	0.19	0.0	0.37	0.5	0.07	0.47	0.07	3.58	6.11	0.18	0.0	0.06	0.06	0.15	0.08	0.04	0.07
Hmmr	27.99	23.88	0.13	0.0	8.24	6.29	1.7	17.84	18.05	9.98	11.89	2.69	16.88	23.34	8.1	25.22	26.56	18.33	39.94	22.48	0.0	5.24	7.0	5.54	4.89	7.18	4.87
Irf2	119.94	65.7	0.0	0.0	21.26	0.0	0.0	15.71	0.0	51.69	0.0	0.0	0.57	1.0	3.52	130.76	1.1	0.11	27.07	0.06	0.14	14.99	43.33	0.47	33.68	84.68	22.29
Jhdm1d	50.69	97.24	0.0	1.55	0.39	0.34	0.22	30.53	7.45	62.17	47.91	0.21	3.27	26.75	23.08	1.32	6.07	17.54	15.57	123.9	0.0	17.41	0.3	17.99	0.09	17.7	0.54
Kcnip4	465.86	388.91	0.0	0.0	0.0	8.55	0.0	10.85	0.0	46.56	137.22	7.04	168.54	142.55	43.91	289.17	359.64	0.0	34.76	45.47	0.0	123.29	0.07	9.57	42.01	197.19	6.36
Kctd12b	0.93	1.43	0.0	0.0	0.14	0.0	0.0	0.0	0.45	0.11	0.13	0.05	0.17	0.19	0.0	0.16	0.38	0.9	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LOC622124	1.7	2.18	0.0	0.0	0.1	0.0	0.0	1.88	3.44	0.27	0.62	0.07	0.21	0.72	0.79	0.89	1.06	2.09	5.01	1.59	0.0	0.13	0.25	0.05	0.08	0.16	0.1
Lingo1	384.75	523.51	0.0	0.0	55.46	13.17	0.05	279.5	164.28	78.37	7.7	23.41	9.46	80.92	45.64	24.21	150.65	144.31	116.94	99.57	0.0	44.53	45.91	124.66	44.26	39.92	82.58
Mapk4	74.14	162.47	3.4	0.0	9.39	0.0	0.0	12.59	15.74	17.16	11.57	20.86	28.84	57.69	21.24	10.93	21.03	63.48	9.11	8.98	0.0	3.1	26.49	37.25	2.44	37.02	7.73
Mbd3	70.84	105.23	0.0	0.0	0.22	0.0	0.0	0.0	0.0	35.8	4.38	0.0	13.36	0.09	0.0	0.0	0.0	0.0	71.55	0.0	0.0	0.19	0.0	2.03	0.18	0.09	0.0
Med15	131.96	162.28	0.0	0.0	0.0	0.36	0.0	93.23	143.07	5.95	53.63	3.83	7.54	0.67	0.06	5.93	0.17	1.84	35.06	27.21	0.0	28.77	13.77	0.09	40.47	6.97	0.11
Mepce	123.91	168.2	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	92.55	28.75	4.77	0.0	0.05	0.0	0.0	22.24	0.23	0.09	7.14	11.72
Nploc4	122.77	117.4	0.0	0.0	0.0	28.57	0.0	0.23	9.3	48.22	0.7	2.61	0.85	11.1	0.39	76.92	26.53	20.07	0.96	14.51	0.0	6.27	0.16	0.03	0.12	33.98	21.41
Nsl1	15.71	28.3	0.0	0.0	3.74	12.49	2.93	24.39	24.03	11.56	7.98	3.87	8.64	8.22	4.9	10.22	15.15	17.48	28.14	13.48	0.13	2.13	1.85	3.09	2.51	2.28	3.23
Olfr1443	0.38	0.62	0.0	0.0	0.0	0.18	0.0	0.0	0.16	0.0	0.08	0.0	0.03	0.17	0.05	0.0	0.0	0.6	0.4	0.07	0.0	0.0	0.01	0.0	0.0	0.0	0.0
Pdcd11	7.12	17.56	0.0	0.0	0.11	1.55	8.18	2.63	7.31	4.7	0.05	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.29	5.85	0.0	0.51	0.0	0.0	0.0	0.0	0.7
Pfkfb2	149.78	239.19	0.0	76.91	1.37	2.72	0.15	70.16	51.52	52.45	16.31	11.2	82.05	16.02	12.98	42.66	33.22	38.22	54.37	60.33	0.11	158.26	3.17	6.55	69.49	5.61	1.45
Polr2f	743.57	672.76	0.0	0.0	0.0	425.19	0.0	31.96	5.26	246.25	177.38	0.0	72.64	109.22	268.27	247.01	57.4	5.14	18.62	3.1	0.0	61.49	69.21	95.46	0.0	216.85	96.75
Ppp2cb	380.09	299.74	0.0	0.0	0.0	39.5	0.0	308.19	165.27	65.27	202.3	0.0	131.63	127.05	173.08	57.19	41.13	83.6	180.56	1.49	42.08	121.21	8.95	3.92	68.23	50.47	0.0
Prmt8	314.62	570.52	0.0	0.0	0.0	0.19	0.0	27.21	89.95	88.08	118.04	50.59	12.77	234.73	42.66	220.47	78.19	7.7	35.74	56.6	0.0	44.51	34.3	36.69	85.24	0.29	6.63
Rnf19b	326.86	325.76	0.0	0.0	1.37	0.0	0.0	14.58	33.73	38.91	0.0	0.0	0.0	0.39	3.61	7.14	0.0	65.46	0.0	0.35	0.0	0.0	0.29	1.43	0.0	0.0	0.0
Scrt2	0.18	0.28	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.08	0.02	15.72	48.28	0.13	0.0	1.51	0.0	0.04	0.0	0.0	0.0
Sh2d4a	7.02	7.5	0.0	0.0	3.21	0.9	0.28	5.91	8.42	2.9	3.13	2.35	3.73	3.69	3.99	7.06	2.74	13.65	16.24	3.2	0.39	0.76	0.52	1.04	0.52	1.34	0.63
Snx5	257.49	543.81	0.0	0.0	160.9	65.21	0.0	7.45	65.24	230.72	0.0	86.28	0.12	45.95	139.35	98.93	27.74	0.0	44.68	35.41	0.0	101.76	21.55	60.96	58.19	54.51	2.63
Sytl4	0.66	1.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.07	0.11	0.13	0.07	0.65	0.0	0.01	0.0	0.03	0.03	0.0	0.0	0.0	0.0
Tmem173	1.33	2.78	0.0	0.0	0.0	0.0	0.0	1.24	0.32	0.0	0.14	1.21	0.0	1.6	0.0	0.0	0.0	1.2	9.23	0.0	0.0	0.0	0.0	0.06	0.0	0.78	0.0
Trappc9	147.62	251.18	8.05	5.15	14.81	33.89	31.57	136.82	95.44	57.17	61.73	44.97	45.4	113.65	48.13	97.01	117.65	93.04	171.35	219.32	2.58	104.19	21.24	118.64	70.38	63.4	87.65
Ubn1	58.21	58.82	0.0	0.0	28.51	0.0	0.0	3.76	0.0	8.57	0.0	3.38	0.02	0.13	0.0	99.88	15.61	15.22	26.5	0.0	0.0	38.57	17.18	33.15	0.06	14.05	7.94
Zfp839	23.09	5.76	0.0	0.0	0.61	2.11	0.2	17.88	9.08	35.8	0.75	0.07	2.0	3.47	1.25	3.15	2.45	7.95	9.43	5.93	0.0	0.3	0.53	0.58	0.08	0.51	0.33
c17_SSU-rRNA_Hsa	2412.47	9308.16	1172.12	518.53	5735.38	5496.41	1776.49	32310.68	18100.4	4337.02	6173.55	11644.04	12294.5	15042.54	18147.83	12761.86	11602.14	62935.79	39573.42	23420.99	2279.22	22437.39	28697.02	17823.66	15731.79	28103.63	31264.04
