	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Pja2	164.49	0.24	0.0	0.0	317.37	0.18	0.27	256.75	262.03	303.4	532.62	345.27	286.46	551.6	317.42	456.2	245.43	404.71	1204.13	160.47	269.65	316.06	263.5	447.31	458.21	141.66	391.78	372.05	232.7	0.0
Pqlc1	0.0	0.0	0.0	0.0	49.34	0.0	0.0	0.0	0.0	157.94	5.22	64.44	73.05	40.89	84.4	91.93	116.57	0.0	90.99	0.0	0.0	0.0	28.78	118.14	0.0	0.0	182.04	1.14	90.43	0.0
Prkcz	29.8	0.0	0.0	0.0	37.75	0.0	0.15	25.0	44.65	83.37	24.41	5.55	50.8	28.04	38.98	50.26	68.88	40.51	52.58	0.09	32.44	41.05	0.4	24.51	0.11	17.71	24.21	8.11	40.74	0.0
Ret	0.0	0.0	0.0	0.0	14.15	0.0	0.0	14.41	3.58	6.91	0.0	0.0	0.0	0.0	0.0	20.11	0.0	0.0	19.6	0.0	0.0	15.57	2.39	0.0	9.95	0.27	23.83	0.0	0.0	0.0
Sdhaf2	0.0	0.0	0.0	0.2	46.33	0.0	0.19	97.1	139.07	147.39	87.29	18.19	128.75	57.33	63.69	61.51	162.0	70.5	130.11	1.92	110.18	0.0	55.02	81.05	102.54	77.39	101.7	115.71	29.97	0.32
Slc30a4	72.06	0.0	0.0	0.0	5.76	0.0	0.0	0.0	0.0	7.24	0.3	29.39	0.57	0.0	1.65	0.0	0.0	0.0	46.21	5.52	10.85	20.53	13.6	1.54	0.0	0.0	0.0	7.19	0.0	0.0
Steap2	27.21	0.11	0.14	0.06	16.6	0.62	0.92	2.98	1.71	12.8	2.38	54.97	5.68	0.65	4.24	11.87	0.42	0.18	35.64	8.76	15.03	63.25	7.55	29.07	17.87	2.0	13.09	9.4	17.44	0.07
Tm2d1	0.52	0.0	0.0	0.0	30.07	0.0	0.0	25.13	0.0	54.39	0.0	77.8	0.0	5.15	8.48	13.69	0.0	0.0	157.35	0.0	52.03	44.53	0.0	0.0	37.18	1.75	61.95	144.83	0.0	0.0
Tmem127	0.0	0.0	0.0	0.0	46.12	0.0	0.0	34.44	78.09	91.51	58.09	67.6	62.85	13.94	0.0	86.79	0.17	56.66	302.75	0.5	79.66	72.0	111.08	69.87	83.53	51.49	97.62	75.15	34.72	0.0
Yeats4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.63	0.0	18.9	29.79	0.0	27.92	10.82	0.0	12.98	23.39	1.08	7.78	0.0	33.75	0.36	11.05	0.0	0.0	0.33	0.0	0.0
Zfp318	0.0	0.0	0.0	0.0	0.63	0.21	0.0	11.66	22.05	27.73	0.21	25.49	11.42	0.82	18.54	8.85	12.58	16.2	48.82	2.08	0.91	1.68	17.81	18.13	27.49	37.32	6.8	14.02	0.0	0.0
Zfp644	0.0	0.0	0.0	0.0	3.06	0.0	0.0	42.76	8.39	19.15	0.0	41.75	9.34	0.28	21.14	31.26	7.78	6.93	62.59	0.65	8.2	21.6	15.91	9.04	35.12	3.75	2.25	54.1	9.1	0.0
Zfp946	0.0	5.06	0.0	0.0	0.4	0.57	0.0	0.0	0.0	0.0	0.0	69.63	65.95	8.17	18.18	35.77	175.14	0.0	196.19	5.1	27.11	21.23	0.14	52.47	127.25	0.0	112.9	19.49	37.35	0.0
