	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_49	Ndnf_tdTpositive_cell_19	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_96	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dcx	0.11	0.69	0.07	0.0	3.91	0.14	0.06	26.88	1.75	0.04	0.23	0.0	23.15	6.29	0.6	0.05	0.03	0.06	0.03	2.6	18.45	4.21	16.93	15.75	19.0
Derl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.36	0.0	2.77	1.62	1.24
Dpy19l1	26.34	1.19	1.9	0.0	31.46	67.71	8.53	57.59	24.22	22.25	39.93	59.37	17.49	55.7	36.68	17.82	59.94	36.46	3.84	0.0	163.15	43.18	70.47	64.44	65.59
Epha4	3.87	2.3	0.0	0.14	0.07	0.0	0.0	21.65	13.37	0.05	8.36	0.0	0.07	0.05	0.06	0.05	1.01	18.58	0.0	0.0	22.17	25.44	91.45	92.27	87.29
Fam159b	0.0	0.0	0.0	0.0	0.0	0.0	41.56	0.0	32.27	0.0	0.0	2.67	0.0	17.16	0.0	0.0	0.0	0.0	0.0	0.0	109.05	0.0	0.84	0.94	0.71
Fam189b	0.69	11.1	18.87	0.0	4.98	0.0	1.8	0.0	0.0	0.0	0.0	0.0	2.86	0.0	0.0	1.54	0.0	0.0	0.07	0.0	41.81	1.01	35.65	38.7	42.02
Fbf1	0.1	0.0	0.0	0.0	0.15	0.0	0.0	3.4	0.0	7.48	0.0	0.04	0.0	0.1	0.0	0.0	0.0	1.1	0.0	2.1	5.87	0.38	36.37	34.81	37.68
Fermt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.78	0.0	3.2	3.64	3.59
Fuz	17.92	0.0	1.16	0.0	0.0	0.0	0.0	11.75	0.0	0.0	0.0	0.0	0.0	17.58	0.82	0.0	0.74	0.0	0.49	0.0	43.13	0.71	15.93	17.43	16.78
Gm13306	8.68	11.32	0.0	4.28	0.03	0.0	0.0	0.0	0.0	2.47	0.77	0.0	2.79	1.65	0.13	2.24	4.31	4.89	0.0	4.62	1.88	76.52	30.63	28.29	22.96
Gm15941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	0.57	0.11	0.1	0.17
Gm20172	0.77	0.88	0.57	3.03	0.92	0.54	1.47	2.07	0.78	1.2	0.86	2.26	0.8	0.9	1.35	0.94	1.31	0.0	1.14	0.28	42.18	2.58	2.18	2.02	2.68
Gm2506	8.68	11.32	0.0	4.28	0.03	0.0	0.0	0.0	0.0	2.47	0.77	0.0	2.79	1.65	0.13	2.24	4.31	4.89	0.0	4.62	1.88	76.52	30.63	28.29	22.96
Gm826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.09	0.09	0.19
H2afv	33.14	4.07	0.0	0.0	0.05	11.79	0.34	8.55	9.1	0.0	2.8	0.0	1.0	16.17	9.67	6.29	9.01	1.14	3.29	0.0	48.69	12.2	33.25	36.27	34.59
Ifitm6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.4	4.88	0.19	0.18	0.4
Ihh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	0.2	0.3	0.25
Kbtbd11	0.15	0.36	0.0	0.0	0.19	0.13	4.04	0.04	0.0	0.25	0.1	0.0	2.36	3.47	0.12	0.03	9.1	3.24	0.15	0.25	13.48	10.45	53.75	58.79	54.92
Kcnt2	15.55	3.32	0.33	0.0	0.0	0.64	0.0	19.99	13.1	0.0	34.01	0.0	19.79	0.49	0.07	0.83	0.06	5.58	33.85	0.0	95.37	12.44	19.36	18.19	17.22
Kcnv1	24.8	0.0	0.0	0.0	0.05	7.49	29.47	55.95	3.23	43.59	8.96	4.8	30.59	18.6	0.06	47.08	15.87	21.8	1.76	30.13	58.08	37.5	63.37	52.87	60.46
Krt25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	0.0	0.24	0.0	0.06
Lrrc8c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.21	0.12	15.02	14.58	14.86
Mlkl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.2	0.41	0.28	0.3
Mpped2	19.09	0.0	0.0	0.0	8.68	13.27	0.0	24.72	43.37	0.0	23.06	9.74	0.0	1.76	0.0	0.07	0.63	0.0	4.86	0.0	51.28	27.48	35.43	33.87	33.34
Mstn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.26	0.28	0.35
Ndst2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.71	4.64	11.14	12.04	12.45
Npy	115124.65	96206.73	68542.73	63494.68	149629.49	120987.76	122154.33	130527.91	173863.58	126989.03	166048.87	191162.16	134158.33	153405.37	141010.39	110523.31	151963.58	180453.32	137945.15	65353.97	120620.2	0.0	214.21	196.57	200.76
Nxt1	50.99	71.41	21.73	0.0	0.08	0.0	0.27	1.82	0.0	0.0	0.0	0.0	14.84	0.0	0.0	0.0	0.0	4.18	4.76	0.0	82.16	10.17	15.3	12.05	11.47
Olfr53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.27	0.0	0.19
Panx2	20.4	2.15	0.0	7.78	7.9	0.06	0.0	0.0	0.0	1.28	0.0	1.56	0.0	0.24	0.0	0.05	0.72	0.0	8.71	0.0	27.85	0.5	71.83	76.59	75.56
Pbld2	0.0	0.0	0.0	0.1	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.26	0.0	0.0	0.0	38.42	4.85	1.09	1.44	1.18
Pcdhgb1	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.53	1.3	0.0	0.0	62.12	0.91	8.2	7.24	8.43
Prex1	0.2	0.0	0.0	0.0	0.0	0.0	28.35	0.0	0.04	0.0	1.27	0.0	5.68	0.0	0.0	0.02	0.19	0.31	0.0	0.0	14.69	1.67	62.45	62.93	72.01
Prkcd	13.21	0.25	0.0	0.0	0.0	0.0	0.0	9.85	0.0	50.02	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.08	0.0	0.0	50.35	0.0	9.87	10.93	9.39
Prss32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.12	0.0	0.0	0.06	0.0
Ptgdr	0.1	0.0	0.0	0.0	0.05	0.07	0.09	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.23	0.12	0.11	0.0	36.86	0.0	0.84	1.05	0.9
Pth2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	2.29	2.24	2.32
Rdh12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.79	0.0	0.0	13.39	50.66	0.0	4.57	23.17	0.0	0.0	0.0	57.06	1.67	2.26	2.41	1.9
Rims4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.44	0.0	57.06	56.54	59.93
Rpl27a	114.52	33.34	121.35	65.86	54.91	175.47	172.91	182.4	331.84	111.91	90.85	66.25	199.87	115.33	38.86	30.8	206.29	158.04	80.65	97.59	130.61	124.28	259.25	272.14	259.1
Srcrb4d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.65	0.92	0.86
Ssxb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0	0.12
Sv2b	2.67	0.0	14.4	0.0	25.64	0.12	4.39	54.8	2.5	1.52	24.51	33.47	42.94	14.64	32.6	1.44	37.25	31.88	47.28	0.08	8.41	166.21	302.25	285.41	283.79
Trip6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	0.0	25.17	0.4	6.55	7.46	6.12
Tssk6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	1.16	1.82	1.6
Ttpa	0.0	0.0	0.0	0.0	0.05	0.0	0.0	1.2	0.0	0.96	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	2.74	0.0	3.87	3.8	4.56
Vmn2r57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.04	0.13	0.91	0.57	0.51
Zdhhc14	0.0	0.74	0.0	0.0	0.41	22.12	0.0	0.0	0.0	0.0	0.83	0.0	0.0	30.96	0.0	0.0	7.58	0.07	0.21	0.0	33.26	7.6	32.19	31.16	34.7
Zfp148	5.38	20.58	0.27	2.83	0.02	1.25	0.0	9.84	5.56	15.0	11.65	0.09	2.33	14.51	0.0	5.43	9.68	20.96	4.39	1.05	24.95	13.3	32.48	30.04	32.73
mt_AK141672	100.82	84.03	84.02	75.94	90.27	151.23	97.72	87.94	58.04	57.18	93.79	81.5	101.06	82.78	85.12	90.48	100.74	150.39	143.7	74.15	184.37	128.8	203.22	178.4	206.5
