	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_20	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_11	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ank2	18.04	1.62	142.65	112.45	0.06	0.06	61.37	110.84	178.86	64.63	73.19	20.9	113.02	151.7	15.41	179.27	9.91	68.56	212.7	7.23	148.78	164.39	139.62	31.78	0.0	0.25	147.24	1.11	387.88	0.28	66.08	159.69	53.84	167.44	27.21	250.02	222.38	264.29
Arhgef9	0.0	101.97	20.63	38.29	0.0	0.37	59.81	28.33	79.99	56.82	23.0	1.23	12.3	9.44	0.06	19.85	5.6	34.62	56.83	0.0	77.29	17.22	4.14	16.16	0.0	0.0	17.81	0.0	15.47	1.96	69.08	12.9	0.21	99.31	0.01	220.51	209.27	213.67
BC048403	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.41	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.59	0.0	0.0	3.25	0.28	13.51	0.0	0.0	0.0	0.0	0.0	0.0	10.3	10.37	11.83
C130083M11Rik	1.87	0.86	0.98	2.16	0.13	0.18	0.0	0.45	3.01	0.63	2.65	0.79	1.4	1.46	2.01	11.16	0.41	2.14	4.55	4.06	0.3	0.43	1.25	0.38	0.95	0.0	4.32	0.0	7.08	3.41	2.75	2.34	7.58	5.0	5.4	3.38	3.61	4.76
Camk2d	27.73	0.13	155.06	33.91	1.64	42.14	145.81	9.99	0.0	95.18	86.0	13.67	140.93	71.1	20.62	248.92	76.51	60.28	2.71	63.03	128.6	137.49	53.49	9.24	0.0	0.0	97.8	0.0	196.57	20.73	75.65	37.98	353.7	80.83	9.74	72.85	74.83	76.26
Cisd3	0.0	191.19	103.1	9.37	0.0	0.0	0.0	38.31	0.62	23.92	23.69	0.0	85.88	67.06	0.0	266.62	0.0	102.46	212.22	0.0	0.0	40.25	0.0	73.1	0.0	0.0	143.15	0.0	182.5	0.0	379.92	102.17	0.0	145.03	0.0	41.48	40.47	37.04
Cnr1	3376.11	5009.66	10009.06	14271.7	0.0	0.0	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	3047.63	2040.5	6746.03	17862.67	19681.78	7913.61	17646.7	12520.63	22064.64	33041.05	0.0	0.0	227.37	0.0	12766.46	4501.41	14288.55	25768.68	16287.97	23267.78	1764.01	80.79	75.85	84.42
Dock3	4.8	0.02	7.89	1.06	0.0	0.0	17.46	10.77	8.44	10.33	11.16	2.04	5.55	5.2	0.0	84.3	18.06	0.0	47.19	6.33	14.01	0.43	9.89	12.25	0.0	0.0	21.91	0.0	15.25	1.58	17.27	0.16	3.14	26.82	6.17	112.39	109.71	116.14
Eif2s1	0.14	356.27	161.8	189.12	1.12	0.41	162.6	155.4	56.19	168.42	123.88	0.0	113.57	193.02	0.12	174.3	0.53	0.06	49.23	0.0	228.37	198.31	169.66	150.12	0.36	0.21	146.45	0.0	301.41	155.33	163.72	53.51	34.94	134.66	0.8	29.43	27.89	29.16
Gcdh	0.63	148.8	0.0	93.5	0.0	0.0	0.0	0.0	105.04	0.0	75.71	0.0	0.0	61.64	0.17	34.53	0.0	0.0	0.0	0.0	136.52	32.3	0.0	48.24	0.0	0.0	23.23	0.32	255.85	0.0	181.62	0.0	0.0	0.0	0.0	29.17	27.82	28.04
Gm14318	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.72	0.0	0.0	0.27	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.11	0.0	0.0	0.0	0.0	0.12	0.0	0.0
Gm6644	301.73	427.66	92.79	170.32	0.0	0.0	0.0	151.6	195.22	48.06	158.24	0.0	84.52	99.56	0.0	343.09	0.0	158.92	188.62	241.49	114.34	56.06	0.0	111.39	0.0	0.51	132.83	0.0	262.51	0.0	189.67	0.0	228.68	131.06	0.0	33.94	47.18	42.97
Htr1f	0.0	0.19	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.36	0.0	0.0	0.07	0.17	0.0	0.0	0.0	0.0	0.0	0.0	19.33	0.0	0.24	0.0	0.07	0.0	0.42	0.14	0.0	4.49	2.69	3.35
Klc1	2.17	237.22	16.33	160.52	0.61	0.0	25.98	105.81	176.57	4.87	46.18	0.0	25.86	40.64	0.0	88.37	0.0	105.57	32.67	0.17	20.85	22.3	126.56	78.26	0.0	0.0	63.64	0.0	17.72	0.64	65.56	23.16	6.15	86.74	1.96	706.38	755.05	722.85
Lrpprc	22.37	0.69	47.6	73.67	0.0	0.16	0.14	51.21	33.7	47.74	64.94	0.22	37.85	44.98	0.2	0.37	17.37	0.25	58.69	0.53	62.27	19.76	12.52	32.52	0.0	0.3	46.51	0.19	121.63	0.7	71.73	0.22	0.0	0.8	0.03	42.42	41.23	42.29
Mapk1	0.61	19.1	29.22	81.53	0.0	0.0	20.08	66.11	48.61	52.78	152.08	0.2	22.13	84.42	0.0	133.59	244.24	58.51	86.08	2.73	7.05	45.15	36.65	43.23	0.0	4.47	136.79	0.0	7.47	0.0	20.86	34.87	32.08	90.43	5.3	371.72	366.39	352.91
N4bp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17	0.0	0.0	0.31	0.0	78.29	0.0	0.0	0.0	0.0	0.0	0.0	3.81	3.48	4.38
Nt5c3	0.0	0.13	72.84	214.47	0.0	0.0	165.48	6.07	270.14	0.16	153.11	0.0	3.0	120.58	0.0	436.26	0.0	9.21	0.0	30.33	0.18	47.68	4.29	43.16	0.0	0.0	136.81	0.0	341.68	0.0	3.54	225.1	2.44	204.93	2.08	60.33	60.83	50.29
Nvl	16.72	10.98	120.76	18.86	0.0	0.0	7.12	3.81	110.75	14.91	21.8	0.0	194.89	142.84	0.0	31.5	0.0	19.61	13.36	0.13	250.68	6.11	80.31	17.5	0.0	0.0	53.35	2.89	102.27	0.0	30.29	0.0	202.88	25.51	0.0	47.81	42.04	48.48
Pacsin1	0.0	201.76	1.64	21.19	0.0	0.0	0.0	11.79	7.22	2.62	0.05	0.0	0.36	0.97	0.0	17.5	0.15	120.53	2.34	0.0	0.0	61.32	10.53	35.68	0.0	0.39	28.93	0.0	181.92	22.91	38.63	1.65	135.21	212.35	0.0	282.11	283.76	304.93
Pafah1b1	12.07	79.12	60.02	70.09	0.0	7.37	37.6	76.08	36.75	102.84	108.08	5.98	33.54	54.93	0.06	47.46	235.53	50.72	47.12	0.0	87.31	90.4	13.82	60.09	0.0	24.93	66.59	0.0	280.44	35.14	10.78	73.74	37.9	67.77	20.79	291.38	272.54	283.28
Phlpp1	4.48	2.76	0.0	0.03	0.0	0.0	2.21	0.49	0.0	0.04	0.0	0.0	0.0	0.0	0.0	29.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5	0.0	99.78	0.0	0.0	0.0	0.0	0.0	0.0	46.57	46.47	51.56
Polr2j	0.0	222.61	307.11	157.76	0.0	0.0	143.77	137.7	163.93	263.38	223.04	0.0	204.16	109.21	0.0	276.5	0.0	214.58	0.0	213.38	243.08	182.77	183.14	170.19	0.0	0.0	392.69	0.0	221.29	0.0	144.62	107.97	183.96	174.57	0.0	73.23	68.64	66.44
Prnp	360.74	1038.27	3.52	66.04	0.0	0.0	371.84	189.69	366.13	29.28	191.76	112.33	79.11	162.11	0.32	420.36	428.34	67.9	59.58	272.76	182.62	152.2	84.84	124.0	0.0	1.25	216.87	0.0	629.93	1.75	930.08	127.83	272.14	171.87	623.49	828.85	842.16	795.87
Prpf18	7.4	0.94	64.34	30.42	6.07	1.36	144.64	43.35	5.06	52.33	76.23	4.68	3.1	2.76	11.95	348.26	6.76	3.56	1.09	5.27	17.53	55.3	1.75	48.93	0.0	5.07	55.2	6.78	539.73	5.68	116.88	161.84	23.09	120.55	6.47	37.92	36.84	33.9
Rab12	11.18	63.43	10.84	9.44	1.27	1.9	4.26	35.36	88.59	19.47	139.83	0.0	6.21	33.73	6.85	24.64	44.3	46.22	14.36	9.57	15.11	17.32	18.8	57.87	7.53	0.34	81.39	0.0	19.9	1.15	11.78	11.95	14.12	11.49	15.19	112.99	122.88	106.48
Rad23b	0.0	1.83	0.94	0.63	0.0	0.0	0.0	15.54	0.0	5.38	0.05	0.0	21.07	28.42	0.0	59.57	0.0	5.8	0.23	0.0	23.5	0.05	0.0	12.81	0.0	0.0	9.86	0.0	4.21	0.0	6.95	22.89	12.23	18.14	0.0	119.39	127.11	122.14
Sgtb	0.0	2.91	17.16	228.22	0.0	0.0	86.53	36.26	15.96	9.09	0.07	0.0	0.0	83.17	0.0	130.2	0.0	7.98	32.1	16.82	113.8	25.27	0.13	42.31	0.0	0.0	14.09	0.0	268.84	42.56	0.1	0.0	12.91	3.65	3.74	141.85	138.92	138.37
Sigmar1	0.0	289.01	0.0	7.89	0.0	0.0	0.0	134.6	0.0	103.26	77.29	0.0	0.0	152.35	0.0	324.33	0.0	0.0	0.0	0.0	0.0	12.16	0.0	85.86	0.0	0.0	36.02	0.0	0.0	0.0	263.62	189.31	0.0	243.36	0.0	41.65	41.48	37.05
Stam2	0.0	167.75	5.64	0.95	0.0	0.0	0.36	3.99	23.38	16.65	79.8	0.0	4.53	48.91	0.0	32.95	0.07	0.0	53.36	4.28	96.56	4.59	50.56	21.79	0.0	0.0	37.59	0.0	135.64	0.0	27.19	0.0	0.0	0.0	0.0	19.34	20.01	18.88
Stat3	1.79	0.0	0.0	0.0	0.0	1.31	4.13	0.0	0.0	34.16	0.0	0.0	0.0	10.4	0.0	167.5	0.0	3.21	12.81	0.09	0.06	22.24	9.85	7.73	0.0	0.0	6.93	0.0	121.1	6.65	14.75	0.0	0.0	0.0	0.0	29.25	28.76	28.35
Tacr2	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.15	0.0	0.92	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.57	0.0	0.0	0.0	0.0	0.18	0.35	0.13	0.31	0.18
Taf12	0.0	1.14	0.0	48.74	0.0	0.0	0.0	78.22	0.0	56.19	0.0	0.0	13.14	29.64	0.0	0.0	0.0	0.0	0.0	0.31	181.78	94.32	65.65	34.01	0.0	0.0	30.36	0.0	213.51	0.0	250.88	82.82	243.1	96.18	0.0	18.37	19.19	16.52
Ube2ql1	50.69	388.75	262.53	20.6	0.0	0.0	233.3	0.0	0.0	32.69	2.18	154.03	58.05	0.0	0.0	67.17	0.12	143.63	108.97	0.0	47.68	2.93	5.17	38.1	0.0	0.0	50.03	0.0	361.92	0.0	65.66	4.54	159.35	106.25	13.91	174.48	185.53	183.77
Zfp763	0.0	3.53	13.52	0.06	0.0	0.0	6.53	35.84	17.89	0.0	66.0	0.0	2.77	0.0	0.0	808.56	0.0	144.62	167.61	0.0	205.28	82.65	12.76	73.51	0.0	0.0	19.13	0.0	338.71	0.0	0.0	39.09	0.0	0.0	41.15	13.25	11.45	13.39
