	Calb2_tdTpositive_cell_53	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Fam58b	0.0	0.0	2.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	0.0	18.01	27.75	0.0	16.03	0.37	0.0	0.0	0.0	0.0	63.35	0.0	44.47	288.29	62.32	57.07	0.0
Fut9	0.0	0.0	28.14	18.73	19.17	61.77	67.23	93.87	70.31	11.3	68.35	77.05	40.44	54.43	27.22	1.91	60.42	21.43	40.85	55.75	29.87	74.83	22.61	56.39	132.54	22.15	54.07	0.0
Gm13306	0.0	0.0	1.67	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	8.43	8.14	1.56	0.0	5.25	1.44	2.37	2.94	0.74	9.34	0.0
Gm14430	0.0	0.0	3.32	8.44	0.0	14.72	13.5	13.46	3.22	3.07	11.03	9.95	18.55	13.57	4.08	11.25	0.32	19.5	0.54	14.82	8.34	16.15	16.82	13.81	40.89	30.75	2.38	0.0
Gm14434	0.0	0.0	3.32	8.44	0.0	14.72	13.5	13.46	3.22	3.07	11.03	9.95	18.55	13.57	4.08	11.25	0.32	19.5	0.54	14.82	8.34	16.15	16.82	13.81	40.89	30.75	2.38	0.0
Gm2506	0.0	0.0	1.67	0.0	0.0	6.15	1.08	0.0	0.0	3.31	0.76	0.0	0.0	0.0	2.62	1.92	4.77	8.43	8.14	1.56	0.0	5.25	1.44	2.37	2.94	0.74	9.34	0.0
Gm4724	0.0	0.0	3.32	8.44	0.0	14.72	13.5	13.46	3.22	3.07	11.03	9.95	18.55	13.57	4.08	11.25	0.32	19.5	0.54	14.82	8.34	16.15	16.82	13.81	40.89	30.75	2.38	0.0
Gpatch8	0.0	0.0	1.94	0.0	20.26	0.41	20.23	9.58	1.23	17.25	29.06	1.57	29.67	28.54	3.6	13.32	0.63	21.99	31.12	24.21	24.56	37.37	5.51	32.82	53.12	64.41	10.21	0.0
Lamtor3	38.52	0.0	331.77	0.0	341.29	355.86	229.67	390.62	385.99	273.34	166.03	417.0	415.25	462.55	558.16	241.8	191.65	325.6	328.38	278.56	219.1	490.73	689.75	500.97	712.7	564.81	201.96	0.0
Ldhb	7486.96	0.0	8752.31	4948.76	10118.08	10894.4	9343.6	10165.1	9166.61	11261.44	10004.69	7834.03	9074.03	13571.31	12546.17	9106.97	9755.78	8390.99	11010.48	7724.63	10182.84	5888.35	6379.79	9082.37	7928.56	8351.44	11746.38	5577.5
Luc7l	41.64	0.0	35.64	0.0	22.45	0.0	47.78	78.44	70.48	115.39	19.54	18.18	63.06	39.09	83.41	8.88	79.23	60.04	1.09	61.45	16.69	24.87	106.62	40.81	204.61	45.24	72.95	0.15
Ly6h	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	1.94	0.48	0.44	7.09	0.0	0.63	0.63	0.0	9.59	0.91	1.16	31.36	2.19	0.0	0.0
Lypla1	0.2	0.0	154.3	2.37	71.7	188.15	181.3	260.74	0.0	176.81	124.16	154.74	262.68	217.17	132.87	216.03	200.23	122.05	89.54	81.03	186.31	274.32	147.55	249.97	387.58	193.2	188.88	1.58
Mrpl13	0.0	0.0	207.45	42.26	243.59	309.51	45.25	95.06	150.39	101.18	9.49	110.85	148.04	67.59	157.96	199.3	173.18	115.56	239.0	71.81	299.89	122.44	8.37	124.93	310.73	165.64	132.09	0.0
N4bp2l1	0.0	0.0	1.52	0.0	0.0	6.07	0.0	0.0	3.27	0.0	3.41	0.15	0.0	0.0	0.0	0.0	23.06	0.0	0.0	0.0	0.0	6.2	59.34	10.59	84.24	2.8	18.95	0.0
Pink1	0.0	0.0	43.04	0.0	1.69	1.82	12.66	36.34	3.94	64.65	32.02	4.11	42.76	17.08	10.91	0.0	54.66	52.06	32.93	35.16	52.5	35.87	81.0	53.88	78.05	31.49	37.44	0.0
Pvalb	0.0	0.0	3332.67	0.0	1319.97	2144.98	1199.86	1316.24	1251.83	1740.57	1769.21	807.27	1815.89	1408.27	1731.8	1698.2	1974.07	1344.6	1295.74	1472.89	1914.29	1553.08	1316.54	1681.17	2567.22	1830.01	3516.69	0.0
Rufy1	127.87	0.0	26.38	0.0	0.0	0.0	0.0	51.78	12.78	8.42	0.0	7.5	0.0	21.13	32.77	0.0	18.04	37.1	0.0	0.0	37.07	20.58	53.62	14.5	60.49	13.35	2.27	0.0
Slc6a7	0.0	0.0	0.87	0.0	0.0	0.0	0.48	0.0	0.0	7.15	43.33	0.0	0.0	0.0	0.12	1.12	0.0	29.42	38.25	7.48	4.71	11.5	0.0	3.28	76.98	4.38	12.29	0.0
Surf4	15.25	0.0	0.0	0.0	0.0	11.36	17.16	0.23	18.3	0.0	0.0	29.27	39.74	26.66	39.67	0.66	32.21	0.0	1.51	0.0	0.0	45.92	108.75	41.36	79.37	36.41	0.0	0.0
Trmt11	0.0	0.0	49.23	0.0	56.55	5.69	23.77	33.14	19.69	1.74	0.0	6.12	26.16	40.65	81.14	11.47	16.14	0.85	8.03	10.9	145.83	16.79	31.44	63.69	69.99	34.16	59.72	0.0
Ttc7b	0.0	0.0	3.58	0.0	26.27	3.59	45.35	17.09	19.86	19.67	22.45	23.28	12.82	40.09	3.88	7.35	11.58	17.62	37.76	24.14	55.54	99.02	66.16	17.86	73.86	76.55	31.34	0.0
Ulk2	5.88	0.0	25.25	0.51	1.52	0.0	27.31	20.21	0.0	0.0	10.86	20.15	0.85	4.77	0.69	10.96	0.0	16.84	0.83	29.04	15.91	40.21	37.05	0.94	82.25	1.73	1.03	0.0
Wac	0.0	0.0	31.64	0.7	3.98	28.18	36.62	53.71	14.2	68.44	13.49	30.34	22.7	14.85	25.62	20.09	34.3	76.32	29.67	41.8	9.87	54.2	77.1	19.47	79.46	58.86	34.15	0.14
Whsc1	0.0	0.0	16.99	0.0	1.61	19.54	17.84	29.68	12.4	14.11	18.14	0.0	15.57	26.36	6.47	16.79	0.19	26.41	21.31	23.81	29.11	34.15	31.38	23.2	54.58	19.36	63.95	0.0
Xpo1	0.07	0.0	14.58	0.0	0.1	17.37	20.26	64.76	0.15	27.3	0.0	18.85	16.02	41.62	19.88	4.62	67.41	27.5	28.86	18.28	14.41	44.23	90.86	27.06	44.51	57.77	6.68	0.0
Xrn2	0.0	0.0	19.6	0.0	2.21	8.62	40.12	70.1	0.0	104.54	0.41	0.65	51.39	83.49	4.95	26.48	2.06	56.06	3.51	10.0	4.28	2.59	52.12	129.56	169.99	0.56	55.01	0.0
Zfp575	0.06	0.0	1.4	0.0	0.0	1.74	1.1	1.62	0.0	2.2	1.52	1.03	2.15	16.46	1.45	0.69	2.41	1.22	0.34	0.6	1.46	2.49	1.66	1.32	2.47	2.52	1.94	0.0
