	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_54	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cdca4	53.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	12.38	0.0	0.0	0.0	56.72	0.0	14.7	0.0	0.0	0.0	20.43	0.0	0.0	0.0	49.49	6.31	3.28	7.92	5.8	6.66	6.5
Cit	6.31	0.2	8.03	5.91	0.0	2.21	1.31	0.37	0.03	0.0	0.0	0.0	0.04	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	5.42	0.0	2.61	2.14	9.95	8.33	2.05	2.12	2.98	37.49	36.91	41.69
Cml2	0.0	0.0	0.13	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	1.27	0.0	0.1	0.0	0.33	0.41	0.68
Cnksr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	2.41	3.48	4.81	4.79	4.49	4.68
Cnot3	0.5	1.41	0.0	0.0	0.0	0.63	7.57	1.26	0.45	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	1.54	0.93	1.61	1.35	1.77	0.0	3.23	1.47	5.13	27.57	0.31	2.96	2.15	33.4	35.15	37.79
Coro2b	14.76	0.0	30.52	0.0	0.0	0.0	0.0	0.0	3.81	0.0	0.0	0.03	2.33	5.66	0.0	0.0	0.0	0.0	0.0	0.0	4.68	9.25	0.0	0.04	0.0	0.0	47.54	12.66	16.69	14.93	118.73	124.35	130.21
Cpd	4.0	3.83	0.0	0.0	21.64	0.0	5.64	0.0	0.0	1.45	0.0	0.0	9.18	2.69	0.0	0.1	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.26	12.26	4.85	6.31	39.33	37.42	38.35
Creb3l3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.15	0.0	0.0	0.0	0.87	0.2	0.36
Ctbp2	7.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.03	8.18	0.59	0.0	0.0	9.81	0.07	0.0	0.0	0.0	7.1	33.84	0.0	49.77	0.0	0.0	41.84	5.18	1.01	2.62	15.14	14.93	15.54
Ctsc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	6.11	0.0	0.0	0.0	0.0	112.31	0.0	0.0	0.0	5.52	5.12	5.08
Cyp2j6	0.0	25.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.84	6.19	6.57	5.38	12.75	12.52	13.69
D830031N03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.2	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	4.89	12.81	0.0	0.0	0.0	0.0	20.71	0.53	0.2	0.49	3.08	2.53	3.25
Ddx58	0.29	2.47	0.0	0.77	0.76	0.21	0.31	0.52	0.09	0.0	0.06	0.07	0.12	0.2	1.65	0.44	0.09	0.09	0.06	10.12	0.14	0.17	0.11	0.09	0.66	0.56	27.54	1.15	0.38	1.26	3.58	2.86	3.2
Disp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	0.2	0.48	3.94	3.58	2.84
Dnahc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.62	0.19	0.0	0.0	0.8	0.86	0.83
Eml1	0.0	19.57	0.0	0.0	0.26	2.56	56.62	0.0	0.35	0.04	0.0	0.03	1.68	0.0	27.57	0.0	0.0	0.0	0.0	18.64	0.17	27.11	0.0	0.0	0.0	36.07	146.28	21.46	9.23	14.86	45.19	43.31	43.92
Epb4.1l1	72.3	22.4	16.23	63.65	0.0	0.0	1.75	2.62	33.49	4.25	13.65	17.31	25.97	4.5	24.08	3.25	23.56	27.1	4.64	19.86	17.46	51.32	2.37	18.7	9.17	75.97	81.94	13.27	14.82	12.03	226.35	219.82	236.74
Eps8l2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.58	0.0	1.23	3.45	2.9	3.12
Espl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.05	0.55	0.65	0.49
Fam114a1	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.18	0.0	76.57	0.2	0.0	0.47	5.01	4.78	4.88
Fam71d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.14	0.0	0.59	1.41	0.0	0.05	0.12
Ficd	23.56	0.0	0.0	0.0	0.0	0.0	48.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.3	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.14	0.0	0.0	53.54	1.41	2.61	1.86	10.56	10.89	10.9
Gfod2	87.96	0.0	0.07	0.2	0.0	0.0	40.85	3.45	0.0	0.25	0.56	33.11	87.65	49.84	0.0	50.14	0.21	2.79	0.08	0.14	0.23	155.83	0.0	22.12	0.0	0.0	92.65	6.5	9.02	8.93	19.38	20.73	21.99
Gm13306	0.14	0.0	22.17	0.0	0.0	21.49	31.22	0.3	0.0	1.74	0.0	0.0	0.27	0.0	0.0	0.77	0.0	0.29	2.79	1.9	2.24	0.0	0.0	0.0	0.0	33.56	3.13	61.27	76.52	71.98	30.63	28.29	22.96
Gm14326	25.98	3.71	7.28	24.36	16.13	61.66	6.44	35.23	5.44	4.36	5.45	0.59	4.31	5.53	5.22	5.35	0.52	0.03	1.32	1.81	6.23	8.01	7.48	15.81	29.37	20.03	86.46	22.53	20.06	14.58	18.46	11.31	17.73
Gm17801	0.51	0.0	0.0	0.0	0.0	0.0	1.32	0.0	0.17	0.0	0.0	0.08	0.0	0.0	0.0	0.53	0.0	0.0	0.25	0.0	0.22	0.0	0.21	0.0	0.0	0.34	3.18	0.0	0.54	0.11	0.54	0.54	0.35
Gm2002	0.0	0.0	0.0	0.08	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.08	0.0	0.0	0.0	0.1	1.32	1.27	4.28	1.89	1.73	1.86	1.4
Gm2506	0.14	0.0	22.17	0.0	0.0	21.49	31.22	0.3	0.0	1.74	0.0	0.0	0.27	0.0	0.0	0.77	0.0	0.29	2.79	1.9	2.24	0.0	0.0	0.0	0.0	33.56	3.13	61.27	76.52	71.98	30.63	28.29	22.96
Gxylt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.98	0.0	0.0	0.0	0.76	0.97	0.79
Hcfc1	43.35	31.7	11.1	30.01	3.24	25.77	23.15	0.09	17.34	0.04	0.5	3.75	22.57	25.37	8.84	5.5	19.78	0.0	6.78	19.26	5.84	0.0	14.27	8.72	0.07	0.11	49.07	13.73	11.36	14.07	41.86	41.59	44.45
Higd1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	0.0	0.0	0.0	6.56	3.03	5.19
Hsph1	187.71	81.55	10.38	105.12	0.56	210.46	142.72	68.95	76.29	41.2	8.35	54.55	152.85	76.48	84.93	46.07	118.19	3.84	87.15	31.53	31.45	160.07	54.03	93.28	104.62	188.32	188.07	213.44	193.74	203.15	238.03	226.06	225.17
Il11ra2	0.0	0.0	0.0	0.08	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.08	0.0	0.0	0.0	0.1	1.32	1.27	4.28	1.89	1.73	1.86	1.4
Iqce	1.41	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.15	0.0	0.0	0.76	0.0	0.0	0.78	0.0	1.42	0.0	2.97	8.38	4.41	3.52	1.98	17.59	18.54	18.74
Lpcat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	21.73	0.0	0.0	0.0	18.78	0.0	0.0	0.0	0.0	33.64	4.15	0.87	5.93	31.04	33.54	37.1
Lrig1	0.15	0.0	0.12	28.73	0.4	0.0	3.99	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	34.5	0.68	1.32	1.63	20.22	19.51	21.42
Lrp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.87	0.0	0.0	0.02	0.09	0.11	0.11
Ltbr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	6.2	7.23	9.05
Man2c1	62.81	0.0	0.0	0.13	0.0	0.0	0.0	1.14	0.04	0.0	22.25	7.31	0.21	0.17	0.0	0.0	0.0	0.0	27.75	0.36	2.97	45.27	30.76	0.0	0.0	31.76	65.94	10.8	9.16	3.98	45.18	46.88	47.37
Mmp9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.81	0.0	0.0	0.0	0.91	1.24	0.94
Mtmr1	0.0	4.54	12.28	17.39	0.0	3.02	20.8	0.16	0.0	2.78	0.0	4.53	0.0	4.81	0.11	0.0	26.25	1.01	23.82	6.19	1.85	0.0	0.74	0.0	0.0	2.5	39.29	16.52	7.44	14.48	30.51	30.88	29.59
Olfr316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.19	0.0	1.17	0.0	1.09	1.35	2.06
Olfr318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.14	0.0	0.35	0.0	0.3	0.0	0.29
Pak2	0.0	0.0	11.06	10.4	0.0	0.0	0.0	0.0	0.03	0.0	0.0	5.46	0.0	0.0	7.46	0.0	1.72	0.97	0.4	1.49	0.0	11.46	0.63	1.44	27.07	0.0	35.57	5.13	6.92	4.37	30.29	29.99	29.34
Plek2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.56	0.0	1.13	0.0	0.19	0.24	0.13
Plxdc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	2.69	5.36	3.73	26.12	24.12	27.25
Prdm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.63	0.0	0.0	0.0	0.59	0.77	0.67
Prkcb	52.16	45.18	8.02	6.78	0.91	25.87	13.05	24.56	2.64	6.89	9.02	2.13	0.36	2.83	3.8	15.12	0.06	32.65	5.25	0.37	2.75	49.13	0.27	25.66	7.97	4.77	52.56	279.7	261.35	235.19	360.87	341.57	387.59
Prkcq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	58.75	0.0	0.1	1.57	8.44	7.67	9.54
Rorb	3.32	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.03	0.04	0.01	0.0	0.03	0.03	0.03	0.0	0.05	0.11	0.05	0.03	0.02	0.09	0.03	0.0	0.06	0.11	20.52	0.37	0.97	0.5	10.55	9.4	9.66
Rph3al	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	2.5	2.15	2.47
Sall1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.07	12.24	12.82	13.17
Sept9	0.25	0.0	15.0	124.14	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	22.91	0.0	0.0	0.0	0.0	0.0	0.0	0.79	11.61	5.25	0.0	9.04	0.0	0.75	47.53	13.75	29.94	27.9	47.07	49.95	49.54
Sez6l	0.0	0.0	0.36	4.51	0.0	0.0	26.89	0.0	0.0	0.0	2.43	0.0	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.66	0.0	0.7	0.09	1.12	35.26	16.39	17.47	15.52	100.96	101.75	107.49
Slc17a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.07	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.21	1.98	0.64	19.38	16.38	18.73
Slc9a3r1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.54	0.0	49.0	50.73	53.68
Slk	20.18	7.99	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	6.1	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.43	14.94	0.0	1.04	0.0	0.0	16.19	6.66	4.31	6.87	46.81	40.09	47.23
Snora23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.03	0.0	0.0	0.0	1.32	3.12	2.05
Sorcs2	20.35	2.6	0.0	0.0	0.0	0.0	0.19	8.83	27.86	0.0	1.14	0.0	0.0	0.05	16.67	10.43	4.83	0.0	0.0	0.0	0.54	0.0	16.39	0.0	0.0	0.0	27.08	1.96	1.19	0.9	26.44	26.95	30.37
Sphk2	0.0	28.91	0.0	0.0	0.0	0.0	0.0	0.0	8.85	0.0	14.44	0.03	23.69	16.81	0.0	0.0	28.16	0.0	0.0	0.0	0.09	27.87	0.74	27.8	0.0	0.0	65.31	4.31	7.42	3.44	18.77	19.52	18.93
Ssrp1	20.45	0.0	93.18	34.13	0.0	86.39	103.05	41.54	1.31	126.88	3.42	0.12	57.06	68.42	36.71	14.23	101.68	1.66	0.0	0.11	17.68	49.81	36.12	30.13	0.0	6.39	90.66	60.64	70.58	78.49	79.15	79.33	82.64
Sst	110572.87	52293.57	92299.24	72114.03	41248.39	79456.04	80147.45	46171.02	53894.31	43875.07	43763.2	39090.22	50199.22	51551.12	68952.67	63593.53	65451.11	55479.93	52986.0	54281.29	56460.73	50608.74	41295.0	78404.02	40301.33	41593.77	60686.4	0.0	0.0	0.0	558.6	588.98	558.0
St3gal6	0.0	3.05	26.85	0.0	0.0	0.0	0.0	16.84	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	19.75	0.0	0.0	0.34	89.63	169.51	0.0	2.85	2.66	16.26	17.85	17.11
Tmem41a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	1.5	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	116.84	5.09	8.51	8.1	23.51	22.47	20.8
Tnfrsf25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.64	1.51	3.05	1.76	11.56	10.34	5.71
Ube2o	0.83	0.65	1.99	4.25	1.32	4.04	2.67	0.37	0.34	0.41	2.03	0.25	7.82	2.68	0.05	1.05	0.0	0.04	0.36	0.0	3.15	0.49	0.78	1.91	1.53	0.98	58.31	2.96	2.56	3.11	88.4	97.29	91.53
Zfp599	0.0	0.0	0.12	0.11	0.0	0.07	0.12	35.44	0.0	2.2	0.06	0.0	2.27	0.0	0.0	0.45	0.04	0.0	0.0	0.0	0.27	0.11	0.0	0.08	0.18	0.13	49.46	14.1	12.55	10.15	3.08	2.95	2.52
Zfp618	0.0	1.43	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.15	0.0	0.05	0.0	0.0	0.0	0.36	0.16	35.57	0.0	0.0	0.0	2.37	1.98	2.5
Zfp934	0.0	0.0	0.02	2.37	12.99	0.14	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.33	0.0	0.0	0.0	2.95	0.14	0.0	0.0	5.54	0.0	0.36	116.32	0.0	119.33	15.3	10.5	16.07	2.3	2.07	2.14
