	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_10	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Rbp4_tdTpositive_cell_140	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Add3	0.0	0.0	176.67	227.44	158.94	0.0	72.16	0.11	0.0	292.36	128.92	0.0	0.18	0.05	14.15	68.77	69.59	67.27
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Amd2	0.0	14.97	0.0	0.0	0.0	43.68	0.0	0.0	21.64	0.0	0.12	0.0	0.0	100.09	73.38	116.44	128.88	96.43
Ankrd28	0.0	0.15	0.25	0.26	0.0	0.06	0.47	0.09	0.0	0.66	0.14	0.0	0.19	2.76	5.68	35.55	34.01	40.01
Apob	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Bre	0.0	0.0	0.0	529.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.57	0.0	190.03	157.46	49.83	54.2	47.62
Calr4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.5	0.53	0.77
Camk4	1.57	0.97	1.73	1.97	0.62	1.4	0.92	0.58	0.44	1.79	0.34	0.0	0.65	18.5	48.68	69.62	59.4	72.95
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc90a	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	16.61	14.87	15.84
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.07	0.0	0.07
Celf5	0.0	0.08	0.09	0.75	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.12	11.5	57.82	163.01	160.05	172.09
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cml5	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.68	1.91
Cnn3	128.41	511.93	0.0	0.0	0.08	794.23	0.0	0.0	0.0	0.0	768.23	0.0	0.0	0.0	0.0	71.84	78.31	72.56
Csad	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1	8.78	19.22	19.71	18.4
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D830030K20Rik	0.0	4.1	0.77	1.63	0.19	0.0	2.66	0.0	0.3	2.04	1.29	0.0	0.0	3.94	6.75	9.06	7.67	8.97
Dhtkd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86	6.07	5.77	7.04
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.11	0.0	0.11
Echs1	0.0	0.0	0.0	4.3	0.0	0.0	0.0	523.8	0.0	0.0	7.26	0.0	0.0	202.17	64.98	64.86	69.81	63.3
Entpd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.25	11.24	10.95
Esyt3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	2.88	2.92	2.89
Fabp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.82	160.58	155.86	161.97	169.27
Fam162a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.29	54.85	58.88	58.47
Fjx1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	73.38	79.2	83.24
Fmo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Fndc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.88	10.6	75.76	84.12	84.72
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gna13	0.0	0.07	0.07	105.35	19.47	0.28	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.25	2.66	25.82	24.97	25.3
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
H47	0.0	1494.83	0.0	0.0	658.29	0.0	0.0	0.41	0.0	305.06	0.0	0.0	0.4	0.18	101.68	50.1	57.05	54.42
Hadhb	0.0	0.0	0.0	0.0	0.0	0.0	1.7	0.24	602.25	1587.54	0.0	0.0	0.0	0.32	72.07	88.63	87.71	84.02
Hal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Hey2	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.71	3.67	3.87
Idi1	0.0	1303.54	0.0	0.0	0.17	0.0	0.0	0.0	0.56	0.18	0.0	0.0	0.33	0.14	67.4	48.41	46.84	50.41
Igsf11	0.62	0.0	0.35	0.0	0.31	0.0	0.48	0.38	0.29	0.24	0.07	0.0	0.14	0.37	0.71	22.1	20.7	23.96
Ilk	0.0	0.7	0.0	0.28	0.0	632.5	1236.84	0.0	0.0	1291.22	69.63	0.0	1652.43	4.81	47.75	80.88	82.09	81.01
Itm2a	14932.46	13435.48	19382.13	13798.28	22776.11	15187.76	11070.93	8239.17	28258.71	44601.9	19778.69	21453.5	27583.62	0.0	24.4	90.62	84.1	79.88
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Litaf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.06	14.73	17.0	19.23
Lonrf3	0.03	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.09	7.8	7.86	7.39
Ltf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Man2a2	0.39	1.53	3.56	1.58	0.89	0.26	0.28	0.0	0.31	0.56	0.41	0.0	0.09	26.82	8.45	101.72	93.04	100.09
Maob	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.23	0.0	0.0	0.0	0.0	0.0	7.51	23.69	23.69	21.87
Muc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nckap5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	1.5	2.22
Ncr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nox4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.06	0.0	0.06
Olfr15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Omg	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.99	447.11	143.13	134.29	137.0
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
P2rx7	0.24	0.0	0.17	0.0	0.06	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.18	0.0	1.08	6.22	5.61	6.16
P4hb	0.0	0.16	1.18	61.72	0.0	0.0	0.24	250.44	0.0	0.0	78.4	0.0	0.18	0.49	20.01	93.33	96.9	92.31
Pdia4	1.33	25.88	4.14	3.91	2.85	0.0	5.3	0.0	2.07	0.0	0.0	0.0	0.0	86.03	108.01	33.71	30.47	30.15
Phf20l1	0.0	87.43	13.35	0.0	5.42	0.07	0.05	96.96	0.0	0.0	0.06	0.0	0.0	2.93	12.95	26.43	24.43	27.35
Pknox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17	9.2	9.16	10.02
Plin2	0.0	0.0	558.61	0.0	0.0	0.0	622.96	0.0	0.0	0.0	811.77	128.41	0.0	0.0	0.0	5.48	6.99	6.03
Plod1	0.1	2.56	0.0	0.74	0.0	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.0	0.0	1.92	13.37	15.04	14.97
Ppdpf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.07	0.0	45.68	31.27	81.05	96.17	88.75
Ppp1r3c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	33.23	34.22	31.53
Prelp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.19	13.35	13.3	11.56
Prodh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.12	27.13	28.09
Prrg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.95	0.5	0.32
Psd3	0.0	0.0	1.78	11.2	0.0	0.0	0.03	0.0	0.04	0.0	0.04	0.0	0.0	112.8	41.08	186.39	161.39	187.14
Rad51l3	0.05	0.16	1.67	1.32	0.68	0.3	0.95	0.32	0.54	0.43	0.65	0.0	0.32	2.82	4.52	8.41	7.93	8.2
Raet1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Rest	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98	2.1	2.32
Selenbp1	0.0	0.24	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	10.18	10.43	11.2
Selenbp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.91	0.38
Six5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	2.64	2.82
Slc15a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41	1.53	1.5
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Soat1	3.0	0.34	47.21	0.1	0.45	0.2	0.13	0.1	0.0	0.74	0.05	0.0	0.5	0.92	6.48	13.89	11.63	12.83
Spcs2	0.12	0.0	747.1	52.29	0.0	0.0	0.0	0.0	0.11	0.0	0.4	0.0	0.0	140.65	118.84	51.19	56.31	52.86
Tac4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tacc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.01	8.94	46.15	47.6	43.99
Taf13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	44.17	44.24	39.03	41.95
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tcta	0.0	0.0	0.0	446.86	0.0	0.0	0.0	2.05	0.0	0.0	0.0	0.0	0.0	15.55	62.3	33.72	37.9	38.63
Tex9	1.15	0.46	0.71	1.19	2.11	0.0	0.37	0.0	0.09	1.31	0.0	1.01	2.44	0.74	3.8	5.75	5.28	6.69
Tnfsf13	0.0	0.0	0.0	0.0	0.0	0.0	249.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	4.29	4.72
Tob2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.54	0.0	0.0	0.0	0.0	0.0	0.0	4.66	22.9	23.09	15.82
Tpp1	49.74	212.32	0.0	0.14	482.99	0.38	426.16	0.0	0.09	0.62	739.69	0.0	0.26	55.59	59.85	48.34	47.43	49.93
Trps1	0.0	0.0	0.0	0.0	0.02	104.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	8.37	6.97	8.64
Tspan12	0.13	0.0	0.0	981.54	38.24	0.0	0.0	0.0	0.26	1763.8	0.0	3.02	1301.71	0.08	50.73	16.67	15.45	15.4
Tspan31	0.44	2.54	0.31	317.88	2.07	0.0	0.43	6.82	12.24	2.1	9.42	0.0	0.0	164.3	325.68	71.56	73.01	69.4
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Twf1	0.11	0.13	226.81	349.03	0.0	0.0	1.56	0.16	0.0	0.0	515.4	0.0	0.0	324.97	253.95	39.99	41.89	40.14
Usp26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Wdr62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	1.07	0.92
Yif1a	0.0	0.0	0.0	0.0	0.0	473.38	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.14	46.66	13.7	15.93	14.63
Zfpm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.89	8.75	10.54	10.09
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
