	Ndnf_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Pvalb_tdTpositive_cell_45	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_88	Scnn1a.Tg3_tdTnegative_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.13
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cd244	0.0	0.0	0.0	0.11	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Chat	0.0	0.0	0.34	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	3.47	4.2
Chmp4b	0.0	3.64	0.0	0.0	37.07	12.95	5.63	28.62	17.23	4.61	0.0	213.47	219.44	219.27
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Cmtm6	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.48	21.26	20.49
Cnih2	0.0	25.33	0.0	0.0	0.0	2.77	0.0	4.07	0.0	0.19	0.0	331.18	380.23	359.02
Csnk1g3	0.0	0.0	0.0	3.36	0.0	5.06	1.43	0.0	0.0	37.77	0.0	41.74	39.54	40.79
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
D6Mm5e	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Elfn1	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.07	0.0	16.27	16.52	19.02
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Gm4745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Gpatch1	0.0	1.5	0.0	2.73	2.01	14.62	0.0	8.54	0.0	0.0	0.0	20.95	21.95	20.94
Gpr124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.61	8.33	8.32
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Haus8	0.0	0.0	4.91	0.0	0.0	0.0	0.0	32.45	31.79	6.22	0.0	7.99	8.09	8.31
Hdac11	0.0	1.35	0.06	0.17	40.6	17.04	39.55	55.88	14.81	52.03	39.04	163.09	171.47	168.04
Hist1h3f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.14
Hist2h4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	1.47	2.91
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Lmbr1	0.0	0.35	0.0	0.0	12.24	16.47	5.25	0.88	0.97	0.68	0.11	20.96	21.03	19.99
Mapk1	0.0	101.84	0.03	0.46	34.6	74.63	0.0	3.5	40.81	25.59	0.0	371.72	366.39	352.91
Mid1	0.0	0.75	0.35	0.9	0.0	4.48	0.46	10.67	5.71	4.69	0.0	12.92	22.49	31.82
Mipol1	0.0	0.0	0.0	0.15	0.0	0.0	0.0	50.08	52.01	0.0	0.0	3.73	3.74	4.16
Muc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Ncr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nlrp12	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.02	0.07
Nox4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Nrbp2	0.0	0.0	0.0	2.33	0.31	0.0	0.14	0.22	0.21	0.83	4.08	123.98	131.14	139.93
Nus1	0.07	0.11	1.25	0.0	0.31	7.25	0.0	30.68	14.87	1.45	0.0	55.9	51.94	52.26
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Olfr15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Prmt1	0.0	55.4	0.16	0.44	71.82	1.12	0.36	57.16	23.57	2.32	0.0	84.39	92.37	87.72
Raet1d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Ranbp3l	0.0	3.19	2.85	5.07	7.93	3.19	4.97	5.23	5.2	6.84	4.53	6.34	5.86	6.65
Rps15	0.94	703.15	510.56	526.86	167.6	346.59	634.94	406.52	303.0	546.97	256.63	666.8	774.18	727.29
Slc25a37	0.0	0.0	0.0	0.37	2.76	17.51	0.0	4.78	16.57	55.28	0.0	23.0	22.03	23.41
Slc41a1	0.0	0.0	0.0	0.73	0.0	5.07	0.07	0.0	0.0	0.0	0.0	35.26	37.16	36.56
Slc4a1	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Slc6a8	0.0	0.0	0.3	75.16	46.83	1.32	1.93	18.35	3.22	8.97	130.2	61.85	65.48	65.64
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
Stk32a	0.0	0.14	0.17	0.06	0.41	0.0	0.0	0.0	0.0	0.68	0.0	5.65	5.24	4.58
Syt7	26.41	32.35	0.0	10.83	29.14	6.16	4.42	2.62	17.44	82.63	0.0	137.04	129.89	141.23
Tac4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.12
Tdp1	0.0	0.28	0.0	0.0	0.0	0.0	0.35	0.0	1.31	0.0	0.0	15.92	16.27	16.08
Tspan18	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46	3.35	4.13
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Usp26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Wnk2	0.0	0.09	0.0	1.22	0.12	0.5	0.05	1.71	6.78	8.29	0.0	49.56	48.86	56.38
Zap70	0.0	0.0	0.0	0.0	0.0	0.22	1.44	0.0	0.0	0.0	0.0	1.23	1.93	1.78
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.03	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK144853	3418.26	2796.77	3188.9	3536.4	2232.42	3465.77	3989.68	2651.5	1865.28	4172.57	807.61	10748.58	9082.92	10224.83
mt_AK166684	0.0	0.0	0.0	19.39	0.0	0.0	0.0	0.0	0.0	3.78	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	6.56	28.04	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
