	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_103	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_38	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTpositive_cell_14	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_18	Trib2_CTX_250ng_1
Cts8-ps	0.65	0.0	0.0	0.3	0.12	0.0	0.21	0.1	0.04	0.0	0.2	0.23	0.02	0.08	0.0	0.05	0.36	0.38	0.0	0.21	0.08	0.64	0.0	0.0	0.0	0.07
Eaf1	0.51	0.82	0.33	0.4	0.44	0.0	0.49	1.25	0.08	0.28	0.36	0.7	0.13	0.07	0.13	0.32	1.31	0.14	0.31	2.79	0.4	0.54	0.0	0.11	0.46	13.68
Eif2c1	1.35	0.0	0.0	0.0	24.96	0.0	0.0	0.0	30.39	0.0	0.06	0.0	2.12	0.07	0.0	0.02	2.46	0.22	0.0	0.0	0.23	36.55	0.0	0.0	2.39	36.5
Ercc5	113.86	0.0	0.0	0.0	9.53	0.0	0.0	1.26	0.0	0.0	0.32	2.56	0.0	15.9	0.0	37.79	143.53	0.0	40.21	115.18	0.08	80.3	0.0	0.0	0.0	13.53
Heatr5a	0.64	0.19	0.5	0.4	0.08	0.0	1.16	0.28	0.1	0.31	0.26	0.24	0.13	0.09	0.15	0.32	0.95	33.56	0.1	0.31	0.11	1.08	0.09	0.07	0.48	5.79
Helb	1.01	0.57	0.78	0.71	0.56	0.0	0.8	0.59	0.37	0.68	1.07	0.27	0.47	0.46	0.3	0.83	1.52	0.42	0.57	1.52	0.0	1.24	0.0	0.29	0.79	3.72
Huwe1	16.48	0.7	0.79	10.05	2.69	0.0	8.48	3.09	18.03	19.73	46.98	5.76	6.04	30.19	12.98	0.05	16.72	24.8	2.02	29.4	5.99	56.72	0.02	14.74	6.81	88.23
Ip6k1	0.0	35.77	47.46	0.26	11.15	0.0	25.96	63.69	41.53	1.45	27.14	9.07	11.68	18.58	0.76	48.34	120.55	174.5	30.58	122.64	41.06	167.71	54.21	0.1	2.25	145.31
Iqsec3	23.67	0.59	3.59	1.0	0.08	0.0	1.82	0.31	0.3	1.07	1.62	19.61	0.15	0.13	0.03	0.26	111.36	5.54	0.14	37.2	0.26	102.86	0.15	0.0	23.14	77.47
Itpripl1	1.5	0.0	0.42	1.3	0.92	0.0	1.02	0.73	0.6	2.32	0.72	1.04	0.11	0.4	0.1	0.45	2.84	0.94	0.67	1.15	0.92	1.78	0.0	0.17	0.15	1.4
Med16	3.47	3.98	3.13	4.5	1.59	0.0	20.66	70.36	1.85	1.84	12.5	2.81	0.99	2.06	1.6	2.55	11.0	10.46	0.56	4.17	2.12	54.36	0.0	0.14	10.07	45.2
Mks1	0.55	0.98	0.16	0.25	0.0	0.0	0.4	0.61	0.0	0.1	0.0	0.0	0.2	0.25	0.1	0.23	1.1	0.38	0.0	0.93	0.0	1.09	0.0	0.0	0.8	6.81
Mll5	75.32	49.61	58.45	88.4	63.06	0.05	16.73	46.06	52.77	21.71	84.35	4.16	107.94	87.62	55.03	1.75	55.52	13.49	7.1	110.32	80.8	87.05	0.0	9.29	13.5	44.87
Mrpl19	78.02	0.41	1.03	50.39	99.49	0.78	21.27	1.53	2.13	34.05	1.97	1.39	68.86	3.02	26.57	66.18	5.17	45.27	15.84	50.2	3.92	148.96	0.0	0.88	1.47	14.39
Nol9	2.77	0.44	1.06	1.74	1.12	0.27	51.56	1.62	37.82	1.52	2.54	2.63	0.59	3.49	0.91	1.06	2.89	13.54	0.88	2.07	1.2	3.93	0.27	0.17	1.77	16.54
Pgrmc2	21.95	0.0	0.0	9.46	0.86	0.0	108.35	17.13	81.88	0.06	11.69	0.0	0.23	0.03	0.0	7.15	129.28	21.16	0.0	71.91	0.0	108.23	0.0	0.0	14.17	60.62
Pip4k2b	15.06	12.43	1.41	0.0	0.0	0.0	0.0	1.14	2.92	0.0	6.4	7.91	0.0	0.02	0.02	0.02	23.66	0.0	0.0	26.5	0.0	17.82	0.0	0.0	0.0	79.56
Plxna2	83.77	86.87	0.0	82.31	24.39	0.0	0.02	36.64	0.01	44.29	10.19	15.88	0.06	39.18	16.47	11.74	50.02	51.48	5.07	64.78	16.88	80.57	0.0	1.02	35.71	46.56
Psme3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.33	61.86	0.2	0.04	0.0	8.84	45.65	6.61	0.0	0.0	71.62	128.8	0.0	0.0	0.0	90.49
Rgs4	3228.45	4969.56	5481.44	5005.37	4201.26	0.0	5873.8	4839.36	4315.87	5539.67	4332.71	5390.4	4380.67	5399.11	5219.32	5037.98	2363.7	5187.94	3593.95	3462.02	6274.8	2900.44	5381.62	1519.58	6781.39	483.11
Scml4	0.59	0.0	0.93	0.18	0.44	0.21	0.14	0.72	0.33	0.32	0.3	0.23	0.1	0.4	0.3	0.4	0.23	1.02	0.18	0.95	0.4	1.03	0.0	0.05	0.14	2.28
Sh2d4a	5.61	0.82	1.52	2.91	1.83	0.0	2.35	3.12	0.97	2.68	3.0	0.19	1.52	3.08	2.08	2.54	8.71	1.36	1.75	5.52	0.64	8.49	0.0	1.32	1.19	2.72
Spen	0.0	2.81	0.0	2.28	0.0	0.0	4.14	14.28	0.03	0.26	0.55	0.0	0.01	5.28	0.0	26.91	26.69	0.0	0.0	0.0	3.37	28.54	0.35	0.0	0.37	20.09
Tdrd1	0.39	0.0	0.06	0.0	0.0	0.0	0.0	0.08	0.04	0.0	0.0	0.0	0.02	0.05	0.0	0.04	0.13	0.06	0.0	0.22	0.0	0.28	0.0	0.0	0.08	0.55
Tgfbrap1	25.84	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	6.13	7.2	0.0	0.06	0.0	0.0	0.0	16.73	0.06	0.0	0.0	0.0	29.19	0.0	0.12	0.0	30.6
Tmc2	0.61	0.3	0.16	1.0	0.59	0.0	0.4	0.58	0.17	0.21	0.84	0.22	0.0	0.39	0.07	0.58	0.6	1.4	0.25	0.28	0.06	0.85	0.0	0.14	0.21	0.61
Tmem88b	10.8	4.46	7.22	12.1	5.16	0.44	7.25	8.13	5.42	8.67	9.63	5.65	7.93	10.55	5.44	6.09	14.84	7.49	4.84	11.25	9.34	14.98	1.63	1.76	6.32	56.97
Trip12	55.13	18.13	1.08	0.06	4.35	0.0	51.62	89.98	63.15	1.04	13.22	31.39	0.53	64.5	27.55	48.68	134.38	51.92	16.72	61.57	7.52	73.28	20.12	3.84	7.63	62.05
Vmn2r55	1.66	0.74	0.32	3.16	1.09	0.0	1.63	4.06	1.59	2.1	1.45	1.31	1.05	1.98	0.86	1.5	4.6	5.24	0.72	1.74	1.92	6.44	0.0	0.2	3.68	3.31
Zfp273	294.77	0.27	84.19	0.0	0.0	2.81	0.0	7.25	0.0	178.48	0.0	0.0	0.0	0.0	0.0	0.0	28.34	0.08	0.0	269.67	0.0	240.69	0.0	0.0	192.85	4.89
