	Ndnf_tdTpositive_cell_20	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbF.Gad2_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pisd-ps2	0.0	8.03	21.59	75.33	39.29	42.05
Pkhd1	0.0	0.0	0.0	0.09	0.01	0.01
Plekhg5	38.07	0.0	9.56	54.79	56.74	54.57
Prrt1	0.0	0.0	9.48	99.55	104.6	118.51
Prx	0.0	0.0	0.0	1.25	1.02	1.02
Rab2a	0.0	21.17	135.54	299.53	306.45	276.36
Rapgef5	0.0	0.08	2.08	53.76	49.47	54.47
Rhobtb2	0.0	0.0	3.16	60.65	60.9	53.86
Rims3	0.0	0.0	0.0	89.24	78.82	96.63
Rin1	0.0	0.15	0.63	40.41	39.93	40.75
Rnf166	0.0	0.0	0.0	33.28	33.87	32.51
Rragb	0.0	0.0	0.0	79.77	77.21	71.85
Sh3bp4	0.0	0.0	0.0	14.55	15.81	15.81
Slc24a6	0.0	0.18	1.28	4.75	5.08	6.09
Slc4a8	0.0	0.0	6.57	36.0	33.98	37.2
Slc6a5	0.0	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Sox7	0.0	0.0	0.44	1.89	1.94	1.97
Stx6	0.0	0.0	0.0	83.27	86.9	85.83
Tatdn2	0.0	0.0	2.5	35.62	36.09	36.28
Tbc1d23	0.0	2.02	0.0	28.7	27.54	25.61
Tbcd	0.0	0.0	2.57	28.97	30.35	29.4
Tbkbp1	0.0	0.0	0.0	34.8	38.98	38.2
Tpmt	0.42	1.48	3.59	11.57	9.61	11.81
Tspan33	0.0	0.0	0.0	24.71	24.7	24.78
Ulk1	0.0	0.0	16.69	43.63	46.37	46.9
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r9	0.0	0.0	0.0	0.0	0.04	0.04
Zfp462	0.0	0.03	5.16	13.35	12.9	14.56
Zfp687	0.0	0.0	1.29	16.24	17.64	17.33
Zfp781	0.0	10.01	7.74	18.46	13.57	19.27
Zfyve20	0.0	7.34	4.37	30.16	30.19	28.7
Zmynd19	0.0	0.0	0.0	37.25	34.94	34.39
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK153747	0.0	0.0	26.02	634.98	1067.91	1205.94
mt_AK166684	0.0	0.0	6.26	18796.57	17507.83	18655.33
mt_BC055066	0.0	16.54	0.0	263.91	297.78	134.58
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
