	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_38	Rbp4_tdTnegative_cell_12	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_27	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_91	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dis3l	0.41	0.57	0.28	0.07	0.11	0.41	0.77	0.06	20.0	0.24	0.34	0.95	0.04	7.42	0.27	0.3	0.07	15.89	0.6	0.72	0.39	0.3	19.12	0.0	0.0	0.34	0.46	0.25	0.38	20.49	20.9	19.78
Dnm1	29.93	16.58	86.45	26.67	17.89	3.92	36.01	38.11	60.01	79.84	57.44	68.81	25.2	252.91	70.36	72.73	0.0	8.31	20.89	221.88	146.86	49.32	90.86	4.35	1.54	2.34	44.45	12.21	15.75	785.48	840.55	821.55
Dtx3	15.51	0.0	60.35	0.82	37.89	6.0	0.1	66.57	0.0	0.2	92.39	25.41	0.26	141.32	37.55	0.05	0.0	49.29	0.14	108.76	75.02	58.93	176.81	8.49	0.0	29.46	68.67	142.86	6.92	217.24	238.78	229.0
Extl1	0.09	0.07	0.1	0.0	0.0	0.0	0.06	1.73	0.0	0.05	29.98	0.0	0.0	71.17	0.0	38.54	0.0	9.65	9.45	0.04	0.0	9.22	0.0	0.0	0.0	11.56	0.28	0.21	0.0	50.72	51.07	50.15
Fbxo42	0.0	0.0	0.43	0.0	4.23	2.89	2.86	10.94	0.06	1.03	0.07	0.0	0.0	52.14	0.0	0.04	1.28	0.02	0.09	29.43	4.23	54.14	2.21	0.0	0.0	0.0	0.0	0.0	0.0	22.68	23.81	22.17
Gpc6	1.1	0.41	1.02	0.33	0.75	0.85	0.83	1.67	0.52	0.57	1.1	1.74	0.37	2.35	1.87	0.4	0.0	0.37	1.02	1.45	1.46	1.98	1.13	0.3	0.55	1.18	2.15	2.89	0.16	5.57	5.69	6.21
Gpcpd1	86.63	6.07	0.19	95.76	135.33	2.59	120.96	60.0	110.72	1.34	1.33	2.31	1.19	257.01	0.74	94.75	0.0	0.4	2.95	31.08	125.12	3.03	109.92	0.0	0.74	0.23	0.0	2.01	20.74	89.99	88.51	89.45
Lpar3	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.18	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.36	0.26	0.46
Mmel1	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.45	0.0	0.0	0.0	0.0	32.01	0.0	0.03	0.0	0.04	11.0	0.0	0.0	22.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.73	0.59
Nalcn	0.01	0.01	0.0	16.25	0.0	8.02	0.0	13.32	0.12	0.05	0.0	27.01	0.14	151.81	0.06	33.85	0.03	72.92	3.23	54.92	0.78	97.49	21.2	35.65	0.0	34.1	0.0	38.33	0.0	54.76	51.66	50.51
Ngfr	0.19	0.23	0.38	0.14	0.59	0.74	0.26	0.2	0.11	0.22	0.33	0.65	0.42	1.04	0.5	0.16	0.15	0.34	0.33	0.29	0.2	0.39	0.45	0.09	0.47	0.0	0.53	0.5	0.92	2.13	2.73	1.77
Nt5dc3	2.16	1.94	0.86	0.5	1.27	19.03	5.47	20.96	11.48	2.04	46.83	22.02	0.89	85.91	0.86	11.04	0.77	2.25	21.94	94.94	7.72	29.1	1.72	33.75	0.97	42.61	2.07	3.0	36.81	67.85	65.67	69.07
Picalm	14.25	16.09	78.27	81.38	0.0	9.25	34.73	10.53	9.98	10.65	56.77	9.81	12.63	140.79	0.34	77.6	0.19	9.43	4.17	74.51	0.0	2.78	0.17	3.12	36.95	38.35	11.58	15.82	110.24	86.4	85.45	86.36
Prkcz	39.72	176.26	149.61	0.11	0.09	3.98	1.23	27.11	56.46	0.23	60.51	104.83	0.0	329.6	93.98	123.74	0.0	54.62	48.24	5.38	230.63	78.75	72.71	0.0	59.71	169.6	151.98	38.92	21.02	177.01	178.52	171.75
Pus7	1.2	8.51	0.45	0.35	0.23	0.88	0.17	0.33	0.05	1.42	57.75	42.99	0.77	84.16	0.6	0.11	0.0	73.27	0.41	112.1	1.73	92.43	1.17	54.66	1.77	0.0	0.49	0.26	0.41	15.45	14.66	14.87
Rab27a	0.44	1.0	0.71	0.08	0.72	0.84	0.54	0.33	0.32	0.88	0.28	0.72	0.34	6.01	0.42	0.13	0.16	4.06	1.28	51.65	0.15	0.76	0.97	0.0	0.0	0.11	0.7	0.5	0.0	5.9	4.91	4.52
Ralgapa1	14.69	64.34	13.95	6.85	44.43	16.12	19.27	22.56	7.73	0.02	13.66	1.15	0.0	132.5	12.9	21.15	0.0	16.1	1.48	116.88	48.78	24.63	29.4	0.0	3.09	18.1	65.07	0.32	3.34	67.52	58.81	68.62
Rgs4	3554.62	4793.66	4496.84	4051.91	5481.44	3740.02	5873.8	3187.17	4315.87	5539.67	4276.53	4595.67	5390.4	2870.31	4377.15	4380.67	0.17	5399.11	3408.95	5187.94	4921.82	4036.2	6274.8	5381.62	2722.47	4444.37	4012.11	5598.27	6781.39	495.03	470.64	483.11
Rnf26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	32.6	0.0	0.0	0.0	1.96	231.16	0.0	0.0	0.0	0.05	0.0	20.31	32.84	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	29.58	32.83	33.78
Sart3	0.0	0.0	0.0	0.0	0.0	3.48	0.1	0.0	0.0	0.0	0.0	2.79	0.0	6.57	0.0	0.0	0.0	0.18	0.53	0.87	0.0	0.39	0.64	0.0	0.0	0.0	0.0	0.0	0.0	32.69	35.28	33.58
Slc24a3	6.76	24.35	0.37	5.48	15.3	33.65	0.11	0.0	0.1	0.17	0.23	31.68	17.89	92.86	0.0	0.0	0.0	5.77	57.77	22.15	85.59	0.73	0.0	110.99	7.51	33.57	69.9	0.0	0.0	102.8	101.41	101.16
Slc25a26	0.0	0.0	0.0	0.0	199.53	0.0	0.0	0.0	0.0	0.0	0.1	12.63	0.0	115.62	0.48	0.0	0.0	0.0	0.0	33.31	0.0	0.0	0.0	0.0	125.42	0.0	0.0	156.87	27.93	17.24	19.32	19.14
Slc3a2	11.45	63.56	6.28	79.15	4.91	5.91	104.5	30.32	61.25	23.74	7.83	82.5	6.57	172.11	144.51	4.16	2.08	123.21	10.82	78.67	9.57	162.65	8.17	1.72	4.14	11.22	9.73	7.03	9.98	96.91	98.42	93.73
Snf8	0.0	0.0	23.66	0.0	0.0	0.0	68.66	0.0	0.0	141.88	17.91	13.47	0.0	63.29	36.81	0.29	0.0	0.0	6.33	68.86	55.39	237.98	2.92	0.0	0.0	3.51	0.0	0.0	0.0	87.11	92.9	89.11
Trpm3	0.63	106.72	0.62	0.89	0.73	0.78	1.55	0.25	0.66	1.67	15.7	100.47	0.28	33.4	0.79	0.36	0.19	0.99	1.66	32.42	4.38	1.43	10.54	4.09	1.29	1.03	184.45	0.22	1.22	20.34	17.85	23.43
Ubr4	6.82	25.02	8.03	4.35	0.02	2.21	0.01	0.05	4.19	4.35	2.05	44.69	0.0	55.6	4.14	5.1	0.0	13.81	18.08	14.53	1.79	13.63	32.01	51.56	13.59	0.35	0.97	1.59	28.75	45.95	42.73	49.32
Usf2	0.37	0.1	0.04	0.38	0.72	0.82	32.37	0.77	0.14	0.47	84.1	0.58	0.55	2.59	0.57	1.84	0.0	0.59	0.49	0.87	0.44	7.09	0.14	0.0	4.7	0.0	2.69	0.39	59.46	85.09	90.72	88.71
Wnk2	0.03	0.03	8.14	0.0	7.23	7.63	13.59	0.59	0.0	8.63	14.73	30.89	0.0	28.97	14.7	0.05	0.04	6.85	2.37	17.39	34.76	7.96	3.66	0.0	0.0	9.89	9.89	0.0	2.49	49.56	48.86	56.38
Zdhhc8	1.28	0.06	0.0	0.0	16.01	0.1	0.22	0.0	0.0	0.04	0.04	0.0	0.0	20.77	2.7	0.8	0.0	6.41	13.06	6.08	10.75	21.4	1.08	4.47	0.0	0.0	14.65	0.7	0.0	58.16	64.64	66.92
Zfp553	1.56	2.82	2.07	0.46	1.86	3.61	3.79	0.77	1.14	4.03	1.66	5.1	3.47	16.11	2.85	1.39	0.44	0.31	1.85	1.9	2.02	3.55	2.25	0.19	0.87	2.89	3.42	4.35	1.51	16.37	17.97	15.79
