	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_33	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_20	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Car10	15.48	0.0	0.0	0.0	0.0	270.69	0.3	0.0	0.0	0.0	270.6	1.36	11.22	0.35	41.72	56.75	27.65	30.09	60.78	6.58	99.85	28.65	15.0	0.76	0.44	0.53	1.47	0.77	0.65	0.0	45.45	329.67	0.52	0.0	94.51	87.6	92.14
Car7	0.0	0.0	0.0	0.0	0.0	56.31	0.0	0.0	0.0	0.0	199.56	0.0	0.22	104.19	0.0	0.0	163.42	45.87	0.0	0.0	189.48	0.0	0.89	0.0	0.21	0.0	0.0	0.0	0.0	0.0	81.62	302.25	0.0	0.0	26.41	28.28	29.77
Ccl27b	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	4.13	0.46	0.0	30.63	28.29	22.96
Ccnyl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	195.43	0.0	0.0	20.96	19.68	19.73
Cluap1	0.0	0.0	0.0	0.25	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.38	6.66	87.76	24.5	165.37	99.16	24.22	35.1	87.37	11.66	40.83	2.58	0.0	0.0	0.93	0.0	0.0	0.0	2.65	0.0	175.05	545.15	0.0	42.05	38.9	39.98
Cmas	0.0	0.0	0.0	0.0	0.0	244.96	0.0	0.0	0.0	0.0	0.74	0.69	0.0	21.37	23.13	0.0	0.0	22.77	84.39	0.0	130.88	32.95	18.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.32	133.65	0.0	0.0	96.15	105.75	97.8
Csnk1g1	0.0	0.0	0.0	0.0	0.0	0.08	0.0	709.88	0.0	0.0	82.6	0.25	4.6	23.48	14.77	45.01	25.47	22.87	10.67	21.74	2.52	20.43	0.05	0.0	0.0	0.0	0.0	144.91	0.0	0.0	77.42	299.04	0.06	0.0	15.84	14.74	15.76
Csrp2bp	0.0	0.15	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	2.27	3.73	0.0	39.65	0.0	27.98	44.56	0.0	4.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.5	0.0	0.0	24.76	25.22	22.81
Dnajc21	0.0	0.0	0.0	0.0	0.51	224.94	0.0	0.0	0.0	0.0	17.8	0.0	32.48	0.0	0.0	51.77	1.87	14.86	25.46	0.0	80.31	34.79	6.14	0.0	0.0	0.36	0.38	0.0	0.0	0.0	28.83	244.45	0.0	0.0	28.76	28.56	28.76
Dnm1	0.0	0.0	0.0	0.0	0.0	286.55	0.0	0.0	0.0	0.0	11.22	0.0	65.89	75.92	46.15	11.85	37.8	36.26	33.46	69.02	133.85	42.49	64.19	0.0	0.0	0.19	0.2	0.0	0.0	0.0	33.52	82.08	0.11	0.0	785.48	840.55	821.55
Dph1	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.29	0.16	0.0	52.17	0.0	1.62	23.4	14.75	0.0	0.27	0.27	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.35	456.01	0.2	0.0	16.49	22.37	22.3
Dync1li2	2.29	0.0	0.0	0.0	0.86	230.79	0.0	0.0	0.0	0.0	36.03	0.54	115.15	62.95	117.03	5.31	19.47	27.15	24.81	83.95	32.36	33.03	29.97	0.0	1.74	33.82	0.34	0.0	0.0	0.13	65.12	275.58	0.18	0.0	163.9	162.52	165.81
Eif6	0.0	0.0	0.0	0.27	0.71	158.01	0.0	0.0	0.22	0.0	0.88	0.41	37.68	37.16	0.0	0.0	47.84	28.73	0.55	59.29	0.38	0.0	38.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.53	313.18	0.57	0.0	49.74	55.23	50.93
Elp3	0.31	0.0	0.0	0.0	1015.5	1.74	0.0	0.0	0.0	0.0	0.46	0.0	55.26	42.11	47.06	0.0	5.07	27.02	0.0	1.97	2.55	74.13	0.48	0.0	0.11	694.26	0.0	0.0	0.0	0.0	0.47	508.46	0.0	1352.25	74.31	73.25	71.01
Erc2	0.0	0.0	0.0	0.0	0.0	129.39	0.0	0.0	0.0	0.0	9.68	0.29	1.65	0.0	0.06	86.62	70.01	26.14	10.15	25.83	51.89	8.95	11.05	0.0	0.16	0.12	0.0	0.0	0.0	0.0	72.7	201.62	0.07	0.0	83.33	78.03	78.63
Ergic1	40.46	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	1.42	0.0	59.06	1.72	0.0	2.88	28.96	18.46	16.88	28.3	53.1	11.63	0.99	0.0	0.0	29.13	0.0	0.0	0.0	0.0	0.0	308.83	7.29	0.0	107.63	108.25	116.21
Fosl2	168.84	0.0	0.0	0.0	0.0	19.65	0.0	349.04	0.0	0.0	0.0	0.0	1.88	24.3	0.06	21.4	18.56	9.62	0.0	38.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.72	0.14	0.0	24.79	22.99	13.75
Gimap1	2.92	1.03	0.0	0.0	0.0	52.39	13.28	0.0	0.0	4.03	0.88	8.47	13.97	13.38	20.87	8.18	20.99	21.19	14.85	21.25	37.68	10.08	20.52	0.0	0.0	45.24	32.74	12.58	5.12	6.14	4.88	53.37	51.76	0.0	10.71	9.7	13.05
Gm13306	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	4.13	0.46	0.0	30.63	28.29	22.96
Gm14430	0.37	0.0	0.0	0.0	0.0	11.58	0.0	0.25	0.03	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	6.69	0.0	12.82	18.78	0.2	0.0	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	0.09	0.24	0.0	7.67	5.07	7.49
Gm14434	0.37	0.0	0.0	0.0	0.0	11.58	0.0	0.25	0.03	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	6.69	0.0	12.82	18.78	0.2	0.0	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	0.09	0.24	0.0	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.0	0.0	10.7	0.68	54.72	30.68	0.23	50.62	21.3	40.26	114.35	145.03	0.49	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	4.13	0.46	0.0	30.63	28.29	22.96
Gm4724	0.37	0.0	0.0	0.0	0.0	11.58	0.0	0.25	0.03	0.0	1.33	0.0	4.76	8.15	0.0	6.89	0.0	6.69	0.0	12.82	18.78	0.2	0.0	0.0	0.04	0.0	0.0	0.0	0.28	0.0	13.33	0.09	0.24	0.0	7.67	5.07	7.49
Gpr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.39	9.48	0.76	0.0	0.0	0.53	4.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.91	116.61	0.0	0.0	9.94	7.97	5.34
Gpsm1	133.24	0.0	0.0	0.0	0.0	4.43	0.0	0.0	0.0	0.0	0.0	0.19	21.45	0.15	10.2	2.42	0.0	6.51	72.82	3.93	3.84	0.0	1.91	0.0	0.0	0.0	0.0	197.79	0.0	0.0	0.0	85.68	0.26	0.0	33.44	38.42	34.28
Gsto1	298.52	0.0	0.0	0.0	0.0	198.03	0.0	0.0	0.0	0.0	130.98	0.0	0.3	43.8	0.0	0.0	188.45	92.8	0.0	77.83	3.45	72.51	69.89	0.0	0.0	0.65	0.0	0.0	0.0	0.0	89.6	159.18	0.0	0.0	47.37	46.66	43.27
Hdac2	43.72	0.0	0.0	0.6	0.0	270.97	0.0	0.0	0.0	0.0	1.3	0.3	0.0	0.24	0.0	0.0	61.61	38.94	6.12	0.0	0.28	18.26	0.17	0.34	0.32	1.47	0.39	0.0	0.0	0.0	9.0	209.06	1.04	0.0	97.43	91.4	94.39
Hdac9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	16.87	6.99	66.03	4.65	28.48	6.36	3.28	3.36	43.6	28.58	0.0	0.0	0.0	0.0	0.0	0.14	0.0	3.27	108.42	0.09	0.0	23.18	23.21	23.44
Ilf3	5.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.98	5.51	21.68	64.17	22.62	0.54	19.13	20.84	6.38	0.96	3.07	20.81	70.98	0.0	0.0	0.41	0.23	0.0	0.19	0.0	57.31	364.45	1.23	1057.21	57.76	61.49	57.27
Kcnab3	0.0	0.0	0.0	0.0	0.0	60.3	0.0	0.0	0.0	0.0	1.02	0.24	0.13	12.52	0.0	4.35	0.0	13.8	0.0	0.0	36.39	0.45	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	77.59	0.0	0.0	54.93	59.23	53.9
Lamtor2	190.22	0.0	0.0	0.0	0.0	487.49	233.86	0.0	478.25	1823.5	111.05	1.14	196.7	250.35	841.09	424.0	180.66	238.04	688.22	422.82	2.11	283.92	393.86	0.0	0.0	0.0	0.0	5.42	0.0	0.0	224.98	783.28	0.79	0.0	76.25	85.29	77.53
Mapt	2.16	0.0	0.0	0.0	0.0	318.24	0.0	0.0	0.0	0.0	178.97	3.52	123.82	36.67	48.1	47.06	31.28	27.65	29.07	35.23	32.6	13.46	18.4	0.26	0.24	7.22	0.59	0.0	0.37	0.0	169.9	228.11	1.03	0.0	238.54	239.35	249.5
Mast3	0.0	0.26	0.0	0.38	0.0	88.25	0.18	0.0	0.03	0.0	9.75	0.26	23.0	11.54	21.62	86.53	13.24	18.73	37.84	30.54	50.36	59.2	13.01	0.16	0.33	0.14	0.0	0.0	0.13	0.09	19.5	51.96	0.09	0.0	128.92	128.23	132.72
Mdp1	0.86	1.78	0.34	527.25	3.8	7.31	0.28	0.79	6.02	0.71	1.52	1.77	136.77	122.72	204.01	4.85	61.45	77.55	2.62	2.34	80.97	1.74	58.79	2.65	5.47	1276.15	3.84	0.0	19.69	15.63	246.57	586.77	5.12	5.37	42.39	43.08	42.79
Mfsd8	0.15	0.0	0.0	0.0	0.0	31.49	0.0	0.0	0.0	0.0	0.85	0.59	50.69	0.62	0.57	126.16	0.42	13.04	0.0	3.19	0.36	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.02	0.27	0.68	17.79	15.7	18.27
Mir690	24444.4	18673.1	26828.41	15929.17	16968.11	25738.25	11390.32	18365.55	19376.41	22720.97	30464.78	19318.5	30528.33	39867.27	42000.18	28765.87	28695.45	11744.41	37370.15	37614.4	24336.09	23271.48	32522.04	17241.06	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	48007.3	11555.04	26597.61	26521.64	1.35	1.29	0.95
Mlh3	0.0	0.0	0.22	0.17	0.1	1.13	0.45	0.13	0.0	0.14	17.68	0.0	0.87	0.09	47.77	0.07	0.08	8.08	3.84	0.13	11.14	0.1	0.03	0.12	309.99	0.14	1.55	0.0	0.0	0.0	0.0	130.98	0.63	0.0	13.38	12.61	13.96
Mphosph8	37.12	1.76	0.0	0.0	0.0	87.13	0.0	0.0	145.85	0.0	26.09	249.02	55.57	107.73	50.47	0.0	48.76	33.87	0.0	46.89	52.66	1.83	77.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.24	256.38	0.14	219.77	41.58	33.95	37.11
Mtch2	200.82	0.0	0.0	65.85	0.0	318.66	72.66	0.0	0.0	0.0	2.68	0.99	190.67	96.52	98.4	258.57	222.96	141.08	113.25	55.43	27.15	121.28	39.82	643.59	0.27	979.53	0.64	521.03	0.27	0.25	34.6	638.89	0.52	0.0	70.01	71.45	69.28
Ncan	95.05	0.46	0.96	0.48	0.69	114.86	0.41	0.71	0.19	464.13	65.17	80.35	94.97	134.08	127.12	12.79	74.64	63.35	54.34	81.04	15.58	37.83	29.28	0.64	1.06	1033.25	265.83	330.84	0.42	1.07	124.02	250.62	190.33	32.21	87.88	87.21	94.46
Olfr464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.47	12.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.61	0.0	0.0	2.32	0.88	1.82
Pcdha12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.83	0.0	0.0	0.0	0.0	0.0	0.0	29.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.97	0.0	0.0	10.93	11.99	10.53
Pcsk2	0.09	0.0	0.0	0.0	0.0	155.34	0.0	0.0	0.02	0.0	132.5	1.25	65.78	48.41	95.25	95.04	168.55	81.78	120.04	65.38	137.4	66.98	126.99	0.0	0.07	16.79	0.0	0.0	0.13	0.0	143.26	266.28	0.7	0.0	244.72	241.91	241.58
Pdhx	0.18	0.0	0.0	0.0	0.0	17.73	0.0	0.0	61.29	0.0	1.03	0.47	65.13	86.66	136.76	151.22	113.17	57.34	141.63	204.85	0.88	191.18	108.1	0.0	0.51	0.58	0.61	0.0	0.26	0.0	182.32	351.87	0.17	59.68	46.46	46.93	42.83
Pfkm	334.1	0.0	0.0	0.0	0.0	132.18	0.0	0.0	0.0	1.31	41.38	375.48	326.7	286.2	131.7	101.94	174.98	48.66	7.2	81.79	22.66	37.86	33.74	0.0	0.0	0.0	0.0	0.0	1.14	0.0	186.03	1124.69	286.71	0.0	354.81	365.93	345.89
Pgbd5	0.16	0.0	0.0	0.0	0.0	171.21	0.0	0.0	0.0	0.0	108.52	1.48	81.61	57.26	167.55	6.0	180.14	135.06	34.15	118.11	293.96	83.53	55.21	0.24	0.11	1.03	0.82	0.0	0.0	0.0	99.52	312.35	0.44	0.0	134.18	138.74	137.8
Plekha7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	9.64	60.33	0.0	0.24	14.03	14.56	13.04
Pnrc2	0.0	0.0	0.0	0.0	0.28	155.42	0.75	1301.94	0.0	89.51	1.37	561.85	49.48	42.58	171.71	0.0	80.12	61.39	82.84	32.82	0.29	32.73	0.0	0.0	0.0	135.71	0.41	0.0	0.34	0.0	0.0	141.89	0.22	0.0	45.86	44.9	44.07
Prkaa2	119.94	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.16	0.14	8.53	3.68	6.46	1.7	17.3	12.48	3.51	1.93	35.32	1.23	0.81	0.0	0.0	0.0	0.09	0.0	0.0	0.0	3.62	80.3	0.05	0.0	20.98	17.76	18.1
Prkar1b	6.45	0.0	0.0	0.0	0.0	480.26	0.0	0.0	0.0	0.0	453.39	1.59	312.67	248.93	631.93	288.23	105.18	179.62	48.46	120.29	427.96	120.64	129.05	0.26	0.37	1.11	0.29	0.0	0.49	0.23	346.06	955.71	1.26	0.0	722.24	760.92	736.25
Psd	0.0	0.0	0.0	0.0	0.0	9.62	0.0	0.0	0.0	20.37	0.33	0.76	22.08	42.8	70.69	47.34	35.49	41.25	64.27	34.8	21.79	36.87	19.4	0.0	0.08	0.0	0.0	0.0	0.0	0.0	45.36	43.37	0.0	0.0	244.15	283.01	270.01
Pygb	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	1.53	101.9	0.0	1.34	0.0	0.0	0.43	0.0	0.09	24.5	0.08	328.64	0.0	0.0	0.0	0.0	1.63	14.01	0.0	0.0	122.1	133.81	129.61
Rab5c	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.39	0.0	0.91	3.58	0.0	0.0	1.17	3.15	18.0	3.94	0.0	1.53	0.0	0.0	0.0	2.49	0.0	12.95	0.0	33.55	42.44	0.0	0.0	172.31	181.94	176.72
Rab6b	2.56	0.0	0.0	0.0	0.0	428.55	0.0	0.0	0.0	0.0	125.15	0.75	148.03	124.59	71.58	54.47	73.8	70.56	128.23	36.48	531.76	45.66	14.61	0.57	0.0	0.76	0.16	0.0	0.0	0.13	34.61	180.36	0.61	0.0	557.19	534.18	552.91
Rnf150	0.0	0.0	0.04	0.0	0.0	7.53	0.0	0.0	0.38	0.08	0.0	0.11	9.97	8.47	2.78	1.69	0.14	2.26	0.09	9.39	0.15	0.1	0.21	0.0	0.19	0.15	0.74	0.0	0.52	0.25	0.03	36.34	0.28	0.0	27.74	26.88	27.89
Rnf39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.52	0.0	0.0	10.29	10.12	8.63
Rrm1	233.42	0.0	0.0	0.0	0.0	16.73	0.0	0.0	498.53	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	7.59	0.2	0.0	0.0	17.91	1.85	0.0	0.0	0.0	0.0	567.67	0.0	0.0	0.0	129.9	0.21	0.0	11.04	12.04	11.29
Rtkn	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.55	2.01	0.22	0.0	15.5	2.13	23.36	41.22	1.24	78.6	3.64	0.15	0.0	0.15	0.0	0.0	865.43	0.0	0.0	137.74	460.65	0.0	0.0	50.12	53.99	53.19
Scaf8	0.0	0.0	0.0	0.0	0.0	97.03	0.0	0.0	0.0	0.0	0.0	7.86	0.96	1.44	0.0	0.0	0.0	5.37	5.77	46.9	1.47	10.38	2.27	25.31	0.0	0.15	0.0	73.52	0.0	0.0	0.24	108.74	0.0	0.0	35.04	33.15	35.57
Serpina3a	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.19	1.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.9	0.0	0.0	0.55	0.24	0.78
Snord116	0.0	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	35.0	0.0	5.77	12.39	3.1	0.0	19.25	9.2	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	5.05	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	35.0	0.0	5.77	12.39	3.1	0.0	19.25	9.2	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	5.05	0.0	0.0	1.22	1.15	1.9
Snord116l2	0.0	0.0	0.0	0.0	0.0	8.03	0.0	0.0	0.0	0.0	35.0	0.0	5.77	12.39	3.1	0.0	19.25	9.2	21.53	0.0	4.89	5.01	8.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.44	5.05	0.0	0.0	1.22	1.15	1.9
Snrnp70	12.97	0.0	0.0	0.0	37.34	22.6	12.82	0.0	38.59	33.82	35.28	8.14	37.37	38.73	35.19	38.83	36.19	29.0	27.6	54.76	70.22	31.25	14.4	89.14	0.8	0.9	13.04	186.96	0.13	0.0	19.6	129.8	107.05	9.05	247.69	260.7	259.94
St8sia3	0.14	0.09	0.0	0.0	0.0	102.65	0.0	0.0	0.0	0.17	68.49	0.31	81.5	46.85	90.21	62.76	54.16	61.26	54.68	55.92	74.38	41.31	78.74	0.11	0.36	0.46	0.0	0.0	0.23	0.07	66.65	222.12	0.14	0.67	74.77	66.81	71.04
Stam	2.25	1.09	0.0	0.02	1.25	35.2	3.61	0.37	0.0	0.16	4.2	4.2	47.81	40.32	80.39	54.0	62.09	43.35	71.2	44.92	34.93	133.43	94.1	0.84	0.38	0.66	2.16	0.63	0.88	0.5	1.39	349.63	32.63	665.99	50.75	48.3	46.74
Stard3	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	42.98	0.17	0.0	2.86	15.89	0.39	0.0	0.0	0.82	0.0	0.33	0.0	1.76	0.75	0.0	0.31	0.0	3.29	210.51	0.0	0.0	35.97	33.64	35.4
Synb	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.14	0.09	0.0	0.0	0.05	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.2	0.0	0.0	0.26	0.32	0.27
