	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_41	Gad2_tdTpositive_cell_78	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_45	Ntsr1_tdTnegative_cell_57	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Gdi2	320.13	107.68	182.19	0.0	385.07	185.88	0.0	131.34	0.39	0.0	0.0	0.24	0.0	0.0	0.0	366.57	340.13	284.09	342.07	420.73	316.5	260.16	302.31	416.86	235.93	403.61	310.21	465.66	382.3	307.46	501.45	195.27	431.66	247.39	142.13	440.98	411.77	400.27	702.77	417.6	307.0	0.0	0.51	79.28	338.56	243.62	356.39	420.72	666.57	272.03	124.9
Gng10	230.6	79.84	100.43	0.0	128.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.95	85.74	83.19	54.53	100.81	85.19	51.34	87.66	89.6	37.87	30.22	84.57	11.11	118.0	126.29	50.68	9.52	0.0	95.6	0.0	35.94	0.0	30.16	0.0	40.27	36.17	0.56	0.0	553.99	110.11	49.61	228.18	11.2	172.03	0.0	94.04
Gng3	1363.15	993.66	1128.12	0.25	628.78	402.02	0.58	712.87	0.0	293.41	0.0	0.0	0.0	0.0	0.0	923.08	1157.98	742.43	805.37	1073.29	795.65	636.79	700.08	974.46	1037.73	1224.55	800.82	1072.07	557.38	1000.4	703.8	843.43	871.02	853.22	577.24	932.3	1094.24	665.64	1170.57	956.63	808.36	0.0	0.81	0.36	1552.03	1132.5	1091.39	1058.27	1082.28	1068.09	823.91
Ipw	251.9	100.88	314.76	0.0	0.28	18.13	0.0	268.23	0.0	12.85	0.0	0.0	0.0	0.0	0.0	73.6	371.7	773.0	53.74	529.02	470.99	160.77	180.7	725.45	175.05	633.37	141.22	23.68	300.74	829.93	374.89	14.97	79.95	81.69	83.43	282.62	25.37	217.45	136.59	132.64	88.29	0.0	0.0	0.0	340.61	499.95	14.42	403.66	1063.97	200.67	181.26
Kctd4	41.11	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.3	4.03	11.02	0.0	41.88	0.04	20.67	20.35	0.54	3.85	4.42	24.97	46.42	5.96	7.25	49.46	0.0	26.44	0.28	22.51	8.08	0.0	50.89	0.0	67.77	22.38	0.0	0.0	0.0	0.47	44.93	1.6	18.88	116.72	81.08	7.62
Med27	53.89	0.0	54.29	0.0	90.23	0.0	0.0	0.0	0.0	0.0	0.0	779.96	14.01	0.0	0.0	107.94	155.35	4.87	66.38	0.22	14.52	44.63	107.2	57.87	0.0	0.0	96.38	141.27	3.99	1.45	71.69	0.0	54.81	85.46	0.0	0.17	53.74	130.81	0.0	57.66	0.0	0.0	0.0	0.0	119.91	0.0	56.69	46.8	134.51	0.0	0.08
Mrpl35	34.45	71.04	58.71	4.0	58.7	5.8	11.48	9.96	5.92	9.34	2.22	9.21	1.15	0.0	1.32	44.63	26.33	15.59	62.09	48.0	25.43	42.45	62.42	60.4	2.03	30.82	75.68	64.61	59.83	86.16	70.7	24.72	89.28	37.18	45.1	45.33	23.64	34.31	31.99	50.25	76.07	4.8	6.78	13.94	48.37	29.57	9.29	92.78	193.12	23.71	2.66
Mtap1b	622.93	640.71	705.39	0.03	343.99	256.01	0.16	68.27	0.17	362.17	0.0	22.33	108.85	76.72	0.04	642.04	515.84	338.1	581.32	317.03	532.07	853.28	789.82	918.41	856.16	1015.81	620.09	622.21	828.88	497.91	565.21	422.07	627.12	653.61	281.51	775.94	714.96	511.06	620.64	649.18	530.59	0.15	0.56	0.1	714.61	683.52	873.28	599.0	522.12	668.23	530.24
Ncs1	65.87	120.81	453.24	0.0	193.34	61.63	0.0	88.63	0.0	176.36	0.0	0.0	0.0	0.0	0.0	248.89	209.27	39.11	71.86	166.48	114.1	172.76	149.31	168.82	278.2	301.23	343.88	126.86	340.44	93.77	93.12	31.76	291.68	77.16	87.79	178.43	152.81	190.35	246.34	227.12	103.9	0.15	0.0	0.0	275.68	132.22	169.47	264.3	340.8	148.91	60.86
Necap1	425.62	547.36	740.19	0.0	401.56	287.4	0.0	348.67	0.0	0.0	0.0	0.0	0.0	0.0	0.2	565.18	504.31	303.08	355.33	513.05	413.68	493.77	519.43	419.21	601.82	370.75	418.31	304.42	546.57	359.88	619.42	227.52	551.38	385.83	254.35	467.83	691.12	562.92	653.94	623.3	588.37	0.25	0.57	0.0	322.94	245.34	465.25	322.8	904.96	423.51	562.51
Npy	138375.8	173305.25	115124.65	0.0	108594.8	96206.73	0.0	82245.2	0.0	14635.6	0.0	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	126989.03	166048.87	115420.41	191162.16	154857.31	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	32250.58	137580.94	120620.2
Polr1d	50.97	172.84	367.74	0.0	134.17	89.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.47	181.39	284.04	317.18	107.84	159.34	0.37	98.0	110.14	236.36	78.2	82.88	230.25	145.81	222.45	117.57	101.03	170.04	185.15	285.12	44.9	25.34	47.05	47.38	165.63	0.0	0.0	0.0	0.0	45.26	176.42	100.07	237.16	383.15	305.71	200.08
Prmt2	570.83	324.88	656.17	0.0	304.68	49.87	0.48	42.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	915.57	944.46	553.68	752.77	1209.32	232.34	913.76	576.41	455.31	831.52	541.49	759.45	742.35	1036.22	370.17	451.37	399.6	601.2	655.35	382.44	1011.07	883.41	923.54	479.39	1039.56	878.14	0.0	0.0	0.0	438.75	644.07	997.7	782.56	470.97	1030.07	506.08
Ptbp2	108.05	60.19	52.59	2.32	24.86	14.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.4	114.75	90.24	131.36	133.01	121.98	16.42	14.32	57.51	24.23	92.69	86.99	103.07	69.8	82.78	23.3	75.94	9.94	72.93	172.32	42.62	136.25	110.94	104.18	106.42	68.23	0.0	0.0	0.0	24.85	74.45	83.93	86.19	156.04	52.34	84.62
Rab3b	897.04	1000.9	992.27	0.0	297.41	466.71	0.0	323.78	0.0	368.58	0.0	0.0	0.0	0.0	0.0	1198.43	934.59	1037.56	1206.28	1465.33	1246.9	1722.37	707.98	1423.77	929.45	1203.48	1202.87	649.01	793.16	964.61	677.65	1075.94	1196.76	751.22	824.17	832.67	952.42	620.57	1481.64	837.21	1027.99	0.0	0.0	0.0	1480.86	1039.21	898.01	1576.88	1324.47	1235.12	1197.92
Snx17	0.0	87.5	251.85	0.21	80.53	102.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	157.5	290.31	204.15	133.04	114.51	134.91	207.44	123.4	178.31	186.28	114.72	117.18	189.48	97.55	123.66	95.77	4.53	122.17	132.83	17.85	59.3	347.39	108.14	0.0	97.89	157.65	0.0	0.0	0.0	114.37	88.84	105.35	169.46	533.27	46.42	298.66
Spryd3	123.8	102.78	39.58	0.0	78.0	10.63	0.0	2.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.44	43.87	0.05	129.48	39.26	49.54	68.85	90.22	66.32	38.78	12.37	82.06	76.27	85.19	70.77	169.28	0.13	191.51	11.15	9.1	42.13	46.99	163.62	51.11	44.56	62.44	0.0	0.0	0.0	70.72	69.45	134.23	52.38	311.07	1.25	50.9
Stard3nl	194.1	31.12	162.47	2.63	78.99	5.03	0.0	0.0	0.0	33.85	0.0	0.0	835.64	0.0	0.0	47.84	58.32	145.96	2.92	94.38	84.74	58.14	107.84	36.95	183.15	73.69	63.38	62.57	29.88	29.08	120.49	66.23	102.47	61.32	183.49	129.63	54.13	117.86	70.97	50.44	48.08	2.43	0.0	20.53	117.08	226.75	39.55	19.23	234.29	26.2	88.73
Taf12	59.11	39.02	0.0	0.0	0.0	50.89	0.0	22.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.65	149.04	53.8	0.0	72.97	15.7	62.97	0.94	39.2	0.29	71.72	33.35	119.69	35.09	130.81	0.0	32.01	88.44	62.23	0.0	37.57	0.21	0.0	66.88	104.59	0.0	0.0	0.0	0.0	13.23	24.77	0.0	43.33	189.16	65.55	5.93
Tdrkh	0.0	0.0	7.83	0.0	0.07	4.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.61	14.9	111.11	0.0	0.0	36.47	20.58	66.6	43.89	0.0	0.0	9.69	0.0	65.97	0.0	49.02	17.55	47.18	44.82	0.0	18.27	34.42	0.0	55.48	25.35	30.38	0.0	0.0	0.0	23.37	54.52	20.5	0.0	108.03	17.78	77.67
Tmed9	94.89	71.13	282.55	0.0	0.13	173.06	0.0	2.01	13.9	0.0	0.0	0.0	0.0	0.0	0.0	97.65	81.78	100.85	194.76	117.86	46.92	144.18	92.89	108.01	188.54	172.4	114.94	161.57	84.22	128.75	46.24	117.48	61.52	88.22	57.52	70.05	165.56	80.27	155.3	231.71	68.85	0.0	0.0	0.0	105.49	70.98	174.73	112.9	282.19	60.63	210.15
Tmem130	323.74	309.18	794.17	0.0	312.79	292.57	0.0	112.7	0.0	608.6	0.0	0.0	0.0	0.0	0.0	938.96	709.37	553.83	632.71	552.18	720.98	475.03	912.21	965.84	857.63	940.47	1047.55	1019.52	658.59	933.67	655.5	546.77	1679.24	932.12	300.62	1058.53	771.81	1127.08	1074.2	1031.61	763.83	0.0	0.0	0.0	788.22	837.3	555.92	665.87	434.07	660.17	792.51
Tmem29	29.33	28.15	88.1	0.0	0.0	97.22	3.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.98	0.19	252.48	95.0	139.8	0.0	203.37	174.08	151.17	41.61	50.63	103.2	111.54	228.55	0.0	191.85	190.1	356.43	112.34	169.75	76.03	60.2	15.53	69.63	48.04	157.02	0.0	0.0	0.0	209.02	70.62	175.51	5.15	461.86	54.67	83.78
Tom1l2	0.98	0.96	24.14	0.0	0.19	20.22	0.0	82.96	0.0	9.4	0.0	0.07	0.15	0.0	0.0	13.66	3.65	0.02	0.25	18.48	11.33	31.28	17.03	32.45	47.21	31.02	51.74	48.71	46.65	31.71	0.29	57.87	19.61	15.87	1.13	3.51	12.76	2.23	47.13	30.1	0.05	0.0	0.0	0.0	33.54	8.41	10.42	26.86	152.5	56.1	2.97
Ube2h	131.76	151.29	188.5	0.0	83.49	32.4	0.0	100.96	0.25	0.47	0.0	0.08	0.09	0.0	0.0	125.55	137.64	156.86	47.01	124.36	91.37	87.93	245.86	64.45	124.74	146.49	124.4	199.12	206.19	108.14	89.4	58.19	164.06	63.93	8.97	171.18	83.05	105.61	68.51	90.53	184.29	0.15	0.0	59.19	119.97	199.59	51.19	174.79	169.38	127.56	1.52
Wdr1	184.66	45.89	107.01	0.14	32.0	70.82	693.73	88.45	0.0	30.79	0.0	50.8	123.83	151.09	0.0	364.31	113.36	135.7	129.85	163.06	209.66	398.47	166.22	191.02	236.41	277.78	354.59	117.17	113.0	83.59	165.82	190.6	126.02	235.29	202.6	102.09	122.89	201.01	18.05	211.0	370.37	4.43	0.0	0.0	66.25	300.35	349.14	151.3	447.84	158.14	107.55
Zcchc12	1646.48	2102.73	2477.7	0.0	408.28	279.42	0.0	373.96	0.0	1692.31	0.0	0.0	0.0	0.0	0.0	2916.48	2311.07	2066.1	4396.19	3900.77	2222.32	2355.68	3454.91	2669.74	1972.86	2515.67	1781.48	2080.17	2451.84	2256.89	2061.17	2338.22	2640.94	2611.39	1314.22	1903.86	2478.34	1983.81	2357.23	2414.78	2768.98	0.0	0.0	0.55	1867.04	1748.1	2840.11	2061.79	2534.93	2861.02	1563.93
Znhit1	37.86	74.6	178.06	0.0	45.39	47.58	0.0	58.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.76	98.5	63.81	55.47	85.01	46.63	56.94	64.98	58.95	111.96	95.24	66.13	214.35	50.05	129.95	113.16	66.84	48.71	82.66	51.76	131.26	57.51	79.1	192.39	83.87	61.56	0.0	0.0	0.0	83.0	76.79	142.14	69.58	121.78	108.9	99.09
Zwint	1166.01	1576.31	1573.22	0.0	1610.27	976.39	1.09	820.3	216.84	629.25	0.0	4.92	0.0	2.81	188.01	1702.15	1997.78	1359.21	1473.22	1714.0	1311.56	1586.44	1490.88	1728.81	1458.66	1490.95	1597.26	1469.66	1429.37	1114.09	1492.59	1270.0	1669.44	1374.41	803.89	1439.62	1384.66	1292.34	1597.65	1454.38	1548.3	0.0	0.51	0.0	1518.07	1618.0	1853.1	1669.2	1815.28	1757.28	1541.1
