	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_64	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_41	Scnn1a.Tg3_tdTnegative_cell_16
Gmpr2	0.0	0.0	263.74	203.13	0.0	59.21	0.0	0.0	0.0	8.78	153.17	0.0	0.0	0.0	908.8	0.0	0.0	0.0	0.0	41.33	48.78	0.0
Gnb5	0.0	0.0	604.16	0.37	479.21	269.87	435.11	322.11	214.22	101.16	143.86	33.47	0.0	0.0	0.82	0.0	0.0	0.0	0.0	222.4	131.89	0.0
Gstt1	0.0	0.0	463.84	51.04	62.99	0.0	0.0	0.0	39.65	46.62	0.0	13.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.65	0.0
Gtf3c1	0.0	0.0	53.74	0.0	22.49	0.0	0.32	0.0	2.1	5.11	7.94	0.29	0.0	38.49	0.0	0.11	0.0	0.0	0.0	8.98	21.82	0.0
Hmgn2	0.0	0.43	752.74	475.97	101.02	44.63	242.21	75.01	39.58	13.1	130.76	96.0	0.79	0.0	1.79	0.0	1.58	0.49	0.0	266.78	261.28	0.0
Hrsp12	0.0	0.55	249.63	89.3	153.24	99.75	233.66	37.42	310.03	0.0	38.85	120.85	0.34	0.0	0.0	0.0	0.0	0.0	0.0	124.92	4.63	0.0
Iars	0.0	0.0	219.24	2.44	0.23	26.92	0.28	1.78	56.59	0.0	22.33	33.55	124.41	0.0	0.0	3.51	0.0	0.0	0.3	1.44	19.81	0.0
Idh3a	0.0	0.0	1047.79	874.29	751.92	787.05	735.87	747.52	8.8	400.56	272.36	349.61	0.81	673.62	1120.3	0.97	0.81	0.0	0.19	398.65	692.24	400.93
Irgq	0.0	0.0	88.31	8.63	9.15	8.45	2.56	2.23	0.55	0.61	7.01	0.0	0.0	0.14	0.0	0.0	1.4	0.0	1.5	1.68	0.16	0.0
Kbtbd4	0.0	0.22	288.84	0.83	59.44	83.43	58.7	1.48	2.72	0.29	27.0	179.36	0.0	0.0	0.0	0.0	0.27	0.0	0.39	0.0	179.68	0.25
Klf10	0.0	0.0	227.45	18.1	56.44	166.87	114.06	160.44	35.88	65.99	0.74	92.48	0.21	7.72	0.72	0.0	0.0	0.0	0.0	188.69	224.87	0.0
Kpna1	19.12	0.0	380.36	50.11	46.29	48.76	41.43	87.98	2.8	18.59	0.27	18.55	80.23	0.0	14.07	0.19	0.0	63.37	0.23	141.79	73.57	14.95
Lsm12	0.0	0.0	64.77	0.42	39.9	0.79	1.16	0.0	13.6	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.82	14.41	0.0
Mapk10	0.0	0.0	386.61	152.05	119.61	124.01	110.51	83.58	62.02	83.82	82.92	35.75	0.12	0.0	0.96	15.62	0.37	0.08	0.0	149.15	243.75	0.0
Meaf6	0.0	0.0	283.9	20.16	86.55	102.86	74.19	0.0	91.09	118.2	173.8	7.24	0.0	0.0	130.7	0.0	0.0	0.0	0.0	75.69	155.7	0.0
Mir690	26828.41	16968.11	17639.29	14235.98	30528.33	39867.27	42000.18	28765.87	37370.15	37614.4	24336.09	32522.04	27509.93	14320.25	44948.68	42282.55	24726.6	35532.88	23237.11	48007.3	11897.22	14247.57
Mrpl13	0.0	0.0	350.11	252.64	166.03	143.95	83.1	642.5	101.72	427.31	1.49	239.73	199.57	0.0	0.0	0.0	0.0	0.0	0.0	7.12	56.13	0.0
Mrpl41	0.0	0.0	293.66	63.95	99.04	128.55	40.6	15.48	157.04	192.06	34.93	47.19	0.0	0.0	0.0	0.0	0.27	0.0	0.0	147.17	63.96	0.0
Msi2	0.0	0.0	54.05	1.61	14.65	9.89	0.0	8.62	3.7	2.07	0.17	0.67	0.05	0.0	0.11	0.0	0.0	14.91	0.0	9.2	6.37	0.0
Neurod6	0.0	0.0	1133.78	461.18	0.17	0.0	0.0	358.06	515.98	51.13	701.92	517.38	0.3	0.0	0.68	0.0	1.25	0.0	0.22	39.97	310.41	0.0
Nicn1	0.0	0.0	541.01	115.27	282.61	217.27	257.31	150.7	149.51	1.01	27.39	72.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.62	443.82	0.0
Nln	0.0	0.0	77.91	0.39	1.42	0.0	0.0	34.58	1.07	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.46	19.13	0.0
Npas2	35.61	0.0	138.55	39.38	2.65	14.19	11.44	19.54	11.95	22.84	10.29	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.01	10.45	0.0
Npcd	0.0	0.0	195.19	61.43	1.3	17.82	2.85	2.6	13.67	13.03	70.97	27.85	0.0	0.0	0.42	0.0	0.28	0.0	0.0	71.25	77.45	0.0
Obfc2b	0.0	0.0	289.91	65.72	99.2	57.38	91.77	18.97	153.96	73.41	48.61	40.93	0.32	0.0	0.0	0.76	0.0	0.0	0.0	51.89	184.37	0.0
Opcml	0.0	0.0	225.32	141.79	181.77	186.81	78.66	21.17	84.53	62.64	64.0	11.01	0.13	0.0	5.06	22.58	0.0	0.3	0.15	49.42	52.78	0.0
Oprl1	0.0	0.0	239.33	0.17	0.0	0.16	94.03	0.79	0.0	0.0	5.3	76.54	0.0	0.0	0.0	10.37	0.0	0.0	0.0	0.0	12.45	0.0
Papd7	0.0	0.0	103.09	33.76	21.67	8.66	6.12	4.6	12.91	52.3	0.14	19.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	2.16	0.0
Pcnx	0.0	0.0	27.72	2.83	1.64	11.71	12.61	0.13	1.31	0.73	4.55	3.86	0.44	0.0	22.27	0.0	0.05	0.0	0.0	1.8	8.22	0.0
Pcsk2	0.0	0.0	260.61	196.3	65.78	48.41	95.25	95.04	120.04	65.38	137.4	126.99	0.07	0.0	16.79	0.0	0.13	0.0	0.0	143.26	151.56	0.0
Pias4	0.0	0.0	47.5	0.0	0.0	0.0	9.48	0.0	21.69	27.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37
Pkia	0.0	0.0	284.2	194.14	81.2	0.13	7.4	32.22	7.45	37.08	219.46	73.72	0.0	0.0	0.59	0.0	0.0	0.0	0.13	41.13	140.51	0.0
Ppih	0.96	0.44	174.35	72.79	0.22	59.13	1.19	235.16	1.42	2.63	95.83	61.7	2.35	4.13	2.85	1.14	1.03	2.31	3.76	0.24	43.09	0.0
Ppp2r2b	0.0	0.0	616.44	177.69	62.52	209.0	301.59	32.48	23.71	55.0	163.69	94.22	0.17	0.0	1153.9	0.0	0.33	0.0	0.0	387.87	149.13	0.0
Prpf18	7.54	1.66	234.93	58.4	155.31	80.11	4.18	26.53	131.91	26.87	53.96	78.34	9.18	5.25	15.44	6.98	3.42	9.68	3.99	57.26	11.34	0.33
Prrc2b	0.0	0.06	79.62	6.58	56.59	5.43	52.31	3.86	4.71	18.57	38.26	0.39	0.04	0.0	0.07	0.0	0.0	0.0	0.0	14.13	8.49	0.0
Psmd1	0.0	0.0	664.67	122.01	86.35	129.94	97.62	13.86	94.34	72.94	7.65	22.47	0.2	0.0	2005.68	0.0	0.2	0.0	0.0	88.95	180.69	0.0
Psmg2	0.0	0.0	230.59	17.45	96.86	62.96	252.37	107.28	0.0	102.76	104.68	82.61	217.08	0.0	0.0	0.75	353.47	0.0	0.0	46.51	96.2	23.04
Rabif	0.0	0.0	317.44	205.01	110.69	71.14	0.0	0.0	20.05	33.0	2.86	17.42	0.5	1.09	0.38	1.36	0.34	0.92	0.0	51.53	17.88	0.0
Rasal2	0.0	0.0	88.24	3.14	16.49	12.55	18.3	27.42	12.24	24.42	70.12	12.63	0.11	0.0	0.3	0.34	0.24	0.28	0.19	26.6	1.73	0.06
Rbfa	0.0	0.0	103.09	0.0	0.0	1.44	23.83	0.0	0.0	0.0	13.99	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	1.02	2.36	0.0
Rnf220	0.0	0.0	147.97	53.92	1.4	0.0	0.0	47.87	1.39	0.19	18.8	17.07	0.0	0.0	0.0	0.53	0.0	0.0	0.0	3.04	17.27	0.0
Rpp14	0.0	0.0	228.97	41.44	90.47	53.15	56.34	75.65	132.79	50.81	23.93	44.38	0.13	0.0	0.0	0.0	0.27	0.0	0.38	3.31	0.24	0.0
Satb1	0.0	0.0	68.96	52.96	0.05	16.69	0.97	35.11	3.38	13.42	94.33	8.94	0.0	0.0	0.0	12.76	0.21	0.0	6.32	22.51	25.89	0.0
Sez6l2	0.0	0.0	262.36	74.77	32.49	16.43	68.7	1.84	91.97	48.5	75.26	132.68	0.09	0.1	0.4	0.43	0.18	0.0	0.0	10.73	131.77	0.0
Sidt1	0.0	0.0	131.47	2.47	0.24	0.0	0.08	70.42	1.89	4.75	0.13	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.23	0.0
Sirt3	0.0	0.0	637.38	85.79	239.54	136.72	48.19	0.28	0.0	0.5	71.65	0.24	0.23	0.0	0.0	0.0	0.46	0.0	0.0	0.0	145.86	0.0
Sirt7	0.0	0.0	221.35	0.0	0.0	0.0	3.07	53.23	43.58	6.99	7.86	122.15	0.0	0.0	1.29	0.0	169.4	0.0	418.44	0.98	2.96	0.0
Slc36a4	0.0	0.0	194.82	13.35	0.0	0.0	52.54	0.0	0.0	0.0	83.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6	6.23	0.0
Smad2	0.0	0.0	68.11	30.39	42.54	1.01	5.45	1.35	0.75	1.07	15.3	18.89	0.69	0.82	3.85	3.07	1.79	0.84	2.14	26.22	26.77	0.67
Sumo3	0.0	0.21	497.91	17.41	307.98	127.68	206.08	0.16	85.41	65.82	32.14	43.66	0.78	0.0	0.59	0.0	0.26	0.0	0.19	89.62	151.28	0.0
Sv2b	0.0	0.0	301.25	307.59	186.25	125.65	183.33	42.47	136.84	13.88	158.8	96.13	0.18	0.0	0.67	0.0	0.48	0.0	0.0	167.42	181.46	0.0
Taf7	0.12	0.0	0.0	0.0	42.19	4.62	0.0	9.02	16.89	0.0	42.23	31.65	0.19	0.0	0.22	0.0	56.41	0.36	0.0	0.0	16.71	0.0
Trim32	0.0	0.0	384.85	296.44	121.84	112.16	155.82	134.71	90.04	6.45	382.07	61.07	0.0	0.0	0.23	0.0	0.0	0.0	0.0	146.83	300.01	0.0
Trip12	3.16	0.0	65.04	20.11	40.81	5.51	20.95	11.09	8.96	20.17	61.39	49.5	1.17	0.0	242.73	0.24	0.0	28.35	0.0	0.0	19.59	0.0
Uba2	0.16	0.0	247.51	0.0	29.48	76.76	60.54	23.28	43.93	22.4	0.44	62.85	0.13	0.0	0.0	0.31	0.51	0.0	0.0	0.0	36.77	0.0
Usp33	0.0	0.13	309.85	77.41	55.77	29.42	18.66	2.9	170.82	49.45	153.22	17.23	0.0	0.0	0.52	46.24	0.15	0.0	0.0	47.57	64.43	0.14
Wdr55	0.0	0.0	242.17	0.0	0.0	50.83	0.0	214.47	0.0	0.0	0.0	76.08	0.22	0.0	0.5	0.52	0.88	0.0	0.0	0.0	5.9	0.0
Wsb2	0.0	93.78	230.36	76.07	5.62	77.02	42.01	6.07	89.17	64.21	283.89	44.95	0.0	0.0	0.3	0.0	0.0	0.0	0.19	4.22	34.89	0.0
Zdhhc13	0.0	0.0	233.77	54.0	0.14	15.29	2.46	106.11	1.35	0.0	0.46	81.62	0.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0
Zfp704	0.55	0.08	32.53	1.07	12.91	0.73	12.56	0.47	0.84	0.82	0.56	5.92	2.25	1.81	2.3	2.81	1.85	2.05	2.09	2.66	0.38	0.83
Zmat3	3.63	1.07	101.05	42.32	14.24	14.52	18.98	2.11	5.36	4.02	43.78	0.9	1.97	0.4	54.6	4.22	2.37	2.3	1.33	0.9	18.38	0.54
