	Chrna2_tdTpositive_cell_43	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_14	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_6	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_76	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_89	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_5	Scnn1a.Tg3_tdTnegative_cell_13	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
Gm4724	1.3	7.02	2.47	14.66	4.65	3.86	3.32	0.0	12.83	11.03	23.36	0.01	18.47	0.32	9.58	28.79	26.82	17.65	13.81	20.14	40.89	14.03	23.53	13.13	30.75	25.3	15.88	1.15	2.38	0.0	0.0	0.0	17.63	33.17	0.0
Gm8898	0.0	19.34	0.24	0.25	1.09	1.32	0.76	0.0	0.76	1.31	1.91	2.59	0.55	1.51	1.4	24.4	2.08	9.71	1.93	2.1	0.47	0.72	3.74	0.2	4.83	0.28	0.24	0.16	1.92	0.0	0.0	0.0	8.77	0.0	0.0
Ifngr2	18.94	5.26	34.82	16.42	24.06	8.82	5.0	10.92	31.66	16.77	38.74	0.66	34.58	21.42	7.78	81.94	77.48	36.74	28.12	72.48	1.78	2.13	15.81	0.22	16.6	36.16	39.33	2.33	41.41	8.55	1.43	0.34	25.17	2.16	0.72
Luzp1	12.07	10.01	1.93	24.75	3.48	38.4	5.6	0.0	0.06	5.27	64.49	0.3	37.29	4.66	27.62	43.19	24.29	41.95	18.38	50.08	44.66	9.06	16.44	22.21	48.31	34.91	43.9	0.07	13.01	0.0	0.0	0.0	17.78	17.25	12.62
Mtap1a	1.07	15.85	70.18	23.88	12.77	22.75	18.47	0.0	25.02	62.03	49.82	25.81	65.89	41.34	40.85	58.18	27.07	78.79	34.51	27.88	51.41	35.14	54.38	21.46	67.23	21.58	39.43	5.75	59.79	0.0	0.21	0.53	33.67	31.94	6.27
Nacc2	21.83	61.75	51.18	33.19	28.73	25.09	41.32	0.4	41.17	63.42	17.47	18.81	57.44	41.02	46.53	58.09	80.77	49.97	67.16	72.13	105.09	62.4	60.79	7.55	41.19	76.32	84.6	10.07	25.37	0.37	2.78	0.63	66.43	55.47	0.0
Nat8l	0.0	39.47	52.27	12.87	64.33	83.21	67.2	0.0	36.63	50.04	37.4	0.68	40.7	41.38	61.45	74.23	69.83	50.41	64.41	102.17	35.79	58.98	63.61	27.32	49.12	161.43	68.83	3.68	101.06	0.0	0.0	0.0	15.26	1.59	5.59
Nefh	0.41	8.52	26.77	26.96	25.17	40.51	33.18	0.0	32.52	44.52	124.68	9.98	93.9	28.61	42.54	46.87	27.34	114.82	51.63	51.9	0.78	66.75	94.02	52.93	62.19	100.1	103.28	2.62	116.26	0.0	0.0	0.0	98.2	51.25	0.0
Prpf19	1.54	3.88	1.95	14.05	13.83	0.0	1.9	0.02	31.1	5.76	6.65	0.31	2.91	0.07	0.13	14.82	16.23	11.14	6.37	8.8	11.46	3.88	20.5	4.33	10.64	14.05	8.1	116.1	5.93	0.38	0.21	0.0	10.12	0.1	0.12
Pvalb	1440.49	2914.72	2576.97	2481.2	2258.23	2637.39	3332.67	0.0	1724.33	1769.21	1444.32	1505.12	1644.5	1974.07	1510.65	2248.99	1555.2	1909.51	1681.17	1839.14	2567.22	1432.88	1689.22	1388.14	1830.01	1823.48	1749.01	1785.85	3516.69	0.0	0.0	0.0	2759.1	3357.43	755.81
Rhox8	9.51	2.67	3.31	6.92	10.87	5.77	11.9	1.56	2.84	7.5	2.8	3.43	2.68	9.72	4.7	11.98	14.97	9.54	5.64	11.48	12.54	2.83	14.32	8.23	26.46	8.82	11.2	2.06	5.86	1.21	0.69	0.0	4.59	4.61	2.22
Sh3kbp1	0.0	0.0	5.44	9.94	0.0	0.75	0.0	0.0	11.04	18.35	6.03	0.0	9.63	0.93	0.0	45.61	8.72	37.59	46.27	44.92	1.02	0.47	13.79	0.78	6.47	20.38	32.59	0.0	0.0	0.0	0.0	0.0	18.48	1.25	0.0
Srcin1	0.62	4.98	14.05	1.56	1.72	0.44	2.79	0.0	5.72	3.04	8.87	0.0	2.33	0.86	4.03	22.01	6.94	8.45	6.27	4.11	5.25	2.67	3.19	5.86	3.51	8.94	6.75	2.18	7.31	0.0	0.0	0.1	3.13	21.92	0.25
