	Calb2_tdTpositive_cell_3	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_16	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_33	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_34	Scnn1a.Tg3_tdTpositive_cell_37	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
Elavl1	0.63	0.0	17.12	193.72	0.0	2.61	0.06	0.0	0.18	32.45	0.41	203.96	111.43	0.46	185.35	42.79	3.63	0.63	0.07	9.08	75.0	26.05	39.88	0.22	77.46	59.63	101.43	1.97
Elavl2	40.88	0.0	13.5	3.46	22.41	56.9	0.0	0.0	13.09	13.71	65.03	4.1	92.48	0.21	0.15	2.59	0.13	0.0	57.53	121.12	0.0	128.43	81.23	0.0	75.78	135.61	0.0	0.0
Epb4.2	0.27	4.13	0.33	0.56	0.19	1.16	0.0	0.0	0.79	0.4	0.8	1.71	0.95	0.23	0.43	0.31	0.4	0.28	1.18	1.39	1.22	0.8	1.38	0.0	0.49	1.84	0.0	0.34
Fam171a2	0.0	0.0	0.6	0.59	0.0	0.93	0.0	0.0	2.17	1.7	8.5	5.3	6.47	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	2.85	0.0	0.0	0.0	6.76	0.0	0.0
Fam177a	7.62	0.11	3.11	3.24	4.07	27.58	2.15	0.0	1.08	26.37	19.28	64.29	4.3	7.45	0.58	2.85	19.78	1.69	26.03	4.87	5.19	27.92	1.33	20.34	22.42	3.01	0.65	15.23
Gapvd1	5.72	0.0	25.91	0.0	0.08	0.0	0.0	0.0	0.0	12.05	27.7	116.87	12.56	0.0	0.0	1.9	0.33	0.0	22.06	0.0	0.0	51.72	0.0	0.0	53.05	55.72	93.15	0.0
Ggct	0.0	0.0	0.0	0.0	45.79	0.0	0.0	0.0	0.14	142.45	132.65	105.29	178.81	104.49	0.0	77.44	0.0	0.32	0.08	0.0	0.0	21.21	0.0	0.0	0.0	112.17	81.17	0.0
Gimap8	0.21	8.8	1.9	17.66	0.06	8.65	0.0	0.0	3.01	11.34	0.68	23.67	5.17	17.4	7.64	6.08	8.05	0.26	16.06	0.29	5.57	0.0	8.7	0.0	4.17	1.4	0.35	19.05
Glrx2	129.6	255.13	52.75	72.2	93.28	121.7	262.49	0.0	208.7	100.88	80.12	249.91	130.7	55.95	38.33	110.86	85.2	30.0	93.34	71.25	192.75	229.28	51.69	76.25	67.92	215.99	109.94	175.45
Gm10389	40.62	17.1	37.92	35.7	22.13	35.53	9.04	5.17	43.55	44.49	29.97	61.09	48.96	33.32	45.86	41.14	37.97	32.26	49.66	31.24	44.08	47.25	27.74	11.83	45.4	72.59	31.01	38.53
Gm10845	307.52	66.31	141.72	112.1	87.49	142.29	115.62	13.24	220.53	96.5	114.89	274.23	170.36	224.4	81.14	91.64	142.03	126.32	103.84	60.22	195.76	166.91	237.92	28.11	266.17	491.67	291.64	207.05
Gm11128	7.08	3.48	9.52	8.9	5.22	6.43	0.0	0.0	11.57	11.86	6.79	10.45	9.04	5.74	3.54	4.68	4.04	4.54	1.71	1.85	10.92	7.91	4.28	0.63	8.29	11.27	4.04	2.29
Gm13306	0.0	0.0	88.08	2.22	7.78	39.51	0.0	0.0	2.24	98.78	98.8	157.47	217.8	32.42	65.29	296.35	120.48	70.05	71.38	106.16	271.66	408.15	370.84	1.37	136.85	76.23	106.88	74.04
Gm15348	0.0	0.0	0.05	0.11	0.0	0.08	0.0	0.0	0.04	0.1	0.04	0.16	0.0	0.0	0.09	0.11	0.0	0.0	0.03	0.05	0.0	0.22	0.0	0.0	0.0	0.26	0.0	0.0
Gm15401	0.53	0.25	1.33	1.95	0.89	2.44	0.0	0.0	1.41	0.48	0.57	2.35	4.78	3.46	0.34	1.93	0.0	0.0	1.02	0.76	1.68	1.75	1.87	0.0	2.24	4.1	0.95	0.0
Gm2506	0.0	0.0	88.08	2.22	7.78	39.51	0.0	0.0	2.24	98.78	98.8	157.47	217.8	32.42	65.29	296.35	120.48	70.05	71.38	106.16	271.66	408.15	370.84	1.37	136.85	76.23	106.88	74.04
Gm5607	8.97	1.39	9.63	9.05	9.71	12.37	0.0	0.0	14.29	9.24	11.78	14.33	12.84	6.61	6.67	10.7	9.2	5.05	12.71	10.31	11.59	10.92	7.33	1.63	12.5	23.57	8.3	9.75
Gm9962	1.37	0.0	1.31	1.08	0.23	2.46	0.15	0.0	0.19	0.88	0.24	4.54	1.05	1.51	0.1	2.14	2.45	0.32	1.09	0.47	1.53	1.13	0.76	0.0	1.75	2.04	0.53	4.17
Gpsm1	0.0	0.0	0.27	0.06	0.0	34.22	220.46	0.0	0.0	0.0	0.05	0.0	141.09	0.0	0.0	1.51	0.0	0.53	0.07	0.0	1.08	79.01	0.1	0.0	0.0	73.85	10.69	0.0
Hyal1	2.12	0.84	0.68	0.28	0.72	1.73	0.0	0.0	0.81	0.78	0.91	1.73	1.77	1.22	0.0	0.0	0.2	0.2	0.68	0.2	1.82	1.69	0.43	0.18	3.24	3.59	0.42	1.34
Kcnq1ot1	55.18	28.7	62.38	71.85	36.63	72.56	0.45	16.2	85.09	94.58	62.65	87.36	64.39	69.51	29.12	53.7	61.22	32.34	94.13	63.67	117.41	130.81	54.16	5.75	81.1	101.73	55.32	72.57
Kdelc2	2.55	0.88	4.8	2.87	2.09	4.71	0.0	2.18	4.0	5.78	6.9	7.21	9.7	4.25	2.74	4.25	5.22	3.9	3.21	55.99	5.95	4.8	2.96	1.99	3.69	71.27	2.66	4.54
Kif5a	37.32	0.0	56.45	0.74	0.27	102.8	0.0	0.0	84.72	102.06	71.55	115.54	0.5	44.06	36.38	75.53	46.13	43.25	2.05	50.16	49.1	41.59	103.63	19.75	80.22	135.52	48.97	42.17
Lnp	81.06	77.62	41.38	87.91	59.29	78.03	0.0	0.0	70.59	147.75	48.61	101.37	278.13	154.01	36.54	60.14	7.23	50.19	28.47	0.07	195.26	26.53	59.77	130.96	72.85	112.91	30.5	34.9
Mettl16	0.0	0.0	0.07	0.07	0.0	0.0	0.0	0.0	0.28	24.98	0.62	154.84	0.51	0.15	0.0	57.76	129.8	0.0	0.31	0.12	0.46	126.89	0.37	0.0	211.76	75.8	0.0	0.0
Mphosph9	11.66	0.0	20.03	0.02	0.05	0.4	0.0	0.0	7.42	0.45	20.17	0.35	61.42	0.0	0.0	19.35	0.0	0.0	0.03	0.05	0.0	69.35	1.84	64.04	19.99	64.52	0.0	16.45
Mrpl52	0.0	0.0	90.04	0.28	0.0	47.8	0.0	0.0	59.68	55.58	0.0	123.66	39.42	0.0	0.0	70.04	81.55	33.09	41.06	0.0	0.0	56.44	79.57	0.0	4.41	75.42	28.56	0.0
Mudeng	10.62	0.0	0.0	4.34	16.23	96.0	0.0	0.0	0.12	62.23	6.78	245.26	0.0	0.0	0.0	0.0	0.0	1.48	6.15	35.54	0.0	0.05	0.1	0.11	0.0	195.14	0.0	0.0
Olr1	3.47	0.0	9.67	4.67	9.13	2.8	0.0	0.0	8.77	3.2	8.25	3.88	7.6	5.94	3.95	6.88	8.49	0.71	3.45	6.6	6.98	7.23	5.76	0.0	6.93	15.34	4.93	3.59
Osbp2	121.07	0.0	0.05	18.61	24.03	14.48	0.0	0.0	40.24	48.13	0.81	93.78	0.14	7.38	0.03	10.91	37.56	0.0	20.41	1.26	38.82	96.18	4.34	0.0	3.87	24.59	0.0	29.41
Pgap1	0.0	0.0	26.21	44.85	0.0	30.0	0.0	0.0	0.05	13.89	0.02	49.76	0.0	0.48	0.0	12.78	0.46	0.12	22.15	0.02	19.98	8.84	38.13	0.0	0.0	18.23	1.93	18.54
Phkg1	6.65	4.81	5.91	13.34	5.02	13.13	6.4	12.24	8.52	7.49	6.86	16.97	6.08	7.98	1.94	11.88	3.89	6.69	1.45	0.48	6.36	16.35	10.29	4.73	20.26	24.11	10.15	2.35
Pi15	24.33	0.75	24.75	23.69	19.02	23.62	0.1	0.0	40.11	26.89	24.98	33.34	26.56	19.09	19.37	21.37	25.77	11.69	34.35	25.09	40.81	36.43	18.44	1.3	33.38	55.79	21.43	26.33
Prkcd	0.0	0.0	0.16	0.79	0.0	0.15	0.0	0.0	0.38	0.07	0.06	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.27	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Rab10	65.12	0.0	67.44	0.4	79.55	37.13	0.0	0.0	30.9	0.0	3.95	141.96	0.0	93.69	39.82	52.77	0.0	0.0	1.76	30.95	107.17	176.45	59.49	4.02	9.27	62.1	84.35	93.26
Rgs4	4301.63	1925.78	3554.62	4793.66	4051.91	3740.02	0.0	2.55	5873.8	4839.36	4315.87	5539.67	4276.53	4053.59	3925.76	4595.67	5390.4	3267.12	5399.11	5219.32	4921.82	4036.2	6274.8	5381.62	4444.37	4094.9	5420.33	6781.39
Rnft1	0.0	0.0	14.8	0.0	0.0	0.11	0.0	0.0	0.0	0.0	57.25	89.77	84.04	0.09	0.0	48.81	0.0	0.0	81.69	0.59	0.0	0.0	0.0	0.0	0.0	0.0	2.61	66.78
Satb1	7.3	0.0	1.44	6.92	0.0	6.93	0.0	0.0	77.4	24.26	51.33	152.41	105.05	11.16	24.12	74.18	7.99	38.37	96.37	15.6	99.56	7.26	3.87	0.16	39.89	126.2	1.72	52.1
Sh3gl2	600.34	0.0	341.18	300.81	320.89	39.54	0.0	0.0	312.33	377.31	78.95	554.56	13.18	2.77	82.65	19.89	37.2	32.95	286.85	22.79	276.49	200.65	150.5	19.11	210.44	602.52	16.47	196.25
Slc39a14	0.22	0.0	1.19	2.03	0.11	0.78	0.0	0.0	3.13	1.39	0.69	3.99	2.14	0.34	0.16	0.84	10.76	0.0	0.12	0.29	0.26	1.57	1.46	0.0	26.62	6.05	0.13	0.96
Snord116	0.0	0.0	0.83	0.0	0.0	4.29	0.0	0.0	13.67	1.7	9.04	10.42	3.59	0.0	5.85	0.0	13.47	8.05	16.54	0.0	1.9	22.17	0.0	0.0	7.16	31.33	0.0	12.09
Snord116l1	0.0	0.0	0.83	0.0	0.0	4.29	0.0	0.0	13.67	1.7	9.04	10.42	3.59	0.0	5.85	0.0	13.47	8.05	16.54	0.0	1.9	22.17	0.0	0.0	7.16	31.33	0.0	12.09
Snord116l2	0.0	0.0	0.83	0.0	0.0	4.29	0.0	0.0	13.67	1.7	9.04	10.42	3.59	0.0	5.85	0.0	13.47	8.05	16.54	0.0	1.9	22.17	0.0	0.0	7.16	31.33	0.0	12.09
Synj2bp	126.11	36.29	143.72	97.74	102.08	183.29	0.0	23.18	168.79	201.96	146.64	198.46	121.12	241.42	90.16	146.14	146.04	145.45	98.98	101.0	360.15	213.93	212.44	52.33	190.58	242.65	181.86	205.12
Tmx4	210.46	0.51	21.59	225.69	124.09	76.21	0.13	0.0	4.52	131.82	67.87	187.35	264.69	95.08	141.71	289.32	82.37	39.83	244.73	334.17	319.63	311.23	55.86	228.97	212.6	309.78	147.96	245.44
Ttc4	2.07	0.0	6.55	454.27	93.32	110.01	0.0	0.0	0.8	36.05	47.7	331.6	3.79	286.02	1.55	143.53	133.29	62.65	27.25	37.61	3.2	126.78	133.51	169.0	130.03	172.02	306.27	0.62
Txnl4b	167.39	0.0	61.09	0.06	0.13	75.95	0.0	0.0	177.05	109.23	147.39	325.49	108.6	48.33	0.0	190.87	81.18	0.0	0.12	216.65	126.86	105.59	0.0	203.53	157.75	147.27	247.31	0.0
Tyr	39.85	19.02	49.96	67.38	64.1	76.06	25.1	5.32	79.95	62.48	50.71	68.13	56.09	54.76	56.26	58.07	43.12	56.89	56.78	49.02	85.52	73.7	48.52	33.99	62.98	78.01	45.82	58.08
Was	13.58	8.66	8.68	23.38	7.36	21.85	0.0	0.0	17.8	29.49	8.36	23.76	18.25	12.13	6.11	15.51	21.64	8.2	3.8	7.53	13.02	14.39	11.35	3.62	13.35	24.15	14.25	2.67
