	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_13	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_5	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_21	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_20	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbD.Slc32a1_tdTpositive_cell_28	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_25	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_80	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_90	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_92	Rbp4_tdTpositive_cell_42	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_5	Rbp4_CTX_10pg_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dzip1l	0.0	0.42	0.0	0.0	0.39	0.0	12.56	438.04	6.35	0.13	1.47	1.89	0.09	0.35	1.26	1.37	0.0	0.22	9.89	0.0	317.26	27.08	37.36	0.15	3.32	0.54	0.0	8.42	0.0	0.0	10.07	0.3	19.9	0.07	3.66	0.01	0.0	0.05	0.24	5.02	0.28	1.07	8.44	0.99	0.0	0.0	0.0	0.04	17.46	16.25	15.07
Eri3	0.33	0.0	503.43	0.0	0.0	0.0	0.0	0.0	0.0	470.21	0.4	45.36	0.0	138.73	146.98	0.14	524.53	99.88	0.81	481.57	0.0	4.75	279.52	105.75	150.04	392.11	28.3	148.97	84.02	158.06	98.53	192.43	65.22	248.85	174.32	0.66	11.34	218.25	306.72	1.54	0.39	449.96	16.65	14.83	629.3	0.0	304.96	167.39	143.4	147.99	147.87
Erlin1	0.0	0.0	0.0	187.88	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.34	0.45	0.0	0.0	0.0	0.0	0.56	1.34	55.55	0.0	35.31	0.0	0.0	7.7	0.0	0.0	0.0	0.2	0.0	40.37	0.0	1.47	0.0	0.05	0.0	0.0	0.0	0.08	7.91	2.81	0.0	0.0	0.0	5.68	23.43	21.0	19.76
Fam114a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.25	0.0	0.04	0.17	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	90.32	0.08	0.0	0.0	3.23	0.45	0.11	0.0	30.85	0.0	0.0	0.0	0.05	0.0	0.0	0.05	0.22	0.0	0.74	0.45	0.25	0.0	0.0	0.0	0.14	58.86	5.01	4.78	4.88
Fam18a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43	0.05	0.0	45.63	0.06	0.0	0.0	0.0	0.0	0.0	0.0	111.88	9.08	0.0	0.0	0.0	25.72	2.02	0.0	0.0	76.47	0.0	0.21	0.21	0.31	5.4	0.05	6.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.47	0.06	28.17	30.48	28.58
Fbxo28	0.0	0.0	0.0	0.0	185.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.1	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.07	30.29	19.24	63.55	1.06	8.97	60.26	19.29	5.3	44.45	0.0	0.0	0.17	0.05	0.0	0.47	51.01	0.48	0.0	7.23	120.46	52.91	0.0	0.0	0.0	0.96	28.49	28.0	27.59
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.0	0.0	0.0	27.72	0.81	11.61	19.89	0.0	0.0	11.75	29.61	11.59	0.69	1.74	1.75	0.0	0.85	1.18	0.0	0.0	0.0	65.17	389.64	0.0	0.0	14.7	274.48	0.0	0.0	0.0	2.83	30.63	28.29	22.96
Gm14430	0.0	0.0	0.04	0.0	0.07	1.53	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.06	1.28	6.5	18.48	0.0	0.0	3.4	0.0	12.07	23.92	0.0	23.59	6.94	1.15	0.0	0.1	13.98	6.82	0.0	0.0	0.01	11.54	6.11	0.0	0.0	0.0	6.2	7.67	5.07	7.49
Gm14434	0.0	0.0	0.04	0.0	0.07	1.53	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.06	1.28	6.5	18.48	0.0	0.0	3.4	0.0	12.07	23.92	0.0	23.59	6.94	1.15	0.0	0.1	13.98	6.82	0.0	0.0	0.01	11.54	6.11	0.0	0.0	0.0	6.2	7.67	5.07	7.49
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.17	0.0	17.08	177.13	20.98	0.0	0.0	0.0	0.0	27.72	0.81	11.61	19.89	0.0	0.0	11.75	29.61	11.59	0.69	1.74	1.75	0.0	0.85	1.18	0.0	0.0	0.0	65.17	389.64	0.0	0.0	14.7	274.48	0.0	0.0	0.0	2.83	30.63	28.29	22.96
Gm4724	0.0	0.0	0.04	0.0	0.07	1.53	0.0	0.0	0.0	0.0	0.0	0.06	0.0	5.63	0.73	7.21	0.0	0.0	0.0	0.0	0.0	0.06	1.28	6.5	18.48	0.0	0.0	3.4	0.0	12.07	23.92	0.0	23.59	6.94	1.15	0.0	0.1	13.98	6.82	0.0	0.0	0.01	11.54	6.11	0.0	0.0	0.0	6.2	7.67	5.07	7.49
Gm5086	0.0	0.0	0.35	0.0	0.0	0.67	1.58	0.76	0.0	1.94	0.0	0.48	0.0	0.39	0.25	0.0	0.0	0.0	1.0	0.0	0.0	0.27	1.19	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.54	0.59	0.41	0.4	0.3	0.46	3.74	139.19	0.49	5.85	4.18	2.21	0.0	1.38	0.06	1.83	1.52	2.04
Gphn	0.0	0.0	22.07	600.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.56	0.05	108.33	102.79	26.78	51.79	0.0	0.0	0.0	291.46	1.27	225.53	164.71	68.8	89.99	29.65	39.3	14.1	31.93	33.15	0.0	121.82	43.61	155.52	58.44	135.54	31.32	65.91	68.96	0.0	62.8	55.13	0.0	0.0	0.0	0.0	101.29	61.66	55.14	59.78
Kcnd3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	2.0	5.82	0.9	1.74	0.0	0.0	0.0	0.0	0.0	0.0	27.04	0.0	0.0	0.0	0.0	7.03	0.0	15.8	0.06	0.0	0.0	0.09	0.14	0.0	0.02	0.0	10.54	0.0	0.0	0.0	0.0	2.71	0.0	0.0	0.89	0.01	33.72	29.9	36.46
Klhl29	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.47	5.64	0.0	9.19	0.0	0.0	0.0	0.0	0.0	0.0	0.15	9.96	0.0	4.2	0.0	0.0	0.56	0.0	1.74	1.67	0.0	6.38	0.06	0.12	0.0	0.02	0.0	0.0	0.0	0.0	0.0	1.37	0.0	0.0	0.0	0.0	0.0	21.62	22.33	22.71
Map2k1	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.4	13.89	0.09	0.0	0.0	2.12	0.0	0.0	0.44	63.04	80.74	16.78	0.0	15.42	63.85	40.47	0.0	33.46	0.0	54.35	37.4	27.99	0.22	0.07	0.0	95.15	0.0	592.8	0.11	153.28	148.42	0.0	0.0	158.61	195.27	309.79	328.2	308.6
Mapkapk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.16	30.47	1.95	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	0.0	0.0	5.16	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	8.96	247.71	0.0	31.07	0.0	23.43	25.16	25.56
Mark2	0.0	0.0	1.22	0.0	0.0	0.0	11.06	1.12	0.0	0.0	0.0	0.0	0.04	1.79	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.24	26.32	10.64	3.54	26.52	0.0	3.7	0.24	0.24	0.0	0.0	2.63	0.1	0.19	0.0	0.31	0.0	10.94	0.0	0.0	0.0	33.07	0.0	43.43	0.0	0.2	15.58	61.73	61.24	61.66
Med17	33.8	0.0	2.78	0.0	183.01	123.09	3.34	0.0	0.68	2.29	2.26	0.0	0.28	0.13	1.58	0.16	0.0	0.0	0.32	0.15	0.23	0.8	9.27	12.18	0.48	0.0	16.52	6.1	0.0	0.18	8.03	0.47	0.38	0.92	7.51	0.34	0.6	0.18	0.0	2.08	329.18	0.57	15.33	16.62	0.35	0.0	0.22	0.43	18.96	18.46	16.41
Mfsd3	0.0	245.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.87	0.0	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.15	0.0	0.0	0.0	0.0	20.46	453.18	0.0	117.18	21.9	4.8	6.55	6.71
Mki67ip	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.24	0.0	0.0	0.0	0.0	0.5	0.0	0.41	0.0	812.67	0.0	0.0	128.6	0.0	21.29	12.4	32.01	54.93	29.33	0.0	1.31	88.39	35.43	0.36	7.68	0.41	0.18	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	425.38	0.0	110.21	26.47	26.02	24.46
Morf4l2	86.16	0.0	0.0	0.0	0.27	519.89	62.83	20.8	0.0	0.0	1113.16	62.56	6.39	611.58	225.37	0.0	1248.93	0.0	6.66	0.0	102.45	8.6	1108.96	176.39	361.59	268.46	302.42	574.69	199.0	762.45	225.24	52.73	416.65	354.33	259.05	307.3	214.2	723.02	450.83	56.69	0.35	48.85	328.25	748.45	0.6	480.1	237.28	765.94	294.19	284.69	277.6
Mta2	85.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	4.45	0.0	0.0	0.0	6.89	0.0	0.75	6.47	0.0	7.18	0.0	4.55	0.0	16.26	2.79	0.0	0.0	0.0	0.0	0.0	0.05	3.15	0.0	0.0	0.0	0.17	0.09	0.0	0.0	0.0	7.27	0.04	38.84	39.23	34.76
Mtap6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.25	0.07	0.14	0.06	2.99	0.0	0.0	0.54	0.0	0.38	1.32	89.0	46.96	48.73	98.18	0.0	8.82	0.0	3.96	1.47	4.0	53.88	3.82	33.1	0.44	0.29	80.9	18.9	0.75	0.0	0.0	18.51	0.0	0.0	0.0	391.43	62.15	99.94	103.63	104.04
Mtfr1	1.07	0.0	0.69	0.0	1.19	0.65	0.0	0.73	0.18	1.3	0.22	55.98	0.1	0.42	0.55	0.0	0.15	3.13	1.79	0.22	0.31	1.4	0.82	0.52	1.79	2.13	31.92	11.46	0.75	7.38	1.74	1.97	0.72	1.93	1.73	0.71	0.69	0.64	1.34	8.53	109.4	0.18	4.64	6.15	8.43	0.0	0.49	0.21	8.56	6.33	7.59
Mybbp1a	0.0	0.0	0.0	0.0	182.87	0.11	0.0	0.0	0.0	0.0	0.0	2.92	0.0	108.26	19.88	0.31	0.0	0.0	0.0	0.0	0.0	0.51	59.3	19.54	55.68	0.0	1.72	19.12	46.12	19.65	4.36	0.15	10.95	0.88	182.4	0.93	0.41	71.87	0.0	1.72	0.0	0.06	0.0	140.59	0.0	0.0	0.0	90.51	34.36	37.22	35.73
Napb	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	1.24	0.17	143.64	160.06	3.0	0.15	0.0	1.36	0.17	0.0	2.94	228.41	141.85	282.53	144.38	281.39	203.77	57.19	202.17	129.0	95.75	281.54	4.12	36.75	23.54	7.68	88.27	59.89	34.31	0.0	0.69	13.28	108.14	0.0	0.0	3.5	314.15	335.54	308.69	328.06
Numa1	0.0	0.0	0.0	0.0	0.49	0.0	0.0	271.08	3.21	0.0	0.0	1.03	0.0	0.48	9.14	8.74	0.0	33.58	0.0	0.0	85.17	0.14	16.64	22.05	0.09	0.0	0.72	5.29	0.0	3.91	9.97	0.0	14.6	19.0	1.53	0.0	0.05	0.09	6.76	0.0	34.75	201.2	0.07	201.62	0.0	0.0	0.0	13.18	43.64	43.15	46.99
ORF61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.78	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.21	0.85	4.54	0.22	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.09	0.29	0.0	0.0	0.12	10.41	0.0	0.0	0.0	0.0	1.23	106.73	123.33	117.39
Pacsin1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.12	0.0	8.9	31.69	5.88	0.0	0.0	1.46	0.0	0.0	0.61	70.11	12.69	126.5	187.92	4.62	53.79	16.33	8.68	37.4	49.78	93.03	19.8	13.64	0.15	61.32	13.54	30.39	13.91	0.0	0.06	74.06	103.56	0.0	0.0	67.49	165.21	282.11	283.76	304.93
Pcyox1l	0.0	0.0	0.0	0.0	0.0	0.0	3.05	3.68	0.0	10.75	41.29	0.29	0.0	7.65	10.4	0.11	1.72	0.0	0.0	0.0	0.44	18.9	67.74	1.36	0.94	1.06	0.24	15.62	2.47	7.08	0.82	4.34	15.95	0.23	25.9	0.13	7.66	0.68	1.79	0.0	9.87	2.94	17.45	0.0	0.0	8.19	12.54	1.45	20.55	22.17	20.93
Poll	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	759.97	0.0	0.0	0.0	78.48	0.0	0.0	0.68	0.0	0.0	67.32	0.0	0.53	0.0	65.7	0.0	2.57	1.77	0.07	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.35	8.56	9.86	7.65
