	Chrna2_tdTpositive_cell_7	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_44	Chrna2_tdTpositive_cell_48	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTnegative_cell_2	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_8	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_107	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
A130040M12Rik	55.42	8.79	10.43	0.14	0.08	0.38	0.0	0.09	1.46	23.89	5.25	4.22	0.24	0.0	6.36	0.0	0.0	3.62	4.13	6.58	2.64	18.37	1.88	5.81	20.46	0.81	5.16	0.3	0.0	35.33	34.07	33.17
Acat3	25.96	0.0	2.46	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.82	0.0	0.07	1.09	0.0	0.0	0.21	0.0	0.0	0.0	0.0	1.24	0.0	0.44	1.52	0.0	0.0	0.0	0.0	7.08	8.2	4.66
Ahctf1	44.45	1.07	0.0	1.96	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.7	0.01	0.0	19.55	0.3	0.0	0.0	0.0	1.05	2.89	17.53	2.37	0.0	12.47	2.86	16.8	0.0	21.48	18.81	18.45
Ankrd5	95.28	20.01	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.68	0.94
Asap1	125.53	5.12	0.0	0.0	0.03	0.0	0.0	0.19	30.72	3.62	2.84	7.0	52.65	19.72	31.76	45.97	9.84	0.0	4.57	43.86	46.92	0.0	14.78	37.99	41.3	8.5	71.61	2.52	0.09	88.98	80.34	86.8
Atp1b3	195.7	0.0	0.0	9.24	124.08	4.58	56.66	4.4	16.41	0.0	137.08	1.85	59.14	50.23	151.52	37.06	149.31	6.9	26.05	69.78	27.04	230.52	45.16	27.29	67.15	31.82	34.52	42.16	4.71	113.65	114.17	105.82
BC017647	118.41	0.0	15.1	0.0	0.0	0.04	46.97	0.0	0.0	0.0	0.0	0.0	0.0	29.35	0.0	0.04	14.78	0.83	0.0	0.0	0.0	2.97	15.32	6.83	57.37	0.0	4.38	13.6	0.0	22.47	21.83	21.16
Btbd8	8.89	0.0	0.0	4.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	5.77	4.6	5.31
Camsap1	65.09	0.12	0.09	0.22	0.52	1.1	23.49	29.57	27.74	4.12	0.38	0.58	24.05	2.87	0.22	6.11	12.15	41.73	10.93	15.68	7.58	2.09	6.95	11.3	13.73	24.64	10.14	15.83	0.23	41.9	41.78	41.15
Car12	13.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.63	11.86	13.85
Ccdc13	16.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.93	4.37	4.75
Ccdc63	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.24	0.09
Ccl27b	15.08	0.0	0.14	0.6	6.41	22.17	0.0	11.67	0.0	21.49	31.22	0.0	0.3	0.03	0.0	1.74	0.0	0.77	0.0	0.13	8.48	4.31	6.83	40.26	1.3	0.0	0.0	3.13	9.47	30.63	28.29	22.96
Cep110	36.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	1.44	0.0	11.13	0.0	0.45	0.0	0.44	0.0	0.0	0.0	0.0	0.0	6.99	6.26	8.11
Cog5	128.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.01	0.0	0.0	0.0	0.0	0.0	7.49	0.0	17.11	41.16	2.27	0.0	1.24	0.0	0.0	12.71	0.0	6.76	1.25	0.0	0.0	22.67	20.68	20.67
Col5a2	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.14	2.61	2.96
Creb1	58.46	0.04	0.05	0.0	0.02	0.0	0.05	0.0	14.24	0.0	0.0	0.04	14.77	19.35	21.6	0.06	0.03	6.95	2.21	0.0	0.0	0.04	22.44	6.3	0.0	0.11	18.16	22.77	0.39	18.65	15.15	18.21
Ctbp2	27.75	0.0	7.76	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.05	0.0	0.54	0.0	9.81	0.07	0.0	0.08	12.36	0.0	14.75	0.0	49.77	0.0	41.84	0.0	15.14	14.93	15.54
Ctif	51.64	0.0	50.77	0.0	40.55	0.05	14.24	19.6	0.29	0.4	4.42	0.12	14.69	0.11	14.74	0.0	2.89	0.06	0.04	14.98	0.26	0.78	15.63	4.38	7.04	9.6	4.95	1.57	0.0	34.21	33.23	35.9
Dhtkd1	30.46	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.07	5.77	7.04
Dhx8	79.73	1.94	2.07	0.0	0.03	0.04	0.0	0.0	0.0	5.23	0.68	14.76	0.0	2.11	0.0	6.54	49.31	36.14	3.6	2.57	0.0	0.06	2.23	11.49	0.0	0.07	0.0	37.07	0.0	26.43	25.96	23.12
Dkk2	1.13	0.0	0.31	0.29	0.43	0.16	0.11	0.54	0.21	0.0	0.06	0.54	0.7	0.18	0.07	0.11	0.27	0.35	0.28	0.44	0.28	0.4	0.16	0.38	0.23	0.22	0.3	0.13	0.11	0.79	0.43	0.8
Dpy19l3	32.58	0.0	0.04	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	14.3	0.77	0.03	0.04	0.03	7.22	0.0	0.0	0.0	1.46	0.02	6.66	0.0	0.02	0.07	0.0	0.0	21.47	22.09	22.03
Dusp11	101.29	18.68	2.52	1.69	18.55	5.71	26.64	0.68	0.0	13.45	0.07	0.29	5.8	0.01	0.57	2.91	12.28	2.23	1.51	25.33	0.0	0.23	17.06	20.95	1.11	10.78	9.11	5.22	0.0	36.65	35.04	37.2
E130003G02Rik	19.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	17.1	18.6	20.92
E230029C05Rik	29.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09	0.95	1.61
E4f1	74.28	0.0	0.14	0.0	49.49	0.12	20.83	0.14	0.16	0.0	5.5	0.05	0.15	0.03	0.0	0.0	0.39	0.88	8.97	5.49	0.0	0.16	0.24	6.07	32.6	9.91	0.23	36.64	0.16	24.44	24.95	25.34
Egfr	2.95	1.04	0.24	0.04	0.16	0.2	0.08	0.95	1.48	0.43	0.41	1.06	0.86	0.38	0.07	0.42	0.33	0.31	0.11	0.28	0.27	0.33	0.49	1.15	0.18	0.18	0.28	0.54	0.21	6.24	5.93	6.67
Eif3f	142.6	0.0	1.72	0.0	12.33	0.0	0.0	0.0	0.0	54.56	5.11	0.0	0.25	20.08	0.0	0.34	0.0	12.65	1.59	0.0	1.27	0.0	8.11	4.55	0.0	0.0	0.0	0.0	0.0	119.78	136.1	125.5
Epn2	108.35	32.08	24.32	0.0	47.64	0.0	30.92	44.9	0.0	2.71	0.05	0.22	9.69	6.87	46.2	2.98	15.12	8.52	24.46	0.0	36.24	11.17	0.14	13.82	8.23	0.0	0.63	0.0	49.57	84.72	82.38	86.14
Fam124a	71.15	0.2	0.23	0.25	0.04	0.0	0.0	0.25	0.1	0.08	0.28	0.07	0.0	0.04	0.5	0.16	0.47	0.2	0.0	0.18	0.11	0.0	0.24	1.43	0.15	0.0	0.16	0.39	0.12	16.6	18.12	18.55
Gm12886	0.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0
Gm13306	15.08	0.0	0.14	0.6	6.41	22.17	0.0	11.67	0.0	21.49	31.22	0.0	0.3	0.03	0.0	1.74	0.0	0.77	0.0	0.13	8.48	4.31	6.83	40.26	1.3	0.0	0.0	3.13	9.47	30.63	28.29	22.96
Gm14139	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.41
Gm19583	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
Gm2002	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.06	0.0	0.0	1.32	0.0	1.73	1.86	1.4
Gm2506	15.08	0.0	0.14	0.6	6.41	22.17	0.0	11.67	0.0	21.49	31.22	0.0	0.3	0.03	0.0	1.74	0.0	0.77	0.0	0.13	8.48	4.31	6.83	40.26	1.3	0.0	0.0	3.13	9.47	30.63	28.29	22.96
Gm6249	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.01	0.0	0.0	0.0	0.0	0.09	0.08	0.06
Gm6277	266.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	4.09	0.0	0.0	0.0	0.0	0.0	6.07	6.14	6.94
H2-M5	6.76	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	1.3	0.98
Hebp1	78.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.08	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.07	0.0	0.0	0.0	0.0	0.0	38.08	39.58	37.58
Ier5l	2.55	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	1.22	0.53	26.98	29.64	21.13
Ifrd1	172.34	0.0	2.43	0.0	0.0	0.0	0.0	14.62	48.27	0.0	0.0	16.8	7.97	0.04	7.39	0.09	0.0	0.0	0.0	0.0	27.01	0.27	0.09	15.42	0.0	0.0	0.3	0.26	0.0	44.21	48.54	43.72
Il11ra2	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.06	0.0	0.0	1.32	0.0	1.73	1.86	1.4
Inadl	33.68	0.0	0.0	0.0	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	13.28	0.0	0.0	39.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	6.92	4.14	4.07	4.56
Ing2	106.53	0.0	0.0	0.0	0.0	0.0	0.0	24.74	0.0	39.85	0.0	0.0	2.61	0.03	0.0	0.0	0.0	0.0	0.0	0.1	0.0	4.03	0.27	24.11	0.0	0.0	0.0	0.0	0.0	25.32	25.33	21.64
Ippk	134.73	0.0	1.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.06	0.04	37.14	0.0	5.58	0.0	0.0	0.0	0.0	51.73	3.82	0.0	0.0	0.0	0.0	0.0	15.03	15.57	15.04
Leprel4	11.64	0.0	0.0	0.0	0.0	9.07	0.0	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	34.22	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	11.07	13.58	11.92
Lime1	132.87	28.21	1.31	31.53	37.09	0.0	0.0	66.85	38.57	0.0	0.0	19.43	0.0	51.88	6.43	0.0	8.6	0.0	0.22	2.11	4.06	0.0	4.35	10.66	0.0	0.69	12.94	52.58	0.0	57.7	56.82	56.73
Loxl3	5.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	2.89	0.0	0.0	0.0	0.0	3.13	2.57	2.91
Lrp3	52.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.01	0.0	0.0	0.0	0.0	3.66	0.38	17.03	0.0	0.28	3.81	6.78	36.92	0.0	2.91	12.06	0.0	53.44	58.28	55.54
Lrrc45	110.61	0.0	29.06	0.0	0.0	2.58	4.85	0.0	0.0	0.0	0.0	24.73	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	1.8	0.0	0.0	2.21	32.19	0.0	64.42	0.0	0.0	50.3	50.55	54.57
Lrrc7	32.34	0.0	0.18	1.4	0.0	0.68	1.07	0.0	1.93	0.0	0.97	0.04	5.33	16.45	0.1	0.19	1.83	1.62	12.04	0.05	0.0	0.7	2.49	8.05	4.32	0.0	5.1	1.4	0.0	40.2	29.07	45.43
Mapkbp1	39.92	0.08	27.4	0.0	0.12	0.04	0.0	0.15	0.24	0.16	0.05	0.47	0.18	16.39	0.19	5.19	0.15	0.08	0.1	0.27	0.14	0.31	12.81	2.43	2.25	0.13	6.85	5.26	9.42	28.61	27.57	30.3
Mcoln1	145.03	0.0	15.77	0.0	0.0	0.0	0.8	0.0	0.0	0.0	2.35	0.0	0.0	0.0	0.0	0.0	54.95	44.68	1.5	0.0	0.0	0.0	0.08	4.43	0.41	0.0	1.35	2.82	0.0	73.08	72.26	71.39
Micall1	25.57	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	1.76	0.0	0.0	0.03	19.63	0.0	6.01	0.17	0.04	0.1	0.12	0.0	0.0	0.08	0.0	0.0	25.54	25.68	29.06
Mir1895	19.35	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.36
Mir344	16.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.39	1.58	1.73
Mir344-2	63.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.05	4.26	11.68
Mphosph10	207.99	0.0	51.72	58.13	0.0	18.61	0.0	0.0	0.0	0.0	0.0	0.0	2.51	0.0	0.11	7.44	0.0	0.0	43.66	0.0	0.0	32.11	11.84	33.68	0.0	57.8	41.73	0.0	0.0	15.33	15.66	14.2
N4bp2	20.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	2.11	0.0	0.0	0.0	0.0	0.03	0.31	0.0	0.0	0.0	0.0	0.0	3.81	3.48	4.38
Nostrin	29.17	0.0	0.0	0.0	0.0	13.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	1.83	0.0	3.3	4.51	2.84
Nrl	27.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.63	0.54
Oxct2a	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.29	0.21
Pcbp1	50.28	0.0	21.68	0.0	2.39	0.0	26.69	2.15	0.0	0.16	39.74	0.0	49.48	33.82	29.28	7.27	12.99	9.22	0.0	6.15	0.0	0.0	71.7	50.48	26.36	12.67	15.91	18.98	0.0	185.19	202.11	179.35
Phldb1	3.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.46	0.0	1.05	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	56.96	58.98	68.3
Pi4kb	7.92	0.0	5.64	0.36	0.0	0.04	0.0	0.0	3.66	0.0	0.06	0.0	0.1	6.99	1.7	0.97	0.0	31.24	1.64	0.0	0.06	0.2	3.07	6.78	3.64	2.03	0.0	0.93	0.33	35.74	35.19	35.07
Plagl1	102.04	0.06	87.7	0.0	0.0	0.03	0.0	27.23	0.0	0.0	0.0	0.08	0.41	0.03	0.0	0.0	73.49	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.0	0.0	22.37	0.0	15.74	15.04	13.9
Pld2	22.33	0.0	0.0	0.0	0.0	18.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.58	14.03	13.72
Plxnb1	23.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.05	0.3	0.02	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	34.3	33.77	34.95
Ppp1r2-ps3	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	1.19
Prkcz	111.94	0.0	32.54	0.0	73.1	0.15	61.53	43.1	12.32	51.58	5.62	36.78	11.04	67.09	0.09	4.36	26.9	22.31	22.78	1.46	47.66	0.66	116.86	29.22	42.42	22.28	90.3	2.04	0.0	177.01	178.52	171.75
Prnd	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.13	0.18	0.41	0.1
Prr5l	2.34	0.41	0.6	0.0	0.72	0.1	0.63	2.08	0.41	0.6	0.54	1.57	0.67	0.39	0.76	0.91	0.99	0.0	0.23	0.14	0.32	0.97	0.45	1.09	1.19	0.17	2.16	0.84	0.3	8.45	8.22	8.82
Rad54b	3.49	0.0	0.08	0.0	0.05	0.0	0.0	0.13	0.0	0.0	0.05	0.03	0.08	0.01	0.03	0.0	0.05	0.0	0.0	0.0	0.08	0.0	0.0	0.08	0.04	0.0	0.0	0.0	0.0	1.01	1.05	1.48
Samd14	60.31	0.43	0.22	0.0	1.03	0.73	9.73	0.18	0.12	0.0	0.07	0.11	0.06	1.19	37.63	0.0	0.0	0.0	13.92	0.33	0.0	0.07	0.33	4.46	0.0	0.0	0.61	0.14	0.0	26.92	31.22	27.06
Slx4	29.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	10.93	0.38	2.45	0.0	0.0	0.26	0.0	0.0	1.03	0.0	4.44	0.0	0.0	44.11	1.13	0.0	13.25	12.89	12.41
Sphk2	62.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.85	0.0	0.0	0.0	28.16	0.0	0.0	2.54	0.04	0.8	0.05	27.8	0.0	65.31	0.0	18.77	19.52	18.93
Spnb2	219.88	171.96	84.2	116.78	72.04	193.67	107.03	99.95	269.48	258.86	265.95	82.9	109.24	74.67	60.85	157.49	113.26	106.02	70.87	123.41	105.81	86.8	106.9	481.57	132.87	181.88	180.92	142.97	143.16	332.15	319.08	338.11
Sst	14187.99	5698.13	110572.87	26887.79	19548.76	92299.24	48476.57	28510.84	72114.03	79456.04	80147.45	16115.86	46171.02	45987.89	53894.31	43875.07	68952.67	63593.53	65451.11	59257.22	63808.17	57846.93	7684.42	0.0	40924.0	78404.02	40301.33	60686.4	7756.68	558.6	588.98	558.0
Stag1	44.07	0.0	6.83	0.0	0.0	0.0	0.07	0.29	0.68	0.6	2.23	0.0	5.19	3.34	3.61	0.14	9.24	12.16	0.0	10.57	1.57	0.2	0.83	8.99	7.48	0.0	0.0	7.05	0.07	19.23	18.21	19.87
Tceal3	183.59	148.91	20.92	0.4	22.52	58.91	114.07	23.32	14.68	47.26	145.4	110.32	161.64	97.67	0.0	79.68	42.22	29.81	110.06	43.07	152.41	54.69	80.84	60.15	82.11	68.83	63.8	74.96	106.11	171.08	175.14	165.4
Thbd	2.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	11.85	11.46	10.75
Zbtb7a	12.72	17.77	8.93	0.64	0.03	8.52	0.0	9.46	0.0	7.26	13.57	16.0	3.58	4.64	5.99	0.0	4.24	6.0	1.18	11.17	2.46	1.12	15.45	7.06	1.85	5.35	5.64	8.93	4.57	55.37	53.85	57.0
Zfp518b	34.75	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	3.61	0.49	0.0	0.0	0.0	0.0	0.0	8.11	7.78	8.32
