	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Tac2_tdTpositive_cell_5
Hspa9	3.62	0.9	67.4	82.78	83.45	122.66	92.4	39.53	112.84	45.11	11.26	31.45	368.77
Ipp	0.0	0.0	0.0	0.0	0.0	14.27	0.0	26.2	0.0	0.0	0.0	0.0	89.93
Kcnk2	0.04	0.0	0.0	0.11	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	74.85
Klhl29	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.06	0.0	4.38	0.0	0.0	12.69
Ldhb	8970.97	2593.67	10894.4	11261.44	10004.69	9074.03	13571.31	12546.17	9755.78	11010.48	10182.84	11746.38	3979.21
Lgi2	0.0	0.0	34.52	2.34	0.14	22.09	0.0	66.3	0.23	0.0	3.79	4.28	83.41
Lrrc24	0.0	0.0	0.0	3.95	1.3	31.09	0.88	0.0	4.62	2.57	1.44	39.06	80.45
Lrrn2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.5	47.4
Mfsd4	3.8	0.47	4.59	9.72	14.33	11.18	36.22	38.83	68.72	5.61	8.18	42.55	98.16
Mon1b	0.34	0.0	0.1	21.82	2.45	6.58	4.65	0.0	0.0	0.0	0.0	25.43	54.49
Ndor1	0.08	0.0	20.38	0.23	0.18	23.79	20.56	0.0	1.52	2.63	0.0	0.43	39.37
Necab1	0.41	0.0	0.6	1.01	0.68	0.83	0.26	0.33	0.62	0.81	0.55	0.63	132.35
Olfr613	12.31	0.03	30.6	77.59	72.69	39.08	37.29	47.57	52.61	56.41	52.79	62.68	122.64
Rsrc2	22.14	0.0	80.92	64.72	95.53	91.35	57.29	17.69	37.45	79.07	33.55	147.96	290.2
Slc16a10	3.13	2.03	26.82	27.13	40.26	34.51	36.79	36.73	35.41	25.09	27.59	47.95	91.3
Ssbp2	7.97	26.71	28.6	214.1	103.73	79.02	33.76	98.48	89.76	45.04	32.24	52.62	233.79
Susd4	4.04	0.0	61.27	0.0	0.0	16.64	36.58	0.0	52.38	22.16	0.0	71.13	165.37
Tox4	3.88	0.38	15.87	8.32	64.96	52.56	35.82	37.06	74.41	24.16	9.76	62.19	117.02
Ube1y1	4.99	0.09	4.57	10.18	9.41	5.95	5.82	6.17	13.71	5.19	7.06	8.33	23.51
Vangl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89
Zfp300	3.47	0.0	6.3	13.0	13.27	8.52	5.71	9.46	10.14	6.72	7.88	8.62	14.88
Zfp787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.41	15.68
Zfyve27	0.71	0.0	14.38	22.86	39.94	9.2	11.74	34.93	49.26	46.02	24.22	9.82	202.75
