	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_32	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_12	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_77	Cux2_tdTpositive_cell_103	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_6	Nr5a1_tdTpositive_cell_27	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_13	Scnn1a.Tg3_tdTpositive_cell_15	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_26	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_22	Slc17a6_tdTpositive_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ccdc21	0.0	0.59	110.63	0.0	0.0	0.0	0.0	0.0	0.0	7.07	0.0	13.87	0.0	0.88	0.0	29.21	0.0	0.13	0.05	0.0	0.0	0.0	0.0	0.0	0.0	52.49	0.0	0.0	0.0	10.12	11.85	11.07
Ces2g	0.0	0.5	3.35	0.0	0.69	0.34	0.15	0.29	0.72	1.9	0.0	0.11	0.0	0.0	0.0	0.15	0.0	0.67	0.17	0.26	0.69	0.0	0.0	0.47	0.0	1.4	4.01	0.0	0.0	0.47	0.16	0.28
Clk2	0.0	0.0	100.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	12.88	0.0	0.15	0.09	18.38	0.0	0.0	66.11	0.0	0.0	52.47	45.77	0.0	0.0	28.78	30.63	29.43
Cntn5	0.0	0.0	32.85	107.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	8.28	4.52	0.0	0.0	0.05	0.0	11.07	11.58	8.38	0.0	0.0	10.56	92.28	0.0	0.0	5.84	4.68	5.03
Cramp1l	0.64	1.58	55.53	25.87	0.09	1.35	6.8	0.03	0.0	0.73	0.0	0.68	4.07	42.94	1.56	5.69	2.19	43.29	31.09	6.76	6.04	3.37	34.91	9.26	13.1	4.36	0.22	0.0	0.0	16.78	16.92	16.83
D6Ertd474e	0.0	0.21	0.74	0.39	0.14	0.0	0.0	0.25	0.0	0.19	0.0	0.47	0.21	0.0	0.35	0.22	0.0	0.09	0.0	0.0	0.0	0.0	0.32	0.0	0.12	0.26	0.0	0.0	0.0	0.39	0.54	0.73
Dguok	0.0	0.0	475.22	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.07	0.0	0.0	0.0	0.0	25.16	0.0	0.0	0.0	15.35	27.81	16.01	0.0	154.37	0.0	0.0	0.0	19.23	19.48	18.63
Dnajc27	0.0	0.0	123.85	116.2	0.0	2.92	0.0	0.0	0.0	31.65	0.0	0.04	3.03	0.0	0.0	50.35	0.0	67.16	0.0	0.0	0.07	54.2	0.0	0.0	6.33	0.12	0.0	0.0	0.56	91.95	90.65	89.27
Dnajc3	0.0	0.0	64.11	0.04	0.0	0.82	0.0	0.11	0.0	10.0	406.86	0.0	0.0	1.06	0.0	1.13	0.0	0.07	11.82	64.35	8.22	0.08	0.08	0.0	0.0	0.0	1.64	21.79	1.4	29.01	26.39	26.93
Efr3b	4.63	15.6	171.37	7.09	23.29	87.2	10.63	19.26	0.0	1.37	0.0	0.12	8.94	90.29	0.05	9.2	95.3	1.86	0.35	0.44	4.25	31.6	101.77	0.2	2.01	21.84	0.13	0.0	0.29	94.67	93.25	100.15
Egfr	0.11	0.76	1.13	0.16	0.0	1.21	0.37	1.03	0.4	1.11	0.0	0.41	0.79	1.01	0.74	0.4	0.31	0.67	1.21	0.59	1.03	0.21	0.45	0.16	0.29	1.43	1.02	0.1	0.57	6.24	5.93	6.67
Exoc5	11.25	0.0	63.66	0.0	0.0	53.64	0.24	76.45	2.19	0.11	0.0	0.04	0.04	8.35	3.56	8.64	0.0	2.64	1.59	0.0	57.0	0.0	0.0	25.66	0.0	18.38	0.0	0.0	3.4	36.29	30.6	34.57
Fam203a	0.09	0.49	3.04	1.74	0.46	0.64	1.57	3.36	0.0	0.93	0.0	0.79	1.46	0.17	1.79	0.37	0.48	3.48	1.92	2.3	1.6	1.18	3.08	0.82	0.18	1.99	0.0	0.0	0.9	10.21	12.33	12.35
Gabpb2	1.59	1.79	1.73	0.68	0.32	1.06	0.76	1.15	3.0	6.28	0.0	0.74	1.04	1.72	1.47	0.65	1.1	1.34	1.23	0.26	1.26	0.14	9.05	0.77	0.0	1.52	1.66	0.0	0.58	9.12	8.58	8.74
Gas8	3.12	2.43	123.33	0.0	0.0	0.0	0.0	267.31	0.0	0.0	0.0	63.54	163.04	160.75	0.0	0.0	244.69	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	83.91	0.0	0.0	0.4	20.85	22.32	20.0
Gjd4	0.85	0.0	2.58	0.72	0.16	0.21	0.28	2.43	0.0	1.35	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.65	0.6	0.12	0.0	0.0	0.29	1.12	0.0	1.87	0.0	0.0	0.25	0.19	0.11	0.25
Gm1968	1.3	1.36	4.28	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	1.77	0.63	0.96	0.0	0.21	0.0	0.0	0.65	0.0	2.08	2.08	1.77	0.19	0.0	0.68	1.19	0.0	2.2	1.68	0.98	0.79
Grm4	0.0	0.0	88.89	0.0	0.0	0.16	0.13	0.0	0.0	0.0	0.0	0.0	16.1	0.0	0.0	6.24	0.0	0.0	0.0	0.0	0.0	0.0	88.49	0.0	0.0	0.0	0.0	0.0	67.75	17.66	17.01	18.6
Herpud2	0.0	60.92	146.82	95.14	1.9	11.33	0.28	43.85	25.46	20.43	0.0	52.3	211.8	1.1	39.8	55.94	0.0	32.64	12.05	0.0	103.45	25.38	46.53	27.42	0.0	85.01	159.38	0.13	22.58	46.26	46.54	43.13
Il1f9	4.4	0.7	31.72	4.05	0.43	19.73	1.84	0.35	14.11	0.0	0.0	14.4	0.97	18.02	1.24	7.48	0.59	14.87	1.05	15.65	3.18	12.09	23.84	14.68	6.06	17.87	2.59	0.0	1.8	4.24	4.04	4.25
Kif3c	0.0	0.0	212.02	0.18	49.42	55.9	1.69	3.15	11.11	34.45	0.0	49.93	0.0	0.0	66.63	5.77	0.0	43.15	69.27	0.0	0.1	0.06	0.0	23.84	0.0	17.17	25.79	0.0	0.0	111.23	112.9	114.1
Kifc2	67.6	0.0	283.53	1.84	1.44	0.0	0.0	0.0	67.24	44.14	0.0	0.12	0.0	93.9	0.0	26.7	0.0	94.55	80.85	22.88	102.54	43.84	274.92	138.48	0.11	27.76	0.0	0.0	0.0	427.54	441.98	465.18
Lrriq4	0.0	0.0	0.22	0.0	0.0	0.16	0.0	0.0	0.48	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.04	0.0	0.02
Mapkapk3	0.0	0.0	160.93	0.0	0.0	0.0	0.0	3.44	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.06	0.0	0.0	0.0	2.34	2.47	2.22
March4	0.0	0.24	1.54	0.13	0.22	0.42	0.39	1.11	0.35	0.15	0.0	0.25	0.52	0.37	0.24	0.14	0.5	0.77	0.3	0.09	0.37	0.09	0.92	0.24	0.14	0.73	0.94	0.04	0.32	14.39	14.5	14.89
Mme	0.0	0.0	119.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.57	0.0	0.0	163.18	0.0	0.0	0.0	0.0	0.0	0.0	7.57	6.68	7.65
Mrps10	0.0	4.12	228.72	0.06	167.2	0.0	0.0	165.21	0.0	0.0	0.0	0.19	0.39	181.63	0.0	2.36	390.67	189.68	0.21	140.85	0.0	0.0	74.74	0.0	0.0	16.59	0.0	0.0	13.01	36.05	36.07	36.01
Msrb2	0.0	0.0	257.51	0.18	0.0	8.09	0.0	0.0	0.0	0.0	0.0	151.5	142.11	0.0	0.0	0.0	0.0	0.15	3.05	0.0	218.76	0.0	251.23	162.86	0.0	0.0	141.46	0.0	0.0	29.67	27.89	29.52
Myo5c	0.19	0.0	55.56	0.09	0.31	0.55	0.33	0.29	0.17	0.32	0.0	0.14	0.26	34.7	0.14	0.19	0.14	0.29	0.24	0.82	0.89	8.81	0.07	0.01	0.0	0.15	0.13	0.0	0.0	3.22	2.07	2.65
Nckipsd	0.0	0.0	165.08	0.0	0.0	0.0	0.0	0.0	3.19	0.0	0.0	0.0	3.85	107.54	0.0	0.0	0.0	8.99	0.0	16.47	18.65	68.45	184.68	0.0	3.77	0.0	146.87	0.0	0.0	60.26	64.42	62.51
Pacsin3	0.0	27.89	112.79	0.0	12.82	77.7	0.0	57.94	34.87	0.0	0.0	0.0	0.1	5.14	0.0	0.23	0.0	0.28	55.5	0.0	62.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.16	33.78	36.31	33.02
Pcdh15	0.0	0.0	113.11	0.0	0.0	0.95	0.04	1.79	0.0	0.73	0.0	0.02	0.1	0.0	0.0	11.03	0.0	9.11	0.0	0.0	41.57	37.78	0.0	0.04	0.0	0.0	29.22	0.0	2.72	9.28	7.24	9.6
Pcdha8	0.0	3.51	51.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.71	0.0	0.0	0.72	0.0	0.0	0.0	0.65	0.35	1.17
Prdm9	0.19	0.34	29.0	2.39	0.16	0.75	0.5	0.49	0.0	0.16	0.0	0.47	0.17	0.0	0.52	1.94	0.25	10.67	3.89	1.1	2.0	0.25	0.69	3.24	0.0	0.61	1.46	0.0	1.73	2.41	3.04	2.37
Prkdc	0.0	0.0	41.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.23	1.09	30.37	0.31	4.63	0.0	0.0	0.0	0.0	0.0	0.0	42.16	0.0	0.0	0.0	0.0	0.0	0.0	10.04	8.21	9.69
Ptpn2	0.54	22.72	436.63	8.53	3.13	146.95	0.01	0.47	52.67	59.83	0.0	157.83	0.0	0.9	27.89	65.48	25.67	157.85	253.08	1.12	360.81	0.2	231.78	1.36	0.0	9.89	0.58	0.0	78.52	20.3	15.34	19.24
Rbpjl	0.53	0.24	1.28	0.0	0.43	0.43	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.19	0.2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.2	0.0	0.0	0.59	0.0	0.0	0.0	0.66	0.38	0.54
Rell1	0.0	0.0	31.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.06	0.0	0.0	2.34	0.0	1.09	21.94	0.0	0.0	0.0	0.0	0.0	0.0	20.01	6.07	0.0	0.0	12.66	12.3	11.98
Rgs4	3228.45	4969.56	2451.16	4496.84	4051.91	4337.51	5481.44	5005.37	3868.4	4201.26	2.55	5873.8	5539.67	4332.71	5390.4	3698.23	4166.93	5187.94	4921.82	4470.78	3484.83	3593.95	3462.02	6274.8	5381.62	3292.99	5598.27	0.0	6781.39	495.03	470.64	483.11
Rnf152	0.0	0.05	31.58	0.11	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.08	0.13	0.05	0.0	0.05	0.33	0.12	0.02	0.13	0.16	0.05	0.07	0.05	0.0	0.16	0.0	0.0	0.32	7.32	6.59	6.8
Rreb1	0.09	0.0	34.58	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	2.17	0.93	0.0	0.0	0.33	0.0	0.0	0.0	0.0	18.96	23.58	0.0	0.0	23.99	0.0	0.0	0.0	22.81	20.08	22.82
Rsf1	10.91	0.11	43.39	0.02	0.0	36.22	1.92	0.21	11.27	2.17	0.0	45.93	20.35	42.75	15.13	0.0	101.74	34.5	0.39	18.68	0.05	26.07	0.4	0.07	0.0	0.49	0.49	0.65	24.21	15.12	13.02	16.06
Safb	52.63	5.78	112.87	0.32	0.64	29.08	0.0	0.18	3.59	0.81	0.0	0.77	0.12	0.55	1.23	0.13	0.3	2.61	0.91	0.2	0.33	3.05	95.86	2.48	0.0	0.0	44.59	0.0	61.36	97.55	103.32	94.51
Slc38a6	2.26	6.75	58.01	2.32	1.95	2.94	2.57	4.63	4.17	3.89	0.0	2.29	3.77	4.36	4.4	1.61	3.58	15.65	3.19	1.68	4.85	1.92	3.76	1.52	0.13	6.63	4.47	0.24	4.14	8.69	8.46	9.48
Slc4a3	0.0	0.0	100.12	3.54	0.05	76.17	0.0	29.43	4.6	1.74	0.0	5.92	3.22	2.29	0.0	41.47	10.58	5.42	0.98	0.0	0.0	42.13	51.34	0.0	0.0	0.0	0.0	0.0	0.0	97.14	100.66	102.08
Snapc4	0.0	0.0	111.41	0.0	0.0	23.82	0.09	0.0	0.0	0.0	0.0	33.71	0.13	123.04	0.11	18.67	1.08	0.04	0.0	0.0	0.0	43.38	9.09	0.0	0.0	69.35	1.56	0.0	0.0	27.77	29.82	29.1
Spred2	0.0	41.7	159.97	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0	0.0	50.31	0.0	1.94	0.0	0.0	0.12	4.72	0.15	0.0	0.0	86.61	0.0	0.0	28.97	61.42	58.66	58.3
Tecpr1	32.79	0.0	110.65	17.12	0.0	25.77	0.0	0.0	0.0	4.08	0.0	0.04	0.14	0.0	0.0	6.96	3.84	31.55	0.79	0.0	0.0	0.0	19.75	0.0	0.0	80.73	0.0	0.0	0.32	59.71	59.83	62.65
Thap6	0.83	1.74	2.34	0.21	0.68	1.04	0.32	1.84	0.0	0.57	0.0	1.03	0.62	2.43	0.67	0.98	0.39	0.82	0.96	1.05	1.01	0.66	1.76	1.33	0.11	0.47	1.87	0.04	0.32	2.34	2.42	2.02
Tmpo	0.0	0.0	134.15	0.0	2.75	38.55	0.0	89.73	0.0	19.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.95	25.04	0.0	0.0	0.0	76.54	21.85	0.0	0.0	0.0	0.0	0.0	23.8	27.09	25.75
Trank1	45.31	31.77	97.01	38.7	16.51	45.52	29.51	69.02	15.25	30.79	0.0	0.79	63.92	87.44	8.15	10.8	0.44	1.01	40.66	44.23	107.77	37.37	1.57	2.92	2.18	108.42	29.45	0.0	35.35	140.49	127.25	159.33
Trrap	0.0	20.79	31.98	0.0	0.0	2.11	0.0	9.94	12.01	9.04	0.0	25.85	6.86	13.48	1.51	11.98	0.0	26.5	2.77	2.86	0.97	1.47	77.35	6.01	0.03	18.53	34.01	0.0	0.16	48.39	44.3	50.87
Usp10	26.32	0.0	195.73	147.74	37.11	0.29	0.0	8.43	0.0	27.18	0.0	0.06	1.84	33.09	0.0	79.2	2.04	101.01	14.08	50.77	0.22	0.0	0.0	0.41	0.0	109.68	125.47	0.0	18.88	40.04	40.01	40.74
Utp14a	0.0	56.64	103.21	0.0	0.0	0.0	0.0	0.0	0.0	35.97	0.0	0.0	0.0	50.69	157.73	0.0	1.95	25.13	29.42	0.0	59.2	0.0	92.92	0.0	0.0	0.0	8.49	0.0	0.0	11.84	11.86	11.84
Wnk2	12.34	9.73	15.26	8.14	0.0	0.29	7.23	26.24	0.0	6.43	0.0	13.59	8.63	13.99	0.0	1.26	6.94	17.39	34.76	5.27	13.5	11.4	8.42	3.66	0.0	41.54	0.0	0.0	2.49	49.56	48.86	56.38
Zbtb7a	20.61	0.74	31.65	31.59	11.61	13.16	5.93	13.36	0.0	29.39	0.0	0.2	0.21	22.64	42.38	2.57	40.38	17.64	0.0	0.12	40.21	7.71	15.65	0.0	3.39	1.55	12.41	0.0	5.83	55.37	53.85	57.0
Zc3h8	0.0	0.0	228.22	0.0	0.0	17.99	0.0	0.74	0.0	57.91	0.0	28.77	9.74	0.0	0.0	0.0	0.0	1.02	0.0	1.9	33.59	0.0	0.0	0.0	0.0	129.83	0.0	0.0	0.0	11.07	10.91	10.34
Zcchc11	0.0	20.67	67.51	39.4	0.0	144.24	0.0	13.88	0.0	0.08	0.0	0.03	21.35	4.14	17.59	3.18	6.83	27.84	0.0	0.0	8.82	0.0	63.49	0.0	5.5	5.04	50.97	0.0	21.43	17.97	13.78	18.58
Zfp944	0.0	0.74	164.01	0.0	4.56	1.04	0.0	1.03	7.16	0.56	3.37	0.0	0.0	0.0	8.83	3.23	0.0	239.44	0.45	0.47	93.2	55.58	18.59	2.74	0.0	0.43	0.0	0.0	1.94	8.26	6.41	7.79
Zfp960	0.0	0.0	416.1	1.87	96.39	2.27	1.02	166.79	0.0	82.05	0.0	0.14	0.98	123.92	0.0	0.0	0.0	67.63	1.34	38.8	0.99	0.9	11.52	111.37	0.0	147.73	0.0	0.0	4.79	6.9	4.67	4.97
c19_tRNA-Ala-GCY_	0.0	0.0	241.2	0.0	0.0	214.44	0.0	29.65	0.0	0.0	0.0	0.0	8.58	0.0	0.0	41.01	0.0	66.87	0.0	0.0	93.62	0.0	0.0	0.0	0.0	0.0	128.84	0.0	0.0	33.13	15.1	24.4
