	Chrna2_tdTpositive_cell_62	Chrna2_tdTpositive_cell_84	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_48	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_61	Gad2_tdTpositive_cell_70	Ndnf_tdTpositive_cell_21	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_71	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbD.Slc32a1_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_86	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_91	Rbp4_tdTpositive_cell_101	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_29
Cxcl15	0.17	0.0	0.0	0.21	0.0	0.61	0.94	0.0	0.0	1.71	0.0	0.0	0.0	0.24	0.0	0.06	0.69	0.0	0.0	0.0	0.0	0.38	0.79	0.8	0.0	0.18
Cyp2j13	3.39	1.43	7.44	3.63	6.39	6.75	1.69	0.21	2.13	3.69	3.67	2.73	2.66	0.66	1.27	3.41	1.89	3.24	7.0	3.5	3.35	3.05	2.84	6.15	0.0	3.59
D430041D05Rik	17.6	0.0	0.8	11.14	0.0	10.99	0.08	0.0	0.0	57.88	21.39	0.75	0.0	29.05	69.03	20.63	0.0	5.44	5.74	12.33	1.02	13.59	73.6	43.31	0.0	0.0
D5Ertd579e	10.35	0.0	0.76	0.0	47.26	0.0	0.0	0.0	9.6	57.96	2.35	7.22	0.0	0.17	0.0	26.66	0.0	32.23	18.3	28.67	1.98	4.58	76.34	80.7	0.0	0.0
Fam203a	0.22	0.0	1.28	1.28	0.0	0.42	0.21	0.0	1.19	53.4	1.41	0.95	0.0	1.45	1.01	0.93	2.46	1.44	0.5	0.7	0.86	0.32	0.37	1.58	0.0	0.0
Ftsj3	0.0	0.0	0.0	68.14	0.0	0.1	0.0	0.0	0.0	32.32	6.11	0.24	17.91	119.89	0.0	0.0	0.09	0.0	13.61	0.0	0.0	13.97	0.0	114.6	0.7	0.0
Galnt13	4.47	0.0	0.0	21.51	30.23	0.05	0.0	0.0	0.1	82.62	0.0	0.1	56.8	44.75	12.49	21.07	36.63	19.99	8.29	20.42	0.79	21.55	113.1	93.59	0.0	0.05
Gcnt3	0.14	0.0	0.04	0.16	0.0	0.0	0.11	0.0	0.0	0.25	0.12	0.0	0.36	0.2	0.09	0.06	0.14	0.48	0.09	0.0	0.0	0.0	0.0	0.19	0.0	0.0
Ghdc	18.48	2.18	2.63	5.29	3.5	1.89	2.2	1.49	2.88	8.74	10.29	3.11	1.63	2.48	3.98	3.57	4.57	8.2	40.83	4.19	4.75	4.03	4.62	5.3	0.94	1.78
Glt8d1	42.11	99.63	1.84	0.58	70.63	2.99	11.29	0.0	12.89	126.49	2.15	5.62	11.7	1.5	43.91	2.13	35.06	42.64	1.67	31.02	52.79	3.55	90.5	94.76	2.09	10.71
Glt8d2	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.92	0.0	0.0	0.0	0.0	111.53	0.0	0.0	0.0	0.18	0.0	0.15	11.27	0.15	179.41	0.0	0.0
Gm4636	0.06	0.0	1.11	0.01	0.0	0.07	0.0	0.0	0.0	58.23	0.0	15.86	0.0	0.0	0.55	0.08	0.85	14.41	0.06	0.0	0.11	0.12	0.0	46.71	0.0	0.0
Gnaz	0.0	0.0	3.21	0.0	21.05	0.48	0.0	0.33	0.0	2.59	26.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27	0.0	0.0	0.0	0.8	22.49	0.0	0.0
Hcfc2	6.38	25.6	0.0	14.64	0.0	96.57	0.0	0.0	8.58	119.55	9.1	1.77	6.31	5.74	0.0	0.0	0.0	0.0	57.3	53.3	0.0	47.49	8.04	166.7	0.0	0.0
Heatr2	0.11	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.01	0.0	0.0	0.19	0.0	0.0
Hs1bp3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.53	31.13	0.0	33.6	57.25	0.0	0.0	0.0	0.0	1.21	0.0	2.96	23.76	0.0	78.71	0.0	0.0
Ifi203	1.99	1.26	3.53	5.1	1.73	1.9	2.71	0.18	0.62	3.96	5.7	0.22	1.09	5.04	2.4	0.54	3.33	2.23	2.18	1.66	1.36	1.55	2.87	6.49	0.0	0.39
Irgq	0.91	0.0	0.0	0.0	0.65	4.12	0.0	0.0	0.46	5.61	39.76	3.78	11.09	0.92	0.44	10.95	2.54	2.56	0.5	2.27	53.57	0.41	0.13	2.78	2.61	0.0
Mettl4	75.82	0.0	46.77	41.47	70.14	0.14	0.0	0.0	0.0	108.8	0.0	0.0	0.0	0.0	0.0	35.09	2.99	4.0	47.32	13.6	0.0	0.0	0.55	77.08	0.0	0.0
Mycbp	0.25	14.59	0.0	0.0	0.0	11.47	0.0	0.0	0.0	41.31	0.0	48.55	10.3	53.37	33.14	41.16	0.0	0.0	17.75	14.86	0.0	0.0	0.0	86.67	0.0	0.0
Nol8	2.16	0.0	0.0	0.0	4.16	88.37	80.93	0.0	0.0	43.54	0.0	0.0	0.0	0.09	25.83	2.09	0.0	11.59	0.0	8.71	0.0	13.79	7.95	57.86	0.0	0.0
Padi4	0.82	0.04	0.67	1.22	0.45	1.46	0.0	2.2	0.93	1.5	2.15	1.52	0.0	0.85	0.35	0.26	0.25	0.53	0.91	2.0	0.87	0.46	0.74	4.77	0.0	0.42
Pdgfa	0.0	4.25	0.84	0.46	0.0	0.0	15.17	0.0	0.0	22.01	12.08	2.14	1.59	2.32	0.0	18.12	0.0	3.79	4.06	0.0	0.32	0.0	8.76	104.33	0.0	0.0
Pdk2	19.22	124.21	4.92	0.8	17.85	96.35	115.74	0.0	113.17	194.2	0.0	5.6	0.0	0.17	146.51	0.0	175.72	0.0	33.6	26.9	1.39	0.0	10.57	316.72	0.0	0.0
Pik3r4	0.75	0.0	0.0	2.2	0.0	0.06	0.0	0.0	0.0	57.02	0.0	0.0	20.35	0.0	0.0	0.17	3.79	2.67	0.0	18.23	0.0	2.33	62.47	73.11	0.0	0.0
Pkm2	4143.72	3389.19	4450.71	3937.72	4057.72	3881.95	4232.73	2324.15	4532.45	2957.6	3684.02	3829.32	4154.04	4124.21	4313.35	4225.41	4426.64	4191.54	4325.36	4057.81	4171.44	3738.35	3825.85	3314.8	4968.45	3734.28
Plec	7.4	16.0	49.44	10.14	16.37	8.15	0.0	0.03	8.94	82.85	11.98	18.67	31.84	0.67	10.29	19.18	0.17	17.58	7.42	4.56	20.46	23.43	18.81	34.39	0.0	0.0
Pnpla8	70.66	0.0	0.0	1.32	7.76	32.23	8.26	0.0	0.0	85.93	19.38	16.57	14.59	0.17	0.0	18.46	45.43	75.73	38.56	4.62	12.77	23.97	25.75	80.18	0.0	0.0
Pom121	4.66	0.0	0.0	0.0	5.19	3.64	4.57	0.0	0.0	43.92	54.54	0.0	16.8	0.0	0.0	0.2	13.28	23.32	1.06	1.4	0.3	0.48	0.0	55.99	0.0	0.0
Prmt7	133.08	14.87	250.37	0.0	64.26	0.39	0.0	0.0	293.75	236.41	141.71	175.24	46.13	72.57	115.09	183.75	194.21	81.15	208.16	1.83	185.74	122.46	80.04	171.86	0.0	0.0
Psg25	0.0	0.17	0.27	0.59	0.29	0.29	0.06	0.0	0.09	0.18	0.19	0.05	0.26	0.12	0.38	0.33	0.0	0.15	0.55	0.19	0.89	0.2	0.93	0.52	0.0	0.0
Ptms	5.94	0.0	2.2	16.53	0.0	5.5	10.17	0.0	1.01	28.95	40.0	0.0	0.0	2.71	11.23	3.22	1.15	18.12	2.79	2.32	0.0	28.81	10.1	28.83	0.0	0.0
Rad52	0.0	0.26	0.0	0.28	57.95	0.0	0.0	0.29	33.64	254.11	47.06	0.0	0.0	0.0	0.0	0.0	0.0	49.7	3.48	0.0	0.0	57.26	7.44	146.85	0.0	2.59
Rgs9bp	0.0	0.0	0.09	0.04	0.0	0.0	0.0	0.05	0.03	0.27	0.09	0.12	0.0	0.04	0.05	0.03	0.48	0.23	0.03	0.13	0.34	0.11	0.08	0.7	0.34	0.0
Sec24c	1.4	0.1	20.15	4.36	87.55	7.24	33.53	0.0	3.78	74.65	12.67	5.21	1.06	85.16	10.6	0.12	3.81	17.03	34.85	3.23	71.53	8.33	121.93	17.1	0.48	0.09
Sgsm2	0.31	0.0	1.11	0.47	0.0	0.0	0.0	0.0	0.0	56.22	12.2	0.44	0.16	1.34	7.52	0.06	0.0	0.36	0.0	7.19	0.0	0.65	6.01	26.95	0.0	0.0
Shisa4	23.99	0.0	0.35	0.0	47.71	2.03	0.0	0.0	0.0	104.04	100.54	23.02	0.0	14.11	57.57	13.95	3.09	27.45	4.82	51.38	20.03	37.62	37.81	110.36	0.0	0.0
Slc39a9	47.13	0.17	35.38	0.2	0.22	0.18	131.29	0.13	0.0	103.62	3.35	28.08	2.25	38.38	40.87	0.07	0.29	28.95	0.34	2.08	0.05	11.36	0.3	71.54	0.0	0.0
Spast	0.08	0.0	0.0	2.96	2.06	0.0	0.0	0.0	0.06	39.11	1.56	0.59	0.0	18.59	0.0	0.94	46.49	0.0	18.67	0.0	0.0	0.0	41.96	38.57	0.0	0.0
Specc1	15.22	0.0	0.0	0.0	15.79	0.04	0.0	0.0	0.0	26.26	2.22	11.51	8.76	31.88	0.18	17.5	25.11	11.36	3.18	0.56	4.86	13.64	15.88	60.39	0.0	0.06
Sprr2a1	0.26	0.0	0.06	0.27	0.81	0.08	0.07	0.0	0.0	0.68	0.52	0.24	0.0	0.14	0.0	0.2	0.22	0.3	0.0	0.95	0.28	0.03	0.28	0.54	0.0	0.0
Sprr2a2	0.26	0.0	0.06	0.27	0.81	0.08	0.07	0.0	0.0	0.68	0.52	0.24	0.0	0.14	0.0	0.2	0.22	0.3	0.0	0.95	0.28	0.03	0.28	0.54	0.0	0.0
Srsf12	0.0	0.42	0.0	0.0	41.75	46.64	66.93	0.0	0.19	198.75	1.23	0.0	0.0	0.02	23.92	0.09	52.39	0.1	16.37	48.72	0.16	0.13	54.75	109.08	142.78	0.0
St7l	30.23	0.16	0.17	0.09	0.22	0.16	0.0	0.0	0.09	41.14	7.03	21.54	9.74	0.42	0.2	0.77	0.19	28.77	2.56	0.81	0.9	0.14	20.49	20.62	0.0	0.0
Strada	83.93	0.7	0.0	0.58	62.55	0.28	72.51	0.0	0.0	121.0	1.34	0.29	0.0	3.0	0.84	32.16	78.4	42.53	0.81	0.77	1.05	1.48	0.5	70.91	1.7	0.2
Supt6h	29.13	1.26	23.16	4.7	0.09	0.05	0.08	0.0	0.63	55.05	7.47	1.23	4.91	8.96	33.12	8.54	7.54	2.6	10.85	5.32	3.29	30.01	8.4	25.43	25.76	0.0
Tbx5	0.0	0.1	0.21	0.0	0.0	0.1	0.16	0.0	0.15	0.21	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.11	0.11	0.06	0.19	0.28	0.0	0.0
Tmem181b-ps	40.09	58.98	27.45	14.52	37.67	12.55	59.36	0.0	83.49	162.99	118.62	30.52	2.1	24.6	0.94	36.41	182.94	37.74	23.96	8.98	12.38	11.8	50.22	139.17	49.08	4.98
Trim58	0.0	0.0	0.19	0.21	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.09	0.0	0.15	0.0	0.0
Trrap	5.1	0.0	0.61	17.09	3.08	6.18	1.91	0.0	8.98	41.99	20.96	3.48	9.46	11.34	21.6	8.21	19.31	11.31	1.04	12.49	6.89	8.57	31.69	35.79	0.0	0.0
Tshz2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.48	33.75	0.0	0.0
Zbtb34	0.22	0.03	0.12	0.71	0.0	0.0	0.18	0.0	0.07	5.22	0.25	0.11	0.0	0.39	0.23	0.13	0.12	0.21	0.0	0.28	0.18	0.03	0.06	9.0	0.34	0.0
Zfp593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.08	3.67	0.0	2.61	0.0	0.0
c11_LSU-rRNA_Hsa	68.37	3.89	41.18	33.68	18.84	21.94	9.27	0.0	7.95	57.19	20.47	32.72	16.63	64.17	18.96	5.7	52.38	62.49	9.9	33.9	16.79	71.89	167.05	101.96	10.91	67.02
c14_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.12	71.66	1.24	0.0	0.0	0.0	31.91	14.53	0.0	37.47	0.0	0.0	0.0	4.17	0.0	69.3	0.0	0.0
