	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_12	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_78	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_4	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTpositive_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
Ssr4	379.97	427.27	144.12	531.18	293.12	298.82	16.32	281.83	162.84	775.91	371.92	77.34	514.02	0.0	268.86	0.0	358.03	133.83	998.49	379.52	513.85	57.51	0.0	130.76	105.29
Stmn1	10414.48	10776.66	10587.49	7760.35	11391.73	10862.63	6326.66	12096.72	9462.09	10015.46	10267.64	9644.83	4126.37	13005.25	11961.92	6980.74	5005.05	7448.32	10665.83	5304.76	10789.21	9222.0	12161.23	10051.01	11287.74
Tacr1	0.53	4.86	0.26	2.01	3.5	1.35	0.36	1.6	0.53	1.0	0.48	2.96	2.83	5.17	1.23	0.69	2.66	1.54	0.91	1.74	2.31	0.67	0.48	1.34	0.23
Tmem106b	0.0	46.55	19.0	75.04	75.93	30.39	0.0	0.0	0.27	0.12	0.0	5.27	98.85	13.52	3.22	0.0	24.24	9.06	23.94	0.13	3.14	0.09	0.0	0.0	55.27
Ttc37	0.0	0.0	0.0	34.57	3.21	0.0	0.0	0.26	0.0	0.0	0.0	0.0	45.38	2.32	0.0	0.0	16.82	2.57	0.0	0.0	0.0	0.0	0.0	0.22	3.96
Ttf1	6.57	93.22	1.11	48.86	30.24	30.31	14.35	3.64	8.24	0.43	30.56	4.67	56.96	4.12	4.16	2.98	10.19	6.08	2.24	13.23	0.4	2.67	2.93	1.92	5.87
Ucn2	0.0	1.19	0.0	5.5	1.84	0.74	0.0	1.21	0.0	1.18	0.0	3.32	1.46	1.64	0.8	0.0	2.44	2.12	0.0	1.41	0.0	0.0	0.25	0.62	0.0
Vprbp	0.5	2.43	10.26	66.27	2.1	0.56	28.42	0.67	13.31	0.14	0.8	0.87	45.2	19.98	0.19	1.49	0.4	10.91	1.05	0.36	0.5	0.13	0.18	2.1	7.32
Xpo7	6.79	9.54	1.99	26.44	7.21	4.0	1.21	5.98	5.42	1.49	4.09	5.24	14.88	11.08	5.05	1.1	5.14	17.45	9.43	11.54	3.73	3.47	2.27	4.16	1.08
Zfp71-rs1	65.81	83.19	41.35	163.08	121.32	45.4	20.76	81.46	95.42	39.76	66.01	86.6	118.04	118.97	58.02	11.28	73.99	131.46	85.26	78.23	28.95	64.2	35.68	46.67	44.15
cx_LSU-rRNA_Hsa	19.47	50.29	7.29	83.36	0.0	27.53	0.0	62.94	0.0	0.0	5.32	35.82	41.89	0.0	0.0	39.77	11.08	81.15	44.43	49.69	10.27	20.38	8.73	2.51	21.93
