	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_86	Gad2_tdTpositive_cell_3	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_53	Gad2_tdTpositive_cell_76	Htr3a_tdTpositive_cell_9	Htr3a_tdTpositive_cell_26	Htr3a_tdTpositive_cell_30	Htr3a_tdTpositive_cell_46	Htr3a_tdTpositive_cell_53	Ndnf_tdTpositive_cell_13	Ndnf_tdTpositive_cell_17	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_19	Pvalb_tdTpositive_cell_47	PvalbF.Gad2_tdTpositive_cell_56	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nsmaf	0.0	20.72	0.51	0.12	93.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.9	0.0	0.97	0.11	26.73	26.11	27.37
Ofd1	0.0	0.0	0.0	0.0	0.0	1.88	12.36	32.59	0.0	0.0	0.0	0.0	0.0	88.86	0.0	0.0	1.58	5.91	6.25	5.69
Pcdhb19	0.0	0.0	0.0	0.0	0.0	0.0	8.63	0.0	0.0	0.18	0.0	0.0	0.0	129.77	0.0	0.0	0.0	5.24	4.81	5.56
Pde1b	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.08	0.0	50.37	176.76	0.0	0.0	23.3	245.53	258.71	247.87
Pdk1	0.0	0.71	0.21	0.36	0.27	0.29	8.16	0.0	7.9	0.08	0.0	0.21	0.09	70.71	0.0	30.5	0.65	34.62	33.84	34.55
Phf11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.11	0.27	0.15
Polr3c	0.0	0.0	8.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.52	0.0	239.91	0.0	0.77	92.51	21.03	24.23	23.59
Ppp3cb	0.0	1.7	20.06	28.31	4.28	0.0	26.95	150.62	111.77	15.49	9.67	0.13	20.6	333.29	13.28	56.48	93.26	247.23	241.42	227.54
Ptpn11	5.68	0.0	0.0	0.15	0.0	0.0	0.15	37.22	0.0	0.08	0.0	0.45	0.0	35.62	4.0	0.0	15.53	96.6	96.33	99.54
Ptprq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.11	0.08	0.1
Rev1	9.5	0.0	35.68	4.75	1.46	0.0	0.0	0.0	0.0	0.0	33.71	0.0	2.26	142.36	0.0	0.0	3.21	17.41	16.67	16.45
Sec22c	1.65	1.15	3.44	0.56	0.5	0.87	0.45	5.02	15.27	0.25	0.0	0.59	0.32	18.34	0.67	7.89	4.99	22.99	22.86	22.18
Sec24d	0.0	0.0	1.77	1.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	0.0	0.0	0.0	10.06	11.33	10.36
Senp6	16.25	0.44	19.94	34.48	0.0	0.0	1.71	0.0	1.86	1.15	58.64	42.22	0.51	221.24	102.37	49.31	7.99	34.49	33.22	36.28
Serpinb10-ps	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.03	0.0
Sfrp1	0.35	0.0	0.38	0.0	0.0	0.0	0.08	0.35	0.0	0.0	0.0	0.0	0.1	4.25	0.2	0.1	0.17	5.61	5.56	5.12
Sgk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	1.71	1.76	3.09
Sgpl1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	127.41	0.0	3.87	0.0	25.18	22.93	20.75
Slc10a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	3.73	3.59	2.91
Slc20a2	0.0	0.0	0.0	0.0	0.0	0.0	1.58	2.77	18.76	0.0	0.0	0.0	0.0	113.66	0.0	20.95	27.54	35.29	39.15	40.21
Slc26a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	5.83	6.27	5.97
Slc41a1	5.43	0.0	1.31	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	65.25	0.0	0.0	22.25	35.26	37.16	36.56
Snora26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.9	0.0	0.0	0.0	0.0	0.0	0.0
Socs5	0.09	5.99	0.0	95.96	61.63	0.78	2.52	167.44	5.79	0.0	76.01	30.09	10.92	223.5	82.25	94.05	29.49	78.77	76.93	70.24
Spp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.43	0.0	0.0	0.0	0.47	0.22	0.0
Tal2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.18	0.33	0.18
Tbc1d24	3.44	3.85	6.95	5.16	9.03	5.22	6.81	8.17	5.83	12.93	1.19	5.59	10.25	92.64	10.41	25.29	72.34	49.86	48.16	50.67
Tgtp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.83	0.92	0.75
Tmco2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.14	0.0	0.0	0.0	0.0	0.13	0.0
Tmem151b	0.38	0.0	0.07	0.0	0.58	54.77	0.07	0.25	69.94	0.0	0.0	0.0	0.33	88.39	0.12	26.41	49.39	73.63	72.91	73.42
Tmem30a	0.0	41.68	64.81	0.12	361.75	0.13	146.57	168.78	159.56	85.3	118.49	77.51	110.53	590.04	0.13	160.64	41.37	311.87	297.75	306.82
Tmem63b	0.0	0.0	0.22	0.13	0.21	75.34	0.13	1.47	0.0	0.0	0.0	0.32	8.76	123.65	20.62	3.39	4.01	111.16	115.98	115.3
Tnfrsf11b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	1.85	1.25	1.23
Trat1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.94	0.0	0.0	0.0	0.9	0.28	0.93
Tspan10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.05	0.0	0.1
Ttc15	0.0	121.94	7.78	131.41	0.0	0.0	13.5	0.58	0.0	0.0	0.0	0.0	0.0	324.3	0.16	97.97	85.35	59.74	63.17	59.81
Usp9y	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0
Vps13c	0.0	0.0	0.0	0.0	14.22	0.0	0.0	2.24	32.28	3.56	0.0	22.16	19.36	46.89	0.0	3.41	9.47	25.02	19.73	26.55
Vwa1	0.13	0.0	14.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.28	0.0	0.0	0.0	22.58	23.05	24.71
Wfdc12	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.0	0.0	0.14	0.0	0.14
Zfand5	0.0	0.0	19.61	0.06	0.19	0.0	14.39	48.85	53.47	71.24	40.48	14.12	30.97	125.11	48.55	32.58	4.58	63.85	62.28	60.25
Zfp410	611.27	2.48	1.41	1.5	1.86	138.49	2.57	1.34	2.47	1.14	0.08	0.87	0.87	330.05	1.74	50.51	39.47	20.41	18.35	16.89
Zfp810	0.0	0.0	0.0	0.0	0.43	0.0	0.0	179.74	0.0	0.0	0.0	0.0	0.0	247.88	0.0	0.0	5.96	13.14	12.89	13.37
Zfp84	2.42	0.15	8.91	0.16	1.62	0.26	10.38	0.64	0.42	0.39	0.31	45.27	32.64	91.77	0.09	2.92	0.73	10.36	10.02	9.32
Zmym2	500.24	119.15	5.19	77.78	0.0	0.0	0.29	4.42	50.53	13.09	0.0	1.61	2.13	171.25	11.11	1.05	30.8	41.11	39.19	41.45
c5_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	84.91	0.0	0.0	0.0	3.14	8.1	3.24
c9_tRNA-Lys-AAG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.37	0.0	0.0	0.0	2.56	0.0	0.0
cy_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK131586	6370.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.05	0.0	0.57	0.0	0.0	0.5	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9	0.0	0.0	0.0	0.0	0.0	2.11	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.12	0.0	0.0	0.0	0.0	0.0	0.0	9032.87	8417.95	8583.15
