	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_78	Scnn1a.Tg3_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ildr2	0.0	0.0	17.82	0.0	58.19	53.49	59.1
Inhbe	0.0	0.0	24.28	0.0	0.32	0.09	0.34
Ino80b	0.0	0.0	1.17	0.0	19.25	23.11	24.79
Invs	0.0	2.68	14.33	0.69	7.81	7.46	8.44
Kcnf1	0.0	0.0	70.21	0.0	85.7	90.56	82.9
Kdm2a	0.0	11.18	20.88	0.0	34.15	34.03	33.11
Kiss1r	0.0	0.0	5.91	0.0	5.17	5.46	5.82
Klhl34	0.0	0.0	2.9	0.0	51.95	44.86	59.06
Lamb3	0.0	0.0	0.14	0.0	1.31	1.14	1.03
Lepre1	0.0	0.0	18.08	0.0	7.2	6.74	6.58
Lipt1	0.0	0.0	40.39	0.0	6.86	6.46	6.82
Lmo2	0.0	25.11	53.15	0.0	27.11	28.71	29.03
Lrig1	0.0	0.0	32.23	0.0	20.22	19.51	21.42
Lrrc16b	0.0	0.0	6.06	0.0	27.65	27.88	28.75
Maml3	0.0	0.0	7.29	0.0	4.07	3.96	3.88
Masp2	0.0	0.0	45.1	0.0	1.38	1.57	1.47
Mfsd9	0.0	0.0	11.95	0.0	4.87	4.59	5.0
Mir3112	0.0	0.0	9.22	0.0	2.16	4.08	8.93
Mir3475	0.0	0.0	13.44	0.0	0.0	0.0	0.0
Mlf1	0.0	0.0	37.64	0.0	0.99	1.95	0.56
Mmp17	0.0	0.0	16.12	0.0	167.46	165.74	168.59
Mmp21	0.0	0.0	5.09	0.0	0.32	0.2	0.22
Muc5b	0.0	0.0	0.15	0.0	0.01	0.01	0.0
Myocd	0.0	0.0	0.06	0.0	0.1	0.07	0.08
Net1	0.0	0.0	3.59	0.0	24.75	27.28	24.52
Nexn	0.0	0.0	111.72	0.0	7.79	6.1	7.67
Nfatc2	0.0	0.0	5.98	0.0	7.9	8.5	9.11
Nhej1	0.0	0.0	45.45	0.0	3.49	4.65	3.48
Nipsnap1	0.0	0.0	368.14	0.0	72.44	76.62	70.66
Nup214	0.17	0.32	23.02	0.02	13.66	13.0	15.06
Pcsk1	0.0	0.0	81.03	0.0	27.11	24.71	23.31
Pde7b	0.0	0.0	0.92	0.0	36.52	32.28	35.06
Peg12	0.0	0.0	18.65	0.0	0.11	0.07	0.24
Pik3cb	0.0	0.0	15.0	0.0	22.65	20.25	19.65
Pla2g5	0.0	0.0	29.69	0.0	2.31	1.09	2.02
Plekhg4	0.0	0.0	6.14	0.0	2.03	1.42	2.09
Plp2	0.0	0.5	62.8	0.0	11.9	12.42	9.23
Podxl2	0.0	0.0	5.16	0.0	126.83	155.0	146.28
Ppfibp2	0.0	0.0	0.74	10.64	6.87	6.28	6.68
Ppp1r14c	0.0	0.0	24.8	0.0	15.05	17.27	14.84
Prcp	0.0	0.12	37.87	0.0	10.44	9.9	11.5
Prdm15	0.0	0.05	15.5	0.0	9.38	8.23	8.97
Prex2	0.05	0.37	18.29	0.11	20.86	16.59	21.5
Prickle3	0.0	0.0	3.46	0.0	1.38	1.8	2.92
Prok2	0.0	0.0	0.23	0.0	0.55	0.6	0.33
Prr22	0.0	0.0	0.22	0.0	1.48	0.91	1.61
Psg28	0.0	1.41	11.44	1.14	3.14	2.03	4.01
Ptprt	0.0	0.0	40.32	0.0	40.62	33.95	42.1
Rab32	0.0	0.0	8.76	0.0	1.3	2.18	1.54
Rab3il1	0.0	0.0	4.69	0.0	9.21	10.96	10.39
Rasl11a	0.0	0.0	0.54	0.0	7.15	5.81	5.63
Rbms2	0.0	0.18	17.0	0.0	6.08	6.95	5.89
Rspo1	0.0	0.0	0.33	0.0	10.29	8.47	9.06
Sall1	0.0	0.0	0.11	0.07	12.24	12.82	13.17
Sema4c	0.0	0.0	0.84	0.0	10.98	12.29	11.33
Shc4	0.0	1.27	26.95	0.0	3.67	3.72	3.37
Slc12a2	0.0	0.0	35.44	22.21	38.31	35.44	39.2
Slc18a1	0.0	0.0	0.09	0.0	0.13	0.21	0.33
Slco1a1	0.0	0.0	0.07	0.0	0.0	0.0	0.0
Slmo2	0.0	0.0	263.14	415.05	64.0	64.79	65.77
Snord35a	0.0	0.0	8.12	0.0	5.62	1.76	5.66
Snord49b	0.0	0.0	14.18	0.0	0.0	0.0	3.86
Sp7	0.0	0.0	0.12	0.0	1.99	2.77	2.24
Sphk2	0.0	0.0	28.33	0.0	18.77	19.52	18.93
Spon1	0.0	0.0	120.26	0.0	33.09	33.53	34.31
Srd5a3	0.0	0.0	39.86	0.0	22.26	22.56	21.72
St3gal1	0.0	2.3	23.33	0.0	18.78	16.94	18.15
Stk30	0.0	0.0	28.92	0.0	9.8	9.67	9.93
Syne2	0.0	0.0	3.37	0.0	4.39	3.88	4.57
Tctn2	0.0	0.0	37.5	0.0	20.4	19.69	20.58
Tiam2	0.0	0.0	68.9	0.0	26.82	29.06	26.66
Tnfaip8l1	0.0	0.0	9.51	0.0	6.9	8.0	7.96
Traf4	0.0	0.0	0.87	0.0	5.69	7.17	7.83
Tsx	0.0	0.0	33.95	0.0	0.13	0.12	0.13
Ube2s	0.0	0.0	34.51	0.0	112.79	123.41	115.9
Uck2	0.0	0.0	4.04	0.0	26.5	27.44	26.67
Urgcp	0.0	400.17	24.65	0.0	31.94	33.88	33.55
Usf2	0.0	24.86	48.27	0.0	85.09	90.72	88.71
Vmn1r213	0.0	0.0	0.26	0.0	0.09	0.0	0.0
Zfp964	0.0	0.0	46.85	0.0	2.63	2.66	2.54
c7_tRNA-Arg-CGA_	0.0	0.0	26.2	0.0	0.0	3.16	2.79
mt_AK131586	0.0	4908.34	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	7.44	0.0	9032.87	8417.95	8583.15
