	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTnegative_cell_12	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_10	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101
Gm14430	8.29	2.27	0.0	0.0	0.0	0.0	13.78	0.0	0.0	6.19	15.98	0.27	6.16	4.55	5.5	0.17	0.37	0.47	0.12	6.27	0.0	0.11	5.6	4.55	0.54	1.09	0.0	12.18	0.04	0.0	2.39	0.82	4.29	0.0	8.42
Gm14434	8.29	2.27	0.0	0.0	0.0	0.0	13.78	0.0	0.0	6.19	15.98	0.27	6.16	4.55	5.5	0.17	0.37	0.47	0.12	6.27	0.0	0.11	5.6	4.55	0.54	1.09	0.0	12.18	0.04	0.0	2.39	0.82	4.29	0.0	8.42
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	13.78	0.0	0.0	6.19	15.98	0.27	6.16	4.55	5.5	0.17	0.37	0.47	0.12	6.27	0.0	0.11	5.6	4.55	0.54	1.09	0.0	12.18	0.04	0.0	2.39	0.82	4.29	0.0	8.42
Gtf2f1	93.11	151.09	0.0	2.33	0.0	0.0	128.93	0.0	0.0	0.0	117.36	0.0	0.2	155.5	70.08	37.48	0.83	23.13	0.17	0.0	32.57	0.69	6.02	26.51	106.52	0.34	0.0	1.45	0.0	0.0	19.91	0.0	163.09	69.42	68.5
Hnrnph2	240.77	439.44	0.0	15.91	0.22	2.18	393.2	129.62	0.0	454.81	266.13	232.74	321.83	180.42	250.14	122.25	253.74	207.16	532.34	173.8	192.1	280.72	53.47	408.82	197.8	150.57	0.13	219.64	50.32	0.0	200.64	256.07	138.91	275.28	133.4
Kif3a	127.28	79.45	6.67	0.18	0.74	0.79	118.74	1.06	0.0	48.21	43.65	21.43	12.64	84.7	184.65	78.41	83.83	97.06	87.52	70.66	87.88	69.95	104.65	112.72	156.02	118.88	4.0	94.41	79.72	0.44	41.36	139.7	57.57	84.33	63.13
Kifap3	74.08	127.43	0.0	0.0	0.0	0.0	148.9	0.0	0.0	142.39	63.38	171.02	1.23	122.16	96.25	61.46	56.87	46.75	49.43	112.8	110.98	110.69	34.53	51.38	62.42	84.4	0.04	98.91	0.0	0.0	88.73	83.32	144.4	38.39	233.44
Lnp	34.48	21.74	0.0	0.0	0.0	0.1	28.67	0.0	0.0	43.29	33.04	18.66	40.74	31.88	41.81	60.63	28.9	6.68	4.24	17.55	21.51	6.16	45.73	33.65	35.43	35.03	0.02	20.96	0.04	0.0	13.9	29.98	15.13	33.54	12.55
Mapre2	61.15	89.92	0.0	0.0	0.13	0.0	130.13	0.0	0.0	20.45	135.39	285.68	134.59	82.96	33.26	100.93	45.25	63.42	52.52	133.4	9.1	0.0	77.9	75.82	63.43	231.14	0.08	54.29	0.0	0.0	54.24	93.77	55.69	105.71	104.89
Napg	72.82	143.59	0.0	0.0	0.0	0.0	145.16	0.0	6.44	37.38	122.71	10.37	69.17	71.12	116.22	85.06	56.44	160.31	177.82	67.86	69.29	92.19	116.65	214.59	180.05	218.01	0.07	153.37	78.95	0.0	117.24	65.78	120.09	83.46	99.43
Ncs1	65.87	120.81	0.0	0.0	0.0	0.0	265.64	0.0	0.0	248.89	209.27	39.11	71.86	172.76	149.31	168.82	340.44	93.77	93.12	31.76	77.16	87.79	178.43	152.81	190.35	246.34	333.68	103.9	0.19	0.0	275.68	132.22	264.3	148.91	60.86
Npy	138375.8	173305.25	0.0	0.0	0.0	0.0	125016.83	0.0	0.0	132042.44	149629.49	134232.96	130357.56	122165.94	132052.33	122154.33	130527.91	173863.58	126989.03	166048.87	191162.16	154857.31	134158.33	153405.37	147732.76	141010.39	18.35	151963.58	0.0	0.0	145032.54	180453.32	137945.15	137580.94	120620.2
Nucks1	84.02	15.18	0.13	0.5	0.0	0.03	92.37	0.73	1.21	35.93	33.5	78.69	23.26	3.34	42.98	25.64	10.96	32.33	107.0	12.23	28.47	32.58	19.62	47.74	30.96	68.95	0.24	107.43	6.63	0.81	44.71	49.87	32.19	59.59	37.77
Nxph1	169.25	361.81	0.0	0.0	0.0	0.0	378.9	0.0	0.0	240.13	231.34	89.9	328.36	193.07	349.4	428.71	359.21	204.9	142.54	227.96	198.67	34.17	230.53	249.58	237.86	334.99	0.09	227.69	0.0	0.0	172.15	197.46	401.24	250.12	254.39
Pafah1b2	90.34	89.88	0.0	0.0	0.13	0.22	135.59	0.0	0.0	103.33	0.11	51.08	46.09	96.32	109.17	89.51	73.54	98.45	88.19	36.09	56.73	0.0	28.11	79.86	68.6	36.62	0.07	52.48	0.09	0.27	37.75	23.82	90.88	36.12	107.74
Paip1	234.19	130.61	0.08	0.15	0.0	0.0	295.35	15.8	45.14	123.65	97.64	177.75	141.92	180.3	181.63	78.35	141.03	83.58	124.97	89.84	104.7	76.52	116.9	98.98	146.09	215.12	0.04	109.21	25.63	0.0	157.71	150.71	127.2	62.14	119.48
Pdhx	123.75	50.8	0.0	0.0	0.0	0.0	7.39	0.0	0.0	45.87	192.15	0.62	67.34	32.54	34.94	0.11	98.92	48.24	42.02	45.98	1.53	0.0	40.81	71.55	52.77	102.3	0.0	80.37	0.0	0.0	77.21	0.09	51.67	43.4	63.47
Pfkp	189.45	333.63	125.12	0.0	0.0	0.0	94.46	0.0	0.0	468.05	420.65	364.13	444.44	404.3	327.5	325.35	235.43	155.56	225.78	139.19	254.73	252.1	176.03	401.31	222.74	171.81	0.16	334.99	0.1	0.0	173.53	210.59	295.93	421.83	324.62
Pja1	238.84	323.4	0.0	0.0	0.0	0.22	335.72	410.03	0.0	323.83	502.94	283.58	573.49	525.47	229.34	386.11	287.68	360.13	341.45	339.18	69.09	107.2	439.51	469.26	449.1	464.11	3.95	287.7	0.36	0.0	425.46	233.24	393.92	230.79	471.86
Pld3	642.78	1167.98	0.0	0.31	0.0	540.02	849.73	0.0	0.0	1470.43	943.29	998.71	800.89	1324.78	1560.71	1262.37	1525.6	841.72	1129.44	877.14	553.69	599.31	1545.94	957.66	1041.72	1300.57	55.47	913.83	0.71	0.0	789.31	1194.71	1466.86	1212.33	1240.13
Psmd12	262.65	215.57	0.0	0.19	0.0	0.0	286.45	0.0	0.0	100.7	145.31	133.67	172.51	211.77	385.31	213.47	76.08	52.9	157.31	124.65	33.75	33.45	196.66	235.47	158.37	219.52	0.09	247.22	0.0	0.0	134.23	164.9	236.85	143.44	31.26
Rnf14	226.54	389.45	0.0	0.0	0.0	0.0	617.45	0.0	0.0	428.75	532.66	267.44	333.84	462.76	519.88	300.27	508.67	82.79	233.91	376.6	135.72	112.18	299.74	273.44	189.37	422.33	0.33	205.08	0.0	0.0	337.66	217.61	519.41	380.3	302.96
Rufy3	113.03	187.21	0.0	0.0	0.0	0.12	329.79	0.0	0.0	137.18	117.27	74.84	238.1	253.09	74.92	128.06	132.01	157.23	73.62	144.26	64.52	26.89	173.36	141.61	82.56	202.92	0.04	191.72	0.0	0.0	74.99	76.54	155.03	109.32	195.11
Scamp1	159.6	299.19	0.0	0.0	0.0	155.78	281.7	0.09	0.0	104.36	275.65	230.18	271.02	147.76	261.38	114.2	134.33	39.68	188.28	69.24	64.61	145.1	202.14	144.57	117.28	163.75	0.0	186.51	0.0	0.0	119.23	226.72	100.89	60.81	181.06
Slc25a12	23.83	208.2	0.0	0.11	0.0	0.0	85.27	0.06	0.0	49.31	176.62	41.33	199.26	78.98	134.22	94.21	202.21	113.3	225.47	115.92	153.29	0.24	297.74	96.52	84.02	221.24	0.05	129.71	0.0	0.44	71.92	86.31	55.67	101.04	200.63
Sprr2a1	0.53	0.19	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.57	0.71	0.77	0.54	11.74	0.27	4.25	0.06	0.03	0.49	6.02	0.21	0.23	0.15	0.0	0.45	6.48	0.02	0.32	0.0	0.0	0.04	0.06	0.12	0.16	0.09
Sprr2a2	0.53	0.19	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.57	0.71	0.77	0.54	11.74	0.27	4.25	0.06	0.03	0.49	6.02	0.21	0.23	0.15	0.0	0.45	6.48	0.02	0.32	0.0	0.0	0.04	0.06	0.12	0.16	0.09
Srsf9	35.67	88.01	0.0	0.0	1.86	0.0	129.15	12.84	0.0	55.39	32.38	12.47	13.12	55.94	47.3	3.17	32.68	38.58	73.65	64.31	36.94	0.0	19.23	123.9	31.86	54.52	0.28	56.65	0.0	4.27	32.18	50.08	29.71	77.39	27.66
Stx12	155.68	59.82	346.15	0.29	0.23	0.0	562.09	0.0	0.0	239.42	402.26	303.95	302.71	587.85	277.35	204.64	369.85	165.1	408.59	219.18	205.42	172.97	256.49	200.57	273.1	354.33	0.0	286.22	0.0	0.0	243.97	160.09	212.8	282.58	292.59
Tmem170b	27.41	88.02	0.0	0.0	0.0	0.03	182.02	0.02	0.0	91.84	34.87	63.53	59.45	60.31	52.15	17.88	61.98	20.08	45.11	54.59	1.5	0.1	46.77	111.65	22.44	101.85	0.09	40.04	0.0	0.0	38.79	52.52	52.63	7.15	84.33
Ube2k	24.12	37.77	0.0	0.0	0.0	0.0	93.57	0.0	0.0	22.99	49.93	0.49	13.01	18.21	32.12	30.3	37.63	40.61	77.5	101.79	1.17	15.75	17.07	56.19	27.9	47.25	0.0	22.46	0.0	0.0	33.58	39.5	34.2	76.59	39.0
Ubl7	103.36	47.51	0.0	0.0	0.0	0.0	78.18	0.13	0.0	77.97	243.25	0.84	128.48	215.4	201.73	76.12	82.14	0.0	172.59	170.58	54.33	0.0	28.65	3.04	172.78	130.1	0.12	48.23	0.0	0.0	209.51	46.47	135.98	217.26	210.54
Usp14	216.7	184.22	0.0	0.0	6.82	0.0	173.4	0.0	0.0	231.68	289.72	419.05	295.94	218.94	287.09	242.0	306.97	41.98	277.02	362.72	198.41	200.46	185.54	303.03	178.32	228.61	0.08	286.55	0.0	0.0	295.45	116.78	217.37	235.73	198.66
Usp5	54.47	58.45	0.11	0.1	0.0	0.0	0.0	0.0	0.0	125.05	111.76	0.7	57.76	199.76	82.32	82.62	159.41	46.06	49.46	89.53	151.49	52.44	151.67	180.45	25.41	54.62	0.05	23.86	0.0	0.0	53.06	85.38	88.19	78.86	140.45
Vsnl1	1257.45	1515.57	0.0	0.0	0.0	0.0	2389.28	0.0	3.91	1378.38	1032.97	1480.25	769.82	848.78	1589.48	763.56	1006.47	1070.58	1140.88	1034.24	1407.81	800.64	1416.25	1058.3	836.42	963.97	162.58	1108.64	0.2	0.0	667.74	954.03	1097.24	898.78	1179.76
Wdr18	97.81	22.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.73	11.52	58.01	17.71	38.63	16.03	30.92	0.0	29.57	72.54	43.73	15.8	0.0	19.03	0.0	25.58	22.66	0.11	30.6	0.0	0.0	50.25	23.04	10.01	23.51	10.04
Zfp612	9.7	44.69	0.0	0.13	0.0	0.1	44.96	0.0	0.0	81.24	31.83	43.13	98.56	22.71	29.57	37.37	69.58	59.17	122.71	0.0	5.56	55.67	26.72	45.54	51.84	101.02	0.03	41.48	0.0	0.0	23.89	0.0	0.0	32.34	98.14
Zfp706	36.17	46.33	141.69	0.09	0.95	0.21	139.24	3.07	0.0	72.59	28.32	57.89	123.25	73.18	43.83	46.82	71.48	47.15	50.43	39.2	72.9	50.01	1.57	67.73	63.85	120.59	0.4	80.81	0.82	0.0	126.83	92.93	93.24	10.91	100.04
