	Cux2_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_77	Scnn1a.Tg3_tdTpositive_cell_89	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Pms1	0.0	35.93	0.0	0.0	3.22	2.55	3.19
Polk	6.37	174.25	0.0	102.74	8.84	7.29	7.47
Ppil6	0.0	234.95	0.0	0.0	5.19	6.48	6.13
Pth2r	0.0	13.78	0.0	0.0	2.29	2.24	2.32
Ptprf	0.0	75.51	2.3	0.0	34.48	33.3	36.66
Rab9b	0.0	118.01	1.24	0.24	18.22	15.89	16.93
Ren2	0.0	0.48	0.0	0.0	0.0	0.0	0.0
Rex2	0.0	0.98	0.0	0.17	0.09	0.07	0.0
Rnf180	0.0	81.62	0.0	0.0	7.0	6.12	6.03
Rp1	0.0	1.17	0.0	0.0	0.07	0.09	0.03
Rrm2b	1.68	154.66	0.0	0.0	26.34	20.33	23.84
Rrp8	0.0	165.72	0.0	0.0	8.12	7.46	7.28
Rtbdn	0.0	79.34	0.0	0.0	3.23	2.89	2.89
Scnn1g	0.0	0.15	0.0	0.0	0.2	0.03	0.14
Sdccag8	3.9	331.21	134.17	0.0	18.43	18.61	20.08
Sdpr	0.0	2.35	0.0	0.0	7.66	8.78	6.39
Sidt1	105.14	314.77	0.0	0.45	39.64	41.17	36.54
Slc39a7	0.0	187.96	0.0	0.0	82.77	89.91	87.1
Snora78	0.0	113.58	0.0	0.0	1.62	0.76	0.84
Snord69	0.0	117.43	0.0	0.0	17.7	8.34	13.7
Snord8	0.0	289.63	0.0	0.0	0.0	0.0	1.62
Snx13	47.77	114.43	0.0	0.61	41.05	35.46	42.33
Snx5	0.0	434.2	0.0	0.0	82.55	87.13	83.93
Ston1	0.0	0.21	0.0	0.0	3.37	2.93	2.74
Tet3	2.3	93.82	0.0	34.43	21.31	19.17	20.01
Thada	0.0	74.47	0.33	0.0	6.06	5.04	5.89
Tmem150c	0.0	23.8	0.21	0.0	32.53	32.76	31.22
Tmem184b	0.0	51.0	0.0	0.0	63.39	64.99	62.74
Tmem198b	0.58	36.44	0.0	0.0	9.51	9.26	10.95
Trim72	0.0	1.44	0.0	0.0	1.08	0.87	0.94
Trnp1	0.0	43.33	0.0	0.0	145.67	166.53	149.43
Uap1l1	0.0	6.05	0.0	0.0	19.37	21.58	15.01
Ubr4	0.18	50.48	0.0	0.0	45.95	42.73	49.32
Ubr5	0.13	77.38	0.0	0.68	51.79	48.87	53.01
Ugt2b34	0.0	0.11	0.0	0.0	0.0	0.0	0.0
Wdfy2	0.0	20.24	0.0	0.0	10.75	8.45	11.2
Wdr75	0.0	337.4	3.08	0.0	24.76	26.92	23.88
Wnt2	0.0	147.18	0.0	0.0	4.97	5.12	4.35
Xpot	0.0	49.03	2.8	0.0	50.89	49.48	48.72
Ythdf1	0.0	230.35	12.27	0.0	47.33	48.24	45.94
Zc3h10	0.0	150.11	0.0	0.0	14.47	16.33	14.45
Zdhhc2	0.0	129.42	0.0	0.0	50.51	51.98	50.18
Zfp213	0.0	13.76	0.0	0.0	6.9	8.07	7.7
Zfp458	0.0	109.26	0.0	0.0	3.85	2.68	3.6
Zfp507	0.0	63.64	0.0	0.0	11.96	10.86	12.34
Zfpm1	0.0	0.85	0.0	0.0	20.08	22.49	24.12
Zscan22	0.0	216.77	0.0	0.0	8.14	8.09	7.12
c13_tRNA-Lys-AAA	0.0	6.84	0.0	0.0	0.0	0.0	0.7
c19_tRNA-Lys-AAA	0.0	6.84	0.0	0.0	0.0	0.0	0.7
c1_tRNA-Lys-AAA	0.0	6.84	0.0	0.0	0.0	0.0	0.7
c6_tRNA-Ala-GCA	0.0	109.36	0.0	0.0	3.36	0.0	16.06
c7_tRNA-Lys-AAA	0.0	6.84	0.0	0.0	0.0	0.0	0.7
c8_tRNA-Ala-GCY_	0.0	267.97	0.0	0.0	28.42	73.18	71.59
mt_AK131586	3.92	0.0	0.37	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	69.11	0.0	0.0	0.0	9032.87	8417.95	8583.15
