	PvalbF.Gad2_tdTpositive_cell_3	PvalbF.Gad2_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_78	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Il18rap	0.0	0.0	0.0	0.04	0.04
Il1rn	0.0	0.0	0.0	0.04	0.04
Itga9	0.0	0.0	0.0	3.97	3.97
Jph4	0.0	0.0	0.0	201.25	201.7
Kel	0.0	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.0	0.05	0.05
Kif21b	0.0	0.0	0.0	40.2	42.39
Kif24	0.0	0.46	0.42	0.56	0.81
Klc2	0.0	7.68	3.4	196.16	205.42
Lamc2	0.0	0.0	0.0	10.35	9.64
Lao1	0.0	0.0	0.0	0.05	0.05
Lcp2	0.0	0.0	0.0	2.19	2.12
Lipm	0.0	0.0	0.0	0.11	0.11
Lpcat2b	0.0	0.0	0.0	0.19	0.19
Lrfn1	0.0	0.0	0.0	42.71	45.11
Ltbp2	0.0	0.0	0.0	0.3	0.3
Ltf	0.0	0.0	0.0	0.04	0.04
Mctp2	0.0	0.0	0.0	0.73	0.73
Mmel1	0.0	0.0	0.0	0.87	0.59
Mpz	0.0	0.0	0.0	0.1	0.1
Muc4	0.0	0.0	0.0	0.02	0.02
Mycl1	0.0	0.0	0.0	11.76	13.2
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Ncr1	0.0	0.0	0.0	0.07	0.07
Ndst1	0.0	0.0	0.0	47.6	47.01
Nfatc2ip	0.0	0.0	0.0	5.22	4.86
Numbl	0.0	1.3	38.36	88.92	88.07
Olfml2b	0.0	0.0	0.0	5.95	5.95
Olfr1419	0.0	0.0	0.0	0.1	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.11
Olfr15	0.0	0.0	0.0	0.11	0.11
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Pate4	0.0	0.0	0.0	0.1	0.1
Pcdhga9	0.0	0.0	0.0	11.68	10.54
Phc2	0.0	0.0	0.0	62.58	66.96
Prkd2	0.0	0.0	0.0	3.78	2.31
Psd	5.4	12.18	8.73	244.15	270.01
Pskh1	0.0	0.0	0.0	6.82	9.05
Ptx3	0.0	0.0	0.0	0.21	0.21
Ptx4	0.0	0.0	0.0	0.07	0.07
Raet1d	0.0	0.0	0.0	0.16	0.16
Rnf133	0.0	0.0	0.0	0.08	0.08
Rpp40	0.0	1.04	3.18	4.94	4.1
Rtp1	0.0	0.0	0.0	0.16	0.16
Scrt2	0.0	0.0	0.0	13.03	12.11
Sema4a	0.0	0.0	0.0	40.74	42.58
Shank1	5.26	2.84	13.8	148.7	181.16
Shroom4	0.0	0.0	0.0	2.7	2.7
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc10a6	0.0	0.0	0.0	0.05	0.05
Slc22a14	0.0	0.0	0.0	0.05	0.05
Slc2a10	0.0	0.0	0.0	1.2	1.0
Slc34a1	0.0	0.0	0.0	0.1	0.1
Slc34a2	0.0	0.0	0.0	0.05	0.05
Slc34a3	0.0	0.0	0.0	0.05	0.05
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slc4a5	0.0	0.0	0.0	0.04	0.04
Slco6c1	0.0	0.0	0.0	0.04	0.04
Smok3a	0.0	0.0	0.0	0.11	0.11
Speer6-ps1	0.0	0.0	0.0	0.21	0.21
Srcin1	0.0	29.51	0.49	138.51	150.57
St8sia3	0.0	20.28	48.78	74.77	71.04
Stx11	0.0	0.0	0.0	0.14	0.14
Tac4	0.0	0.0	0.0	0.08	0.08
Tas2r137	0.0	0.0	0.0	0.1	0.1
Tex14	0.0	0.0	0.0	0.25	0.19
Tg	0.0	0.0	0.0	0.08	0.08
Tktl1	0.0	0.0	0.0	0.08	0.08
Tmem54	0.0	0.0	0.0	0.19	0.19
Tnfrsf19	0.0	0.0	0.0	41.73	41.14
Trim75	0.0	0.0	0.0	0.2	0.2
Tssk3	0.0	0.0	0.0	0.2	0.2
Ttc39d	0.0	0.0	0.0	0.05	0.05
Tubb1	0.0	0.0	0.0	0.07	0.07
Unc13a	1.73	2.93	16.9	173.28	184.32
Ush1c	0.0	0.0	0.0	0.1	0.1
Usp26	0.0	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vrk2	0.0	0.0	0.0	2.24	2.24
Wfdc12	0.0	0.0	0.0	0.14	0.14
Zfp276	0.0	0.0	0.0	12.53	12.32
Zfp957	0.0	0.0	0.0	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.04
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8583.15
