	Gad2_tdTpositive_cell_44	Nos1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cr2	0.0	0.59	0.05	0.74	0.08	2.25	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.14	0.0	0.0	0.0	0.07	0.24	0.32	0.0	0.0	0.0	0.0	0.31	0.05	0.16	0.19	0.06	0.31	0.33	0.57
Cxcl12	0.0	0.0	0.18	211.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.17	64.19	3.4	0.8	11.35	47.63	48.26	49.4
D10Bwg1379e	0.0	0.76	0.2	34.87	0.0	0.0	0.0	0.0	0.07	0.0	0.05	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.76	4.5	16.95	10.59	7.79	35.07	27.29	36.81
Diap2	0.09	0.3	0.41	66.36	0.0	0.21	0.0	0.77	0.36	0.15	0.0	0.17	0.67	0.95	0.02	0.0	0.14	0.12	0.11	0.33	0.08	156.93	101.14	0.1	2.14	3.72	3.29	3.44	3.7	11.58	10.44	11.07
Dohh	0.0	0.52	0.46	103.17	0.0	0.37	4.72	0.35	0.0	0.0	0.0	0.0	0.0	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.0	17.45	23.31	1.81	2.95	7.39	74.18	89.66	83.98
Elk1	3.4	25.41	70.85	78.22	1.58	0.81	0.58	76.23	1.33	2.48	1.95	4.77	2.31	1.58	0.95	1.33	3.16	4.16	69.55	4.26	4.4	3.3	0.73	3.3	19.22	10.18	20.03	6.68	3.47	51.78	51.99	55.21
Epb4.9	0.54	92.1	5.39	149.08	0.0	0.24	0.3	0.64	1.02	153.75	0.45	0.9	0.48	1.59	0.69	0.0	4.27	0.13	0.19	0.0	1.06	0.4	0.18	0.41	61.11	84.76	36.95	42.33	61.62	204.98	211.43	207.52
Eri2	0.0	2.79	0.0	86.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.51	8.96	3.64	7.32	9.87	9.13	8.11	9.06
Frzb	0.0	0.0	0.0	109.42	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63	0.0	0.0	0.0	20.05	22.2	19.38
Glrp1	0.0	0.0	0.17	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.48	0.47
Gm13306	0.0	22.24	178.93	116.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	103.08	75.81	61.27	71.98	30.63	28.29	22.96
Gm2506	0.0	22.24	178.93	116.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.56	103.08	75.81	61.27	71.98	30.63	28.29	22.96
Gria2	0.02	410.3	243.39	1129.73	194.87	0.08	0.16	0.28	5.63	0.04	0.0	1.42	0.18	81.13	0.16	0.0	0.15	5.91	0.3	0.07	0.26	34.42	0.0	0.0	562.48	707.36	653.72	509.61	529.24	331.31	264.18	334.8
Grp	0.0	0.0	0.0	265.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.58	65.29	130.59	73.35	56.14	18.15	18.87	15.33
Gtf2ird1	0.0	9.57	1.53	21.74	0.0	0.0	188.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	7.61	4.55	7.08	8.21	19.5	21.47	19.34
H2-DMa	0.0	0.0	0.0	97.11	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.22	10.89	41.78	23.05	23.03	29.17	27.48	26.34
Hbxip	205.27	569.99	253.38	1031.81	1.21	277.43	0.0	0.0	4.14	428.74	0.0	0.28	0.0	184.93	598.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.54	336.57	318.8	307.57	306.86	70.07	71.21	71.66
Hectd3	0.0	10.59	56.85	48.7	0.0	0.0	0.0	0.0	0.13	0.0	0.08	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.21	8.5	3.44	3.44	2.8	35.01	33.61	33.43
Il22ra1	1.22	0.27	0.56	1.19	0.0	0.36	0.44	0.12	0.1	0.32	0.19	1.28	1.15	0.49	0.23	0.0	0.0	1.56	0.0	0.17	0.0	0.0	0.0	0.14	0.13	0.64	0.22	0.4	0.09	0.51	0.47	0.53
Impg2	0.07	0.04	0.24	34.91	0.48	0.0	0.1	0.41	0.0	0.16	0.04	0.98	0.17	0.79	0.18	0.84	0.08	0.09	0.66	0.0	0.0	0.11	0.05	0.23	0.37	0.34	0.26	1.02	0.25	0.72	0.4	0.75
Kbtbd4	317.63	21.63	43.76	381.05	0.0	0.0	0.0	0.41	0.97	0.0	0.0	0.2	0.0	0.36	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	551.54	0.0	98.89	108.96	44.49	116.31	119.5	25.55	26.93	25.25
Kctd11	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	1.41	1.47	1.72
Kif26b	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	2.88	3.43	3.79
Kiss1r	0.0	0.0	0.0	13.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17	5.46	5.82
Lat2	0.0	0.0	0.0	23.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	3.87	2.71	3.36
Lhfpl4	0.44	2.0	6.65	38.14	0.38	0.24	0.56	0.0	1.05	0.06	0.0	1.46	0.0	2.17	0.46	0.25	0.14	1.64	0.0	0.38	0.0	0.43	0.08	0.79	10.03	5.99	16.49	9.54	7.49	70.47	72.39	74.47
Lsm1	0.0	31.57	21.36	99.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.97	16.35	1.6	2.79	12.4	11.86	12.75	10.88
Mef2a	0.0	60.26	0.0	125.95	0.0	8.35	0.0	0.0	0.2	0.0	0.0	0.08	152.18	0.0	0.0	0.0	0.0	0.0	0.0	118.53	0.0	0.0	0.0	0.0	24.76	27.12	6.11	23.95	23.9	74.48	66.44	78.3
Metap1	0.0	55.23	1.29	128.59	0.0	0.0	0.0	0.0	0.23	0.0	12.39	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.57	41.48	49.27	45.02	35.48	42.45	39.31	39.08
Metrnl	0.35	0.33	0.52	1.15	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.12	0.22	0.0	0.4	0.0	0.1	0.46	0.0	0.29	0.0	5.66	0.44	0.24	1.25	2.54	6.05	5.43	5.13
Mpp1	0.0	0.15	0.0	179.38	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.17	67.22	23.29	39.06	48.15	33.37	33.52	31.25
Mpped1	0.0	11.07	27.44	226.21	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.22	0.0	0.13	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.71	81.5	42.63	39.09	51.99	162.63	168.42	172.83
Mrp63	0.0	60.22	43.74	209.6	0.0	198.2	0.24	0.2	0.0	0.0	0.0	5.55	0.0	0.18	0.12	0.0	0.0	64.14	0.0	37.49	62.0	0.0	0.0	10.4	18.67	52.24	30.75	51.37	42.07	18.0	17.96	18.33
Mrps25	79.34	22.06	6.53	134.52	0.0	0.0	0.0	0.0	0.48	0.0	24.34	0.0	0.0	0.21	0.0	0.0	46.74	2.17	44.4	0.0	0.0	26.18	0.0	0.0	53.81	40.37	42.77	53.52	45.16	19.34	21.35	20.2
Msrb2	0.0	82.13	0.28	450.99	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.41	0.0	8.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.62	65.71	26.13	88.97	62.99	29.67	27.89	29.52
Myh10	0.0	29.21	19.43	64.03	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.09	0.0	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.72	27.65	16.96	23.64	21.14	136.61	130.54	138.14
Myt1l	0.02	74.01	159.7	370.91	0.0	0.0	0.0	0.14	0.97	0.08	0.0	0.03	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.07	105.73	89.19	99.27	56.32	108.73	92.4	106.64
Nhej1	0.0	1.38	0.0	103.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.14	10.7	0.74	12.98	3.02	3.49	4.65	3.48
Nrxn3	0.0	16.06	37.98	278.97	0.0	0.0	0.0	0.09	0.22	0.0	0.07	0.09	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.14	109.9	79.25	134.4	91.73	80.14	74.92	81.0
Pbx1	0.01	68.04	24.25	86.76	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.1	0.0	4.87	0.08	0.0	0.0	0.06	9.92	0.0	0.0	0.0	0.0	0.0	34.13	79.07	45.05	103.95	84.12	64.04	62.21	64.09
Pex10	0.0	0.0	0.0	90.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	14.49	0.0	0.0	0.37	0.0	0.0	0.0	1.99	8.48	13.27	7.35	8.77	13.24	15.52	14.23
Phc3	0.07	6.93	0.03	49.37	0.0	44.68	0.9	0.0	0.0	21.61	0.1	0.27	6.24	12.05	0.06	0.0	5.44	0.0	0.0	21.85	0.05	0.28	2.79	1.29	4.24	5.53	8.17	3.4	4.51	22.54	20.64	23.25
Pi4ka	88.68	35.0	32.27	65.06	3.6	1.04	0.0	0.15	1.08	170.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	129.44	124.99	0.0	48.21	0.0	40.57	50.39	23.93	42.74	41.41	151.13	142.37	151.54
Pkn1	0.0	1.78	18.34	17.57	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	0.0	39.38	0.0	0.0	4.98	0.18	0.8	0.44	34.6	34.75	36.69
Ppp1r16a	0.06	0.14	0.0	86.72	9.7	0.0	0.21	0.0	0.0	4.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.14	1.83	3.01	5.15	3.92	1.94	1.06	56.2	61.66	62.56
Prkag2	0.0	74.66	27.6	74.78	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.2	50.16	40.34	41.64	39.07	80.89	78.16	70.89
Prkce	0.05	11.37	138.39	153.79	0.01	0.18	0.09	0.22	0.28	0.0	0.0	0.26	0.19	0.2	0.14	0.0	0.0	0.08	0.0	0.0	0.13	0.0	0.0	0.0	57.08	99.81	79.18	119.61	95.23	203.76	201.38	207.81
Prmt7	0.0	39.88	112.51	346.09	0.0	0.0	0.0	0.22	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	544.72	0.0	0.0	0.0	0.0	0.0	0.0	70.05	28.39	81.49	80.93	75.22	37.54	40.65	37.71
Prr15	0.01	0.5	0.25	55.78	0.0	0.0	0.14	0.21	0.0	0.0	0.31	0.0	0.43	0.0	0.28	0.0	0.0	0.0	0.53	0.35	0.91	0.3	0.0	0.0	0.53	9.76	9.37	5.12	7.98	1.24	1.64	1.42
Psg28	3.63	10.27	10.3	16.31	0.0	2.04	0.57	3.81	4.49	2.96	13.92	12.2	0.65	7.09	3.32	0.0	3.08	7.56	4.59	4.73	1.53	7.41	1.14	0.0	6.52	11.23	9.2	5.67	5.33	3.14	2.03	4.01
Pts	7.03	261.45	7.55	445.31	8.95	219.23	14.42	24.5	12.19	4.39	22.03	1.84	580.79	561.66	7.9	19.25	1.65	4.2	0.0	8.15	16.69	5.81	0.9	3.89	82.02	41.28	64.45	40.76	45.91	32.06	38.38	33.41
Rab11a	118.82	12.46	50.13	263.58	0.0	0.0	0.0	21.3	10.25	99.12	0.0	0.2	0.0	0.37	0.0	0.0	0.23	1.54	0.0	0.0	0.0	0.22	0.0	0.0	58.38	59.87	68.96	78.82	45.27	121.73	119.73	122.72
Rab11fip2	0.65	29.08	21.17	63.86	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.88	6.01	10.45	8.59	7.91	41.52	36.24	39.33
Ralyl	0.0	98.0	173.28	709.72	0.0	0.0	0.0	0.0	0.95	0.15	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.75	163.33	238.79	213.81	173.16	68.31	72.18	66.2
Rarb	0.0	0.0	16.21	42.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.52	0.0	0.0	0.25	21.59	22.3	17.81
Rgs7bp	0.9	38.92	15.79	112.48	1.18	0.94	0.19	0.45	1.36	1.12	0.45	0.37	0.83	1.07	0.41	0.21	0.78	0.23	0.8	0.18	0.31	2.3	0.06	1.05	38.07	44.97	43.53	38.42	51.79	124.57	101.66	124.47
Rnf217	0.0	26.97	0.92	81.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.25	2.81	0.14	3.65	1.7	10.48	11.26	12.49
Robo3	0.0	0.0	0.0	5.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	3.25	0.29	1.25	1.24	18.16	17.81	25.42
Rufy3	191.14	246.44	122.59	219.19	0.0	40.59	0.0	0.37	0.14	0.0	0.0	0.12	100.24	0.53	0.07	0.16	0.13	21.03	0.0	0.0	0.0	0.13	15.6	144.29	158.77	176.41	141.92	149.34	150.7	136.88	127.03	134.76
Rundc3a	0.0	14.01	41.72	86.21	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	6.12	0.0	0.0	8.03	11.93	9.76	14.89	17.15	259.19	288.36	272.51
Ryr2	0.0	7.72	22.78	36.17	0.0	0.0	0.03	0.0	0.03	0.02	0.0	0.05	0.0	0.06	0.02	0.0	0.0	0.03	0.0	0.0	0.0	0.04	0.0	0.0	10.88	13.24	12.27	15.18	10.66	51.84	45.32	51.46
Ryr3	0.0	0.0	0.0	29.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49	0.84	1.35	2.15	2.39	17.2	14.47	16.42
Scn8a	0.0	18.91	9.86	69.08	0.0	0.0	0.0	0.0	0.36	0.02	0.0	0.02	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.28	39.77	33.12	30.62	33.92	111.53	100.99	112.93
Serp2	0.0	2.06	86.67	162.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.82	27.03	15.06	15.71	18.26	141.78	155.98	144.95
Sgsm3	4.6	84.69	108.24	287.05	0.0	0.0	0.0	0.0	0.77	0.18	0.0	0.0	0.0	0.14	0.1	0.0	0.0	46.67	0.0	0.0	0.0	0.0	0.0	0.0	114.45	59.42	85.95	56.04	55.05	47.24	51.95	51.43
Sike1	0.0	0.0	0.0	91.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.41	4.73	2.03	1.61	25.68	23.76	25.84
Slc1a1	15.48	153.67	3.68	177.76	0.32	0.0	0.0	0.0	0.0	0.0	0.1	0.51	0.0	0.06	0.0	0.94	0.12	0.14	0.0	0.16	0.19	0.25	0.09	0.0	28.05	41.73	28.93	51.09	61.74	81.77	88.56	82.67
Slc25a21	0.0	0.0	0.16	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.35	0.85
Snord116	0.0	3.47	0.0	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	1.84	0.0	0.0	1.22	1.15	1.9
Snord116l1	0.0	3.47	0.0	4.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.67	1.84	0.0	0.0	1.22	1.15	1.9
