	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_64	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Rbp4_tdTpositive_cell_59	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gas7	6.59	8.02	2.62	0.0	86.76	38.14	138.18	26.89	68.02	0.0	0.0	12.61	3.27	1.68	2.26	12.46	47.41	22.17	15.54	22.56	0.39	18.69	32.09	2.21	16.04	77.6	106.66	15.85	19.0	1.19	0.0	0.29	14.51	0.91	15.07	22.75	23.34	0.92	0.36	107.35	63.18	0.0	165.55	3.24	9.6	0.23	13.92	23.62	2.82	0.01	186.15	181.08	185.5
Gnas	685.07	551.4	374.61	0.0	1228.54	1562.82	1109.8	1522.17	1126.26	0.0	0.38	425.03	630.99	455.26	397.45	252.51	577.67	274.46	428.8	332.9	211.1	523.66	569.21	509.1	331.81	714.07	604.24	462.03	340.4	533.22	211.03	353.63	397.89	484.95	439.1	337.93	287.36	376.59	0.0	602.89	1186.39	0.0	643.28	56.03	605.6	537.74	861.55	663.06	605.61	465.1	1669.79	1750.51	1663.43
Gnl1	9.33	76.07	22.95	0.0	66.11	0.0	97.56	46.8	0.0	0.0	0.0	0.0	30.07	0.04	0.06	0.15	20.19	3.51	0.0	22.39	31.38	2.95	31.34	0.0	44.92	0.11	130.9	0.0	24.38	0.0	23.15	0.0	0.0	0.0	0.0	0.1	11.5	0.0	0.0	89.91	11.93	0.0	59.23	0.0	0.0	0.0	19.03	0.24	0.0	0.0	139.48	150.8	141.26
Hrh3	0.79	0.0	0.22	0.0	13.26	18.27	40.43	6.24	3.69	0.0	0.0	0.0	0.0	0.0	5.49	0.0	0.14	0.0	0.0	0.0	0.48	0.17	16.4	0.0	0.0	1.37	2.44	1.2	0.69	0.0	0.0	0.0	2.85	23.91	0.12	0.0	0.13	0.0	0.0	0.0	0.0	0.0	12.29	0.0	1.3	0.0	16.81	2.1	2.0	24.6	87.46	108.01	84.09
Htr2a	0.0	0.0	0.0	0.0	121.88	8.12	18.04	81.41	0.0	0.0	0.0	0.0	12.68	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.55	0.0	0.0	0.0	72.49	27.85	0.0	18.53	0.14	23.88	0.0	0.0	20.92	3.02	0.0	0.0	0.0	0.0	0.06	0.12	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.15	14.84	17.6
Huwe1	13.81	20.85	4.8	0.0	15.44	0.97	55.85	50.06	24.12	0.0	0.0	13.66	6.73	14.37	10.45	3.37	1.66	7.65	2.83	22.04	30.06	19.98	1.87	0.09	16.58	30.14	6.32	23.04	10.84	5.06	2.31	4.56	8.49	4.0	7.19	21.18	12.62	9.33	1.37	80.2	57.04	0.04	16.24	0.0	7.18	21.96	11.23	17.48	14.0	3.72	83.26	73.67	88.23
Kcnab2	6.62	10.77	3.52	0.0	63.83	73.17	26.88	67.34	29.04	0.0	0.0	1.49	7.66	0.72	0.05	3.83	49.06	0.27	3.68	7.84	36.08	21.79	12.39	0.24	0.14	22.02	1.66	0.0	4.29	14.9	0.79	0.0	0.87	5.52	0.65	3.63	13.88	0.21	0.0	20.27	101.43	0.0	33.76	0.0	0.32	1.58	26.25	21.86	18.86	1.99	267.74	284.22	279.19
Kcnc1	8.09	50.94	3.37	0.0	60.35	58.08	66.83	83.07	22.18	0.0	0.0	0.09	2.8	0.04	0.02	0.02	4.87	4.49	7.53	0.06	0.0	3.81	3.79	4.61	0.05	26.71	16.46	1.16	0.83	9.61	0.03	0.18	3.62	0.1	1.56	0.2	2.6	0.0	0.0	18.71	25.76	0.1	8.09	0.0	0.22	0.9	19.84	0.31	32.29	2.35	96.03	98.54	104.01
Klhl2	1.55	25.34	0.0	0.0	0.0	0.0	153.84	23.93	99.68	0.0	0.0	11.73	16.49	0.0	42.44	18.17	32.65	4.27	0.12	0.0	0.0	0.0	0.12	6.68	41.31	69.52	48.74	0.0	59.26	0.0	0.0	0.0	3.27	0.0	0.0	12.55	0.06	65.55	0.43	57.5	670.27	287.14	187.61	0.0	0.0	0.0	1.42	2.22	0.24	0.04	186.83	191.01	181.66
Lin7a	59.86	1.45	17.17	0.0	86.63	0.21	51.68	166.29	80.81	0.0	0.0	33.71	11.03	32.49	0.06	0.68	9.61	2.13	18.85	16.63	8.19	59.87	40.72	27.69	9.33	132.26	51.05	56.95	3.57	28.88	54.81	19.64	8.5	15.13	27.3	8.87	94.23	19.63	0.0	136.04	157.94	0.0	151.16	0.0	46.05	0.0	24.59	24.49	19.47	63.81	29.65	25.27	30.48
Lrrc4	0.0	2.07	0.0	0.0	0.0	60.92	138.23	129.53	50.33	0.0	0.0	0.0	0.0	0.0	0.78	0.03	0.06	14.7	0.0	0.08	0.0	0.0	0.33	0.0	1.02	73.46	40.21	0.53	0.13	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.04	0.07	0.0	104.59	94.04	0.0	79.95	0.0	5.73	0.0	0.0	0.0	28.28	6.22	70.72	68.88	67.82
Lrrc4c	0.18	0.0	0.08	0.0	311.0	143.58	345.08	617.38	97.05	0.0	0.0	0.1	0.32	0.1	0.38	0.15	0.13	0.0	0.0	0.16	0.0	0.0	0.09	0.0	2.78	304.25	314.04	0.09	0.0	0.0	0.0	0.07	0.06	0.24	0.0	0.08	0.0	0.0	0.0	454.84	150.68	0.0	391.51	0.1	0.0	0.07	0.0	0.06	0.26	0.03	93.84	84.85	89.67
Map2k1	0.0	0.86	135.74	0.0	181.66	205.03	173.28	295.11	169.04	0.0	0.0	22.95	154.98	43.48	42.99	0.04	42.7	46.41	0.78	35.44	24.29	93.44	35.38	23.66	57.98	2.78	91.39	80.69	120.64	86.57	109.56	0.0	74.9	0.0	27.75	0.11	10.47	34.43	0.0	126.04	444.13	0.0	98.96	0.0	20.71	94.52	53.51	7.8	44.94	90.83	309.79	328.2	308.6
Med10	153.43	0.0	32.35	0.0	280.95	111.12	217.73	482.21	448.48	0.0	0.0	29.36	90.81	0.29	109.41	45.69	78.39	100.09	78.05	150.85	65.59	110.37	83.43	75.03	59.96	94.96	71.07	45.61	81.23	58.78	43.24	32.57	42.65	38.22	56.56	0.33	0.19	42.07	0.0	181.55	110.05	521.43	120.1	0.0	0.0	46.51	40.28	140.68	92.49	135.18	38.46	39.68	35.44
Med13	0.0	21.6	5.86	0.0	25.31	2.74	42.8	27.8	0.0	1.14	0.0	11.02	0.3	0.0	0.01	12.3	0.0	5.05	0.0	4.01	0.03	0.0	8.11	0.94	0.0	0.0	0.0	19.14	0.04	0.0	0.47	0.0	9.83	0.3	0.51	0.29	10.31	8.96	0.0	24.57	0.17	0.0	12.42	0.0	0.07	14.36	0.0	1.25	0.81	0.5	21.71	17.44	21.27
Nap1l1	73.48	333.66	89.2	0.0	258.35	129.61	122.64	325.98	27.35	0.14	18.32	50.19	142.66	136.1	197.47	110.09	108.52	70.42	258.66	126.22	154.49	69.06	200.09	91.97	201.78	279.48	225.64	254.94	94.21	164.86	13.02	89.95	73.15	140.1	184.38	231.91	87.76	118.33	4.43	238.66	284.43	3.59	342.69	0.98	183.28	141.41	106.9	47.97	201.01	178.94	298.29	298.47	294.01
Npy	138375.8	173305.25	115124.65	0.0	43922.94	96206.73	82245.2	67463.47	125016.83	0.0	0.0	132042.44	149629.49	134232.96	130357.56	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	130527.91	173863.58	101365.79	73168.9	166048.87	115420.41	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	151963.58	0.0	0.0	0.0	0.0	0.0	0.0	145032.54	180453.32	128781.07	137945.15	137580.94	120620.2	214.21	196.57	200.76
Nsg2	133.93	37.4	99.2	0.0	140.21	357.05	621.99	188.18	99.77	0.0	0.0	59.89	55.02	29.19	57.32	21.33	152.74	106.94	70.39	48.88	119.08	100.14	130.04	40.46	119.59	189.07	180.31	105.09	24.17	59.0	44.37	74.77	18.78	58.63	39.14	105.28	54.2	70.31	0.0	348.79	328.57	0.28	414.86	0.0	160.8	99.83	110.13	72.68	137.5	61.69	642.61	673.47	621.36
Nt5dc3	1.82	15.96	2.08	0.4	27.28	66.47	72.6	69.93	45.82	1.29	0.18	1.16	19.28	1.84	7.15	10.97	1.43	1.91	7.75	3.94	2.42	2.17	3.04	0.86	27.75	42.85	70.87	11.24	1.82	1.76	1.85	2.39	6.9	2.04	2.33	1.91	2.62	7.2	0.55	11.91	73.24	0.32	18.8	0.0	2.88	4.94	5.84	1.73	7.07	0.33	67.85	65.67	69.07
Ogfrl1	0.0	8.08	0.05	0.0	162.8	151.05	269.4	397.24	68.67	0.0	0.0	7.67	26.73	84.65	0.03	0.02	18.55	0.0	25.74	0.11	0.0	0.91	0.86	28.08	30.74	93.11	105.53	24.67	0.34	6.19	1.49	0.21	0.04	24.61	4.0	58.81	0.06	0.0	86.44	29.8	53.66	0.0	9.69	0.0	0.53	0.0	1.26	5.33	0.06	0.09	78.83	72.63	76.41
Osbpl8	19.38	2.02	0.47	0.0	76.78	130.25	92.37	141.24	49.25	0.08	0.89	5.24	1.07	7.78	2.68	2.6	1.33	12.04	0.87	1.2	1.02	0.89	8.2	5.32	3.96	12.86	36.68	13.93	22.53	14.98	4.36	2.01	2.87	2.38	1.95	0.8	13.24	6.32	0.5	26.13	120.76	1.51	34.21	2.37	13.83	3.57	17.88	12.49	7.24	58.11	55.34	47.72	52.54
Oxct1	33.49	35.42	66.25	0.0	174.65	278.48	503.67	461.08	144.48	0.0	0.0	75.65	71.54	42.67	144.78	29.96	2.22	77.45	32.05	60.41	26.61	3.94	51.15	123.53	115.23	349.63	233.63	2.12	68.82	137.23	6.52	1.38	159.82	4.85	50.11	46.07	105.46	55.8	0.0	224.06	72.01	0.0	374.75	0.0	13.35	32.18	152.44	41.26	41.33	108.27	237.85	234.89	230.25
Pde4d	23.67	14.17	22.1	0.0	146.92	12.21	143.29	109.92	51.6	0.0	0.0	1.19	15.87	46.17	6.22	2.44	11.38	78.43	40.45	5.83	54.32	15.48	0.8	19.94	70.07	28.68	12.15	4.97	32.66	40.96	38.05	22.34	7.97	27.63	18.61	0.5	0.31	2.42	0.0	72.01	48.25	0.0	85.75	0.0	17.72	15.88	10.11	28.57	23.9	45.83	28.4	26.53	24.67
Phactr1	46.38	50.38	23.31	0.0	326.3	129.81	251.27	187.05	128.39	0.0	0.21	34.44	0.22	0.0	1.64	0.5	0.13	0.06	36.54	0.57	13.29	25.52	21.69	46.8	0.13	126.04	162.08	74.37	61.89	40.02	7.4	14.31	32.48	38.17	0.08	40.06	31.24	5.18	0.0	154.4	292.98	0.0	203.67	0.0	20.93	4.7	8.18	14.51	8.2	47.48	250.29	240.7	240.9
Plcxd2	16.54	9.85	22.02	0.0	192.42	39.3	39.15	138.9	93.35	0.0	0.0	8.62	1.95	0.0	7.47	0.01	38.29	25.45	18.63	8.04	15.65	32.13	0.0	51.14	18.44	60.52	83.89	0.09	24.5	42.18	0.19	8.57	10.38	0.19	27.31	13.09	9.26	11.48	0.0	76.13	229.16	0.0	154.66	0.0	0.73	15.11	0.0	18.34	16.17	0.21	52.33	46.58	52.18
Prkce	25.29	36.02	7.35	0.0	144.72	32.18	125.52	60.69	41.36	0.0	0.0	1.1	13.53	14.64	4.0	52.18	23.33	40.61	14.98	20.31	2.21	10.24	26.69	30.49	32.39	38.12	96.37	46.45	2.47	9.5	94.8	50.56	6.48	28.63	1.57	23.44	18.48	1.05	0.01	124.76	256.37	0.19	109.75	0.0	12.22	0.04	16.52	2.34	17.32	1.78	203.76	201.38	207.81
Ptms	0.0	19.52	22.29	0.0	0.0	24.73	59.39	0.5	15.27	218.22	0.0	14.04	19.82	12.68	0.59	0.0	30.5	0.0	16.03	13.76	3.11	1.08	0.58	9.29	0.0	0.0	0.46	19.59	0.0	0.0	22.25	26.85	0.37	0.74	0.0	0.34	10.8	0.22	0.0	56.0	22.97	0.0	58.17	0.0	0.0	9.8	0.0	0.2	1.08	0.24	736.58	799.51	735.86
Rab6a	77.83	103.17	39.23	0.0	506.96	959.14	940.15	796.8	279.1	0.0	0.0	58.41	52.89	8.86	139.6	90.02	88.25	58.98	41.82	73.1	57.38	107.39	56.62	49.45	104.85	303.55	164.32	43.83	11.08	113.94	153.83	7.67	50.29	143.23	37.97	79.93	39.25	97.49	0.0	235.33	570.5	16.49	402.06	0.77	32.7	83.7	98.39	110.92	143.87	232.04	535.81	530.39	513.29
Rab6b	111.52	101.32	95.34	0.0	136.11	342.27	183.71	114.95	346.49	0.0	0.0	86.92	85.79	31.49	29.74	79.64	111.39	22.26	108.83	86.37	72.36	26.22	84.62	38.52	125.65	62.47	219.13	87.6	35.88	45.2	54.23	49.13	105.18	145.52	63.61	189.91	100.0	75.64	0.0	307.17	880.05	0.0	327.42	0.0	37.3	92.13	21.37	63.07	174.04	57.92	557.19	534.18	552.91
Rassf3	0.0	0.0	0.0	0.0	38.11	24.07	33.93	13.37	31.33	0.0	0.0	0.13	0.02	0.0	0.0	0.0	4.97	0.0	0.0	11.78	0.0	0.0	0.0	1.06	0.0	20.39	11.48	0.0	0.0	0.0	14.7	0.0	0.0	0.0	6.29	0.0	0.55	0.0	0.0	29.08	39.44	0.0	30.69	0.0	0.0	0.0	33.12	0.0	2.56	0.0	36.48	37.41	36.43
