	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_56	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nkapl	0.29	0.0	0.15	0.0	0.14	0.65	0.85
Nkg7	0.0	0.0	0.28	0.0	0.13	0.12	0.0
Nkx2-9	0.0	0.0	0.56	0.0	0.48	0.41	0.9
Notch4	0.0	0.0	0.06	0.0	2.58	3.06	2.82
Nox3	0.0	0.0	0.12	0.0	0.17	0.0	0.06
Nphp1	0.0	0.0	0.48	0.0	13.62	14.5	13.88
Nr0b1	0.0	0.0	0.12	0.0	0.06	0.1	0.06
Nr5a1	0.0	0.0	0.15	0.0	0.13	0.09	0.03
Nr5a2	0.0	0.0	0.06	0.0	0.11	0.03	0.08
Nyx	0.0	0.0	0.06	0.0	0.46	0.63	0.56
Olfm2	0.0	0.0	0.0	2.81	139.86	136.57	144.51
Olfr1344	0.0	0.0	0.23	0.0	1.99	1.18	1.3
Olfr460	0.0	0.0	0.24	0.0	0.14	0.0	0.11
Olfr558	0.0	0.0	0.07	0.0	0.1	0.44	0.8
Olfr638	0.0	0.0	0.23	0.0	0.1	0.05	0.0
Oprk1	0.0	0.0	0.14	0.0	7.22	5.47	7.93
Pax2	0.0	0.0	0.07	0.0	0.2	0.18	0.03
Pcdh11x	0.0	0.0	0.14	0.0	6.59	6.13	6.58
Pcdha10	0.0	0.0	0.11	0.0	4.13	5.56	4.53
Pcdha4-g	0.0	0.0	0.84	0.0	0.84	1.36	2.18
Pcdhb3	0.0	0.0	0.06	0.0	3.62	4.36	3.71
Pde12	0.0	0.0	0.12	0.0	11.57	12.21	10.3
Pde6c	0.0	0.0	0.15	0.0	0.8	0.94	0.11
Pdgfd	0.0	0.0	0.12	0.0	2.01	3.18	2.0
Pdgfrl	0.27	0.0	0.14	0.0	1.37	1.16	0.67
Phf19	0.0	0.0	0.06	0.0	0.47	0.87	0.52
Phf21b	0.0	0.0	0.12	0.0	8.47	9.0	8.22
Phlda3	0.0	0.0	0.15	0.0	31.17	38.47	36.68
Pkd1l3	0.0	0.0	0.03	0.0	0.86	0.74	0.89
Pla2g4d	0.0	0.0	0.07	0.0	0.12	0.03	0.03
Pla2r1	0.0	0.0	0.03	0.0	0.41	0.31	0.45
Plcb3	0.0	0.0	1.12	0.0	11.73	10.65	11.61
Pld2	0.0	0.0	0.06	0.0	13.58	14.03	13.72
Plekho2	0.0	0.0	0.07	0.0	12.66	11.55	12.57
Pnma3	0.0	0.0	0.12	0.0	20.07	21.28	18.21
Pou4f1	0.0	0.0	0.06	0.0	0.08	0.05	0.05
Ppp1r3a	0.0	0.0	0.06	0.0	0.02	0.03	0.01
Prtg	0.0	0.0	0.14	0.0	1.22	1.12	1.24
Ptger2	0.0	0.0	0.06	0.0	0.18	0.22	0.13
Ptpn13	1.42	0.0	0.12	0.0	7.45	6.34	6.4
Ptprq	0.0	0.0	0.03	0.0	0.11	0.08	0.1
R74862	0.0	0.0	0.23	0.0	5.8	6.2	4.9
Rabggtb	0.0	0.0	4.04	3.42	62.89	59.09	58.78
Rad23a	0.0	0.0	0.0	2.55	49.05	50.66	49.51
Radil	0.0	0.0	0.06	0.0	12.09	12.82	13.94
Rbm20	0.0	0.0	0.03	0.0	1.86	2.36	2.73
Rgs12	0.0	0.0	0.06	0.0	34.44	37.25	35.82
Rho	0.0	0.0	0.03	0.0	0.21	0.34	0.16
Rictor	0.0	0.0	0.0	0.33	22.87	19.75	22.46
Rin3	0.0	0.0	0.06	0.0	1.63	2.16	1.51
Rlim	0.0	0.0	0.0	0.42	21.51	20.23	20.18
Ryr1	0.0	0.0	0.3	0.0	8.42	7.09	8.38
Scaf11	1.2	0.0	2.71	6.28	23.43	21.48	23.93
Scn5a	0.0	0.0	0.03	0.0	2.41	3.01	2.36
Sh3pxd2b	0.0	0.0	0.03	0.0	7.53	7.15	7.94
Shank1	6.62	0.0	23.82	0.14	148.7	139.9	181.16
Skor1	0.0	0.0	0.06	0.0	0.16	0.28	0.23
Slc16a11	0.0	0.0	0.12	0.0	17.99	23.06	21.37
Slc22a13	0.0	0.0	0.11	0.0	0.1	0.15	0.08
Slc26a9	0.0	0.0	0.06	0.0	0.05	0.05	0.08
Slc39a9	0.0	0.0	0.0	0.59	27.97	27.09	27.81
Smok3a	0.0	0.0	0.24	0.0	0.11	0.03	0.11
Spdyb	0.0	0.0	0.12	0.0	0.0	0.05	0.0
Spn	0.0	0.0	0.06	0.0	0.09	0.19	0.03
Spna1	0.0	0.0	0.03	0.0	0.0	0.01	0.04
Sprr2a1	0.0	0.0	0.09	0.0	0.08	0.25	0.13
Sprr2a2	0.0	0.0	0.09	0.0	0.08	0.25	0.13
Sstr1	0.0	0.0	0.06	0.0	23.67	22.95	25.2
Stat1	0.1	0.0	0.53	1.69	12.88	12.88	13.42
Styk1	0.0	0.0	0.23	0.0	0.28	0.3	0.27
Synpo2	0.0	0.0	0.03	0.0	1.72	1.87	1.96
Tbata	0.0	0.0	0.15	0.0	5.24	5.76	5.26
Tbc1d10a	0.0	0.0	80.3	0.0	28.59	34.21	29.19
Tfap2c	0.0	0.0	0.15	0.0	0.18	0.27	0.15
Tg	0.0	0.0	0.03	0.0	0.08	0.04	0.08
Tie1	0.0	0.0	0.06	0.0	7.93	9.35	10.15
Tlr9	0.0	0.0	0.06	0.0	1.36	1.47	1.87
Tmem125	0.0	0.0	0.12	0.0	8.64	10.25	11.07
Tnc	0.0	0.0	0.03	0.0	2.22	1.95	2.62
Tnk1	0.0	0.0	0.07	0.0	0.15	0.14	0.0
Trib1	0.0	0.0	4.08	0.0	20.64	15.7	8.79
Trim59	0.0	0.0	1.03	0.0	13.81	12.4	16.73
Ubash3a	0.0	0.0	0.07	0.0	0.03	0.13	0.07
Ubiad1	0.0	0.0	0.07	0.0	8.66	8.07	8.8
Ubtd2	0.0	0.0	0.07	0.0	36.11	33.89	33.78
Ulbp1	0.0	0.0	0.12	0.0	0.16	0.0	0.06
Unc13c	5.14	0.0	12.14	0.0	18.42	15.68	17.57
Vangl1	0.0	0.0	0.06	0.0	2.56	2.17	2.53
Vnn3	0.0	0.0	0.12	0.0	0.05	0.1	0.06
Wasf2	0.0	0.0	1.41	0.0	11.67	11.02	11.29
Wisp2	0.0	0.0	0.12	0.0	0.17	0.11	0.12
Wnt7b	0.0	0.0	0.06	0.0	23.94	26.39	24.84
Zcchc5	0.0	0.0	0.15	0.0	0.5	0.57	0.41
Zfp526	0.0	0.0	0.03	0.0	7.22	6.28	6.61
Zfp646	0.0	0.0	0.24	0.0	11.22	11.77	10.28
Zfp865	0.0	0.0	0.48	0.0	16.11	20.13	18.94
Zim1	0.0	0.0	0.06	0.0	2.05	2.14	2.2
Zswim5	0.0	0.0	0.12	0.0	9.06	8.4	9.28
Zw10	0.0	0.0	0.74	0.0	15.63	16.67	18.33
mt_AK131586	6370.03	0.0	0.31	0.0	25813.35	24091.17	24561.45
mt_AK140187	74.06	0.0	44.0	15.48	46.89	22.6	27.89
mt_AK166684	0.0	0.0	19.39	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	6.56	0.0	9032.87	8417.95	8583.15
