	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ankrd5	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	26.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.31	0.0	0.0	0.0	4.04	0.0	2.53	0.0	0.09	5.44	0.0	0.0	1.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.68	0.94
Arhgap30	0.1	0.0	0.27	0.0	0.16	0.4	0.46	0.4	1.12	1.28	0.09	0.0	0.0	0.0	0.31	0.23	0.08	0.2	0.0	0.26	0.13	0.09	0.0	0.18	0.56	0.45	0.15	0.0	0.25	0.38	0.0	0.28	0.53	0.7	0.58	0.12	0.28	0.61	1.04	0.19	0.0	0.11	0.57	0.69	0.0	0.13	0.22	0.0	0.27	0.61	2.4	1.67	2.31
Arnt	0.0	0.0	1.54	0.79	0.38	0.0	2.05	0.0	47.56	0.0	41.61	5.13	0.14	41.39	0.35	1.53	0.0	0.5	0.2	1.95	0.24	5.06	0.0	37.41	3.07	0.0	12.5	8.55	0.98	52.94	0.0	0.9	4.35	4.68	1.72	0.42	4.94	6.44	5.29	4.14	0.06	0.31	0.0	0.13	0.23	0.0	0.0	2.3	0.66	1.46	28.76	26.12	28.4
Atp11a	0.0	0.0	0.0	1.74	7.53	15.88	0.0	0.48	15.74	0.0	0.0	0.0	0.0	0.0	8.57	0.0	0.13	11.23	44.12	27.39	0.0	29.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39	2.85	2.06	3.09	1.43	4.15	2.54	1.87	1.56	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.68	25.8	28.44
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
BC027231	0.0	0.0	4.92	7.24	0.66	0.85	0.1	0.16	72.85	0.4	0.16	0.0	28.08	0.64	0.78	0.0	0.79	12.15	0.75	0.4	0.4	0.0	0.0	0.0	7.79	7.41	0.63	0.58	0.39	0.24	1.02	5.3	10.37	0.61	2.35	2.7	0.74	0.67	3.0	3.51	0.0	0.0	0.12	48.36	0.42	0.42	0.0	0.0	1.0	1.67	8.81	7.4	7.76
Bach2	0.29	0.02	0.33	0.49	4.39	0.74	0.09	0.28	0.8	0.44	0.2	0.08	0.16	0.06	0.29	0.12	0.21	0.21	0.41	0.39	0.12	0.24	0.35	0.0	0.31	0.15	0.29	0.4	0.47	0.3	0.08	1.84	0.86	0.69	0.16	3.41	2.6	1.58	0.34	1.06	0.76	0.37	0.28	0.31	0.13	0.24	0.33	0.29	0.0	0.31	4.24	3.25	4.28
Bcas1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.35	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.58	94.3	106.69
Blm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.76	0.0	0.0	0.0	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.19	1.09	1.61	0.05	1.19	0.59	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.03	2.47	2.95
Bmp2k	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.65	0.48	0.24	0.0	0.0	0.0	0.0	0.2	0.0	0.11	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.64	7.34	8.32
Brca1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	2.26	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.61	0.81
Bub1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	2.84	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	2.15	2.27
C1rl	0.56	0.0	0.0	0.0	0.1	0.0	0.29	0.0	33.63	0.3	1.57	0.0	0.0	0.24	0.0	54.65	0.11	0.19	0.0	0.0	0.0	0.15	0.0	0.0	0.11	0.33	0.49	0.3	0.48	0.0	0.32	4.24	1.11	0.06	0.11	0.08	0.17	4.64	1.34	0.0	0.1	0.13	0.19	0.0	0.0	0.1	2.5	0.0	0.0	0.0	0.52	0.6	0.41
C8b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Cacng5	0.0	18.54	0.0	36.99	3.92	0.0	1.01	0.0	73.46	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	9.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.52	10.58	8.56
Car9	0.0	0.0	0.0	0.34	0.0	0.31	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.29	0.0	0.23	0.18	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	1.05	0.87
Cep250	0.08	0.0	0.0	4.39	8.54	5.99	0.0	0.0	17.02	0.0	0.0	10.94	0.0	0.0	12.45	0.0	0.0	9.28	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.05	0.0	0.9	0.0	0.0	0.0	2.25	0.45	1.29	0.0	0.13	0.0	0.54	1.37	0.26	0.0	8.89	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	16.61	14.77	16.8
Creg2	0.33	0.39	0.44	6.3	7.75	4.52	34.4	5.22	39.56	0.35	1.42	0.63	6.88	0.61	0.36	0.0	0.52	7.37	0.0	0.68	0.74	44.36	35.8	0.0	49.25	16.88	122.05	1.33	4.33	0.6	0.04	7.77	5.32	12.12	10.04	28.53	16.86	5.6	10.44	13.15	26.35	38.54	21.25	0.67	2.63	94.91	0.0	33.67	78.51	9.84	76.41	67.53	74.79
Crybb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.89	0.0	0.0	0.0	7.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	4.43	0.47	0.0	0.0	0.0	0.96	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	2.16	2.09
D930015M05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.34	4.57	3.82
Dlg4	1.58	0.22	4.38	4.15	1.84	18.92	1.49	0.39	16.33	8.85	0.0	0.18	1.05	0.57	6.73	0.42	1.38	2.11	2.53	4.61	3.3	12.67	0.4	0.45	3.57	2.38	0.52	2.67	1.2	0.35	0.27	5.1	3.11	0.69	3.65	8.81	1.85	7.75	3.92	3.13	0.29	0.41	1.45	0.85	0.11	0.36	1.21	0.37	1.36	0.3	535.98	535.3	542.17
Dnajb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.37	0.0	7.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19	2.81	2.15
Duox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.05	0.15
Eif2s3x	36.44	0.4	0.17	63.24	68.22	3.29	20.24	153.87	323.18	81.57	0.1	0.0	1.04	25.54	66.75	0.39	34.51	33.38	0.66	28.35	201.44	80.58	97.36	2.43	48.07	6.08	359.7	50.61	22.52	92.18	4.82	42.92	69.3	42.74	71.45	33.49	55.73	39.13	62.43	70.98	62.03	59.94	43.93	0.63	5.54	0.0	105.84	0.08	1.13	0.21	113.17	74.33	75.33
Eml2	1.83	86.13	4.33	0.31	0.25	13.62	1.66	0.89	29.87	0.0	0.0	0.0	0.0	0.0	0.0	2.04	0.44	0.0	2.82	0.0	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.26	0.6	0.34	0.0	0.62	0.61	0.46	2.78	1.67	0.0	0.0	5.22	0.0	0.0	0.0	0.0	0.0	123.08	143.31	130.45
Enkur	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.59	0.0	0.0	0.0	0.0	2.66	5.66	0.0	0.0	0.0	0.0	69.35	0.0	0.0	0.0	0.0	0.0	3.1	3.31	3.63
Ern2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.06	0.31
Eya4	0.0	0.0	0.0	0.0	0.0	0.0	25.1	0.0	32.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	2.96	2.62
F2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.35	4.01
Fam82b	0.0	0.0	25.2	43.17	22.81	34.27	60.06	0.0	109.49	0.0	0.0	91.26	0.0	0.0	86.6	0.0	1.06	2.61	4.32	7.95	35.54	61.22	29.48	37.15	4.13	26.65	0.0	0.0	3.06	60.4	0.0	28.47	22.24	40.74	46.96	29.05	48.54	15.55	14.83	17.58	14.08	43.56	0.0	0.0	0.0	14.84	0.0	0.0	0.0	0.94	10.84	9.93	13.94
Fasn	0.04	0.02	0.3	1.64	23.3	13.23	0.04	1.3	15.54	0.03	0.0	3.65	0.0	0.0	0.23	0.0	0.03	1.23	0.21	3.21	0.99	17.16	0.0	0.0	5.4	0.0	1.26	14.56	0.17	6.54	0.0	2.36	3.97	1.74	3.25	6.01	3.45	3.54	2.63	5.61	1.18	2.86	0.54	10.36	0.0	0.0	0.0	0.0	0.64	0.17	77.8	80.97	82.98
Fbxl14	0.0	0.0	0.46	17.27	0.14	10.82	0.23	0.22	12.8	0.04	0.12	0.0	0.0	0.0	0.12	0.0	0.07	0.0	0.27	0.19	0.91	0.2	0.21	0.0	0.65	0.33	0.9	0.84	0.88	0.84	1.52	2.04	1.53	1.55	3.9	1.61	1.36	0.09	1.61	1.6	0.29	7.88	28.45	0.01	0.0	1.86	0.1	0.17	0.85	0.68	15.44	17.6	15.44
Foxi1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Fryl	5.72	0.0	19.8	10.96	0.0	15.57	2.06	8.91	34.86	0.0	0.0	26.52	0.07	0.0	0.33	5.55	0.7	9.88	7.5	6.19	0.0	15.07	1.8	0.0	0.53	8.73	16.38	2.79	13.0	0.0	0.0	2.53	10.16	4.19	5.56	5.46	4.3	3.54	4.75	8.76	2.3	29.5	0.0	0.0	1.13	0.03	43.19	1.12	18.99	2.14	22.19	20.94	23.28
Gdnf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.9	0.46
Gipr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	2.77	3.21
Glra2	0.0	0.0	22.61	0.0	118.42	0.3	127.93	0.0	286.96	85.01	0.13	0.0	0.0	0.0	28.86	0.0	0.0	0.0	0.0	0.0	0.0	76.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	17.5	9.24	4.1	12.95	25.25	10.1	0.07	17.25	14.97	0.0	0.0	0.0	0.0	0.0	0.11	54.97	0.11	32.05	0.0	13.31	14.43	13.28
Gm14431	0.0	2.9	0.9	7.16	3.04	0.68	0.7	1.23	5.96	1.08	0.0	0.0	1.02	0.48	0.0	2.71	0.0	5.09	0.0	0.7	0.11	0.62	0.26	0.2	1.55	1.08	25.0	7.93	7.13	1.11	0.7	0.11	1.14	0.53	4.2	0.71	2.11	0.72	0.9	1.65	2.13	0.06	1.51	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gm14496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.08
Gm16119	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	6.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.23	0.0	0.29	0.17	0.13	0.12	0.0	0.17	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65	3.21	3.69
Gm16845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.92	0.67	0.0	44.8	0.0	0.0	0.27	0.25	0.0	0.0	0.0	0.0	1.11	1.12	0.0	10.0	0.0	0.28	0.0	14.94	0.0	0.41	0.0	7.99	0.0	4.42	0.24	9.27	3.99	0.0	2.2	0.25	0.0	0.48	0.0	0.0	42.7	0.0	0.0	0.0	53.94	23.55	1.27	1.12	1.83
Gm20125	0.0	0.0	0.18	0.2	0.0	0.0	0.33	0.0	5.65	0.0	0.0	0.0	0.08	0.08	0.27	0.0	0.1	0.32	0.0	0.0	0.23	0.23	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.11	0.0	0.2	0.0	0.08	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.75	0.33	0.66
Gm8898	0.0	2.9	0.9	7.16	3.04	0.68	0.7	1.23	5.96	1.08	0.0	0.0	1.02	0.48	0.0	2.71	0.0	5.09	0.0	0.7	0.11	0.62	0.26	0.2	1.55	1.08	25.0	7.93	7.13	1.11	0.7	0.11	1.14	0.53	4.2	0.71	2.11	0.72	0.9	1.65	2.13	0.06	1.51	0.0	0.0	3.76	0.0	0.37	3.49	0.5	8.87	7.17	8.34
Gpatch8	22.48	6.93	28.02	24.67	0.32	46.14	20.14	11.8	41.02	39.17	45.19	0.05	41.41	1.87	1.45	21.87	75.09	28.56	14.96	0.0	39.44	26.16	0.51	20.77	13.67	61.52	88.91	16.58	2.71	17.4	4.25	11.65	11.95	22.48	18.8	14.06	12.56	32.61	13.78	12.45	1.87	26.95	0.12	2.08	24.44	55.48	61.58	11.12	0.52	11.72	38.73	35.19	38.91
