	Cux2_tdTpositive_cell_63	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_25	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_62	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_67	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_64	Ndnf_tdTpositive_cell_19	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_6	Nos1_tdTpositive_cell_8	Nos1_tdTpositive_cell_9	Nos1_tdTpositive_cell_10	Nos1_tdTpositive_cell_13	Nos1_tdTpositive_cell_31	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_41	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_44	Pvalb_tdTpositive_cell_80	Pvalb_tdTpositive_cell_84	PvalbD.Slc32a1_tdTpositive_cell_1	PvalbD.Slc32a1_tdTpositive_cell_4	PvalbD.Slc32a1_tdTpositive_cell_6	PvalbD.Slc32a1_tdTpositive_cell_16	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_42	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbD.Slc32a1_tdTpositive_cell_44	PvalbF.Gad2_tdTpositive_cell_74	PvalbF.Gad2_tdTpositive_cell_85	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_17
Lpgat1	55.86	0.0	8.83	74.32	0.0	60.22	16.39	75.86	39.23	26.35	1.73	22.25	30.55	0.04	0.0	27.97	155.04	65.78	70.32	10.49	6.7	28.87	53.02	0.0	0.0	0.0	0.0	0.25	15.18	30.9	73.15	80.51	45.65	57.26	4.31	26.92	128.26	87.74	75.89	3.05	79.52	129.28	0.29	0.27	0.0	0.0
Myh10	54.11	0.0	11.22	24.17	0.0	11.17	108.04	5.36	7.32	0.07	38.46	4.75	31.29	0.0	0.0	12.0	17.85	0.19	16.1	0.02	0.39	8.04	0.0	0.0	0.0	0.0	0.0	0.38	45.14	37.03	42.91	39.1	1.75	5.75	1.95	1.12	2.18	71.74	0.11	0.0	70.49	46.85	0.16	0.0	0.07	0.0
Nfe2l1	52.41	0.0	7.57	7.6	0.0	14.0	3.33	23.76	4.63	49.2	9.13	9.39	2.79	0.0	0.0	4.23	1.09	4.37	36.39	0.65	16.75	14.33	2.35	0.0	0.0	0.0	0.0	0.17	5.11	29.88	3.46	4.62	28.19	4.76	64.01	5.69	5.57	21.73	4.28	3.07	64.29	8.5	0.0	4.1	0.0	0.0
Pclo	46.43	0.02	47.85	27.79	0.34	41.55	16.02	70.12	39.25	43.09	20.82	27.17	1.17	0.14	0.14	20.23	2.8	5.77	8.21	20.94	9.76	58.06	28.39	0.05	0.14	0.09	0.14	0.54	7.12	38.08	19.88	18.91	24.89	19.63	9.39	4.2	37.51	12.61	13.6	0.31	22.37	84.36	0.21	0.25	0.11	0.38
Peg3	86.4	0.0	89.0	39.57	0.0	56.82	44.86	67.13	0.0	42.96	21.4	17.68	56.3	0.08	0.0	27.22	29.09	10.53	14.89	5.7	14.1	43.05	14.97	0.0	0.0	0.0	0.0	0.09	107.38	33.22	49.6	102.64	18.64	106.32	16.81	1.24	3.97	39.86	31.58	56.91	35.56	51.18	0.14	0.15	0.09	0.0
Rab4b	101.21	0.0	480.49	81.49	0.0	0.0	73.25	159.6	152.08	12.92	9.92	191.58	19.49	0.0	0.0	4.08	7.43	0.15	48.29	156.01	0.0	60.95	83.97	0.0	0.0	0.0	0.0	1.05	199.17	56.07	49.71	83.59	0.0	74.03	42.42	78.72	103.28	12.74	74.49	1.43	152.55	200.27	0.37	0.16	0.0	0.0
Scn8a	58.33	0.0	16.67	33.93	0.0	3.46	14.51	15.17	12.61	53.66	16.74	43.51	32.81	0.02	0.0	8.9	127.53	22.3	0.08	3.99	8.14	14.2	9.89	0.07	0.0	0.0	0.0	0.11	49.59	76.37	40.12	9.69	13.89	17.61	0.11	20.33	44.99	16.29	35.67	78.75	37.61	113.54	0.15	0.1	0.0	0.0
Slc12a5	30.41	0.0	64.72	101.33	0.0	8.99	7.15	112.25	1.01	10.97	6.37	28.73	36.96	0.0	0.0	0.0	0.02	12.21	20.8	14.07	11.88	22.12	14.77	0.0	0.0	0.0	0.0	0.29	1.7	32.75	11.81	15.08	0.24	10.6	6.45	2.97	9.79	15.59	0.14	8.17	20.86	20.05	0.07	0.06	0.0	0.0
Slc38a1	94.98	0.0	185.0	143.39	0.0	290.72	147.39	155.44	53.71	49.95	87.06	147.03	56.15	0.0	0.13	118.47	80.26	0.72	106.22	81.68	84.76	159.41	6.09	0.0	0.0	0.0	0.0	0.33	85.65	137.31	42.53	87.24	33.47	170.57	53.94	137.12	21.13	213.95	121.22	61.92	114.6	128.69	0.12	0.12	0.0	0.0
Slc6a1	2745.68	2989.89	4091.34	3430.24	1685.97	5514.67	3929.52	3905.72	4140.23	4709.35	4123.17	3721.29	3453.96	2219.32	1732.48	3714.71	4926.53	4483.73	4296.52	6302.16	4487.92	4437.83	4810.11	1331.18	1662.08	1893.56	1099.19	2396.91	3693.59	2504.7	2598.8	2597.73	2578.67	2658.91	3182.47	2862.02	2714.72	3973.93	3627.52	3081.0	2310.21	2813.06	3516.65	2134.78	1588.29	1331.3
Slc6a17	28.33	0.0	73.43	95.56	0.0	75.74	13.64	93.13	12.57	25.62	6.2	10.43	22.71	0.08	0.41	22.91	0.14	1.04	3.05	9.41	10.79	26.45	10.38	0.0	0.0	0.0	0.0	0.28	19.03	12.43	48.66	31.21	18.33	20.61	16.57	3.55	25.6	0.05	22.28	30.21	88.51	24.4	0.07	0.11	0.0	0.16
Ttll7	68.6	0.0	0.87	50.11	0.0	6.25	75.92	0.0	0.09	18.48	24.43	0.0	0.07	0.0	0.0	16.46	0.05	6.69	0.05	73.16	0.21	9.4	33.69	0.0	0.0	0.0	0.14	0.1	45.04	20.14	79.29	74.8	15.0	1.08	8.57	6.23	10.65	38.64	71.64	80.93	113.66	97.44	0.2	0.09	0.0	0.0
Txndc17	85.49	0.29	71.19	91.4	1.25	57.82	114.63	1.11	0.0	87.04	0.0	294.64	67.41	0.23	0.0	60.91	1.3	62.53	0.21	102.46	200.07	107.83	63.13	0.0	0.0	0.0	0.63	0.0	113.32	98.61	36.72	109.22	42.71	4.88	0.0	49.27	50.55	47.55	29.35	111.59	113.2	95.92	0.46	0.0	0.67	0.0
